"MoneyperEventLeaders_RANKTHISWEEK_2014","MoneyperEventLeaders_RANKLASTWEEK_2014","MoneyperEventLeaders_PLAYERNAME_2014","MoneyperEventLeaders_EVENTS_2014","MoneyperEventLeaders_MONEYPEREVENT_2014","MoneyperEventLeaders_TOTALMONEY_2014","stat_name","year"
1,1,"Rory McIlroy",17,487064,8280095,"MoneyperEventLeaders",2014
2,2,"Sergio Garcia",16,308725,4939606,"MoneyperEventLeaders",2014
3,3,"Bubba Watson",21,301760,6336978,"MoneyperEventLeaders",2014
4,4,"Jim Furyk",21,285114,5987395,"MoneyperEventLeaders",2014
5,5,"Jason Day",15,252638,3789574,"MoneyperEventLeaders",2014
6,6,"Dustin Johnson",17,249951,4249180,"MoneyperEventLeaders",2014
7,7,"Adam Scott",17,241093,4098588,"MoneyperEventLeaders",2014
8,8,"Martin Kaymer",19,238554,4532537,"MoneyperEventLeaders",2014
9,9,"Bernhard Langer",1,234000,234000,"MoneyperEventLeaders",2014
10,10,"Jimmy Walker",27,214333,5787015,"MoneyperEventLeaders",2014
11,11,"Justin Rose",19,206671,3926767,"MoneyperEventLeaders",2014
12,12,"Matt Kuchar",24,195646,4695515,"MoneyperEventLeaders",2014
13,13,"Rickie Fowler",26,184850,4806116,"MoneyperEventLeaders",2014
14,14,"Billy Horschel",27,178325,4814786,"MoneyperEventLeaders",2014
15,15,"Chris Kirk",28,173384,4854777,"MoneyperEventLeaders",2014
16,16,"Jordan Spieth",27,160842,4342748,"MoneyperEventLeaders",2014
17,17,"Edoardo Molinari",2,144455,288911,"MoneyperEventLeaders",2014
18,18,"Patrick Reed",28,143788,4026075,"MoneyperEventLeaders",2014
19,19,"Webb Simpson",25,141584,3539600,"MoneyperEventLeaders",2014
20,20,"Ryan Moore",24,129094,3098262,"MoneyperEventLeaders",2014
21,21,"Zach Johnson",26,128977,3353417,"MoneyperEventLeaders",2014
22,22,"Ryan Palmer",23,127143,2924300,"MoneyperEventLeaders",2014
23,23,"Henrik Stenson",15,126282,1894235,"MoneyperEventLeaders",2014
24,24,"Hunter Mahan",25,123919,3097983,"MoneyperEventLeaders",2014
25,25,"Graeme McDowell",17,122199,2077386,"MoneyperEventLeaders",2014
26,26,"Hideki Matsuyama",24,118228,2837477,"MoneyperEventLeaders",2014
27,27,"Brendon Todd",29,117129,3396746,"MoneyperEventLeaders",2014
28,28,"Kevin Na",27,116781,3153107,"MoneyperEventLeaders",2014
29,29,"Charl Schwartzel",18,110971,1997481,"MoneyperEventLeaders",2014
30,30,"Gary Woodland",25,109366,2734152,"MoneyperEventLeaders",2014
31,31,"Graham DeLaet",24,109021,2616517,"MoneyperEventLeaders",2014
32,32,"Keegan Bradley",26,108793,2828637,"MoneyperEventLeaders",2014
33,33,"Marc Leishman",24,106610,2558657,"MoneyperEventLeaders",2014
34,34,"John Senden",27,105803,2856684,"MoneyperEventLeaders",2014
35,35,"Harris English",28,105261,2947321,"MoneyperEventLeaders",2014
36,36,"Steve Stricker",11,104976,1154746,"MoneyperEventLeaders",2014
37,37,"Phil Mickelson",21,102762,2158018,"MoneyperEventLeaders",2014
38,38,"Austin Cook",1,102466,102466,"MoneyperEventLeaders",2014
39,39,"Bill Haas",28,101482,2841520,"MoneyperEventLeaders",2014
40,40,"Cody Gribble",1,98598,98598,"MoneyperEventLeaders",2014
41,41,"JB Holmes",24,98550,2365204,"MoneyperEventLeaders",2014
42,42,"Matt Every",26,97706,2540370,"MoneyperEventLeaders",2014
43,43,"Jason Dufner",17,97146,1651490,"MoneyperEventLeaders",2014
44,44,"Shiv Kapur",2,95984,191968,"MoneyperEventLeaders",2014
45,45,"Ian Poulter",17,95099,1616693,"MoneyperEventLeaders",2014
46,46,"Russell Henley",29,89327,2590493,"MoneyperEventLeaders",2014
47,47,"Kevin Stadler",26,88473,2300306,"MoneyperEventLeaders",2014
48,48,"Kevin Streelman",24,87833,2107993,"MoneyperEventLeaders",2014
49,49,"Luke Donald",17,85378,1451439,"MoneyperEventLeaders",2014
50,50,"George McNeill",24,83931,2014357,"MoneyperEventLeaders",2014
51,51,"Marc Warren",2,82070,164141,"MoneyperEventLeaders",2014
52,52,"Angel Cabrera",23,81241,1868559,"MoneyperEventLeaders",2014
53,53,"Shawn Stefani",17,80544,1369258,"MoneyperEventLeaders",2014
54,54,"Tim Clark",26,79474,2066343,"MoneyperEventLeaders",2014
55,55,"Charley Hoffman",25,79091,1977295,"MoneyperEventLeaders",2014
56,56,"Seung Yul Noh",27,78341,2115233,"MoneyperEventLeaders",2014
57,57,"Bob Estes",2,78000,156000,"MoneyperEventLeaders",2014
58,58,"Robert Karlsson",7,77956,545695,"MoneyperEventLeaders",2014
59,59,"Matt Jones",25,77126,1928154,"MoneyperEventLeaders",2014
60,60,"Brian Harman",32,75447,2414333,"MoneyperEventLeaders",2014
61,61,"Ernie Els",24,74982,1799569,"MoneyperEventLeaders",2014
62,62,"Chris Stroud",25,73055,1826399,"MoneyperEventLeaders",2014
63,63,"KJ Choi",23,72949,1677847,"MoneyperEventLeaders",2014
64,64,"Shane Lowry",3,72622,217866,"MoneyperEventLeaders",2014
65,65,"Francesco Molinari",12,70664,847974,"MoneyperEventLeaders",2014
66,66,"Freddie Jacobson",27,70436,1901789,"MoneyperEventLeaders",2014
67,67,"Cameron Tringale",31,69991,2169722,"MoneyperEventLeaders",2014
68,68,"Jason Allred",9,69637,626733,"MoneyperEventLeaders",2014
69,69,"Geoff Ogilvy",26,69601,1809632,"MoneyperEventLeaders",2014
70,70,"Charles Howell III",29,68863,1997044,"MoneyperEventLeaders",2014
71,71,"Will Ma Kenzie",27,68660,1853822,"MoneyperEventLeaders",2014
72,72,"Lee Westwood",18,67950,1223104,"MoneyperEventLeaders",2014
73,73,"Victor Dubuisson",10,67098,670985,"MoneyperEventLeaders",2014
74,74,"Brandt Snedeker",25,66095,1652379,"MoneyperEventLeaders",2014
75,75,"Byeong Hun An",1,65350,65350,"MoneyperEventLeaders",2014
76,76,"Brooks Koepka",16,65194,1043114,"MoneyperEventLeaders",2014
77,77,"Erik Compton",28,64147,1796143,"MoneyperEventLeaders",2014
78,78,"Jonas Blixt",21,63914,1342197,"MoneyperEventLeaders",2014
79,79,"Brian Stuard",29,63880,1852531,"MoneyperEventLeaders",2014
80,80,"Jason Bohn",25,63407,1585189,"MoneyperEventLeaders",2014
81,81,"Jason Kokrak",19,63177,1200381,"MoneyperEventLeaders",2014
82,82,"Jerry Kelly",23,63089,1451058,"MoneyperEventLeaders",2014
83,83,"Robert Streb",21,61908,1300074,"MoneyperEventLeaders",2014
84,84,"Ben Crane",25,61385,1534633,"MoneyperEventLeaders",2014
85,85,"Daniel Berger",1,59588,59588,"MoneyperEventLeaders",2014
86,86,"Louis Oosthuizen",16,59133,946134,"MoneyperEventLeaders",2014
87,87,"Chesson Hadley",29,58735,1703315,"MoneyperEventLeaders",2014
88,88,"Russell Knox",26,58216,1513630,"MoneyperEventLeaders",2014
89,89,"Steven Bowditch",30,57823,1734692,"MoneyperEventLeaders",2014
90,90,"Ryo Ishikawa",24,57524,1380579,"MoneyperEventLeaders",2014
91,91,"Ben Martin",26,57032,1482835,"MoneyperEventLeaders",2014
92,92,"Camilo Villegas",29,56624,1642124,"MoneyperEventLeaders",2014
93,93,"Daniel Summerhays",27,55908,1509542,"MoneyperEventLeaders",2014
94,94,"Paul Casey",16,54873,877968,"MoneyperEventLeaders",2014
95,95,"Miguel Angel Jimenez",8,54000,432000,"MoneyperEventLeaders",2014
96,96,"Siddikur Rahman",1,53433,53433,"MoneyperEventLeaders",2014
97,97,"Kristoffer Broberg",1,52963,52963,"MoneyperEventLeaders",2014
98,98,"Pat Perez",25,52603,1315080,"MoneyperEventLeaders",2014
