"ScramblingFringeRTPScore_RANKTHISWEEK_2005","ScramblingFringeRTPScore_RANKLASTWEEK_2005","ScramblingFringeRTPScore_PLAYERNAME_2005","ScramblingFringeRTPScore_ROUNDS_2005","ScramblingFringeRTPScore_AVGRTP_2005","ScramblingFringeRTPScore_TOTALHOLES_2005","ScramblingFringeRTPScore_TOTALRTP_2005","stat_name","year"
1,1,"Justin Leonard",78,-0.096,73,-7,"ScramblingFringeRTPScore",2005
2,2,"Richard Johnson",50,-0.08,50,-4,"ScramblingFringeRTPScore",2005
3,3,"Mathias Gronberg",60,-0.058,86,-5,"ScramblingFringeRTPScore",2005
4,4,"Phil Mickelson",81,-0.033,60,-2,"ScramblingFringeRTPScore",2005
5,5,"Luke Donald",67,-0.023,43,-1,"ScramblingFringeRTPScore",2005
6,6,"Jerry Kelly",101,-0.018,110,-2,"ScramblingFringeRTPScore",2005
7,7,"Patrick Sheehan",114,-0.007,135,-1,"ScramblingFringeRTPScore",2005
8,8,"Kent Jones",99,0,110,0,"ScramblingFringeRTPScore",2005
8,8,"Phillip Price",77,0,96,0,"ScramblingFringeRTPScore",2005
8,8,"Loren Roberts",54,0,70,0,"ScramblingFringeRTPScore",2005
8,8,"Rory Sabbatini",81,0,81,0,"ScramblingFringeRTPScore",2005
8,8,"Vijay Singh",111,0,112,0,"ScramblingFringeRTPScore",2005
8,8,"David Toms",87,0,80,0,"ScramblingFringeRTPScore",2005
8,8,"Charlie Wi",67,0,82,0,"ScramblingFringeRTPScore",2005
15,15,"Chris DiMarco",83,0.012,85,1,"ScramblingFringeRTPScore",2005
15,15,"JP Hayes",63,0.012,82,1,"ScramblingFringeRTPScore",2005
17,17,"Chad Campbell",95,0.013,79,1,"ScramblingFringeRTPScore",2005
18,18,"Jason Allred",75,0.014,70,1,"ScramblingFringeRTPScore",2005
19,19,"Mike Weir",71,0.017,59,1,"ScramblingFringeRTPScore",2005
20,20,"Rod Pampling",89,0.019,108,2,"ScramblingFringeRTPScore",2005
20,20,"Corey Pavin",77,0.019,105,2,"ScramblingFringeRTPScore",2005
22,22,"Brad Faxon",75,0.021,94,2,"ScramblingFringeRTPScore",2005
22,22,"Dean Wilson",86,0.021,95,2,"ScramblingFringeRTPScore",2005
24,24,"Scott Verplank",87,0.024,85,2,"ScramblingFringeRTPScore",2005
25,25,"Brian Bateman",98,0.025,119,3,"ScramblingFringeRTPScore",2005
25,25,"Dudley Hart",84,0.025,121,3,"ScramblingFringeRTPScore",2005
27,27,"Tom Byrum",83,0.026,116,3,"ScramblingFringeRTPScore",2005
27,27,"Kenny Perry",82,0.026,77,2,"ScramblingFringeRTPScore",2005
29,29,"Duffy Waldorf",86,0.028,107,3,"ScramblingFringeRTPScore",2005
30,30,"Hideto Tanihara",50,0.031,65,2,"ScramblingFringeRTPScore",2005
31,31,"Brenden Pappas",51,0.032,63,2,"ScramblingFringeRTPScore",2005
