"FirstTeeLatePar4ScoringAverage_RANKTHISWEEK_2014","FirstTeeLatePar4ScoringAverage_RANKLASTWEEK_2014","FirstTeeLatePar4ScoringAverage_PLAYERNAME_2014","FirstTeeLatePar4ScoringAverage_ROUNDS_2014","FirstTeeLatePar4ScoringAverage_AVG_2014","FirstTeeLatePar4ScoringAverage_TOTALSTROKES_2014","FirstTeeLatePar4ScoringAverage_TOTALHOLES_2014","stat_name","year"
1,1,"Rory McIlroy",66,3.92,1751,447,"FirstTeeLatePar4ScoringAverage",2014
1,1,"David Toms",64,3.92,906,231,"FirstTeeLatePar4ScoringAverage",2014
3,3,"Robert Streb",75,3.93,1054,268,"FirstTeeLatePar4ScoringAverage",2014
4,4,"Sergio Garcia",61,3.95,1384,350,"FirstTeeLatePar4ScoringAverage",2014
5,5,"Carl Pettersson",91,3.96,1038,262,"FirstTeeLatePar4ScoringAverage",2014
6,6,"Stuart Appleby",92,3.97,813,205,"FirstTeeLatePar4ScoringAverage",2014
6,6,"Matt Kuchar",91,3.97,2455,619,"FirstTeeLatePar4ScoringAverage",2014
6,6,"Will Wilcox",51,3.97,722,182,"FirstTeeLatePar4ScoringAverage",2014
9,9,"Jerry Kelly",80,3.98,1003,252,"FirstTeeLatePar4ScoringAverage",2014
9,9,"Will Ma Kenzie",82,3.98,843,212,"FirstTeeLatePar4ScoringAverage",2014
9,9,"Shawn Stefani",60,3.98,649,163,"FirstTeeLatePar4ScoringAverage",2014
12,12,"Jim Furyk",84,3.99,2121,531,"FirstTeeLatePar4ScoringAverage",2014
12,12,"Jim Herman",62,3.99,699,175,"FirstTeeLatePar4ScoringAverage",2014
12,12,"Charles Howell III",106,3.99,1078,270,"FirstTeeLatePar4ScoringAverage",2014
12,12,"Zach Johnson",97,3.99,2041,511,"FirstTeeLatePar4ScoringAverage",2014
12,12,"Jason Kokrak",65,3.99,1030,258,"FirstTeeLatePar4ScoringAverage",2014
12,12,"Graeme McDowell",66,3.99,1164,292,"FirstTeeLatePar4ScoringAverage",2014
12,12,"Ryan Palmer",85,3.99,1465,367,"FirstTeeLatePar4ScoringAverage",2014
12,12,"Adam Scott",68,3.99,2021,506,"FirstTeeLatePar4ScoringAverage",2014
12,12,"Chris Stroud",88,3.99,1507,378,"FirstTeeLatePar4ScoringAverage",2014
12,12,"Jhonattan Vegas",77,3.99,842,211,"FirstTeeLatePar4ScoringAverage",2014
12,12,"Bubba Watson",76,3.99,1654,415,"FirstTeeLatePar4ScoringAverage",2014
12,12,"Boo Weekley",73,3.99,702,176,"FirstTeeLatePar4ScoringAverage",2014
24,24,"Tim Clark",75,4,872,218,"FirstTeeLatePar4ScoringAverage",2014
24,24,"Graham DeLaet",80,4,1347,337,"FirstTeeLatePar4ScoringAverage",2014
24,24,"Brian Gay",81,4,700,175,"FirstTeeLatePar4ScoringAverage",2014
24,24,"Freddie Jacobson",91,4,1280,320,"FirstTeeLatePar4ScoringAverage",2014
24,24,"Marc Leishman",81,4,1133,283,"FirstTeeLatePar4ScoringAverage",2014
24,24,"Brian Stuard",91,4,1125,281,"FirstTeeLatePar4ScoringAverage",2014
30,30,"Sangmoon Bae",76,4.01,761,190,"FirstTeeLatePar4ScoringAverage",2014
30,30,"Chad Campbell",57,4.01,774,193,"FirstTeeLatePar4ScoringAverage",2014
30,30,"Harris English",95,4.01,1622,404,"FirstTeeLatePar4ScoringAverage",2014
