"TotalBirdies_RANKTHISWEEK_2005","TotalBirdies_RANKLASTWEEK_2005","TotalBirdies_PLAYERNAME_2005","TotalBirdies_ROUNDS_2005","TotalBirdies_TOTAL_2005","stat_name","year"
1,1,"Ted Purdy",122,437,"TotalBirdies",2005
2,2,"Vijay Singh",111,432,"TotalBirdies",2005
3,3,"Bo Van Pelt",112,425,"TotalBirdies",2005
4,4,"Billy Mayfair",114,410,"TotalBirdies",2005
5,5,"Patrick Sheehan",114,405,"TotalBirdies",2005
6,6,"Harrison Frazar",105,391,"TotalBirdies",2005
7,7,"Tim Herron",100,387,"TotalBirdies",2005
8,8,"Joey Sindelar",104,385,"TotalBirdies",2005
9,9,"Carl Pettersson",109,382,"TotalBirdies",2005
10,10,"Ryan Palmer",101,380,"TotalBirdies",2005
11,11,"Daniel Chopra",108,379,"TotalBirdies",2005
12,12,"Hunter Mahan",103,378,"TotalBirdies",2005
13,13,"Vaughn Taylor",99,376,"TotalBirdies",2005
14,14,"Woody Austin",100,373,"TotalBirdies",2005
15,15,"Tom Pernice Jr",111,372,"TotalBirdies",2005
16,16,"Joe Ogilvie",103,370,"TotalBirdies",2005
17,17,"Tag Ridings",93,364,"TotalBirdies",2005
17,17,"Hidemichi Tanaka",106,364,"TotalBirdies",2005
19,19,"Geoff Ogilvy",97,361,"TotalBirdies",2005
20,20,"Kent Jones",99,360,"TotalBirdies",2005
21,21,"John Senden",101,357,"TotalBirdies",2005
22,22,"Jonathan Byrd",103,355,"TotalBirdies",2005
22,22,"Jim Furyk",94,355,"TotalBirdies",2005
22,22,"Sean OHair",103,355,"TotalBirdies",2005
25,25,"Zach Johnson",96,354,"TotalBirdies",2005
26,26,"Frank Lickliter II",100,352,"TotalBirdies",2005
27,27,"Justin Rose",99,350,"TotalBirdies",2005
27,27,"Heath Slocum",103,350,"TotalBirdies",2005
29,29,"Scott Verplank",87,348,"TotalBirdies",2005
30,30,"Steve Lowery",100,347,"TotalBirdies",2005
30,30,"Shigeki Maruyama",99,347,"TotalBirdies",2005
32,32,"JJ Henry",102,345,"TotalBirdies",2005
33,33,"JL Lewis",98,344,"TotalBirdies",2005
33,33,"Chris Smith",93,344,"TotalBirdies",2005
35,35,"Briny Baird",98,343,"TotalBirdies",2005
35,35,"Neal Lancaster",95,343,"TotalBirdies",2005
37,37,"Olin Browne",99,341,"TotalBirdies",2005
38,38,"Tim Clark",92,340,"TotalBirdies",2005
39,39,"Tommy Armour III",103,339,"TotalBirdies",2005
39,39,"Todd Fischer",99,339,"TotalBirdies",2005
39,39,"John Rollins",97,339,"TotalBirdies",2005
42,42,"Tiger Woods",76,338,"TotalBirdies",2005
43,43,"Mark Calcavecchia",92,337,"TotalBirdies",2005
43,43,"Jerry Kelly",101,337,"TotalBirdies",2005
45,45,"Brett Quigley",96,336,"TotalBirdies",2005
46,46,"Bart Bryant",91,335,"TotalBirdies",2005
47,47,"Robert Gamez",91,334,"TotalBirdies",2005
47,47,"Brandt Jobe",96,334,"TotalBirdies",2005
47,47,"Joey Snyder III",102,334,"TotalBirdies",2005
50,50,"Steve Allan",102,333,"TotalBirdies",2005
50,50,"Kevin Stadler",96,333,"TotalBirdies",2005
52,52,"Cameron Beckman",96,331,"TotalBirdies",2005
52,52,"Charles Warren",89,331,"TotalBirdies",2005
54,54,"Chad Campbell",95,330,"TotalBirdies",2005
54,54,"Brian Gay",101,330,"TotalBirdies",2005
56,56,"Robert Allenby",95,329,"TotalBirdies",2005
57,57,"Brian Bateman",98,327,"TotalBirdies",2005
58,58,"Phil Mickelson",81,326,"TotalBirdies",2005
59,59,"John Huston",90,320,"TotalBirdies",2005
60,60,"Jeff Sluman",94,318,"TotalBirdies",2005
61,61,"Stewart Cink",98,317,"TotalBirdies",2005
61,61,"Pat Perez",89,317,"TotalBirdies",2005
61,61,"Nick Watney",91,317,"TotalBirdies",2005
61,61,"Dean Wilson",86,317,"TotalBirdies",2005
65,65,"Jason Bohn",91,316,"TotalBirdies",2005
65,65,"Lucas Glover",88,316,"TotalBirdies",2005
65,65,"Scott Gutschewski",86,316,"TotalBirdies",2005
68,68,"Bob Estes",92,314,"TotalBirdies",2005
68,68,"Rod Pampling",89,314,"TotalBirdies",2005
70,70,"Michael Allen",90,311,"TotalBirdies",2005
70,70,"Fred Funk",102,311,"TotalBirdies",2005
70,70,"David Toms",87,311,"TotalBirdies",2005
73,73,"Todd Hamilton",94,310,"TotalBirdies",2005
74,74,"Billy Andrade",83,309,"TotalBirdies",2005
74,74,"Dudley Hart",84,309,"TotalBirdies",2005
74,74,"Tim Petrovic",97,309,"TotalBirdies",2005
77,77,"Marco Dawson",82,308,"TotalBirdies",2005
78,78,"Charles Howell III",95,307,"TotalBirdies",2005
79,79,"Kenny Perry",82,306,"TotalBirdies",2005
80,80,"Kevin Sutherland",89,305,"TotalBirdies",2005
81,81,"Duffy Waldorf",86,304,"TotalBirdies",2005
82,82,"DA Points",94,300,"TotalBirdies",2005
83,83,"Aaron Baddeley",84,297,"TotalBirdies",2005
83,83,"Stephen Leaney",89,297,"TotalBirdies",2005
85,85,"Omar Uresti",84,293,"TotalBirdies",2005
