"Par5GoingfortheGreen_RANKTHISWEEK_2011","Par5GoingfortheGreen_RANKLASTWEEK_2011","Par5GoingfortheGreen_PLAYERNAME_2011","Par5GoingfortheGreen_ROUNDS_2011","Par5GoingfortheGreen_Pct_2011","Par5GoingfortheGreen_ATTEMPTS_2011","Par5GoingfortheGreen_NONATTEMPTS_2011","stat_name","year"
1,1,"Bubba Watson",85,75.25,149,49,"Par5GoingfortheGreen",2011
2,2,"Robert Garrigus",83,72.77,163,61,"Par5GoingfortheGreen",2011
3,3,"Sergio Garcia",61,72.18,96,37,"Par5GoingfortheGreen",2011
4,4,"Boo Weekley",66,72.09,124,48,"Par5GoingfortheGreen",2011
5,5,"Chris Couch",73,71.83,153,60,"Par5GoingfortheGreen",2011
6,6,"Adam Scott",60,68.99,89,40,"Par5GoingfortheGreen",2011
7,7,"Bill Haas",93,68.16,152,71,"Par5GoingfortheGreen",2011
8,8,"Gary Woodland",93,67.91,146,69,"Par5GoingfortheGreen",2011
9,9,"Jhonattan Vegas",84,67.61,144,69,"Par5GoingfortheGreen",2011
10,10,"Aaron Baddeley",77,67.36,130,63,"Par5GoingfortheGreen",2011
11,11,"Angel Cabrera",50,67.27,74,36,"Par5GoingfortheGreen",2011
12,12,"JB Holmes",57,66.88,107,53,"Par5GoingfortheGreen",2011
13,13,"Charley Hoffman",93,66.67,164,82,"Par5GoingfortheGreen",2011
13,13,"Dustin Johnson",72,66.67,116,58,"Par5GoingfortheGreen",2011
15,15,"Jason Day",76,65.71,115,60,"Par5GoingfortheGreen",2011
16,16,"Nick Watney",80,65.61,124,65,"Par5GoingfortheGreen",2011
17,17,"Bo Van Pelt",92,65.24,137,73,"Par5GoingfortheGreen",2011
18,18,"Steven Bowditch",86,64.53,151,83,"Par5GoingfortheGreen",2011
19,19,"Tag Ridings",87,64.52,140,77,"Par5GoingfortheGreen",2011
20,20,"Scott Piercy",78,64.47,127,70,"Par5GoingfortheGreen",2011
21,21,"Kyle Stanley",98,64.32,155,86,"Par5GoingfortheGreen",2011
