"AveragePuttingDistanceGIR3PlusPutts_RANKTHISWEEK_2007","AveragePuttingDistanceGIR3PlusPutts_RANKLASTWEEK_2007","AveragePuttingDistanceGIR3PlusPutts_PLAYERNAME_2007","AveragePuttingDistanceGIR3PlusPutts_ROUNDS_2007","AveragePuttingDistanceGIR3PlusPutts_AVG_2007","AveragePuttingDistanceGIR3PlusPutts_DISTANCEFEET_2007","AveragePuttingDistanceGIR3PlusPutts_TOTALPUTTS_2007","stat_name","year"
1,1,"Tom Johnson",74,NA,102.667,1,"AveragePuttingDistanceGIR3PlusPutts",2007
2,2,"Andrew Buckle",77,NA,87.833,1,"AveragePuttingDistanceGIR3PlusPutts",2007
3,3,"Arron Oberholser",69,NA,79.25,1,"AveragePuttingDistanceGIR3PlusPutts",2007
4,4,"Kyle Reifers",71,NA,77.333,1,"AveragePuttingDistanceGIR3PlusPutts",2007
5,5,"Joey Sindelar",75,NA,73.333,1,"AveragePuttingDistanceGIR3PlusPutts",2007
6,6,"Kent Jones",97,NA,70.5,1,"AveragePuttingDistanceGIR3PlusPutts",2007
7,7,"Rocco Mediate",72,NA,70.417,1,"AveragePuttingDistanceGIR3PlusPutts",2007
8,8,"Craig Barlow",52,NA,68.083,1,"AveragePuttingDistanceGIR3PlusPutts",2007
9,9,"Todd Hamilton",76,NA,66.833,1,"AveragePuttingDistanceGIR3PlusPutts",2007
10,10,"Mark Hensby",81,NA,133.083,2,"AveragePuttingDistanceGIR3PlusPutts",2007
11,11,"Justin Leonard",95,NA,66,1,"AveragePuttingDistanceGIR3PlusPutts",2007
12,12,"Jeff Quinney",95,NA,65.833,1,"AveragePuttingDistanceGIR3PlusPutts",2007
13,13,"Henrik Stenson",52,NA,65.667,1,"AveragePuttingDistanceGIR3PlusPutts",2007
14,14,"Robert Garrigus",95,NA,63.167,1,"AveragePuttingDistanceGIR3PlusPutts",2007
15,15,"Jason Gore",86,NA,61,1,"AveragePuttingDistanceGIR3PlusPutts",2007
16,16,"David Branshaw",83,NA,118.667,2,"AveragePuttingDistanceGIR3PlusPutts",2007
17,17,"Lucas Glover",98,NA,58.167,1,"AveragePuttingDistanceGIR3PlusPutts",2007
18,18,"JB Holmes",71,NA,114.083,2,"AveragePuttingDistanceGIR3PlusPutts",2007
19,19,"Ryan Armour",107,NA,56.25,1,"AveragePuttingDistanceGIR3PlusPutts",2007
20,20,"Peter Lonard",85,NA,56.167,1,"AveragePuttingDistanceGIR3PlusPutts",2007
20,20,"Chris Stroud",66,NA,56.167,1,"AveragePuttingDistanceGIR3PlusPutts",2007
22,22,"Ryan Moore",92,NA,166.417,3,"AveragePuttingDistanceGIR3PlusPutts",2007
23,23,"Briny Baird",115,NA,109.25,2,"AveragePuttingDistanceGIR3PlusPutts",2007
24,24,"Chris Couch",76,NA,53.75,1,"AveragePuttingDistanceGIR3PlusPutts",2007
25,25,"Steve Elkington",87,NA,53.417,1,"AveragePuttingDistanceGIR3PlusPutts",2007
25,25,"Trevor Immelman",74,NA,53.417,1,"AveragePuttingDistanceGIR3PlusPutts",2007
27,27,"Chad Campbell",96,NA,52.167,1,"AveragePuttingDistanceGIR3PlusPutts",2007
28,28,"Charles Warren",101,NA,103.167,2,"AveragePuttingDistanceGIR3PlusPutts",2007
29,29,"Matt Kuchar",85,NA,50.25,1,"AveragePuttingDistanceGIR3PlusPutts",2007
30,30,"John Mallinger",96,NA,49.917,1,"AveragePuttingDistanceGIR3PlusPutts",2007
31,31,"Hunter Mahan",91,NA,49.333,1,"AveragePuttingDistanceGIR3PlusPutts",2007
32,32,"Tom Pernice Jr",104,NA,49.083,1,"AveragePuttingDistanceGIR3PlusPutts",2007
33,33,"John Senden",97,NA,196.083,4,"AveragePuttingDistanceGIR3PlusPutts",2007
34,34,"Anthony Kim",93,NA,48.667,1,"AveragePuttingDistanceGIR3PlusPutts",2007
35,35,"Fred Funk",65,NA,47.25,1,"AveragePuttingDistanceGIR3PlusPutts",2007
36,36,"Ryan Palmer",91,NA,46.167,1,"AveragePuttingDistanceGIR3PlusPutts",2007
37,37,"Jeff Sluman",60,NA,45.167,1,"AveragePuttingDistanceGIR3PlusPutts",2007
38,38,"Brett Wetterich",88,NA,89.75,2,"AveragePuttingDistanceGIR3PlusPutts",2007
39,39,"Tim Petrovic",106,NA,42.75,1,"AveragePuttingDistanceGIR3PlusPutts",2007
40,40,"Nick Watney",87,NA,210.167,5,"AveragePuttingDistanceGIR3PlusPutts",2007
41,41,"Paul Goydos",60,NA,41.417,1,"AveragePuttingDistanceGIR3PlusPutts",2007
42,42,"Woody Austin",95,NA,122.917,3,"AveragePuttingDistanceGIR3PlusPutts",2007
43,43,"Ted Purdy",102,NA,40.5,1,"AveragePuttingDistanceGIR3PlusPutts",2007
44,44,"Zach Johnson",76,NA,40.417,1,"AveragePuttingDistanceGIR3PlusPutts",2007
45,45,"Kevin Na",84,NA,198.75,5,"AveragePuttingDistanceGIR3PlusPutts",2007
46,46,"Harrison Frazar",88,NA,39.583,1,"AveragePuttingDistanceGIR3PlusPutts",2007
47,47,"Camilo Villegas",82,NA,78,2,"AveragePuttingDistanceGIR3PlusPutts",2007
48,48,"Joe Durant",88,NA,75,2,"AveragePuttingDistanceGIR3PlusPutts",2007
49,49,"Stuart Appleby",74,NA,74.667,2,"AveragePuttingDistanceGIR3PlusPutts",2007
50,50,"Jonathan Byrd",73,NA,74.333,2,"AveragePuttingDistanceGIR3PlusPutts",2007
51,51,"DJ Trahan",99,NA,107.917,3,"AveragePuttingDistanceGIR3PlusPutts",2007
52,52,"Dicky Pride",71,NA,35.833,1,"AveragePuttingDistanceGIR3PlusPutts",2007
53,53,"Pat Perez",84,NA,35.417,1,"AveragePuttingDistanceGIR3PlusPutts",2007
54,54,"Luke Donald",69,NA,34.417,1,"AveragePuttingDistanceGIR3PlusPutts",2007
55,55,"Nathan Green",103,NA,68.333,2,"AveragePuttingDistanceGIR3PlusPutts",2007
