"BirdieorBetterPercentageRough_RANKTHISWEEK_2011","BirdieorBetterPercentageRough_RANKLASTWEEK_2011","BirdieorBetterPercentageRough_PLAYERNAME_2011","BirdieorBetterPercentageRough_ROUNDS_2011","BirdieorBetterPercentageRough_Pct_2011","BirdieorBetterPercentageRough_TOTALBIRDIES_2011","BirdieorBetterPercentageRough_TOTALHOLES_2011","stat_name","year"
1,1,"Graeme McDowell",50,24.53,26,106,"BirdieorBetterPercentageRough",2011
2,2,"JB Holmes",57,21.26,44,207,"BirdieorBetterPercentageRough",2011
3,3,"Ian Poulter",52,20.87,24,115,"BirdieorBetterPercentageRough",2011
4,4,"Chris Couch",73,20.26,46,227,"BirdieorBetterPercentageRough",2011
5,5,"Steve Stricker",70,20.11,37,184,"BirdieorBetterPercentageRough",2011
6,6,"Aaron Baddeley",77,19.93,56,281,"BirdieorBetterPercentageRough",2011
7,7,"Bubba Watson",85,19.57,46,235,"BirdieorBetterPercentageRough",2011
8,8,"Rickie Fowler",84,19.2,48,250,"BirdieorBetterPercentageRough",2011
9,9,"Dustin Johnson",72,19.14,40,209,"BirdieorBetterPercentageRough",2011
9,9,"David Toms",78,19.14,31,162,"BirdieorBetterPercentageRough",2011
11,11,"Harrison Frazar",58,18.58,34,183,"BirdieorBetterPercentageRough",2011
12,12,"Phil Mickelson",79,18.53,43,232,"BirdieorBetterPercentageRough",2011
13,13,"Robert Garrigus",83,18.52,55,297,"BirdieorBetterPercentageRough",2011
14,14,"Rory Sabbatini",85,18.03,44,244,"BirdieorBetterPercentageRough",2011
15,15,"Scott Piercy",78,17.98,48,267,"BirdieorBetterPercentageRough",2011
16,16,"Padraig Harrington",60,17.88,32,179,"BirdieorBetterPercentageRough",2011
17,17,"Steven Bowditch",86,17.86,60,336,"BirdieorBetterPercentageRough",2011
18,18,"Stewart Cink",72,17.8,34,191,"BirdieorBetterPercentageRough",2011
19,19,"Kyle Stanley",98,17.67,53,300,"BirdieorBetterPercentageRough",2011
20,20,"Nick Watney",80,17.62,43,244,"BirdieorBetterPercentageRough",2011
21,21,"Michael Bradley",74,17.57,42,239,"BirdieorBetterPercentageRough",2011
22,22,"Stephen Ames",69,17.32,31,179,"BirdieorBetterPercentageRough",2011
23,23,"Steve Marino",76,17.27,38,220,"BirdieorBetterPercentageRough",2011
24,24,"Charley Hoffman",93,17.12,44,257,"BirdieorBetterPercentageRough",2011
25,25,"Cameron Beckman",71,17.09,40,234,"BirdieorBetterPercentageRough",2011
26,26,"Matt Bettencourt",84,17.05,52,305,"BirdieorBetterPercentageRough",2011
27,27,"Alex Cejka",59,17.02,24,141,"BirdieorBetterPercentageRough",2011
28,28,"Tommy Gainey",104,17,59,347,"BirdieorBetterPercentageRough",2011
29,29,"Luke Donald",73,16.78,25,149,"BirdieorBetterPercentageRough",2011
30,30,"Hunter Haas",96,16.72,52,311,"BirdieorBetterPercentageRough",2011
31,31,"Brandt Snedeker",85,16.67,40,240,"BirdieorBetterPercentageRough",2011
32,32,"Matt McQuillan",59,16.56,25,151,"BirdieorBetterPercentageRough",2011
33,33,"Trevor Immelman",84,16.53,39,236,"BirdieorBetterPercentageRough",2011
34,34,"Brendon de Jonge",105,16.46,52,316,"BirdieorBetterPercentageRough",2011
35,35,"Gary Woodland",93,16.39,49,299,"BirdieorBetterPercentageRough",2011
36,36,"Justin Rose",79,16.36,36,220,"BirdieorBetterPercentageRough",2011
37,37,"Jhonattan Vegas",84,16.35,51,312,"BirdieorBetterPercentageRough",2011
38,38,"Marc Leishman",87,16.33,56,343,"BirdieorBetterPercentageRough",2011
39,39,"Martin Laird",77,16.18,33,204,"BirdieorBetterPercentageRough",2011
40,40,"Scott Stallings",84,16.06,44,274,"BirdieorBetterPercentageRough",2011
41,41,"George McNeill",69,16.02,37,231,"BirdieorBetterPercentageRough",2011
42,42,"James Driscoll",71,15.97,38,238,"BirdieorBetterPercentageRough",2011
42,42,"Joe Ogilvie",75,15.97,42,263,"BirdieorBetterPercentageRough",2011
44,44,"Woody Austin",59,15.92,25,157,"BirdieorBetterPercentageRough",2011
44,44,"Ryan Palmer",82,15.92,39,245,"BirdieorBetterPercentageRough",2011
46,46,"Vijay Singh",79,15.87,43,271,"BirdieorBetterPercentageRough",2011
47,47,"Chris Stroud",88,15.84,48,303,"BirdieorBetterPercentageRough",2011
48,48,"Ben Curtis",66,15.79,27,171,"BirdieorBetterPercentageRough",2011
49,49,"Bill Haas",93,15.75,40,254,"BirdieorBetterPercentageRough",2011
50,50,"JP Hayes",56,15.72,25,159,"BirdieorBetterPercentageRough",2011
51,51,"Adam Scott",60,15.6,22,141,"BirdieorBetterPercentageRough",2011
52,52,"Joseph Bramlett",73,15.49,35,226,"BirdieorBetterPercentageRough",2011
53,53,"Zack Miller",86,15.38,44,286,"BirdieorBetterPercentageRough",2011
53,53,"Kevin Na",84,15.38,42,273,"BirdieorBetterPercentageRough",2011
55,55,"John Rollins",85,15.31,32,209,"BirdieorBetterPercentageRough",2011
56,56,"Tim Herron",85,15.28,46,301,"BirdieorBetterPercentageRough",2011
57,57,"Carl Pettersson",95,15.23,46,302,"BirdieorBetterPercentageRough",2011
58,58,"Marc Turnesa",54,15.19,24,158,"BirdieorBetterPercentageRough",2011
59,59,"Retief Goosen",50,15.17,22,145,"BirdieorBetterPercentageRough",2011
60,60,"Charlie Wi",83,15.16,42,277,"BirdieorBetterPercentageRough",2011
61,61,"Andres Gonzales",60,15.13,23,152,"BirdieorBetterPercentageRough",2011
62,62,"Hunter Mahan",92,15.09,35,232,"BirdieorBetterPercentageRough",2011
63,63,"Shane Bertsch",62,15.07,22,146,"BirdieorBetterPercentageRough",2011
64,64,"Derek Lamely",65,14.94,39,261,"BirdieorBetterPercentageRough",2011
65,65,"Bio Kim",71,14.9,38,255,"BirdieorBetterPercentageRough",2011
66,66,"Colt Knost",80,14.87,29,195,"BirdieorBetterPercentageRough",2011
67,67,"Matt Kuchar",94,14.83,35,236,"BirdieorBetterPercentageRough",2011
68,68,"Fabian Gomez",84,14.81,36,243,"BirdieorBetterPercentageRough",2011
69,69,"DJ Trahan",91,14.73,47,319,"BirdieorBetterPercentageRough",2011
70,70,"Davis Love III",70,14.69,26,177,"BirdieorBetterPercentageRough",2011
71,71,"Pat Perez",76,14.68,32,218,"BirdieorBetterPercentageRough",2011
72,72,"Bobby Gates",82,14.67,38,259,"BirdieorBetterPercentageRough",2011
73,73,"Lee Janzen",62,14.62,25,171,"BirdieorBetterPercentageRough",2011
73,73,"Kevin Kisner",70,14.62,31,212,"BirdieorBetterPercentageRough",2011
75,75,"Freddie Jacobson",92,14.57,36,247,"BirdieorBetterPercentageRough",2011
76,76,"Jeff Overton",92,14.55,40,275,"BirdieorBetterPercentageRough",2011
77,77,"Rod Pampling",72,14.53,25,172,"BirdieorBetterPercentageRough",2011
78,78,"YE Yang",63,14.47,22,152,"BirdieorBetterPercentageRough",2011
79,79,"Jonathan Byrd",83,14.44,39,270,"BirdieorBetterPercentageRough",2011
80,80,"Andres Romero",77,14.39,38,264,"BirdieorBetterPercentageRough",2011
81,81,"Billy Horschel",75,14.36,26,181,"BirdieorBetterPercentageRough",2011
82,82,"Jason Dufner",78,14.35,30,209,"BirdieorBetterPercentageRough",2011
83,83,"Ben Crane",76,14.29,25,175,"BirdieorBetterPercentageRough",2011
84,84,"Sergio Garcia",61,14.12,24,170,"BirdieorBetterPercentageRough",2011
84,84,"Jimmy Walker",79,14.12,48,340,"BirdieorBetterPercentageRough",2011
86,86,"Kevin Chappell",78,14.03,31,221,"BirdieorBetterPercentageRough",2011
87,87,"William McGirt",103,13.99,47,336,"BirdieorBetterPercentageRough",2011
88,88,"Jim Herman",69,13.98,33,236,"BirdieorBetterPercentageRough",2011
89,89,"Aron Price",58,13.97,19,136,"BirdieorBetterPercentageRough",2011
90,90,"Bo Van Pelt",92,13.81,33,239,"BirdieorBetterPercentageRough",2011
91,91,"Paul Goydos",81,13.76,30,218,"BirdieorBetterPercentageRough",2011
92,92,"Tag Ridings",87,13.69,43,314,"BirdieorBetterPercentageRough",2011
92,92,"Cameron Tringale",110,13.69,49,358,"BirdieorBetterPercentageRough",2011
94,94,"DA Points",89,13.65,34,249,"BirdieorBetterPercentageRough",2011
95,95,"Lucas Glover",74,13.64,30,220,"BirdieorBetterPercentageRough",2011
96,96,"Geoff Ogilvy",69,13.61,26,191,"BirdieorBetterPercentageRough",2011
97,97,"Keegan Bradley",91,13.6,37,272,"BirdieorBetterPercentageRough",2011
98,98,"Paul Stankowski",78,13.51,35,259,"BirdieorBetterPercentageRough",2011
99,99,"Steve Flesch",88,13.5,37,274,"BirdieorBetterPercentageRough",2011
100,100,"Michael Putnam",67,13.48,31,230,"BirdieorBetterPercentageRough",2011
101,101,"John Senden",94,13.45,37,275,"BirdieorBetterPercentageRough",2011
102,102,"Anthony Kim",72,13.43,38,283,"BirdieorBetterPercentageRough",2011
103,103,"Stuart Appleby",65,13.41,33,246,"BirdieorBetterPercentageRough",2011
104,104,"Boo Weekley",66,13.4,26,194,"BirdieorBetterPercentageRough",2011
105,105,"KJ Choi",77,13.37,27,202,"BirdieorBetterPercentageRough",2011
106,106,"Billy Mayfair",94,13.33,34,255,"BirdieorBetterPercentageRough",2011
107,107,"Brian Gay",90,13.29,23,173,"BirdieorBetterPercentageRough",2011
108,108,"Nathan Green",81,13.26,37,279,"BirdieorBetterPercentageRough",2011
108,108,"Charles Howell III",108,13.26,46,347,"BirdieorBetterPercentageRough",2011
108,108,"Bill Lunde",92,13.26,35,264,"BirdieorBetterPercentageRough",2011
111,111,"Brian Davis",105,13.23,34,257,"BirdieorBetterPercentageRough",2011
112,112,"Ricky Barnes",78,13.22,32,242,"BirdieorBetterPercentageRough",2011
113,113,"Angel Cabrera",50,13.21,21,159,"BirdieorBetterPercentageRough",2011
113,113,"Chris Kirk",87,13.21,42,318,"BirdieorBetterPercentageRough",2011
115,115,"Webb Simpson",98,13.15,38,289,"BirdieorBetterPercentageRough",2011
116,116,"Zach Johnson",79,13.14,23,175,"BirdieorBetterPercentageRough",2011
117,117,"David Mathis",83,13.08,28,214,"BirdieorBetterPercentageRough",2011
118,118,"Josh Teater",104,12.88,42,326,"BirdieorBetterPercentageRough",2011
119,119,"Troy Matteson",91,12.78,40,313,"BirdieorBetterPercentageRough",2011
120,120,"Jason Bohn",74,12.76,25,196,"BirdieorBetterPercentageRough",2011
121,121,"Matt Jones",71,12.7,32,252,"BirdieorBetterPercentageRough",2011
122,122,"Jim Furyk",87,12.69,25,197,"BirdieorBetterPercentageRough",2011
123,123,"Kris Blanks",92,12.64,33,261,"BirdieorBetterPercentageRough",2011
124,124,"Michael Thompson",79,12.61,30,238,"BirdieorBetterPercentageRough",2011
125,125,"Brandt Jobe",100,12.6,32,254,"BirdieorBetterPercentageRough",2011
126,126,"Robert Karlsson",61,12.5,22,176,"BirdieorBetterPercentageRough",2011
127,127,"Chris DiMarco",93,12.45,33,265,"BirdieorBetterPercentageRough",2011
127,127,"Sean OHair",71,12.45,30,241,"BirdieorBetterPercentageRough",2011
127,127,"Kevin Stadler",88,12.45,30,241,"BirdieorBetterPercentageRough",2011
130,130,"DJ Brigman",67,12.39,28,226,"BirdieorBetterPercentageRough",2011
131,131,"Camilo Villegas",69,12.16,27,222,"BirdieorBetterPercentageRough",2011
132,132,"Heath Slocum",89,12.12,24,198,"BirdieorBetterPercentageRough",2011
133,133,"Ryan Moore",79,12.08,25,207,"BirdieorBetterPercentageRough",2011
134,134,"Will Strickler",51,12.03,19,158,"BirdieorBetterPercentageRough",2011
135,135,"Briny Baird",60,11.97,17,142,"BirdieorBetterPercentageRough",2011
136,136,"Bryce Molder",82,11.96,22,184,"BirdieorBetterPercentageRough",2011
137,137,"Rocco Mediate",53,11.92,18,151,"BirdieorBetterPercentageRough",2011
138,138,"Jarrod Lyle",83,11.91,33,277,"BirdieorBetterPercentageRough",2011
139,139,"Joe Durant",71,11.76,18,153,"BirdieorBetterPercentageRough",2011
140,140,"Greg Chalmers",88,11.7,33,282,"BirdieorBetterPercentageRough",2011
141,141,"Vaughn Taylor",89,11.67,35,300,"BirdieorBetterPercentageRough",2011
142,142,"Blake Adams",116,11.62,38,327,"BirdieorBetterPercentageRough",2011
143,143,"Spencer Levin",113,11.59,38,328,"BirdieorBetterPercentageRough",2011
144,144,"Arjun Atwal",91,11.5,39,339,"BirdieorBetterPercentageRough",2011
145,145,"Roland Thatcher",67,11.44,27,236,"BirdieorBetterPercentageRough",2011
146,146,"Rich Beem",53,11.35,16,141,"BirdieorBetterPercentageRough",2011
147,147,"Martin Piller",63,11.33,23,203,"BirdieorBetterPercentageRough",2011
147,147,"Chez Reavie",92,11.33,29,256,"BirdieorBetterPercentageRough",2011
149,149,"Shaun Micheel",77,11.28,29,257,"BirdieorBetterPercentageRough",2011
150,150,"Robert Allenby",84,11.2,28,250,"BirdieorBetterPercentageRough",2011
151,151,"Charl Schwartzel",58,11.18,17,152,"BirdieorBetterPercentageRough",2011
152,152,"Ryuji Imada",83,11,32,291,"BirdieorBetterPercentageRough",2011
153,153,"Jason Day",76,10.98,29,264,"BirdieorBetterPercentageRough",2011
154,154,"Mark Wilson",89,10.85,23,212,"BirdieorBetterPercentageRough",2011
155,155,"Jim Renner",65,10.84,22,203,"BirdieorBetterPercentageRough",2011
156,156,"David Duval",67,10.82,25,231,"BirdieorBetterPercentageRough",2011
157,157,"Alexandre Rocha",65,10.81,20,185,"BirdieorBetterPercentageRough",2011
158,158,"JJ Henry",96,10.8,23,213,"BirdieorBetterPercentageRough",2011
159,159,"Troy Merritt",63,10.63,22,207,"BirdieorBetterPercentageRough",2011
160,160,"Richard Johnson",64,10.45,21,201,"BirdieorBetterPercentageRough",2011
161,161,"Garrett Willis",71,10.43,22,211,"BirdieorBetterPercentageRough",2011
162,162,"Chad Campbell",99,10.38,27,260,"BirdieorBetterPercentageRough",2011
163,163,"Ernie Els",71,10.24,21,205,"BirdieorBetterPercentageRough",2011
164,164,"Nate Smith",66,10.22,19,186,"BirdieorBetterPercentageRough",2011
165,165,"Sung Kang",63,10.19,21,206,"BirdieorBetterPercentageRough",2011
166,166,"David Hearn",88,10.11,27,267,"BirdieorBetterPercentageRough",2011
167,167,"Justin Leonard",82,9.95,21,211,"BirdieorBetterPercentageRough",2011
168,168,"Tim Petrovic",88,9.88,25,253,"BirdieorBetterPercentageRough",2011
169,169,"Nick OHern",89,9.78,18,184,"BirdieorBetterPercentageRough",2011
170,170,"Ben Martin",74,9.77,21,215,"BirdieorBetterPercentageRough",2011
171,171,"Steve Elkington",50,9.73,11,113,"BirdieorBetterPercentageRough",2011
172,172,"Scott McCarron",65,9.64,19,197,"BirdieorBetterPercentageRough",2011
173,173,"Michael Connell",76,9.42,21,223,"BirdieorBetterPercentageRough",2011
174,174,"Brendan Steele",89,9.36,22,235,"BirdieorBetterPercentageRough",2011
175,175,"Chris Riley",76,9.09,17,187,"BirdieorBetterPercentageRough",2011
176,176,"Scott Gutschewski",67,9,19,211,"BirdieorBetterPercentageRough",2011
177,177,"Kent Jones",76,8.97,20,223,"BirdieorBetterPercentageRough",2011
178,178,"Kevin Streelman",90,8.93,20,224,"BirdieorBetterPercentageRough",2011
179,179,"Alex Prugh",82,8.57,24,280,"BirdieorBetterPercentageRough",2011
180,180,"Tom Gillis",55,8.56,16,187,"BirdieorBetterPercentageRough",2011
181,181,"Johnson Wagner",81,8.22,18,219,"BirdieorBetterPercentageRough",2011
182,182,"Dean Wilson",62,8,16,200,"BirdieorBetterPercentageRough",2011
183,183,"John Merrick",71,7.95,14,176,"BirdieorBetterPercentageRough",2011
184,184,"Justin Hicks",60,7.94,10,126,"BirdieorBetterPercentageRough",2011
185,185,"Jerry Kelly",85,7.34,13,177,"BirdieorBetterPercentageRough",2011
186,186,"Daniel Summerhays",75,6.82,15,220,"BirdieorBetterPercentageRough",2011
