"AverageDistancetoHoleAfterTeeShot_RANKTHISWEEK_2006","AverageDistancetoHoleAfterTeeShot_RANKLASTWEEK_2006","AverageDistancetoHoleAfterTeeShot_PLAYERNAME_2006","AverageDistancetoHoleAfterTeeShot_ROUNDS_2006","AverageDistancetoHoleAfterTeeShot_AVG_2006","AverageDistancetoHoleAfterTeeShot_TOTALDISTAFTERTEESHOT_2006","AverageDistancetoHoleAfterTeeShot_TOTALTEESHOTS_2006","stat_name","year"
1,1,"JB Holmes",81,153,4746560,862,"AverageDistancetoHoleAfterTeeShot",2006
2,2,"Bubba Watson",83,153.6,5472905,990,"AverageDistancetoHoleAfterTeeShot",2006
3,3,"Robert Garrigus",85,161.2,5850739,1008,"AverageDistancetoHoleAfterTeeShot",2006
4,4,"Brett Wetterich",82,161.9,5850489,1004,"AverageDistancetoHoleAfterTeeShot",2006
5,5,"Harrison Frazar",95,162.5,6012743,1028,"AverageDistancetoHoleAfterTeeShot",2006
6,6,"Ryan Hietala",61,163,4060016,692,"AverageDistancetoHoleAfterTeeShot",2006
7,7,"Jeff Overton",95,163.1,7051247,1201,"AverageDistancetoHoleAfterTeeShot",2006
8,8,"John Daly",51,163.9,3309894,561,"AverageDistancetoHoleAfterTeeShot",2006
9,9,"Tag Ridings",103,164.1,7165850,1213,"AverageDistancetoHoleAfterTeeShot",2006
10,10,"Camilo Villegas",95,164.4,6668686,1127,"AverageDistancetoHoleAfterTeeShot",2006
11,11,"Charley Hoffman",100,164.6,7227650,1220,"AverageDistancetoHoleAfterTeeShot",2006
12,12,"Kenny Perry",73,165,4965804,836,"AverageDistancetoHoleAfterTeeShot",2006
13,13,"Bubba Dickerson",98,165.3,6990889,1175,"AverageDistancetoHoleAfterTeeShot",2006
14,14,"Alex Aragon",63,165.7,4413374,740,"AverageDistancetoHoleAfterTeeShot",2006
14,14,"Chris Couch",75,165.7,5477019,918,"AverageDistancetoHoleAfterTeeShot",2006
16,16,"Scott Gutschewski",53,165.8,3693942,619,"AverageDistancetoHoleAfterTeeShot",2006
16,16,"Matt Hansen",68,165.8,4739568,794,"AverageDistancetoHoleAfterTeeShot",2006
18,18,"Fred Couples",52,165.9,2651857,444,"AverageDistancetoHoleAfterTeeShot",2006
18,18,"Phil Mickelson",74,165.9,3877199,649,"AverageDistancetoHoleAfterTeeShot",2006
20,20,"Charles Warren",93,166,6697588,1121,"AverageDistancetoHoleAfterTeeShot",2006
21,21,"Adam Scott",70,166.2,4243260,709,"AverageDistancetoHoleAfterTeeShot",2006
22,22,"Vijay Singh",103,166.4,6949200,1160,"AverageDistancetoHoleAfterTeeShot",2006
23,23,"Lucas Glover",105,166.5,7168618,1196,"AverageDistancetoHoleAfterTeeShot",2006
24,24,"Mathias Gronberg",92,166.6,6561317,1094,"AverageDistancetoHoleAfterTeeShot",2006
25,25,"Kris Cox",83,166.9,5930145,987,"AverageDistancetoHoleAfterTeeShot",2006
25,25,"Chris Smith",67,166.9,4877895,812,"AverageDistancetoHoleAfterTeeShot",2006
25,25,"Nicholas Thompson",96,166.9,6454691,1074,"AverageDistancetoHoleAfterTeeShot",2006
28,28,"Jason Gore",86,167.9,5985568,990,"AverageDistancetoHoleAfterTeeShot",2006
29,29,"James Driscoll",80,168,6279120,1038,"AverageDistancetoHoleAfterTeeShot",2006
30,30,"Jon Mills",68,168.4,4503615,743,"AverageDistancetoHoleAfterTeeShot",2006
31,31,"Mathew Goggin",72,168.7,4877532,803,"AverageDistancetoHoleAfterTeeShot",2006
32,32,"Davis Love III",85,168.8,4806980,791,"AverageDistancetoHoleAfterTeeShot",2006
33,33,"Jonathan Kaye",95,169,7232328,1189,"AverageDistancetoHoleAfterTeeShot",2006
33,33,"Troy Matteson",101,169,7286977,1198,"AverageDistancetoHoleAfterTeeShot",2006
33,33,"Wes Short Jr",96,169,7134848,1173,"AverageDistancetoHoleAfterTeeShot",2006
36,36,"Geoff Ogilvy",76,169.1,4377524,719,"AverageDistancetoHoleAfterTeeShot",2006
37,37,"Jonathan Byrd",66,169.2,4483856,736,"AverageDistancetoHoleAfterTeeShot",2006
37,37,"Ryan Palmer",101,169.2,6882829,1130,"AverageDistancetoHoleAfterTeeShot",2006
37,37,"Tiger Woods",55,169.2,3137198,515,"AverageDistancetoHoleAfterTeeShot",2006
40,40,"Rich Beem",85,169.3,5455855,895,"AverageDistancetoHoleAfterTeeShot",2006
