"PercentageofAvailablePurseWon_RANKTHISWEEK_2012","PercentageofAvailablePurseWon_RANKLASTWEEK_2012","PercentageofAvailablePurseWon_PLAYERNAME_2012","PercentageofAvailablePurseWon_EVENTS_2012","PercentageofAvailablePurseWon_Pct_2012","PercentageofAvailablePurseWon_OFFICIALMONEYWON_2012","PercentageofAvailablePurseWon_TOTALPURSEAVAILABLE_2012","stat_name","year"
1,1,"David Lynn",1,10.81,865000,8e+06,"PercentageofAvailablePurseWon",2012
2,2,"Rory McIlroy",16,6.54,8047951,1.23e+08,"PercentageofAvailablePurseWon",2012
3,3,"Tiger Woods",19,4.31,6133157,142400000,"PercentageofAvailablePurseWon",2012
4,4,"Bubba Watson",19,3.36,4644994,138400000,"PercentageofAvailablePurseWon",2012
5,5,"Brandt Snedeker",22,3.22,4989737,155200000,"PercentageofAvailablePurseWon",2012
6,6,"Jason Dufner",22,3.11,4869302,156500000,"PercentageofAvailablePurseWon",2012
7,7,"Justin Rose",19,3.03,4290929,141400000,"PercentageofAvailablePurseWon",2012
8,8,"Luke Donald",17,2.71,3512022,129400000,"PercentageofAvailablePurseWon",2012
9,9,"Phil Mickelson",22,2.65,4203820,158500000,"PercentageofAvailablePurseWon",2012
10,10,"Zach Johnson",25,2.6,4504243,173400000,"PercentageofAvailablePurseWon",2012
11,11,"Lee Westwood",15,2.57,3016569,117200000,"PercentageofAvailablePurseWon",2012
12,12,"Dustin Johnson",19,2.48,3393820,136600000,"PercentageofAvailablePurseWon",2012
13,13,"Matt Kuchar",22,2.46,3903064,158800000,"PercentageofAvailablePurseWon",2012
14,14,"Louis Oosthuizen",19,2.45,3460992,141300000,"PercentageofAvailablePurseWon",2012
14,14,"Steve Stricker",19,2.45,3420021,139400000,"PercentageofAvailablePurseWon",2012
16,16,"Hunter Mahan",23,2.41,4019192,166800000,"PercentageofAvailablePurseWon",2012
17,17,"Adam Scott",16,2.32,2899555,124800000,"PercentageofAvailablePurseWon",2012
18,18,"Ernie Els",22,2.25,3453116,153300000,"PercentageofAvailablePurseWon",2012
19,19,"Webb Simpson",22,2.24,3436757,153300000,"PercentageofAvailablePurseWon",2012
20,20,"Keegan Bradley",25,2.19,3910657,178200000,"PercentageofAvailablePurseWon",2012
21,21,"Jim Furyk",24,2.17,3623801,167300000,"PercentageofAvailablePurseWon",2012
22,22,"Ben Curtis",19,2.09,2494151,119500000,"PercentageofAvailablePurseWon",2012
23,23,"Sergio Garcia",16,2.08,2510115,120700000,"PercentageofAvailablePurseWon",2012
24,24,"Casey Wittenberg",1,2.04,163594,8e+06,"PercentageofAvailablePurseWon",2012
25,25,"Carl Pettersson",26,2.03,3538653,174600000,"PercentageofAvailablePurseWon",2012
26,26,"Graeme McDowell",16,2,2408278,120700000,"PercentageofAvailablePurseWon",2012
27,27,"Robert Garrigus",26,1.89,3206527,169400000,"PercentageofAvailablePurseWon",2012
28,28,"Rickie Fowler",23,1.84,3066291,1.67e+08,"PercentageofAvailablePurseWon",2012
28,28,"Ryan Moore",24,1.84,2858942,155500000,"PercentageofAvailablePurseWon",2012
30,30,"Jonas Blixt",21,1.83,2255693,123300000,"PercentageofAvailablePurseWon",2012
31,31,"Peter Hanson",11,1.78,1511220,84900000,"PercentageofAvailablePurseWon",2012
31,31,"Bo Van Pelt",24,1.78,3043506,171300000,"PercentageofAvailablePurseWon",2012
33,33,"Nick Watney",26,1.68,3044221,181400000,"PercentageofAvailablePurseWon",2012
34,34,"Luke Guthrie",4,1.56,284672,18200000,"PercentageofAvailablePurseWon",2012
35,35,"John Huh",28,1.5,2692112,179400000,"PercentageofAvailablePurseWon",2012
36,36,"Ian Poulter",15,1.49,1715270,115500000,"PercentageofAvailablePurseWon",2012
37,37,"Scott Piercy",28,1.48,2699204,182500000,"PercentageofAvailablePurseWon",2012
38,38,"Bill Haas",23,1.44,2349948,1.63e+08,"PercentageofAvailablePurseWon",2012
39,39,"Willie Wood",1,1.4,42000,3e+06,"PercentageofAvailablePurseWon",2012
40,40,"Martin Laird",22,1.38,2172883,157100000,"PercentageofAvailablePurseWon",2012
41,41,"Matt Every",25,1.32,1972165,149400000,"PercentageofAvailablePurseWon",2012
42,42,"David Toms",19,1.28,1658427,129300000,"PercentageofAvailablePurseWon",2012
43,43,"Kyle Stanley",27,1.27,2351856,185200000,"PercentageofAvailablePurseWon",2012
44,44,"Tadd Fujikawa",1,1.26,69025,5500000,"PercentageofAvailablePurseWon",2012
44,44,"Padraig Harrington",18,1.26,1546269,122500000,"PercentageofAvailablePurseWon",2012
46,46,"Mark Wilson",25,1.25,2144778,1.71e+08,"PercentageofAvailablePurseWon",2012
47,47,"Marc Leishman",23,1.24,1933759,1.56e+08,"PercentageofAvailablePurseWon",2012
48,48,"Johnson Wagner",27,1.23,2225004,180200000,"PercentageofAvailablePurseWon",2012
49,49,"Charlie Beljan",22,1.21,1373528,113200000,"PercentageofAvailablePurseWon",2012
49,49,"Andres Gonzales",1,1.21,78780,6500000,"PercentageofAvailablePurseWon",2012
49,49,"John Senden",22,1.21,1916650,158300000,"PercentageofAvailablePurseWon",2012
52,52,"Dicky Pride",19,1.19,1259710,106100000,"PercentageofAvailablePurseWon",2012
53,53,"Kevin Na",25,1.18,2029940,171400000,"PercentageofAvailablePurseWon",2012
54,54,"Charlie Wi",25,1.14,1845394,162100000,"PercentageofAvailablePurseWon",2012
55,55,"Thorbjorn Olesen",2,1.1,176243,1.6e+07,"PercentageofAvailablePurseWon",2012
56,56,"Jonathan Byrd",21,1.09,1616789,148100000,"PercentageofAvailablePurseWon",2012
56,56,"Ben Crane",23,1.09,1701362,156600000,"PercentageofAvailablePurseWon",2012
56,56,"Brendon de Jonge",31,1.09,2015249,185600000,"PercentageofAvailablePurseWon",2012
59,59,"Jamie Donaldson",4,1.08,320333,29700000,"PercentageofAvailablePurseWon",2012
60,60,"Tim Clark",20,1.06,1407025,133300000,"PercentageofAvailablePurseWon",2012
61,61,"Bud Cauley",28,1.04,1774474,171300000,"PercentageofAvailablePurseWon",2012
61,61,"Kevin Stadler",25,1.04,1546035,149100000,"PercentageofAvailablePurseWon",2012
63,63,"Thomas Aiken",4,1.03,257179,24900000,"PercentageofAvailablePurseWon",2012
63,63,"Nicolas Colsaerts",9,1.03,677009,65900000,"PercentageofAvailablePurseWon",2012
65,65,"Steven Alker",1,0.99,79276,8e+06,"PercentageofAvailablePurseWon",2012
65,65,"Charl Schwartzel",16,0.99,1138844,115300000,"PercentageofAvailablePurseWon",2012
67,67,"Seung Yul Noh",28,0.98,1629749,166500000,"PercentageofAvailablePurseWon",2012
68,68,"Ryan Palmer",24,0.97,1501213,1.54e+08,"PercentageofAvailablePurseWon",2012
69,69,"John Rollins",26,0.95,1489154,157300000,"PercentageofAvailablePurseWon",2012
70,70,"Jason Day",17,0.94,1143231,121300000,"PercentageofAvailablePurseWon",2012
71,71,"Jimmy Walker",28,0.93,1638417,175400000,"PercentageofAvailablePurseWon",2012
72,72,"Jarrod Lyle",7,0.91,363685,39900000,"PercentageofAvailablePurseWon",2012
73,73,"Ted Potter Jr",25,0.9,1383168,153200000,"PercentageofAvailablePurseWon",2012
73,73,"Michael Thompson",25,0.9,1408372,157200000,"PercentageofAvailablePurseWon",2012
75,75,"Jeff Overton",29,0.89,1563667,176400000,"PercentageofAvailablePurseWon",2012
75,75,"Jonathan Randolph",1,0.89,26700,3e+06,"PercentageofAvailablePurseWon",2012
