"FirstTeeLatePar5ScoringAverage_RANKTHISWEEK_2010","FirstTeeLatePar5ScoringAverage_RANKLASTWEEK_2010","FirstTeeLatePar5ScoringAverage_PLAYERNAME_2010","FirstTeeLatePar5ScoringAverage_ROUNDS_2010","FirstTeeLatePar5ScoringAverage_AVG_2010","FirstTeeLatePar5ScoringAverage_TOTALSTROKES_2010","FirstTeeLatePar5ScoringAverage_TOTALHOLES_2010","stat_name","year"
1,1,"Vaughn Taylor",87,4.5,288,64,"FirstTeeLatePar5ScoringAverage",2010
2,2,"Martin Flores",75,4.51,325,72,"FirstTeeLatePar5ScoringAverage",2010
2,2,"JB Holmes",100,4.51,424,94,"FirstTeeLatePar5ScoringAverage",2010
2,2,"John Merrick",109,4.51,406,90,"FirstTeeLatePar5ScoringAverage",2010
5,5,"Ernie Els",72,4.55,487,107,"FirstTeeLatePar5ScoringAverage",2010
5,5,"Lucas Glover",75,4.55,419,92,"FirstTeeLatePar5ScoringAverage",2010
5,5,"Martin Laird",91,4.55,378,83,"FirstTeeLatePar5ScoringAverage",2010
5,5,"Kevin Sutherland",86,4.55,469,103,"FirstTeeLatePar5ScoringAverage",2010
5,5,"Mark Wilson",87,4.55,378,83,"FirstTeeLatePar5ScoringAverage",2010
10,10,"Nick Watney",91,4.56,543,119,"FirstTeeLatePar5ScoringAverage",2010
11,11,"Retief Goosen",75,4.57,398,87,"FirstTeeLatePar5ScoringAverage",2010
11,11,"Dustin Johnson",83,4.57,580,127,"FirstTeeLatePar5ScoringAverage",2010
13,13,"Jonathan Byrd",85,4.58,307,67,"FirstTeeLatePar5ScoringAverage",2010
13,13,"Tom Gillis",97,4.58,339,74,"FirstTeeLatePar5ScoringAverage",2010
13,13,"Davis Love III",79,4.58,449,98,"FirstTeeLatePar5ScoringAverage",2010
13,13,"Brandt Snedeker",89,4.58,421,92,"FirstTeeLatePar5ScoringAverage",2010
17,17,"Matt Bettencourt",91,4.59,376,82,"FirstTeeLatePar5ScoringAverage",2010
17,17,"Steve Elkington",74,4.59,363,79,"FirstTeeLatePar5ScoringAverage",2010
17,17,"Steve Stricker",73,4.59,560,122,"FirstTeeLatePar5ScoringAverage",2010
17,17,"Chris Tidland",77,4.59,321,70,"FirstTeeLatePar5ScoringAverage",2010
21,21,"Robert Allenby",76,4.6,446,97,"FirstTeeLatePar5ScoringAverage",2010
21,21,"Briny Baird",87,4.6,322,70,"FirstTeeLatePar5ScoringAverage",2010
21,21,"Angel Cabrera",64,4.6,460,100,"FirstTeeLatePar5ScoringAverage",2010
21,21,"Bill Haas",87,4.6,515,112,"FirstTeeLatePar5ScoringAverage",2010
