"TotalDrivingEfficiency_RANKTHISWEEK_2013","TotalDrivingEfficiency_RANKLASTWEEK_2013","TotalDrivingEfficiency_PLAYERNAME_2013","TotalDrivingEfficiency_ROUNDS_2013","TotalDrivingEfficiency_COMBINEDRANK_2013","TotalDrivingEfficiency_CARRYEFFICIENCYRANK_2013","TotalDrivingEfficiency_TOTALDISTEFFICRANK_2013","stat_name","year"
1,1,"Justin Rose",62,5,1,4,"TotalDrivingEfficiency",2013
2,2,"Peter Hanson",45,6,4,2,"TotalDrivingEfficiency",2013
3,3,"Vaughn Taylor",50,10,5,5,"TotalDrivingEfficiency",2013
4,4,"Billy Horschel",96,12,5,7,"TotalDrivingEfficiency",2013
5,5,"Ernie Els",63,17,2,15,"TotalDrivingEfficiency",2013
5,5,"Mark Wilson",56,17,9,8,"TotalDrivingEfficiency",2013
7,7,"Hunter Mahan",91,22,3,19,"TotalDrivingEfficiency",2013
8,8,"Nicholas Thompson",99,24,10,14,"TotalDrivingEfficiency",2013
9,9,"Nicolas Colsaerts",50,28,8,20,"TotalDrivingEfficiency",2013
10,10,"Sean OHair",56,36,5,31,"TotalDrivingEfficiency",2013
11,11,"Ben Crane",62,37,15,22,"TotalDrivingEfficiency",2013
11,11,"Brian Harman",89,37,13,24,"TotalDrivingEfficiency",2013
13,13,"David Hearn",88,38,11,27,"TotalDrivingEfficiency",2013
13,13,"Steve Stricker",51,38,35,3,"TotalDrivingEfficiency",2013
15,15,"Chez Reavie",72,40,29,11,"TotalDrivingEfficiency",2013
16,16,"Doug LaBelle II",72,41,26,15,"TotalDrivingEfficiency",2013
17,17,"Jeff Maggert",63,44,39,5,"TotalDrivingEfficiency",2013
17,17,"David Toms",49,44,16,28,"TotalDrivingEfficiency",2013
19,19,"Brian Davis",91,47,39,8,"TotalDrivingEfficiency",2013
20,20,"Bud Cauley",67,50,18,32,"TotalDrivingEfficiency",2013
20,20,"Chris Kirk",89,50,12,38,"TotalDrivingEfficiency",2013
22,22,"Zach Johnson",84,51,29,22,"TotalDrivingEfficiency",2013
23,23,"Andres Romero",63,56,13,43,"TotalDrivingEfficiency",2013
24,24,"Ryan Palmer",79,60,18,42,"TotalDrivingEfficiency",2013
24,24,"Bo Van Pelt",72,60,23,37,"TotalDrivingEfficiency",2013
26,26,"Keegan Bradley",88,65,18,47,"TotalDrivingEfficiency",2013
27,27,"Morgan Hoffmann",64,66,51,15,"TotalDrivingEfficiency",2013
28,28,"Scott Piercy",78,70,37,33,"TotalDrivingEfficiency",2013
29,29,"Dustin Johnson",71,73,33,40,"TotalDrivingEfficiency",2013
29,29,"Darron Stiles",51,73,65,8,"TotalDrivingEfficiency",2013
31,31,"Brian Gay",79,74,56,18,"TotalDrivingEfficiency",2013
32,32,"Tim Clark",64,75,74,1,"TotalDrivingEfficiency",2013
32,32,"David Lynn",70,75,62,13,"TotalDrivingEfficiency",2013
32,32,"Michael Thompson",66,75,41,34,"TotalDrivingEfficiency",2013
35,35,"Kevin Stadler",83,83,32,51,"TotalDrivingEfficiency",2013
36,36,"Jin Park",52,84,41,43,"TotalDrivingEfficiency",2013
37,37,"Matt Every",89,86,43,43,"TotalDrivingEfficiency",2013
37,37,"Brandt Snedeker",79,86,37,49,"TotalDrivingEfficiency",2013
39,39,"Carl Pettersson",82,88,48,40,"TotalDrivingEfficiency",2013
40,40,"Henrik Stenson",65,93,35,58,"TotalDrivingEfficiency",2013
41,41,"Steven Bowditch",67,99,31,68,"TotalDrivingEfficiency",2013
42,42,"Russell Henley",80,101,21,80,"TotalDrivingEfficiency",2013
43,43,"Ian Poulter",59,103,91,12,"TotalDrivingEfficiency",2013
44,44,"Scott Stallings",79,104,23,81,"TotalDrivingEfficiency",2013
45,45,"Brian Stuard",78,111,48,63,"TotalDrivingEfficiency",2013
46,46,"Scott Gardiner",61,114,56,58,"TotalDrivingEfficiency",2013
46,46,"Brendan Steele",86,114,54,60,"TotalDrivingEfficiency",2013
48,48,"Ryan Moore",72,115,94,21,"TotalDrivingEfficiency",2013
48,48,"Jordan Spieth",82,115,86,29,"TotalDrivingEfficiency",2013
50,50,"Casey Wittenberg",72,117,56,61,"TotalDrivingEfficiency",2013
51,51,"Josh Teater",86,118,21,97,"TotalDrivingEfficiency",2013
52,52,"Jonas Blixt",76,120,43,77,"TotalDrivingEfficiency",2013
52,52,"Martin Laird",68,120,25,95,"TotalDrivingEfficiency",2013
54,54,"Rory Sabbatini",86,123,26,97,"TotalDrivingEfficiency",2013
55,55,"Phil Mickelson",78,126,71,55,"TotalDrivingEfficiency",2013
56,56,"James Hahn",78,129,26,103,"TotalDrivingEfficiency",2013
57,57,"Kyle Stanley",71,130,46,84,"TotalDrivingEfficiency",2013
58,58,"Lee Williams",62,134,88,46,"TotalDrivingEfficiency",2013
59,59,"Daniel Summerhays",83,136,112,24,"TotalDrivingEfficiency",2013
60,60,"Aaron Watkins",46,137,76,61,"TotalDrivingEfficiency",2013
61,61,"Jason Day",86,138,16,122,"TotalDrivingEfficiency",2013
61,61,"Justin Leonard",86,138,109,29,"TotalDrivingEfficiency",2013
63,63,"Scott Brown",65,141,71,70,"TotalDrivingEfficiency",2013
63,63,"DJ Trahan",48,141,107,34,"TotalDrivingEfficiency",2013
63,63,"Lee Westwood",70,141,68,73,"TotalDrivingEfficiency",2013
66,66,"John Huh",88,143,88,55,"TotalDrivingEfficiency",2013
67,67,"Shawn Stefani",63,145,54,91,"TotalDrivingEfficiency",2013
68,68,"JJ Henry",83,147,59,88,"TotalDrivingEfficiency",2013
68,68,"Charley Hoffman",84,147,70,77,"TotalDrivingEfficiency",2013
68,68,"Troy Matteson",68,147,59,88,"TotalDrivingEfficiency",2013
71,71,"Bob Estes",66,148,114,34,"TotalDrivingEfficiency",2013
71,71,"Matt Kuchar",93,148,94,54,"TotalDrivingEfficiency",2013
73,73,"Charl Schwartzel",69,152,68,84,"TotalDrivingEfficiency",2013
74,74,"Andrew Svoboda",46,155,104,51,"TotalDrivingEfficiency",2013
75,75,"Graeme McDowell",53,156,93,63,"TotalDrivingEfficiency",2013
75,75,"Geoff Ogilvy",57,156,48,108,"TotalDrivingEfficiency",2013
77,77,"Boo Weekley",100,158,107,51,"TotalDrivingEfficiency",2013
78,78,"Tommy Gainey",84,159,51,108,"TotalDrivingEfficiency",2013
78,78,"David Lingmerth",68,159,71,88,"TotalDrivingEfficiency",2013
80,80,"John Merrick",79,162,138,24,"TotalDrivingEfficiency",2013
80,80,"Vijay Singh",61,162,94,68,"TotalDrivingEfficiency",2013
82,82,"Jason Kokrak",78,167,104,63,"TotalDrivingEfficiency",2013
83,83,"Padraig Harrington",52,168,62,106,"TotalDrivingEfficiency",2013
83,83,"DA Points",87,168,129,39,"TotalDrivingEfficiency",2013
85,85,"Bryce Molder",82,171,122,49,"TotalDrivingEfficiency",2013
85,85,"Tiger Woods",61,171,33,138,"TotalDrivingEfficiency",2013
87,87,"John Rollins",77,172,77,95,"TotalDrivingEfficiency",2013
88,88,"Cameron Percy",68,173,103,70,"TotalDrivingEfficiency",2013
88,88,"Chris Stroud",88,173,51,122,"TotalDrivingEfficiency",2013
90,90,"Justin Bolli",59,174,82,92,"TotalDrivingEfficiency",2013
91,91,"Ben Curtis",59,175,94,81,"TotalDrivingEfficiency",2013
92,92,"Brandt Jobe",62,176,74,102,"TotalDrivingEfficiency",2013
93,93,"Henrik Norlander",70,177,43,134,"TotalDrivingEfficiency",2013
93,93,"Charlie Wi",75,177,114,63,"TotalDrivingEfficiency",2013
95,95,"Tim Herron",45,178,77,101,"TotalDrivingEfficiency",2013
96,96,"Rory McIlroy",56,179,64,115,"TotalDrivingEfficiency",2013
97,97,"Jim Herman",59,182,119,63,"TotalDrivingEfficiency",2013
98,98,"Lucas Glover",65,183,110,73,"TotalDrivingEfficiency",2013
99,99,"Rickie Fowler",75,185,65,120,"TotalDrivingEfficiency",2013
100,100,"YE Yang",56,193,116,77,"TotalDrivingEfficiency",2013
101,101,"Alistair Presnell",59,195,98,97,"TotalDrivingEfficiency",2013
102,102,"Bill Haas",85,197,82,115,"TotalDrivingEfficiency",2013
103,103,"Robert Allenby",58,198,77,121,"TotalDrivingEfficiency",2013
104,104,"Kevin Chappell",80,199,88,111,"TotalDrivingEfficiency",2013
105,105,"Jerry Kelly",75,200,130,70,"TotalDrivingEfficiency",2013
105,105,"Kevin Streelman",86,200,127,73,"TotalDrivingEfficiency",2013
107,107,"David Mathis",71,202,110,92,"TotalDrivingEfficiency",2013
108,108,"Graham DeLaet",94,205,46,159,"TotalDrivingEfficiency",2013
109,109,"Erik Compton",74,208,116,92,"TotalDrivingEfficiency",2013
