"StrokesGainedTeetoGreen_RANKTHISWEEK_2009","StrokesGainedTeetoGreen_RANKLASTWEEK_2009","StrokesGainedTeetoGreen_PLAYERNAME_2009","StrokesGainedTeetoGreen_ROUNDS_2009","StrokesGainedTeetoGreen_AVERAGE_2009","StrokesGainedTeetoGreen_TOTALSGT2G_2009","StrokesGainedTeetoGreen_SGTOTAL_2009","StrokesGainedTeetoGreen_TOTALSGP_2009","StrokesGainedTeetoGreen_MEASUREDROUNDS_2009","stat_name","year"
1,1,"Tiger Woods",64,2.312,110.998,153.06,42.062,48,"StrokesGainedTeetoGreen",2009
2,2,"Robert Allenby",71,1.623,90.908,55.293,-35.615,56,"StrokesGainedTeetoGreen",2009
3,3,"Steve Stricker",81,1.62,100.432,113.105,12.673,62,"StrokesGainedTeetoGreen",2009
4,4,"Ernie Els",70,1.311,70.781,49.738,-21.043,54,"StrokesGainedTeetoGreen",2009
5,5,"Sean OHair",80,1.299,75.336,67.8,-7.536,58,"StrokesGainedTeetoGreen",2009
6,6,"Zach Johnson",94,1.158,91.498,121.529,30.031,79,"StrokesGainedTeetoGreen",2009
7,7,"Ian Poulter",59,1.123,47.165,50.648,3.483,42,"StrokesGainedTeetoGreen",2009
8,8,"David Toms",98,1.056,84.496,92.395,7.899,80,"StrokesGainedTeetoGreen",2009
9,9,"Jonathan Byrd",89,1.036,81.843,47.408,-34.435,79,"StrokesGainedTeetoGreen",2009
10,10,"Boo Weekley",79,1.032,67.049,32.849,-34.2,65,"StrokesGainedTeetoGreen",2009
11,11,"Camilo Villegas",76,0.993,55.608,44.014,-11.594,56,"StrokesGainedTeetoGreen",2009
12,12,"Rory Sabbatini",81,0.977,65.489,44.149,-21.34,67,"StrokesGainedTeetoGreen",2009
13,13,"John Senden",100,0.967,88.977,93.102,4.125,92,"StrokesGainedTeetoGreen",2009
14,14,"Jim Furyk",86,0.951,61.797,107.89,46.093,65,"StrokesGainedTeetoGreen",2009
15,15,"Tim Clark",81,0.947,55.845,72.189,16.344,59,"StrokesGainedTeetoGreen",2009
16,16,"Kenny Perry",92,0.938,68.457,87.976,19.519,73,"StrokesGainedTeetoGreen",2009
17,17,"Steve Marino",98,0.869,73.011,81.798,8.787,84,"StrokesGainedTeetoGreen",2009
18,18,"Scott Verplank",88,0.853,67.401,69.887,2.486,79,"StrokesGainedTeetoGreen",2009
19,19,"Nick Watney",86,0.845,57.457,73.204,15.747,68,"StrokesGainedTeetoGreen",2009
20,20,"Phil Mickelson",66,0.844,40.506,33.563,-6.943,48,"StrokesGainedTeetoGreen",2009
21,21,"Justin Leonard",95,0.842,63.17,70.087,6.917,75,"StrokesGainedTeetoGreen",2009
22,22,"Sergio Garcia",59,0.832,36.592,33.566,-3.026,44,"StrokesGainedTeetoGreen",2009
23,23,"Hunter Mahan",94,0.812,60.877,91.572,30.695,75,"StrokesGainedTeetoGreen",2009
24,24,"Vijay Singh",71,0.776,39.58,6.073,-33.507,51,"StrokesGainedTeetoGreen",2009
25,25,"Dustin Johnson",85,0.769,49.205,51.269,2.064,64,"StrokesGainedTeetoGreen",2009
25,25,"Tom Lehman",55,0.769,26.918,8.342,-18.576,35,"StrokesGainedTeetoGreen",2009
27,27,"Davis Love III",89,0.746,57.407,36.206,-21.201,77,"StrokesGainedTeetoGreen",2009
28,28,"Padraig Harrington",66,0.696,33.385,55.831,22.446,48,"StrokesGainedTeetoGreen",2009
29,29,"Rocco Mediate",79,0.687,45.314,10.691,-34.623,66,"StrokesGainedTeetoGreen",2009
30,30,"Fred Couples",54,0.671,28.183,13.801,-14.382,42,"StrokesGainedTeetoGreen",2009
31,31,"Jason Bohn",88,0.663,54.332,23.138,-31.194,82,"StrokesGainedTeetoGreen",2009
32,32,"DJ Trahan",96,0.627,50.127,16.494,-33.633,80,"StrokesGainedTeetoGreen",2009
33,33,"Briny Baird",89,0.615,44.265,20.233,-24.032,72,"StrokesGainedTeetoGreen",2009
34,34,"Jason Dufner",90,0.61,47.572,45.408,-2.164,78,"StrokesGainedTeetoGreen",2009
