"AveragePuttingDistanceAll3putts_RANKTHISWEEK_2005","AveragePuttingDistanceAll3putts_RANKLASTWEEK_2005","AveragePuttingDistanceAll3putts_PLAYERNAME_2005","AveragePuttingDistanceAll3putts_ROUNDS_2005","AveragePuttingDistanceAll3putts_AVG_2005","AveragePuttingDistanceAll3putts_DISTANCEFEET_2005","AveragePuttingDistanceAll3putts_TOTALPUTTS_2005","stat_name","year"
1,1,"John Senden",101,NA,2031.333,40,"AveragePuttingDistanceAll3putts",2005
2,2,"Jesper Parnevik",84,NA,955,19,"AveragePuttingDistanceAll3putts",2005
3,3,"Jay Haas",54,NA,817.667,17,"AveragePuttingDistanceAll3putts",2005
4,4,"Larry Mize",54,NA,1188,25,"AveragePuttingDistanceAll3putts",2005
5,5,"Jeff Brehaut",71,NA,1182.833,25,"AveragePuttingDistanceAll3putts",2005
6,6,"Kevin Sutherland",89,NA,2126.75,45,"AveragePuttingDistanceAll3putts",2005
7,7,"Shaun Micheel",81,NA,1712.917,37,"AveragePuttingDistanceAll3putts",2005
8,8,"Len Mattiace",86,NA,1662.667,36,"AveragePuttingDistanceAll3putts",2005
8,8,"Bob Tway",87,NA,1153.833,25,"AveragePuttingDistanceAll3putts",2005
10,10,"Jim Furyk",94,NA,1521.083,33,"AveragePuttingDistanceAll3putts",2005
11,11,"Ben Curtis",65,NA,1138.417,25,"AveragePuttingDistanceAll3putts",2005
12,12,"James Driscoll",73,NA,1314,29,"AveragePuttingDistanceAll3putts",2005
13,13,"Bart Bryant",91,NA,1625.667,36,"AveragePuttingDistanceAll3putts",2005
14,14,"Jonathan Kaye",77,NA,1528.5,34,"AveragePuttingDistanceAll3putts",2005
15,15,"Luke Donald",67,NA,760.5,17,"AveragePuttingDistanceAll3putts",2005
15,15,"Joey Sindelar",104,NA,2504.75,56,"AveragePuttingDistanceAll3putts",2005
17,17,"Ted Purdy",122,NA,2896.5,65,"AveragePuttingDistanceAll3putts",2005
18,18,"John Elliott",58,NA,1336,30,"AveragePuttingDistanceAll3putts",2005
19,19,"Brad Faxon",75,NA,797.5,18,"AveragePuttingDistanceAll3putts",2005
19,19,"Chris Smith",93,NA,2880.333,65,"AveragePuttingDistanceAll3putts",2005
19,19,"Lee Westwood",50,NA,974.583,22,"AveragePuttingDistanceAll3putts",2005
22,22,"Rocco Mediate",73,NA,2169.083,49,"AveragePuttingDistanceAll3putts",2005
23,23,"John Cook",72,NA,882.917,20,"AveragePuttingDistanceAll3putts",2005
23,23,"Bill Glasson",54,NA,1060.083,24,"AveragePuttingDistanceAll3putts",2005
23,23,"Todd Hamilton",94,NA,1412.5,32,"AveragePuttingDistanceAll3putts",2005
