"DistancefromEdgeofFairway_RANKTHISWEEK_2014","DistancefromEdgeofFairway_RANKLASTWEEK_2014","DistancefromEdgeofFairway_PLAYERNAME_2014","DistancefromEdgeofFairway_EVENTS_2014","DistancefromEdgeofFairway_AVG_2014","DistancefromEdgeofFairway_TOTALDISTANCEFEET_2014","DistancefromEdgeofFairway_TOTALSTROKES_2014","stat_name","year"
1,1,"Justin Hicks",30,NA,5728.667,321,"DistancefromEdgeofFairway",2014
2,2,"Heath Slocum",23,NA,4154.583,222,"DistancefromEdgeofFairway",2014
3,3,"Jim Furyk",21,NA,4982.5,254,"DistancefromEdgeofFairway",2014
4,4,"Tim Clark",26,NA,4259.25,214,"DistancefromEdgeofFairway",2014
5,5,"Billy Hurley III",26,NA,5691.667,284,"DistancefromEdgeofFairway",2014
6,6,"Boo Weekley",24,NA,4722.083,235,"DistancefromEdgeofFairway",2014
7,7,"David Toms",20,NA,3767.833,186,"DistancefromEdgeofFairway",2014
8,8,"Jason Dufner",17,NA,4274.167,210,"DistancefromEdgeofFairway",2014
9,9,"Zach Johnson",26,NA,7014.25,336,"DistancefromEdgeofFairway",2014
10,10,"Brendon Todd",29,NA,9350.083,445,"DistancefromEdgeofFairway",2014
11,11,"Ryan Moore",24,NA,5316.75,252,"DistancefromEdgeofFairway",2014
12,12,"Kevin Streelman",24,NA,5224.583,247,"DistancefromEdgeofFairway",2014
13,13,"Daniel Summerhays",27,NA,8333.75,390,"DistancefromEdgeofFairway",2014
14,14,"Ken Duke",25,NA,5632.333,263,"DistancefromEdgeofFairway",2014
15,15,"Russell Knox",26,NA,7762.083,361,"DistancefromEdgeofFairway",2014
16,16,"Scott Langley",29,NA,9073.5,419,"DistancefromEdgeofFairway",2014
16,16,"Jeff Maggert",19,NA,4313.583,199,"DistancefromEdgeofFairway",2014
16,16,"Brian Stuard",29,NA,7353.25,340,"DistancefromEdgeofFairway",2014
19,19,"Justin Leonard",22,NA,6623.75,303,"DistancefromEdgeofFairway",2014
20,20,"Kevin Stadler",26,NA,6363.667,290,"DistancefromEdgeofFairway",2014
21,21,"Nicholas Thompson",30,NA,6610.417,301,"DistancefromEdgeofFairway",2014
22,22,"Ted Potter Jr",24,NA,5555.75,252,"DistancefromEdgeofFairway",2014
23,23,"Graeme McDowell",17,NA,4256.417,192,"DistancefromEdgeofFairway",2014
24,24,"Chad Campbell",18,NA,4935.167,222,"DistancefromEdgeofFairway",2014
24,24,"Jerry Kelly",23,NA,6731.333,303,"DistancefromEdgeofFairway",2014
26,26,"Brian Davis",28,NA,7888.5,352,"DistancefromEdgeofFairway",2014
26,26,"DH Lee",20,NA,4510.5,201,"DistancefromEdgeofFairway",2014
28,28,"Spencer Levin",20,NA,5536.167,246,"DistancefromEdgeofFairway",2014
29,29,"Brian Gay",26,NA,7320.167,321,"DistancefromEdgeofFairway",2014
30,30,"John Merrick",25,NA,6842.417,298,"DistancefromEdgeofFairway",2014
31,31,"Sangmoon Bae",24,NA,7792.667,335,"DistancefromEdgeofFairway",2014
31,31,"Brandt Snedeker",25,NA,7203.167,310,"DistancefromEdgeofFairway",2014
33,33,"Nick Watney",25,NA,6239.333,267,"DistancefromEdgeofFairway",2014
34,34,"Billy Horschel",27,NA,7092.417,303,"DistancefromEdgeofFairway",2014
34,34,"John Huh",28,NA,7062.583,302,"DistancefromEdgeofFairway",2014
36,36,"William McGirt",29,NA,9150.167,390,"DistancefromEdgeofFairway",2014
37,37,"Hunter Mahan",25,NA,7804.917,331,"DistancefromEdgeofFairway",2014
37,37,"Chris Stroud",25,NA,8242.417,349,"DistancefromEdgeofFairway",2014
39,39,"Kevin Na",27,NA,8796.917,372,"DistancefromEdgeofFairway",2014
40,40,"Scott Brown",30,NA,8786.083,369,"DistancefromEdgeofFairway",2014
40,40,"Brian Harman",32,NA,12328.667,517,"DistancefromEdgeofFairway",2014
42,42,"Derek Ernst",28,NA,7099.583,297,"DistancefromEdgeofFairway",2014
42,42,"Rory McIlroy",17,NA,5976.5,250,"DistancefromEdgeofFairway",2014
42,42,"John Peterson",25,NA,6196.333,259,"DistancefromEdgeofFairway",2014
45,45,"Brendon de Jonge",31,NA,9589.083,399,"DistancefromEdgeofFairway",2014
46,46,"Jason Bohn",25,NA,8233.583,342,"DistancefromEdgeofFairway",2014
46,46,"Danny Lee",28,NA,7752.5,322,"DistancefromEdgeofFairway",2014
48,48,"Ben Curtis",24,NA,7144.75,296,"DistancefromEdgeofFairway",2014
49,49,"Matt Kuchar",24,NA,8163.667,337,"DistancefromEdgeofFairway",2014
50,50,"KJ Choi",23,NA,7449.083,304,"DistancefromEdgeofFairway",2014
50,50,"Josh Teater",28,NA,9469.25,386,"DistancefromEdgeofFairway",2014
52,52,"Stuart Appleby",29,NA,10858.833,442,"DistancefromEdgeofFairway",2014
52,52,"Ben Martin",26,NA,7227.417,294,"DistancefromEdgeofFairway",2014
52,52,"Mark Wilson",25,NA,6340.25,258,"DistancefromEdgeofFairway",2014
55,55,"Martin Kaymer",19,NA,5925.667,240,"DistancefromEdgeofFairway",2014
55,55,"Bronson La Cassie",18,NA,4933.667,200,"DistancefromEdgeofFairway",2014
55,55,"Hideki Matsuyama",24,NA,8288.5,336,"DistancefromEdgeofFairway",2014
55,55,"John Senden",27,NA,9536.667,386,"DistancefromEdgeofFairway",2014
59,59,"Carl Pettersson",28,NA,11248.167,454,"DistancefromEdgeofFairway",2014
60,60,"Andrew Svoboda",24,NA,7552.417,303,"DistancefromEdgeofFairway",2014
61,61,"Woody Austin",22,NA,7428.167,297,"DistancefromEdgeofFairway",2014
62,62,"Cameron Tringale",31,NA,11711.167,467,"DistancefromEdgeofFairway",2014
63,63,"YE Yang",28,NA,7161.667,285,"DistancefromEdgeofFairway",2014
64,64,"Chesson Hadley",29,NA,9871.5,391,"DistancefromEdgeofFairway",2014
65,65,"Ben Crane",25,NA,8808.833,347,"DistancefromEdgeofFairway",2014
65,65,"Chris Kirk",28,NA,11193.167,440,"DistancefromEdgeofFairway",2014
67,67,"Justin Rose",19,NA,7476.083,293,"DistancefromEdgeofFairway",2014
68,68,"Ryan Palmer",23,NA,9243.333,361,"DistancefromEdgeofFairway",2014
69,69,"Chad Collins",28,NA,8525.667,332,"DistancefromEdgeofFairway",2014
69,69,"Lucas Glover",26,NA,5615.75,219,"DistancefromEdgeofFairway",2014
71,71,"Keegan Bradley",26,NA,8470.083,329,"DistancefromEdgeofFairway",2014
72,72,"Kyle Stanley",28,NA,9144.083,354,"DistancefromEdgeofFairway",2014
72,72,"Tim Wilkinson",25,NA,10414.833,403,"DistancefromEdgeofFairway",2014
74,74,"Wes Roach",22,NA,6664.667,257,"DistancefromEdgeofFairway",2014
75,75,"Louis Oosthuizen",16,NA,4035.083,155,"DistancefromEdgeofFairway",2014
75,75,"Ian Poulter",17,NA,5671.833,218,"DistancefromEdgeofFairway",2014
75,75,"Charl Schwartzel",18,NA,7463,287,"DistancefromEdgeofFairway",2014
78,78,"Richard Lee",27,NA,8358.25,320,"DistancefromEdgeofFairway",2014
79,79,"Briny Baird",17,NA,5734.417,219,"DistancefromEdgeofFairway",2014
79,79,"Russell Henley",29,NA,9077.833,347,"DistancefromEdgeofFairway",2014
81,81,"JJ Henry",28,NA,9898.333,377,"DistancefromEdgeofFairway",2014
81,81,"Will Ma Kenzie",27,NA,9165.25,349,"DistancefromEdgeofFairway",2014
81,81,"George McNeill",24,NA,9135.333,348,"DistancefromEdgeofFairway",2014
81,81,"Troy Merritt",20,NA,7016,267,"DistancefromEdgeofFairway",2014
85,85,"Bryce Molder",25,NA,9176.417,348,"DistancefromEdgeofFairway",2014
85,85,"Geoff Ogilvy",26,NA,10640.083,404,"DistancefromEdgeofFairway",2014
87,87,"Charlie Wi",25,NA,9511.25,360,"DistancefromEdgeofFairway",2014
88,88,"Brendan Steele",26,NA,10425.417,392,"DistancefromEdgeofFairway",2014
89,89,"Webb Simpson",25,NA,9640.417,362,"DistancefromEdgeofFairway",2014
89,89,"Shawn Stefani",17,NA,7194.5,270,"DistancefromEdgeofFairway",2014
89,89,"Hudson Swafford",26,NA,7583.083,284,"DistancefromEdgeofFairway",2014
92,92,"Jim Herman",21,NA,6574.333,246,"DistancefromEdgeofFairway",2014
92,92,"Jordan Spieth",27,NA,11780.333,441,"DistancefromEdgeofFairway",2014
92,92,"Will Wilcox",16,NA,5668.167,212,"DistancefromEdgeofFairway",2014
95,95,"Greg Chalmers",27,NA,11015.75,411,"DistancefromEdgeofFairway",2014
95,95,"Jeff Overton",24,NA,9974.917,372,"DistancefromEdgeofFairway",2014
95,95,"DA Points",27,NA,7504.583,280,"DistancefromEdgeofFairway",2014
95,95,"Michael Putnam",30,NA,12283.75,458,"DistancefromEdgeofFairway",2014
99,99,"James Hahn",27,NA,10078.5,375,"DistancefromEdgeofFairway",2014
99,99,"Pat Perez",25,NA,10321.75,384,"DistancefromEdgeofFairway",2014
101,101,"Marc Leishman",24,NA,10272.083,381,"DistancefromEdgeofFairway",2014
102,102,"David Hearn",28,NA,9662.167,357,"DistancefromEdgeofFairway",2014
103,103,"Charley Hoffman",25,NA,10952.5,403,"DistancefromEdgeofFairway",2014
103,103,"Lee Westwood",18,NA,6004.75,221,"DistancefromEdgeofFairway",2014
105,105,"Tommy Gainey",26,NA,8973.833,329,"DistancefromEdgeofFairway",2014
105,105,"Trevor Immelman",28,NA,10075.083,370,"DistancefromEdgeofFairway",2014
105,105,"John Rollins",28,NA,9720.333,357,"DistancefromEdgeofFairway",2014
108,108,"Jonathan Byrd",24,NA,9233.667,338,"DistancefromEdgeofFairway",2014
109,109,"David Lingmerth",26,NA,9917.833,362,"DistancefromEdgeofFairway",2014
110,110,"Kevin Chappell",28,NA,10883.917,396,"DistancefromEdgeofFairway",2014
111,111,"Ricky Barnes",27,NA,13145.333,477,"DistancefromEdgeofFairway",2014
111,111,"Luke Guthrie",26,NA,11550.917,419,"DistancefromEdgeofFairway",2014
111,111,"Adam Scott",17,NA,7781.917,282,"DistancefromEdgeofFairway",2014
114,114,"Freddie Jacobson",27,NA,12189.25,438,"DistancefromEdgeofFairway",2014
115,115,"Bill Haas",28,NA,11391.917,408,"DistancefromEdgeofFairway",2014
116,116,"Brice Garnett",28,NA,11982.25,428,"DistancefromEdgeofFairway",2014
116,116,"Johnson Wagner",24,NA,8988.583,321,"DistancefromEdgeofFairway",2014
116,116,"Bubba Watson",21,NA,7889.083,282,"DistancefromEdgeofFairway",2014
119,119,"Bo Van Pelt",25,NA,9115.167,325,"DistancefromEdgeofFairway",2014
120,120,"Davis Love III",22,NA,9893.167,350,"DistancefromEdgeofFairway",2014
121,121,"Rory Sabbatini",26,NA,11063.333,391,"DistancefromEdgeofFairway",2014
121,121,"Henrik Stenson",15,NA,4193,148,"DistancefromEdgeofFairway",2014
123,123,"Paul Casey",16,NA,6739.833,237,"DistancefromEdgeofFairway",2014
123,123,"Luke Donald",17,NA,6275.5,221,"DistancefromEdgeofFairway",2014
