"SandSavesfrom_RANKTHISWEEK_2005","SandSavesfrom_RANKLASTWEEK_2005","SandSavesfrom_PLAYERNAME_2005","SandSavesfrom_ROUNDS_2005","SandSavesfrom_Pct_2005","SandSavesfrom_OFSAVES_2005","SandSavesfrom_OFBUNKERS_2005","stat_name","year"
1,1,"Craig Barlow",81,100,5,5,"SandSavesfrom",2005
1,1,"Cameron Beckman",96,100,7,7,"SandSavesfrom",2005
1,1,"Jeff Brehaut",71,100,4,4,"SandSavesfrom",2005
1,1,"Glen Hnatiuk",59,100,3,3,"SandSavesfrom",2005
1,1,"Ryuji Imada",78,100,1,1,"SandSavesfrom",2005
1,1,"Hank Kuehne",84,100,6,6,"SandSavesfrom",2005
1,1,"Davis Love III",80,100,3,3,"SandSavesfrom",2005
1,1,"Larry Mize",54,100,1,1,"SandSavesfrom",2005
1,1,"Jose Maria Olazabal",55,100,3,3,"SandSavesfrom",2005
1,1,"Kenny Perry",82,100,5,5,"SandSavesfrom",2005
1,1,"Loren Roberts",54,100,2,2,"SandSavesfrom",2005
1,1,"Hideto Tanihara",50,100,5,5,"SandSavesfrom",2005
1,1,"Kirk Triplett",55,100,1,1,"SandSavesfrom",2005
14,14,"Geoff Ogilvy",97,88.89,8,9,"SandSavesfrom",2005
15,15,"Matt Davidson",53,87.5,7,8,"SandSavesfrom",2005
16,16,"Jose Coceres",56,85.71,6,7,"SandSavesfrom",2005
16,16,"Stephen Leaney",89,85.71,6,7,"SandSavesfrom",2005
16,16,"Phil Mickelson",81,85.71,6,7,"SandSavesfrom",2005
16,16,"Tjaart van der Walt",56,85.71,6,7,"SandSavesfrom",2005
20,20,"Rich Beem",66,83.33,5,6,"SandSavesfrom",2005
20,20,"Alex Cejka",84,83.33,10,12,"SandSavesfrom",2005
20,20,"Brett Quigley",96,83.33,5,6,"SandSavesfrom",2005
20,20,"Steve Stricker",62,83.33,5,6,"SandSavesfrom",2005
24,24,"Tom Pernice Jr",111,81.82,9,11,"SandSavesfrom",2005
24,24,"Hidemichi Tanaka",106,81.82,9,11,"SandSavesfrom",2005
26,26,"Stephen Ames",82,80,12,15,"SandSavesfrom",2005
26,26,"DJ Brigman",76,80,4,5,"SandSavesfrom",2005
26,26,"Mark Brooks",72,80,8,10,"SandSavesfrom",2005
26,26,"Brian Davis",75,80,4,5,"SandSavesfrom",2005
26,26,"Chris DiMarco",83,80,4,5,"SandSavesfrom",2005
26,26,"Luke Donald",67,80,4,5,"SandSavesfrom",2005
26,26,"Scott Hend",75,80,4,5,"SandSavesfrom",2005
26,26,"Bradley Hughes",52,80,4,5,"SandSavesfrom",2005
34,34,"Stuart Appleby",84,77.78,7,9,"SandSavesfrom",2005
34,34,"Jason Bohn",91,77.78,7,9,"SandSavesfrom",2005
34,34,"Craig Perks",67,77.78,7,9,"SandSavesfrom",2005
34,34,"Darron Stiles",78,77.78,7,9,"SandSavesfrom",2005
38,38,"Steve Allan",102,76.92,10,13,"SandSavesfrom",2005
39,39,"Jonathan Byrd",103,75,6,8,"SandSavesfrom",2005
39,39,"KJ Choi",78,75,6,8,"SandSavesfrom",2005
39,39,"John Daly",78,75,3,4,"SandSavesfrom",2005
39,39,"JP Hayes",63,75,6,8,"SandSavesfrom",2005
39,39,"Franklin Langham",91,75,9,12,"SandSavesfrom",2005
39,39,"Jeff Maggert",79,75,3,4,"SandSavesfrom",2005
39,39,"Shigeki Maruyama",99,75,6,8,"SandSavesfrom",2005
39,39,"Billy Mayfair",114,75,9,12,"SandSavesfrom",2005
39,39,"Kevin Na",88,75,6,8,"SandSavesfrom",2005
39,39,"Arron Oberholser",65,75,6,8,"SandSavesfrom",2005
39,39,"Corey Pavin",77,75,9,12,"SandSavesfrom",2005
50,50,"Brian Gay",101,73.33,11,15,"SandSavesfrom",2005
