"Par3ScoringAverage_RANKTHISWEEK_2015","Par3ScoringAverage_RANKLASTWEEK_2015","Par3ScoringAverage_PLAYERNAME_2015","Par3ScoringAverage_ROUNDS_2015","Par3ScoringAverage_AVG_2015","Par3ScoringAverage_TOTALSTROKES_2015","Par3ScoringAverage_TOTALHOLES_2015","stat_name","year"
1,1,"Jason Day",75,2.94,815,277,"Par3ScoringAverage",2015
2,2,"Jerry Kelly",79,2.97,957,322,"Par3ScoringAverage",2015
2,2,"Danny Lee",120,2.97,1445,486,"Par3ScoringAverage",2015
2,2,"Byron Smith",59,2.97,663,223,"Par3ScoringAverage",2015
2,2,"Robert Streb",110,2.97,1270,428,"Par3ScoringAverage",2015
2,2,"Johnson Wagner",68,2.97,813,274,"Par3ScoringAverage",2015
2,2,"Will Wilcox",58,2.97,665,224,"Par3ScoringAverage",2015
8,8,"Graham DeLaet",65,2.98,770,258,"Par3ScoringAverage",2015
8,8,"Billy Hurley III",83,2.98,970,325,"Par3ScoringAverage",2015
8,8,"Webb Simpson",81,2.98,911,306,"Par3ScoringAverage",2015
8,8,"Chris Stroud",84,2.98,1007,338,"Par3ScoringAverage",2015
8,8,"Bubba Watson",71,2.98,788,264,"Par3ScoringAverage",2015
13,13,"Aaron Baddeley",76,2.99,891,298,"Par3ScoringAverage",2015
13,13,"Chad Campbell",97,2.99,1179,394,"Par3ScoringAverage",2015
13,13,"Scott Piercy",90,2.99,1084,362,"Par3ScoringAverage",2015
13,13,"Jordan Spieth",91,2.99,1054,352,"Par3ScoringAverage",2015
13,13,"Tyrone Van Aswegen",58,2.99,654,219,"Par3ScoringAverage",2015
18,18,"Steven Alker",62,3,732,244,"Par3ScoringAverage",2015
18,18,"Jason Bohn",95,3,1162,387,"Par3ScoringAverage",2015
18,18,"Jonathan Byrd",69,3,797,266,"Par3ScoringAverage",2015
18,18,"Brendon de Jonge",106,3,1301,433,"Par3ScoringAverage",2015
18,18,"Rickie Fowler",76,3,840,280,"Par3ScoringAverage",2015
18,18,"Jim Herman",88,3,1069,356,"Par3ScoringAverage",2015
18,18,"Zach Johnson",90,3,1021,340,"Par3ScoringAverage",2015
18,18,"Whee Kim",71,3,839,280,"Par3ScoringAverage",2015
18,18,"Kevin Na",98,3,1137,379,"Par3ScoringAverage",2015
18,18,"David Toms",62,3,707,236,"Par3ScoringAverage",2015
28,28,"Chad Collins",79,3.01,970,322,"Par3ScoringAverage",2015
28,28,"Jim Furyk",71,3.01,761,253,"Par3ScoringAverage",2015
28,28,"Mark Hubbard",79,3.01,945,314,"Par3ScoringAverage",2015
28,28,"Michael Putnam",87,3.01,1051,349,"Par3ScoringAverage",2015
28,28,"Justin Rose",69,3.01,777,258,"Par3ScoringAverage",2015
28,28,"Henrik Stenson",63,3.01,710,236,"Par3ScoringAverage",2015
28,28,"Brendon Todd",96,3.01,1105,367,"Par3ScoringAverage",2015
35,35,"Sangmoon Bae",98,3.02,1188,393,"Par3ScoringAverage",2015
35,35,"Ricky Barnes",82,3.02,964,319,"Par3ScoringAverage",2015
35,35,"Zac Blair",108,3.02,1278,423,"Par3ScoringAverage",2015
35,35,"Scott Brown",97,3.02,1193,395,"Par3ScoringAverage",2015
35,35,"Tony Finau",106,3.02,1303,431,"Par3ScoringAverage",2015
35,35,"Retief Goosen",81,3.02,923,306,"Par3ScoringAverage",2015
35,35,"Jason Gore",76,3.02,879,291,"Par3ScoringAverage",2015
35,35,"David Hearn",97,3.02,1178,390,"Par3ScoringAverage",2015
35,35,"Colt Knost",90,3.02,1062,352,"Par3ScoringAverage",2015
35,35,"Russell Knox",96,3.02,1162,385,"Par3ScoringAverage",2015
35,35,"Martin Laird",77,3.02,952,315,"Par3ScoringAverage",2015
35,35,"George McNeill",93,3.02,1136,376,"Par3ScoringAverage",2015
35,35,"Jeff Overton",94,3.02,1137,377,"Par3ScoringAverage",2015
35,35,"Nick Taylor",91,3.02,1105,366,"Par3ScoringAverage",2015
49,49,"Eric Axley",57,3.03,676,223,"Par3ScoringAverage",2015
49,49,"Daniel Berger",97,3.03,1184,391,"Par3ScoringAverage",2015
49,49,"Erik Compton",86,3.03,1064,351,"Par3ScoringAverage",2015
49,49,"Jon Curran",83,3.03,985,325,"Par3ScoringAverage",2015
49,49,"Harris English",105,3.03,1239,409,"Par3ScoringAverage",2015
49,49,"Brice Garnett",81,3.03,968,320,"Par3ScoringAverage",2015
49,49,"Fabian Gomez",83,3.03,1018,336,"Par3ScoringAverage",2015
49,49,"Luke Guthrie",84,3.03,1018,336,"Par3ScoringAverage",2015
49,49,"James Hahn",94,3.03,1147,378,"Par3ScoringAverage",2015
49,49,"John Huh",102,3.03,1256,414,"Par3ScoringAverage",2015
49,49,"Kevin Kisner",104,3.03,1265,418,"Par3ScoringAverage",2015
49,49,"Ben Martin",93,3.03,1056,348,"Par3ScoringAverage",2015
49,49,"William McGirt",103,3.03,1262,416,"Par3ScoringAverage",2015
49,49,"Bryce Molder",91,3.03,1075,355,"Par3ScoringAverage",2015
49,49,"Ryan Moore",81,3.03,937,309,"Par3ScoringAverage",2015
49,49,"SJ Park",79,3.03,963,318,"Par3ScoringAverage",2015
49,49,"Cameron Percy",72,3.03,864,285,"Par3ScoringAverage",2015
49,49,"Alex Prugh",84,3.03,987,326,"Par3ScoringAverage",2015
49,49,"Andrew Putnam",68,3.03,786,259,"Par3ScoringAverage",2015
49,49,"Patrick Reed",103,3.03,1196,395,"Par3ScoringAverage",2015
49,49,"Kyle Reifers",96,3.03,1136,375,"Par3ScoringAverage",2015
49,49,"Vijay Singh",78,3.03,969,320,"Par3ScoringAverage",2015
49,49,"Shawn Stefani",94,3.03,1159,382,"Par3ScoringAverage",2015
49,49,"Daniel Summerhays",101,3.03,1242,410,"Par3ScoringAverage",2015
49,49,"Justin Thomas",106,3.03,1310,433,"Par3ScoringAverage",2015
49,49,"Cameron Tringale",96,3.03,1158,382,"Par3ScoringAverage",2015
49,49,"Bo Van Pelt",81,3.03,976,322,"Par3ScoringAverage",2015
49,49,"Mark Wilson",89,3.03,1049,346,"Par3ScoringAverage",2015
77,77,"Steven Bowditch",103,3.04,1237,407,"Par3ScoringAverage",2015
77,77,"Alex Cejka",94,3.04,1140,375,"Par3ScoringAverage",2015
77,77,"Greg Chalmers",58,3.04,656,216,"Par3ScoringAverage",2015
77,77,"Luke Donald",71,3.04,854,281,"Par3ScoringAverage",2015
77,77,"Sergio Garcia",59,3.04,657,216,"Par3ScoringAverage",2015
77,77,"Russell Henley",87,3.04,993,327,"Par3ScoringAverage",2015
77,77,"JJ Henry",94,3.04,1113,366,"Par3ScoringAverage",2015
77,77,"Max Homa",78,3.04,916,301,"Par3ScoringAverage",2015
77,77,"Marc Leishman",74,3.04,836,275,"Par3ScoringAverage",2015
77,77,"Bill Lunde",50,3.04,572,188,"Par3ScoringAverage",2015
77,77,"Troy Merritt",91,3.04,1128,371,"Par3ScoringAverage",2015
