"LeftRoughTendencyRTPScore_RANKTHISWEEK_2016","LeftRoughTendencyRTPScore_RANKLASTWEEK_2016","LeftRoughTendencyRTPScore_PLAYERNAME_2016","LeftRoughTendencyRTPScore_ROUNDS_2016","LeftRoughTendencyRTPScore_RTPSCORE_2016","stat_name","year"
1,1,"Branden Grace",31,-0.29,"LeftRoughTendencyRTPScore",2016
2,3,"Brooks Koepka",39,-0.2,"LeftRoughTendencyRTPScore",2016
2,2,"Henrik Stenson",30,-0.2,"LeftRoughTendencyRTPScore",2016
4,7,"Smylie Kaufman",57,-0.15,"LeftRoughTendencyRTPScore",2016
4,6,"Scott Langley",41,-0.15,"LeftRoughTendencyRTPScore",2016
6,5,"Gary Woodland",45,-0.145,"LeftRoughTendencyRTPScore",2016
7,8,"Jason Dufner",53,-0.139,"LeftRoughTendencyRTPScore",2016
8,11,"Tony Finau",49,-0.128,"LeftRoughTendencyRTPScore",2016
9,16,"Rickie Fowler",42,-0.123,"LeftRoughTendencyRTPScore",2016
10,12,"Sergio Garcia",28,-0.121,"LeftRoughTendencyRTPScore",2016
11,31,"Phil Mickelson",37,-0.111,"LeftRoughTendencyRTPScore",2016
11,13,"Bryce Molder",50,-0.111,"LeftRoughTendencyRTPScore",2016
11,13,"Ryan Palmer",46,-0.111,"LeftRoughTendencyRTPScore",2016
14,8,"Luke List",51,-0.103,"LeftRoughTendencyRTPScore",2016
15,17,"KJ Choi",47,-0.102,"LeftRoughTendencyRTPScore",2016
16,20,"Jordan Spieth",34,-0.095,"LeftRoughTendencyRTPScore",2016
17,3,"Rory McIlroy",37,-0.093,"LeftRoughTendencyRTPScore",2016
18,23,"Bernd Wiesberger",23,-0.091,"LeftRoughTendencyRTPScore",2016
19,22,"Andres Gonzales",46,-0.088,"LeftRoughTendencyRTPScore",2016
20,20,"Thomas Aiken",42,-0.083,"LeftRoughTendencyRTPScore",2016
20,25,"Andres Romero",22,-0.083,"LeftRoughTendencyRTPScore",2016
22,28,"Bubba Watson",30,-0.081,"LeftRoughTendencyRTPScore",2016
