"ConsecutiveCuts_RANKTHISWEEK_2005","ConsecutiveCuts_RANKLASTWEEK_2005","ConsecutiveCuts_PLAYERNAME_2005","ConsecutiveCuts__2005","ConsecutiveCuts_TOTAL_2005","ConsecutiveCuts_STARTTOURNAMENTID_2005","stat_name","year"
1,1,"Ernie Els",NA,24,2004130,"ConsecutiveCuts",2005
2,2,"Luke Donald",NA,15,2005060,"ConsecutiveCuts",2005
3,3,"Adam Scott",NA,14,2005120,"ConsecutiveCuts",2005
4,4,"Ben Crane",NA,11,2005290,"ConsecutiveCuts",2005
5,5,"Paul McGinley",NA,10,2004300,"ConsecutiveCuts",2005
5,5,"Kenny Perry",NA,10,2005230,"ConsecutiveCuts",2005
5,5,"Ted Purdy",NA,10,2005320,"ConsecutiveCuts",2005
8,8,"Chad Campbell",NA,9,2005310,"ConsecutiveCuts",2005
8,8,"Marco Dawson",NA,9,2005370,"ConsecutiveCuts",2005
8,8,"Retief Goosen",NA,9,2005240,"ConsecutiveCuts",2005
11,11,"Bart Bryant",NA,8,2005360,"ConsecutiveCuts",2005
11,11,"Michael Campbell",NA,8,2004300,"ConsecutiveCuts",2005
11,11,"Mark Hensby",NA,8,2005250,"ConsecutiveCuts",2005
11,11,"Tim Herron",NA,8,2005350,"ConsecutiveCuts",2005
11,11,"Steve Lowery",NA,8,2005380,"ConsecutiveCuts",2005
11,11,"Tom Pernice Jr",NA,8,2005380,"ConsecutiveCuts",2005
11,11,"Carl Pettersson",NA,8,2005380,"ConsecutiveCuts",2005
18,18,"Jonathan Byrd",NA,7,2005380,"ConsecutiveCuts",2005
18,18,"Peter Lonard",NA,7,2005360,"ConsecutiveCuts",2005
18,18,"Shigeki Maruyama",NA,7,2005400,"ConsecutiveCuts",2005
21,21,"Stuart Appleby",NA,6,2005400,"ConsecutiveCuts",2005
21,21,"Gavin Coles",NA,6,2005410,"ConsecutiveCuts",2005
21,21,"Gary Evans",NA,6,1998295,"ConsecutiveCuts",2005
21,21,"Harrison Frazar",NA,6,2005380,"ConsecutiveCuts",2005
21,21,"Charles Howell III",NA,6,2005410,"ConsecutiveCuts",2005
21,21,"Tom Lehman",NA,6,2005360,"ConsecutiveCuts",2005
21,21,"Justin Leonard",NA,6,2005360,"ConsecutiveCuts",2005
21,21,"John Senden",NA,6,2005380,"ConsecutiveCuts",2005
21,21,"Heath Slocum",NA,6,2005400,"ConsecutiveCuts",2005
21,21,"Hidemichi Tanaka",NA,6,2005410,"ConsecutiveCuts",2005
21,21,"Doug Tewell",NA,6,1999230,"ConsecutiveCuts",2005
32,32,"Fred Funk",NA,5,2005390,"ConsecutiveCuts",2005
32,32,"Robert Gamez",NA,5,2005410,"ConsecutiveCuts",2005
32,32,"Sergio Garcia",NA,5,2005340,"ConsecutiveCuts",2005
32,32,"Lucas Glover",NA,5,2005430,"ConsecutiveCuts",2005
32,32,"Hunter Haas",NA,5,2005400,"ConsecutiveCuts",2005
32,32,"Barry Lane",NA,5,2001310,"ConsecutiveCuts",2005
32,32,"Bernhard Langer",NA,5,2005250,"ConsecutiveCuts",2005
32,32,"Billy Mayfair",NA,5,2005430,"ConsecutiveCuts",2005
32,32,"Jose Maria Olazabal",NA,5,2005300,"ConsecutiveCuts",2005
