"ScramblingAverageDistancetoHole_RANKTHISWEEK_2010","ScramblingAverageDistancetoHole_RANKLASTWEEK_2010","ScramblingAverageDistancetoHole_PLAYERNAME_2010","ScramblingAverageDistancetoHole_ROUNDS_2010","ScramblingAverageDistancetoHole_AVGDTP_2010","ScramblingAverageDistancetoHole_TOTALDISTANCEFEET_2010","ScramblingAverageDistancetoHole_ATTEMPTS_2010","stat_name","year"
1,1,"Luke Donald",71,NA,1964.417,290,"ScramblingAverageDistancetoHole",2010
2,2,"Jim Furyk",76,NA,2219.25,323,"ScramblingAverageDistancetoHole",2010
2,2,"Justin Rose",78,NA,2636.583,387,"ScramblingAverageDistancetoHole",2010
4,4,"Retief Goosen",75,NA,1976.667,281,"ScramblingAverageDistancetoHole",2010
4,4,"Jeev Milkha Singh",59,NA,2028.417,289,"ScramblingAverageDistancetoHole",2010
4,4,"Mike Weir",59,NA,1757.667,252,"ScramblingAverageDistancetoHole",2010
4,4,"Mark Wilson",87,NA,2578.083,368,"ScramblingAverageDistancetoHole",2010
8,8,"KJ Choi",82,NA,2156.75,303,"ScramblingAverageDistancetoHole",2010
9,9,"Michael Sim",64,NA,2086.5,290,"ScramblingAverageDistancetoHole",2010
10,10,"Stuart Appleby",101,NA,3667.833,506,"ScramblingAverageDistancetoHole",2010
10,10,"Phil Mickelson",76,NA,2219.917,307,"ScramblingAverageDistancetoHole",2010
10,10,"Chris Riley",73,NA,2382.25,329,"ScramblingAverageDistancetoHole",2010
10,10,"David Toms",86,NA,2598.25,360,"ScramblingAverageDistancetoHole",2010
14,14,"Kevin Na",94,NA,2975.75,408,"ScramblingAverageDistancetoHole",2010
14,14,"Heath Slocum",97,NA,2687.25,368,"ScramblingAverageDistancetoHole",2010
14,14,"Brandt Snedeker",89,NA,3211.417,436,"ScramblingAverageDistancetoHole",2010
14,14,"Steve Stricker",73,NA,2052.417,279,"ScramblingAverageDistancetoHole",2010
14,14,"Dean Wilson",54,NA,1746,239,"ScramblingAverageDistancetoHole",2010
19,19,"Jonathan Byrd",85,NA,2859.167,384,"ScramblingAverageDistancetoHole",2010
19,19,"Chad Collins",87,NA,3217.583,432,"ScramblingAverageDistancetoHole",2010
19,19,"Padraig Harrington",57,NA,1879.667,253,"ScramblingAverageDistancetoHole",2010
19,19,"Rory McIlroy",54,NA,1571.333,213,"ScramblingAverageDistancetoHole",2010
19,19,"Cameron Percy",73,NA,1966.5,264,"ScramblingAverageDistancetoHole",2010
19,19,"Omar Uresti",74,NA,2348.917,318,"ScramblingAverageDistancetoHole",2010
25,25,"Ricky Barnes",103,NA,3076.333,410,"ScramblingAverageDistancetoHole",2010
25,25,"Alex Cejka",81,NA,2660.333,355,"ScramblingAverageDistancetoHole",2010
25,25,"Charles Howell III",103,NA,3404.667,453,"ScramblingAverageDistancetoHole",2010
25,25,"Vijay Singh",75,NA,2120.583,284,"ScramblingAverageDistancetoHole",2010
29,29,"Ryuji Imada",90,NA,3688,484,"ScramblingAverageDistancetoHole",2010
29,29,"Trevor Immelman",55,NA,1697.583,223,"ScramblingAverageDistancetoHole",2010
29,29,"Shaun Micheel",70,NA,2209.083,292,"ScramblingAverageDistancetoHole",2010
32,32,"Michael Bradley",77,NA,2514.75,328,"ScramblingAverageDistancetoHole",2010
32,32,"Chris DiMarco",88,NA,3217.583,420,"ScramblingAverageDistancetoHole",2010
34,34,"Brian Gay",101,NA,3596.667,464,"ScramblingAverageDistancetoHole",2010
34,34,"Charlie Wi",95,NA,3607.917,465,"ScramblingAverageDistancetoHole",2010
36,36,"Steve Flesch",78,NA,3040.75,388,"ScramblingAverageDistancetoHole",2010
36,36,"Charley Hoffman",85,NA,3262.5,417,"ScramblingAverageDistancetoHole",2010
36,36,"Jerry Kelly",99,NA,3365.167,428,"ScramblingAverageDistancetoHole",2010
36,36,"Tom Pernice Jr",74,NA,2252.583,288,"ScramblingAverageDistancetoHole",2010
36,36,"Tim Petrovic",105,NA,4006.583,509,"ScramblingAverageDistancetoHole",2010
36,36,"John Rollins",81,NA,2906.75,373,"ScramblingAverageDistancetoHole",2010
36,36,"Garrett Willis",82,NA,2531.917,324,"ScramblingAverageDistancetoHole",2010
43,43,"Lucas Glover",75,NA,2382.583,300,"ScramblingAverageDistancetoHole",2010
43,43,"JB Holmes",100,NA,4026.083,510,"ScramblingAverageDistancetoHole",2010
43,43,"Freddie Jacobson",83,NA,3127.417,393,"ScramblingAverageDistancetoHole",2010
43,43,"Bill Lunde",79,NA,2723.25,344,"ScramblingAverageDistancetoHole",2010
43,43,"Billy Mayfair",78,NA,2507.667,317,"ScramblingAverageDistancetoHole",2010
43,43,"Kevin Sutherland",86,NA,2835,357,"ScramblingAverageDistancetoHole",2010
43,43,"Camilo Villegas",78,NA,2389.833,301,"ScramblingAverageDistancetoHole",2010
50,50,"Stephen Ames",75,NA,2752.917,343,"ScramblingAverageDistancetoHole",2010
50,50,"Woody Austin",93,NA,3405.167,424,"ScramblingAverageDistancetoHole",2010
50,50,"Greg Chalmers",93,NA,3739.583,466,"ScramblingAverageDistancetoHole",2010
50,50,"Stewart Cink",84,NA,2580.75,321,"ScramblingAverageDistancetoHole",2010
50,50,"Tim Clark",88,NA,2911,362,"ScramblingAverageDistancetoHole",2010
50,50,"Matt Kuchar",97,NA,2912.75,366,"ScramblingAverageDistancetoHole",2010
50,50,"Geoff Ogilvy",62,NA,1878.75,236,"ScramblingAverageDistancetoHole",2010
50,50,"Rory Sabbatini",79,NA,2665.833,333,"ScramblingAverageDistancetoHole",2010
50,50,"Bo Van Pelt",104,NA,3450.167,432,"ScramblingAverageDistancetoHole",2010
59,59,"Ben Curtis",78,NA,2648.667,328,"ScramblingAverageDistancetoHole",2010
59,59,"Brian Davis",101,NA,4359.917,538,"ScramblingAverageDistancetoHole",2010
59,59,"Tom Gillis",97,NA,3976.833,494,"ScramblingAverageDistancetoHole",2010
