"RightRoughProximity_RANKTHISWEEK_2016","RightRoughProximity_RANKLASTWEEK_2016","RightRoughProximity_PLAYERNAME_2016","RightRoughProximity_ROUNDS_2016","RightRoughProximity_AVG_2016","RightRoughProximity_ATTEMPTS_2016","RightRoughProximity_TOTALDISTANCEFEET_2016","RightRoughProximity_RELATIVETOPAR_2016","stat_name","year"
1,1,"Jason Bohn",37,NA,42,1243.083,-3,"RightRoughProximity",2016
2,2,"Billy Hurley III",22,NA,17,522.833,3,"RightRoughProximity",2016
2,4,"DA Points",32,NA,32,983.833,0,"RightRoughProximity",2016
4,3,"Bubba Watson",30,NA,32,1020,-3,"RightRoughProximity",2016
5,6,"Louis Oosthuizen",25,NA,20,670,1,"RightRoughProximity",2016
6,9,"Lucas Glover",53,NA,74,2530.583,5,"RightRoughProximity",2016
7,8,"Wes Roach",33,NA,42,1443.5,-1,"RightRoughProximity",2016
8,5,"Alex Cejka",47,NA,57,1960.75,8,"RightRoughProximity",2016
9,9,"Dicky Pride",33,NA,49,1693.083,9,"RightRoughProximity",2016
10,13,"Derek Fathauer",58,NA,98,3425.417,9,"RightRoughProximity",2016
11,11,"Brooks Koepka",39,NA,54,1889.083,1,"RightRoughProximity",2016
12,12,"Ken Duke",26,NA,32,1147,6,"RightRoughProximity",2016
13,34,"Adam Scott",39,NA,45,1617.25,3,"RightRoughProximity",2016
14,14,"Sergio Garcia",28,NA,21,767.583,9,"RightRoughProximity",2016
15,16,"Matthew Fitzpatrick",23,NA,12,440.5,-2,"RightRoughProximity",2016
15,16,"Hideki Matsuyama",40,NA,44,1618.417,3,"RightRoughProximity",2016
17,18,"Andres Romero",22,NA,30,1117.083,2,"RightRoughProximity",2016
18,20,"Lucas Lee",22,NA,28,1050.667,6,"RightRoughProximity",2016
19,22,"Dustin Johnson",37,NA,44,1667.417,-3,"RightRoughProximity",2016
20,23,"Luke Guthrie",31,NA,41,1561.75,9,"RightRoughProximity",2016
21,27,"Andy Sullivan",25,NA,22,846.583,1,"RightRoughProximity",2016
22,28,"Keegan Bradley",40,NA,32,1234.167,4,"RightRoughProximity",2016
22,14,"Kevin Streelman",46,NA,50,1930,3,"RightRoughProximity",2016
24,26,"Luke List",51,NA,110,4269,-5,"RightRoughProximity",2016
25,29,"Andrew Landry",24,NA,22,857.5,2,"RightRoughProximity",2016
25,34,"Carlos Ortiz",47,NA,69,2690.833,7,"RightRoughProximity",2016
25,21,"Webb Simpson",34,NA,40,1559.583,3,"RightRoughProximity",2016
28,25,"Justin Thomas",53,NA,89,3492.083,6,"RightRoughProximity",2016
29,7,"Paul Casey",39,NA,37,1454.083,0,"RightRoughProximity",2016
30,32,"Kyle Stanley",57,NA,88,3482,17,"RightRoughProximity",2016
31,61,"Tom Hoge",47,NA,74,2937.583,1,"RightRoughProximity",2016
32,36,"Ricky Barnes",57,NA,137,5450.5,12,"RightRoughProximity",2016
33,65,"Luke Donald",49,NA,62,2468.75,3,"RightRoughProximity",2016
34,32,"Tyler Aldridge",53,NA,106,4233.5,12,"RightRoughProximity",2016
34,43,"Zac Blair",56,NA,56,2234.583,13,"RightRoughProximity",2016
34,19,"Vaughn Taylor",30,NA,39,1558.25,1,"RightRoughProximity",2016
37,58,"Jason Gore",51,NA,59,2362.667,2,"RightRoughProximity",2016
37,37,"Carl Pettersson",31,NA,55,2204.417,11,"RightRoughProximity",2016
37,37,"Charl Schwartzel",29,NA,47,1885.667,-4,"RightRoughProximity",2016
40,53,"Bronson Burgoon",53,NA,84,3381.5,0,"RightRoughProximity",2016
41,40,"Shane Bertsch",30,NA,29,1171.667,0,"RightRoughProximity",2016
41,40,"Jerry Kelly",44,NA,35,1414.417,-1,"RightRoughProximity",2016
41,40,"Chez Reavie",56,NA,69,2790.667,1,"RightRoughProximity",2016
44,47,"Rickie Fowler",42,NA,50,2037.667,-6,"RightRoughProximity",2016
44,44,"Marc Leishman",41,NA,50,2035.75,-3,"RightRoughProximity",2016
44,30,"Davis Love III",40,NA,42,1710.25,-1,"RightRoughProximity",2016
47,45,"Miguel Angel Carballo",24,NA,38,1552.417,-7,"RightRoughProximity",2016
48,31,"Dawie van der Walt",48,NA,72,2944.667,16,"RightRoughProximity",2016
49,46,"John Huh",51,NA,88,3609.083,0,"RightRoughProximity",2016
49,23,"Martin Piller",37,NA,46,1885.083,2,"RightRoughProximity",2016
51,47,"Branden Grace",31,NA,45,1847.75,3,"RightRoughProximity",2016
51,47,"Brandt Snedeker",47,NA,61,2503.667,-10,"RightRoughProximity",2016
51,84,"Tim Wilkinson",40,NA,47,1930.75,3,"RightRoughProximity",2016
54,50,"Zach Johnson",42,NA,40,1647.583,3,"RightRoughProximity",2016
54,39,"Peter Malnati",53,NA,94,3866.333,-3,"RightRoughProximity",2016
56,50,"Spencer Levin",62,NA,68,2807.5,10,"RightRoughProximity",2016
57,55,"Jimmy Walker",43,NA,66,2728.417,-1,"RightRoughProximity",2016
58,65,"Brian Stuard",24,NA,21,869.417,-1,"RightRoughProximity",2016
58,89,"Michael Thompson",46,NA,60,2484.5,14,"RightRoughProximity",2016
60,70,"Greg Owen",56,NA,82,3411.167,12,"RightRoughProximity",2016
60,60,"Bernd Wiesberger",23,NA,22,914.583,4,"RightRoughProximity",2016
62,62,"Matt Kuchar",46,NA,54,2256.333,-4,"RightRoughProximity",2016
63,103,"Shane Lowry",35,NA,37,1548.75,7,"RightRoughProximity",2016
63,55,"Ben Martin",48,NA,79,3304.167,10,"RightRoughProximity",2016
65,106,"Henrik Stenson",30,NA,26,1092.333,0,"RightRoughProximity",2016
66,57,"Steve Wheatcroft",53,NA,89,3746.917,3,"RightRoughProximity",2016
67,68,"Charlie Beljan",26,NA,40,1686.583,0,"RightRoughProximity",2016
67,82,"Ben Crane",48,NA,52,2194.25,1,"RightRoughProximity",2016
67,69,"Jason Kokrak",52,NA,90,3797.25,3,"RightRoughProximity",2016
67,101,"Scott Stallings",46,NA,115,4848.583,12,"RightRoughProximity",2016
71,53,"Harris English",51,NA,75,3175.333,4,"RightRoughProximity",2016
71,99,"Rob Oppenheim",37,NA,76,3217.333,4,"RightRoughProximity",2016
73,70,"David Hearn",55,NA,78,3305.5,14,"RightRoughProximity",2016
74,73,"Jason Dufner",53,NA,58,2467.167,2,"RightRoughProximity",2016
