"ScramblingfromOtherLocations_RANKTHISWEEK_2007","ScramblingfromOtherLocations_RANKLASTWEEK_2007","ScramblingfromOtherLocations_PLAYERNAME_2007","ScramblingfromOtherLocations_ROUNDS_2007","ScramblingfromOtherLocations_Pct_2007","ScramblingfromOtherLocations_SUCCESSES_2007","ScramblingfromOtherLocations_ATTEMPTS_2007","stat_name","year"
1,1,"Rory Sabbatini",81,72.82,75,103,"ScramblingfromOtherLocations",2007
2,2,"Jeff Overton",60,72.15,57,79,"ScramblingfromOtherLocations",2007
3,3,"Ian Poulter",63,70.49,43,61,"ScramblingfromOtherLocations",2007
4,4,"Padraig Harrington",64,67.07,55,82,"ScramblingfromOtherLocations",2007
5,5,"Chris Stroud",66,65.48,55,84,"ScramblingfromOtherLocations",2007
6,6,"Gavin Coles",87,64.96,89,137,"ScramblingfromOtherLocations",2007
7,7,"Alex Cejka",80,64.86,72,111,"ScramblingfromOtherLocations",2007
8,8,"Camilo Villegas",82,64.52,60,93,"ScramblingfromOtherLocations",2007
9,9,"Steve Allan",63,64.44,58,90,"ScramblingfromOtherLocations",2007
10,10,"Jarrod Lyle",77,64.34,83,129,"ScramblingfromOtherLocations",2007
11,11,"Mark Brooks",53,64.29,54,84,"ScramblingfromOtherLocations",2007
12,12,"Peter Lonard",85,64.24,97,151,"ScramblingfromOtherLocations",2007
13,13,"DJ Trahan",99,64.12,84,131,"ScramblingfromOtherLocations",2007
14,14,"Anders Hansen",55,64.06,41,64,"ScramblingfromOtherLocations",2007
15,15,"Vijay Singh",102,64.04,57,89,"ScramblingfromOtherLocations",2007
16,16,"Tim Petrovic",106,63.84,113,177,"ScramblingfromOtherLocations",2007
17,17,"Matt Kuchar",85,63.64,91,143,"ScramblingfromOtherLocations",2007
17,17,"Ryan Moore",92,63.64,84,132,"ScramblingfromOtherLocations",2007
19,19,"Jose Coceres",50,63.51,47,74,"ScramblingfromOtherLocations",2007
20,20,"Scott Verplank",82,63.44,59,93,"ScramblingfromOtherLocations",2007
21,21,"Brandt Snedeker",105,63.4,97,153,"ScramblingfromOtherLocations",2007
22,22,"Woody Austin",95,63.27,93,147,"ScramblingfromOtherLocations",2007
23,23,"Sean OHair",98,63.03,75,119,"ScramblingfromOtherLocations",2007
24,24,"Sergio Garcia",68,62.96,51,81,"ScramblingfromOtherLocations",2007
25,25,"Luke Donald",69,62.79,54,86,"ScramblingfromOtherLocations",2007
26,26,"Kevin Na",84,62.69,84,134,"ScramblingfromOtherLocations",2007
27,27,"Michael Sim",52,62.5,60,96,"ScramblingfromOtherLocations",2007
28,28,"Steve Elkington",87,62.04,85,137,"ScramblingfromOtherLocations",2007
29,29,"Parker McLachlin",83,62,93,150,"ScramblingfromOtherLocations",2007
30,30,"Steve Stricker",81,61.9,65,105,"ScramblingfromOtherLocations",2007
31,31,"Ben Curtis",80,61.87,86,139,"ScramblingfromOtherLocations",2007
32,32,"Arron Oberholser",69,61.8,55,89,"ScramblingfromOtherLocations",2007
33,33,"KJ Choi",87,61.62,61,99,"ScramblingfromOtherLocations",2007
34,34,"Craig Bowden",78,61.48,75,122,"ScramblingfromOtherLocations",2007
35,35,"Boo Weekley",101,61.26,68,111,"ScramblingfromOtherLocations",2007
36,36,"Brian Gay",107,61.24,109,178,"ScramblingfromOtherLocations",2007
37,37,"Mark Hensby",81,61.19,82,134,"ScramblingfromOtherLocations",2007
38,38,"Stephen Leaney",82,61.16,74,121,"ScramblingfromOtherLocations",2007
39,39,"David Toms",80,61.11,77,126,"ScramblingfromOtherLocations",2007
40,40,"Craig Kanada",109,60.92,106,174,"ScramblingfromOtherLocations",2007
41,41,"Lucas Glover",98,60.83,73,120,"ScramblingfromOtherLocations",2007
42,42,"Brian Bateman",55,60.78,62,102,"ScramblingfromOtherLocations",2007
43,43,"Mathias Gronberg",95,60.69,88,145,"ScramblingfromOtherLocations",2007
44,44,"Aaron Baddeley",83,60.5,72,119,"ScramblingfromOtherLocations",2007
45,45,"Briny Baird",115,60.45,107,177,"ScramblingfromOtherLocations",2007
46,46,"Jerry Kelly",101,60,69,115,"ScramblingfromOtherLocations",2007
47,47,"Ryuji Imada",104,59.89,109,182,"ScramblingfromOtherLocations",2007
48,48,"Johnson Wagner",97,59.7,80,134,"ScramblingfromOtherLocations",2007
49,49,"Mathew Goggin",97,59.31,86,145,"ScramblingfromOtherLocations",2007
50,50,"Mark Wilson",87,58.96,79,134,"ScramblingfromOtherLocations",2007
51,51,"Geoff Ogilvy",84,58.65,61,104,"ScramblingfromOtherLocations",2007
52,52,"Kent Jones",97,58.6,109,186,"ScramblingfromOtherLocations",2007
53,53,"Paul Goydos",60,58.46,38,65,"ScramblingfromOtherLocations",2007
54,54,"Troy Matteson",87,58.33,70,120,"ScramblingfromOtherLocations",2007
54,54,"Billy Mayfair",98,58.33,77,132,"ScramblingfromOtherLocations",2007
56,56,"Doug LaBelle II",104,58.22,85,146,"ScramblingfromOtherLocations",2007
57,57,"Daniel Chopra",106,58.13,93,160,"ScramblingfromOtherLocations",2007
58,58,"Steve Marino",106,57.96,91,157,"ScramblingfromOtherLocations",2007
58,58,"Bob Tway",103,57.96,91,157,"ScramblingfromOtherLocations",2007
60,60,"Jesper Parnevik",88,57.85,70,121,"ScramblingfromOtherLocations",2007
61,61,"Paul Stankowski",52,57.47,50,87,"ScramblingfromOtherLocations",2007
62,62,"Will Ma Kenzie",100,57.35,78,136,"ScramblingfromOtherLocations",2007
62,62,"Kevin Sutherland",85,57.35,78,136,"ScramblingfromOtherLocations",2007
64,64,"JP Hayes",89,57.14,92,161,"ScramblingfromOtherLocations",2007
