"RoughProximity_RANKTHISWEEK_2008","RoughProximity_RANKLASTWEEK_2008","RoughProximity_PLAYERNAME_2008","RoughProximity_ROUNDS_2008","RoughProximity_AVG_2008","RoughProximity_TOTALDISTANCEINCHES_2008","RoughProximity_ATTEMPTS_2008","RoughProximity_TOTALDISTANCEFEET_2008","RoughProximity_RELATIVETOPAR_2008","stat_name","year"
1,1,"John Huston",56,NA,72736,160,6061.333,19,"RoughProximity",2008
2,2,"Kevin Stadler",90,NA,116449,254,9704.083,34,"RoughProximity",2008
3,3,"Steve Allan",58,NA,88074,192,7339.5,15,"RoughProximity",2008
4,4,"Sean OHair",81,NA,108985,237,9082.083,30,"RoughProximity",2008
5,5,"Steve Elkington",84,NA,97671,212,8139.25,16,"RoughProximity",2008
6,6,"Woody Austin",109,NA,129365,278,10780.417,36,"RoughProximity",2008
7,7,"Paul Goydos",78,NA,92121,197,7676.75,43,"RoughProximity",2008
8,8,"Gavin Coles",54,NA,61420,131,5118.333,12,"RoughProximity",2008
9,9,"Adam Scott",51,NA,72287,152,6023.917,8,"RoughProximity",2008
10,10,"Scott Verplank",82,NA,80542,169,6711.833,12,"RoughProximity",2008
11,11,"Michael Letzig",88,NA,131076,272,10923,32,"RoughProximity",2008
11,11,"Vijay Singh",82,NA,129230,268,10769.167,9,"RoughProximity",2008
13,13,"Nick OHern",82,NA,87647,180,7303.917,33,"RoughProximity",2008
14,14,"Ben Crane",86,NA,114140,234,9511.667,13,"RoughProximity",2008
15,15,"Charles Howell III",101,NA,171549,351,14295.75,13,"RoughProximity",2008
15,15,"Heath Slocum",104,NA,102191,209,8515.917,28,"RoughProximity",2008
17,17,"Michael Allen",91,NA,113592,232,9466,38,"RoughProximity",2008
18,18,"Tim Clark",90,NA,119206,243,9933.833,29,"RoughProximity",2008
19,19,"Justin Bolli",87,NA,109167,222,9097.25,42,"RoughProximity",2008
19,19,"Steve Flesch",95,NA,147553,300,12296.083,49,"RoughProximity",2008
19,19,"Geoff Ogilvy",65,NA,95037,193,7919.75,29,"RoughProximity",2008
19,19,"John Senden",93,NA,118520,241,9876.667,43,"RoughProximity",2008
23,23,"Stephen Ames",83,NA,110485,224,9207.083,21,"RoughProximity",2008
23,23,"Daniel Chopra",84,NA,161773,328,13481.083,18,"RoughProximity",2008
23,23,"Harrison Frazar",73,NA,108430,220,9035.833,22,"RoughProximity",2008
23,23,"Cody Freeman",66,NA,110459,224,9204.917,36,"RoughProximity",2008
23,23,"Frank Lickliter II",107,NA,161729,328,13477.417,60,"RoughProximity",2008
