"TotalHoleOuts_RANKTHISWEEK_2007","TotalHoleOuts_RANKLASTWEEK_2007","TotalHoleOuts_PLAYERNAME_2007","TotalHoleOuts_ROUNDS_2007","TotalHoleOuts_HOLEOUTS_2007","stat_name","year"
1,1,"Brian Davis",101,23,"TotalHoleOuts",2007
2,2,"Joe Ogilvie",102,22,"TotalHoleOuts",2007
3,3,"Charles Warren",101,20,"TotalHoleOuts",2007
4,4,"Parker McLachlin",83,19,"TotalHoleOuts",2007
5,5,"Jason Dufner",100,18,"TotalHoleOuts",2007
5,5,"Brian Gay",107,18,"TotalHoleOuts",2007
5,5,"Cliff Kresge",107,18,"TotalHoleOuts",2007
5,5,"Bo Van Pelt",104,18,"TotalHoleOuts",2007
9,9,"Michael Allen",74,17,"TotalHoleOuts",2007
9,9,"Eric Axley",107,17,"TotalHoleOuts",2007
9,9,"KJ Choi",87,17,"TotalHoleOuts",2007
12,12,"Aaron Baddeley",83,16,"TotalHoleOuts",2007
12,12,"Charley Hoffman",97,16,"TotalHoleOuts",2007
12,12,"Craig Kanada",109,16,"TotalHoleOuts",2007
12,12,"Kevin Na",84,16,"TotalHoleOuts",2007
12,12,"Scott Verplank",82,16,"TotalHoleOuts",2007
17,17,"Kenny Perry",83,15,"TotalHoleOuts",2007
17,17,"Tim Petrovic",106,15,"TotalHoleOuts",2007
19,19,"Alex Cejka",80,14,"TotalHoleOuts",2007
19,19,"Daniel Chopra",106,14,"TotalHoleOuts",2007
19,19,"JP Hayes",89,14,"TotalHoleOuts",2007
19,19,"Tom Johnson",74,14,"TotalHoleOuts",2007
19,19,"Kent Jones",97,14,"TotalHoleOuts",2007
19,19,"John Merrick",92,14,"TotalHoleOuts",2007
19,19,"Sean OHair",98,14,"TotalHoleOuts",2007
19,19,"Geoff Ogilvy",84,14,"TotalHoleOuts",2007
19,19,"Tom Pernice Jr",104,14,"TotalHoleOuts",2007
19,19,"Ted Purdy",102,14,"TotalHoleOuts",2007
19,19,"Jeff Quinney",95,14,"TotalHoleOuts",2007
19,19,"Mark Wilson",87,14,"TotalHoleOuts",2007
31,31,"Briny Baird",115,13,"TotalHoleOuts",2007
31,31,"Steve Elkington",87,13,"TotalHoleOuts",2007
31,31,"Doug LaBelle II",104,13,"TotalHoleOuts",2007
31,31,"John Mallinger",96,13,"TotalHoleOuts",2007
31,31,"Shigeki Maruyama",84,13,"TotalHoleOuts",2007
31,31,"Rocco Mediate",72,13,"TotalHoleOuts",2007
31,31,"Carl Pettersson",111,13,"TotalHoleOuts",2007
31,31,"Johnson Wagner",97,13,"TotalHoleOuts",2007
39,39,"Rich Barcelo",80,12,"TotalHoleOuts",2007
39,39,"Chad Campbell",96,12,"TotalHoleOuts",2007
39,39,"Gavin Coles",87,12,"TotalHoleOuts",2007
39,39,"Ben Curtis",80,12,"TotalHoleOuts",2007
39,39,"Glen Day",85,12,"TotalHoleOuts",2007
39,39,"Ken Duke",112,12,"TotalHoleOuts",2007
39,39,"Nathan Green",103,12,"TotalHoleOuts",2007
39,39,"Tripp Isenhour",86,12,"TotalHoleOuts",2007
39,39,"Anthony Kim",93,12,"TotalHoleOuts",2007
39,39,"Matt Kuchar",85,12,"TotalHoleOuts",2007
39,39,"Will Ma Kenzie",100,12,"TotalHoleOuts",2007
39,39,"Rod Pampling",92,12,"TotalHoleOuts",2007
39,39,"Darron Stiles",65,12,"TotalHoleOuts",2007
39,39,"Nick Watney",87,12,"TotalHoleOuts",2007
39,39,"Dean Wilson",92,12,"TotalHoleOuts",2007
54,54,"Billy Andrade",88,11,"TotalHoleOuts",2007
54,54,"Ryan Armour",107,11,"TotalHoleOuts",2007
54,54,"Cameron Beckman",96,11,"TotalHoleOuts",2007
54,54,"Rich Beem",89,11,"TotalHoleOuts",2007
54,54,"Stewart Cink",91,11,"TotalHoleOuts",2007
54,54,"Sergio Garcia",68,11,"TotalHoleOuts",2007
54,54,"Mathias Gronberg",95,11,"TotalHoleOuts",2007
54,54,"Todd Hamilton",76,11,"TotalHoleOuts",2007
54,54,"Mark Hensby",81,11,"TotalHoleOuts",2007
54,54,"Jerry Kelly",101,11,"TotalHoleOuts",2007
54,54,"Peter Lonard",85,11,"TotalHoleOuts",2007
54,54,"Jarrod Lyle",77,11,"TotalHoleOuts",2007
54,54,"Jeff Maggert",79,11,"TotalHoleOuts",2007
54,54,"Steve Marino",106,11,"TotalHoleOuts",2007
54,54,"Billy Mayfair",98,11,"TotalHoleOuts",2007
54,54,"Ryan Palmer",91,11,"TotalHoleOuts",2007
54,54,"Ian Poulter",63,11,"TotalHoleOuts",2007
54,54,"John Rollins",102,11,"TotalHoleOuts",2007
54,54,"Rory Sabbatini",81,11,"TotalHoleOuts",2007
54,54,"Vijay Singh",102,11,"TotalHoleOuts",2007
54,54,"Brandt Snedeker",105,11,"TotalHoleOuts",2007
54,54,"Chris Stroud",66,11,"TotalHoleOuts",2007
54,54,"Bob Tway",103,11,"TotalHoleOuts",2007
54,54,"Mike Weir",82,11,"TotalHoleOuts",2007
54,54,"Brett Wetterich",88,11,"TotalHoleOuts",2007
54,54,"Steve Wheatcroft",73,11,"TotalHoleOuts",2007
80,80,"Woody Austin",95,10,"TotalHoleOuts",2007
80,80,"Craig Bowden",78,10,"TotalHoleOuts",2007
80,80,"Jeff Brehaut",59,10,"TotalHoleOuts",2007
80,80,"Andrew Buckle",77,10,"TotalHoleOuts",2007
80,80,"Jonathan Byrd",73,10,"TotalHoleOuts",2007
80,80,"Marco Dawson",73,10,"TotalHoleOuts",2007
80,80,"Ernie Els",59,10,"TotalHoleOuts",2007
80,80,"Steve Flesch",100,10,"TotalHoleOuts",2007
80,80,"Lucas Glover",98,10,"TotalHoleOuts",2007
80,80,"Ryuji Imada",104,10,"TotalHoleOuts",2007
80,80,"Richard Johnson",93,10,"TotalHoleOuts",2007
80,80,"Justin Leonard",95,10,"TotalHoleOuts",2007
80,80,"Frank Lickliter II",95,10,"TotalHoleOuts",2007
80,80,"Ryan Moore",92,10,"TotalHoleOuts",2007
80,80,"Nick OHern",72,10,"TotalHoleOuts",2007
80,80,"Corey Pavin",81,10,"TotalHoleOuts",2007
80,80,"Jason Schultz",63,10,"TotalHoleOuts",2007
80,80,"Heath Slocum",101,10,"TotalHoleOuts",2007
80,80,"Kevin Sutherland",85,10,"TotalHoleOuts",2007
80,80,"David Toms",80,10,"TotalHoleOuts",2007
80,80,"Kirk Triplett",77,10,"TotalHoleOuts",2007
80,80,"Charlie Wi",90,10,"TotalHoleOuts",2007
102,102,"Steve Allan",63,9,"TotalHoleOuts",2007
102,102,"Bart Bryant",87,9,"TotalHoleOuts",2007
102,102,"Tom Byrum",50,9,"TotalHoleOuts",2007
102,102,"Bob Estes",88,9,"TotalHoleOuts",2007
102,102,"Paul Goydos",60,9,"TotalHoleOuts",2007
102,102,"Lee Janzen",66,9,"TotalHoleOuts",2007
102,102,"Stephen Leaney",82,9,"TotalHoleOuts",2007
102,102,"Steve Lowery",74,9,"TotalHoleOuts",2007
102,102,"Daisuke Maruyama",86,9,"TotalHoleOuts",2007
102,102,"Shaun Micheel",91,9,"TotalHoleOuts",2007
102,102,"Bryce Molder",56,9,"TotalHoleOuts",2007
102,102,"Jeff Overton",60,9,"TotalHoleOuts",2007
102,102,"Pat Perez",84,9,"TotalHoleOuts",2007
102,102,"Duffy Waldorf",69,9,"TotalHoleOuts",2007
102,102,"Boo Weekley",101,9,"TotalHoleOuts",2007
117,117,"Robert Allenby",90,8,"TotalHoleOuts",2007
117,117,"Brian Bateman",55,8,"TotalHoleOuts",2007
117,117,"Mark Calcavecchia",93,8,"TotalHoleOuts",2007
117,117,"Jose Coceres",50,8,"TotalHoleOuts",2007
117,117,"John Daly",59,8,"TotalHoleOuts",2007
117,117,"Brendon de Jonge",76,8,"TotalHoleOuts",2007
117,117,"Chris DiMarco",79,8,"TotalHoleOuts",2007
117,117,"Harrison Frazar",88,8,"TotalHoleOuts",2007
117,117,"Bill Haas",93,8,"TotalHoleOuts",2007
117,117,"Bob Heintz",85,8,"TotalHoleOuts",2007
117,117,"Tim Herron",98,8,"TotalHoleOuts",2007
117,117,"JB Holmes",71,8,"TotalHoleOuts",2007
117,117,"Craig Lile",77,8,"TotalHoleOuts",2007
117,117,"Troy Matteson",87,8,"TotalHoleOuts",2007
117,117,"George McNeill",95,8,"TotalHoleOuts",2007
117,117,"Jose Maria Olazabal",52,8,"TotalHoleOuts",2007
117,117,"Chris Riley",59,8,"TotalHoleOuts",2007
117,117,"Michael Sim",52,8,"TotalHoleOuts",2007
117,117,"Joey Sindelar",75,8,"TotalHoleOuts",2007
117,117,"DJ Trahan",99,8,"TotalHoleOuts",2007
117,117,"Camilo Villegas",82,8,"TotalHoleOuts",2007
117,117,"Jay Williamson",50,8,"TotalHoleOuts",2007
139,139,"Michael Boyd",61,7,"TotalHoleOuts",2007
139,139,"Bubba Dickerson",51,7,"TotalHoleOuts",2007
139,139,"Scott Gutschewski",67,7,"TotalHoleOuts",2007
139,139,"Zach Johnson",76,7,"TotalHoleOuts",2007
139,139,"Hunter Mahan",91,7,"TotalHoleOuts",2007
139,139,"Phil Mickelson",73,7,"TotalHoleOuts",2007
139,139,"Dicky Pride",71,7,"TotalHoleOuts",2007
139,139,"Michael Putnam",96,7,"TotalHoleOuts",2007
139,139,"Justin Rose",63,7,"TotalHoleOuts",2007
139,139,"John Senden",97,7,"TotalHoleOuts",2007
139,139,"Jeff Sluman",60,7,"TotalHoleOuts",2007
139,139,"Kevin Stadler",95,7,"TotalHoleOuts",2007
139,139,"Vaughn Taylor",91,7,"TotalHoleOuts",2007
152,152,"Stuart Appleby",74,6,"TotalHoleOuts",2007
152,152,"Tommy Armour III",81,6,"TotalHoleOuts",2007
152,152,"Chris Couch",76,6,"TotalHoleOuts",2007
152,152,"Luke Donald",69,6,"TotalHoleOuts",2007
152,152,"Joe Durant",88,6,"TotalHoleOuts",2007
152,152,"Jim Furyk",84,6,"TotalHoleOuts",2007
152,152,"Robert Garrigus",95,6,"TotalHoleOuts",2007
152,152,"Jeff Gove",103,6,"TotalHoleOuts",2007
152,152,"Paul Gow",70,6,"TotalHoleOuts",2007
152,152,"Freddie Jacobson",70,6,"TotalHoleOuts",2007
152,152,"Arron Oberholser",69,6,"TotalHoleOuts",2007
152,152,"Greg Owen",81,6,"TotalHoleOuts",2007
152,152,"Jim Rutledge",59,6,"TotalHoleOuts",2007
152,152,"Paul Stankowski",52,6,"TotalHoleOuts",2007
152,152,"Steve Stricker",81,6,"TotalHoleOuts",2007
167,167,"Stephen Ames",81,5,"TotalHoleOuts",2007
167,167,"Jason Bohn",57,5,"TotalHoleOuts",2007
167,167,"Tim Clark",66,5,"TotalHoleOuts",2007
167,167,"Fred Funk",65,5,"TotalHoleOuts",2007
167,167,"Robert Gamez",88,5,"TotalHoleOuts",2007
167,167,"Charles Howell III",89,5,"TotalHoleOuts",2007
