"PuttingRating_RANKTHISWEEK_2010","PuttingRating_RANKLASTWEEK_2010","PuttingRating_PLAYERNAME_2010","PuttingRating_EVENTS_2010","PuttingRating_RATING_2010","stat_name","year"
1,1,"Corey Pavin",5,8.8,"PuttingRating",2010
2,2,"Brad Faxon",4,8.7,"PuttingRating",2010
2,2,"Todd Fischer",1,8.7,"PuttingRating",2010
2,2,"Robert Gamez",1,8.7,"PuttingRating",2010
2,2,"Fran Quinn",1,8.7,"PuttingRating",2010
6,6,"Carlos Franco",4,8.6,"PuttingRating",2010
7,7,"Ken Duke",3,8.5,"PuttingRating",2010
7,7,"Brian Gay",18,8.5,"PuttingRating",2010
7,7,"Rob Grube",1,8.5,"PuttingRating",2010
7,7,"Frank Lickliter II",2,8.5,"PuttingRating",2010
7,7,"Jordan Spieth",1,8.5,"PuttingRating",2010
7,7,"Willie Wood",1,8.5,"PuttingRating",2010
13,13,"Rich Barcelo",8,8.4,"PuttingRating",2010
13,13,"Matt Bettencourt",10,8.4,"PuttingRating",2010
13,13,"Luke Donald",13,8.4,"PuttingRating",2010
13,13,"John Ellis",1,8.4,"PuttingRating",2010
13,13,"Martin Flores",10,8.4,"PuttingRating",2010
13,13,"Jonathan Kaye",1,8.4,"PuttingRating",2010
13,13,"Jamie Lovemark",2,8.4,"PuttingRating",2010
13,13,"Troy Merritt",12,8.4,"PuttingRating",2010
13,13,"Carl Pettersson",17,8.4,"PuttingRating",2010
13,13,"Brandt Snedeker",16,8.4,"PuttingRating",2010
23,23,"Chad Collins",14,8.3,"PuttingRating",2010
23,23,"Marcus Fraser",1,8.3,"PuttingRating",2010
23,23,"Padraig Harrington",10,8.3,"PuttingRating",2010
23,23,"Zach Johnson",17,8.3,"PuttingRating",2010
23,23,"Justin Leonard",15,8.3,"PuttingRating",2010
23,23,"Dicky Pride",2,8.3,"PuttingRating",2010
23,23,"Sam Saunders",2,8.3,"PuttingRating",2010
30,30,"Eric Axley",1,8.2,"PuttingRating",2010
30,30,"Aaron Baddeley",20,8.2,"PuttingRating",2010
30,30,"Shane Bertsch",3,8.2,"PuttingRating",2010
30,30,"Greg Chalmers",19,8.2,"PuttingRating",2010
30,30,"Chris Couch",10,8.2,"PuttingRating",2010
30,30,"Robert Damron",1,8.2,"PuttingRating",2010
30,30,"Ryuji Imada",16,8.2,"PuttingRating",2010
30,30,"Matt Kuchar",18,8.2,"PuttingRating",2010
30,30,"WC Liang",2,8.2,"PuttingRating",2010
30,30,"George McNeill",12,8.2,"PuttingRating",2010
30,30,"Mike Weir",8,8.2,"PuttingRating",2010
30,30,"Steve Wheatcroft",6,8.2,"PuttingRating",2010
30,30,"Chris Wilson",5,8.2,"PuttingRating",2010
30,30,"Tiger Woods",6,8.2,"PuttingRating",2010
44,44,"Jason Bohn",16,8.1,"PuttingRating",2010
44,44,"Michael Clark II",1,8.1,"PuttingRating",2010
