"Scramblingfrom_RANKTHISWEEK_2014","Scramblingfrom_RANKLASTWEEK_2014","Scramblingfrom_PLAYERNAME_2014","Scramblingfrom_ROUNDS_2014","Scramblingfrom_Pct_2014","Scramblingfrom_SUCCESSES_2014","Scramblingfrom_ATTEMPTS_2014","stat_name","year"
1,1,"Kevin Tway",64,100,35,35,"Scramblingfrom",2014
2,2,"Kevin Na",94,94.06,95,101,"Scramblingfrom",2014
3,3,"JJ Henry",91,94.03,63,67,"Scramblingfrom",2014
4,4,"Ian Poulter",57,94,47,50,"Scramblingfrom",2014
5,5,"Jerry Kelly",80,93.33,70,75,"Scramblingfrom",2014
6,6,"Mike Weir",69,93.1,54,58,"Scramblingfrom",2014
7,7,"Retief Goosen",94,92.23,95,103,"Scramblingfrom",2014
8,8,"Tyrone Van Aswegen",79,92.21,71,77,"Scramblingfrom",2014
9,9,"DA Points",75,92.06,58,63,"Scramblingfrom",2014
10,10,"Keegan Bradley",89,92.05,81,88,"Scramblingfrom",2014
11,11,"Kevin Streelman",79,91.55,65,71,"Scramblingfrom",2014
12,12,"Brian Gay",81,91.21,83,91,"Scramblingfrom",2014
13,13,"Woody Austin",63,91.18,62,68,"Scramblingfrom",2014
14,14,"Phil Mickelson",71,91.04,61,67,"Scramblingfrom",2014
15,15,"Billy Hurley III",86,91.01,81,89,"Scramblingfrom",2014
16,16,"Jason Day",54,90.91,40,44,"Scramblingfrom",2014
16,16,"Graeme McDowell",66,90.91,50,55,"Scramblingfrom",2014
18,18,"Billy Horschel",92,90.63,58,64,"Scramblingfrom",2014
19,19,"Gary Woodland",93,90.53,86,95,"Scramblingfrom",2014
20,20,"Jason Dufner",57,90.38,47,52,"Scramblingfrom",2014
21,21,"Chad Campbell",57,90.24,37,41,"Scramblingfrom",2014
22,22,"Johnson Wagner",69,90.16,55,61,"Scramblingfrom",2014
23,23,"Jeff Overton",80,90.12,73,81,"Scramblingfrom",2014
24,24,"Ricky Barnes",92,90.11,82,91,"Scramblingfrom",2014
25,25,"Briny Baird",50,89.8,44,49,"Scramblingfrom",2014
26,26,"Zach Johnson",97,89.58,86,96,"Scramblingfrom",2014
27,27,"Robert Garrigus",80,89.47,85,95,"Scramblingfrom",2014
27,27,"Ted Potter Jr",68,89.47,68,76,"Scramblingfrom",2014
27,27,"Will Wilcox",51,89.47,51,57,"Scramblingfrom",2014
30,30,"Chris Kirk",105,89.38,101,113,"Scramblingfrom",2014
31,31,"Adam Scott",68,89.29,50,56,"Scramblingfrom",2014
32,32,"Shawn Stefani",60,89.19,66,74,"Scramblingfrom",2014
33,33,"Chad Collins",78,89.06,57,64,"Scramblingfrom",2014
33,33,"Troy Matteson",62,89.06,57,64,"Scramblingfrom",2014
35,35,"Jeff Maggert",54,88.89,48,54,"Scramblingfrom",2014
36,36,"Brendon Todd",108,88.8,111,125,"Scramblingfrom",2014
37,37,"William McGirt",96,88.78,87,98,"Scramblingfrom",2014
38,38,"Charl Schwartzel",64,88.71,55,62,"Scramblingfrom",2014
39,39,"JB Holmes",86,88.68,94,106,"Scramblingfrom",2014
40,40,"Patrick Reed",92,88.57,62,70,"Scramblingfrom",2014
41,41,"Chris Stroud",88,88.42,84,95,"Scramblingfrom",2014
42,42,"Jordan Spieth",102,88.39,99,112,"Scramblingfrom",2014
43,43,"Scott Brown",100,88.35,91,103,"Scramblingfrom",2014
44,44,"Pat Perez",84,88.18,97,110,"Scramblingfrom",2014
45,45,"Daniel Summerhays",98,88.17,82,93,"Scramblingfrom",2014
46,46,"Bronson La Cassie",51,88.1,37,42,"Scramblingfrom",2014
47,47,"Jason Bohn",81,88.04,81,92,"Scramblingfrom",2014
48,48,"James Hahn",82,87.95,73,83,"Scramblingfrom",2014
48,48,"Justin Rose",70,87.95,73,83,"Scramblingfrom",2014
50,50,"Freddie Jacobson",91,87.88,87,99,"Scramblingfrom",2014
51,51,"Jason Kokrak",65,87.84,65,74,"Scramblingfrom",2014
52,52,"John Senden",99,87.8,72,82,"Scramblingfrom",2014
53,53,"Roberto Castro",76,87.78,79,90,"Scramblingfrom",2014
54,54,"John Peterson",62,87.76,86,98,"Scramblingfrom",2014
55,55,"Ben Curtis",77,87.69,57,65,"Scramblingfrom",2014
56,56,"Greg Chalmers",85,87.65,71,81,"Scramblingfrom",2014
56,56,"Kevin Kisner",85,87.65,71,81,"Scramblingfrom",2014
58,58,"Brendon de Jonge",109,87.61,99,113,"Scramblingfrom",2014
59,59,"Camilo Villegas",95,87.5,77,88,"Scramblingfrom",2014
59,59,"Nick Watney",80,87.5,63,72,"Scramblingfrom",2014
61,61,"Justin Leonard",75,87.36,76,87,"Scramblingfrom",2014
62,62,"Seung Yul Noh",92,87.34,69,79,"Scramblingfrom",2014
62,62,"Geoff Ogilvy",84,87.34,69,79,"Scramblingfrom",2014
64,64,"Gonzalo Fdez Castano",83,87.23,82,94,"Scramblingfrom",2014
65,65,"Brad Fritsch",50,87.18,34,39,"Scramblingfrom",2014
66,66,"Jim Furyk",84,87.06,74,85,"Scramblingfrom",2014
66,66,"Ryan Palmer",85,87.06,74,85,"Scramblingfrom",2014
68,68,"Graham DeLaet",80,87.01,67,77,"Scramblingfrom",2014
68,68,"Bo Van Pelt",83,87.01,67,77,"Scramblingfrom",2014
70,70,"Brian Harman",111,86.96,120,138,"Scramblingfrom",2014
71,71,"Martin Laird",66,86.89,53,61,"Scramblingfrom",2014
72,72,"Brice Garnett",92,86.84,66,76,"Scramblingfrom",2014
72,72,"Sean OHair",77,86.84,66,76,"Scramblingfrom",2014
72,72,"Brandt Snedeker",89,86.84,66,76,"Scramblingfrom",2014
75,75,"Bud Cauley",56,86.79,46,53,"Scramblingfrom",2014
76,76,"Andrew Svoboda",77,86.75,72,83,"Scramblingfrom",2014
77,77,"Josh Teater",90,86.59,71,82,"Scramblingfrom",2014
78,78,"Aaron Baddeley",74,86.57,58,67,"Scramblingfrom",2014
78,78,"Kevin Stadler",90,86.57,58,67,"Scramblingfrom",2014
80,80,"Marc Leishman",81,86.54,90,104,"Scramblingfrom",2014
81,81,"Erik Compton",88,86.52,77,89,"Scramblingfrom",2014
82,82,"Sangmoon Bae",76,86.49,64,74,"Scramblingfrom",2014
83,83,"Jonathan Byrd",76,86.42,70,81,"Scramblingfrom",2014
84,84,"David Lingmerth",80,86.36,76,88,"Scramblingfrom",2014
84,84,"Heath Slocum",71,86.36,57,66,"Scramblingfrom",2014
86,86,"Jhonattan Vegas",77,86.3,63,73,"Scramblingfrom",2014
