"Total1PuttsInside5_RANKTHISWEEK_2016","Total1PuttsInside5_RANKLASTWEEK_2016","Total1PuttsInside5_PLAYERNAME_2016","Total1PuttsInside5_ROUNDS_2016","Total1PuttsInside5_TOTAL_2016","Total1PuttsInside5_TOTALFORALLDISTANCES_2016","Total1PuttsInside5_PCTOFALL1PUTTS_2016","stat_name","year"
1,1,"Si Woo Kim",63,218,379,57.5,"Total1PuttsInside5",2016
2,2,"Mark Hubbard",73,215,428,50.2,"Total1PuttsInside5",2016
3,5,"Michael Kim",62,199,380,52.4,"Total1PuttsInside5",2016
4,3,"Chez Reavie",56,193,343,56.3,"Total1PuttsInside5",2016
5,4,"Tyrone Van Aswegen",67,189,367,51.5,"Total1PuttsInside5",2016
6,6,"Charles Howell III",63,185,348,53.2,"Total1PuttsInside5",2016
7,8,"Ricky Barnes",57,182,336,54.2,"Total1PuttsInside5",2016
8,7,"Spencer Levin",62,181,324,55.9,"Total1PuttsInside5",2016
9,8,"Derek Fathauer",58,180,333,54.1,"Total1PuttsInside5",2016
10,13,"Luke List",51,176,288,61.1,"Total1PuttsInside5",2016
11,14,"Jamie Lovemark",57,174,367,47.4,"Total1PuttsInside5",2016
11,12,"Nick Taylor",57,174,314,55.4,"Total1PuttsInside5",2016
13,10,"Zac Blair",56,173,313,55.3,"Total1PuttsInside5",2016
13,23,"Colt Knost",56,173,314,55.1,"Total1PuttsInside5",2016
15,20,"William McGirt",54,172,349,49.3,"Total1PuttsInside5",2016
16,20,"Brian Harman",60,171,366,46.7,"Total1PuttsInside5",2016
16,24,"Harold Varner III",58,171,350,48.9,"Total1PuttsInside5",2016
18,18,"Steve Wheatcroft",53,170,322,52.8,"Total1PuttsInside5",2016
19,36,"Lucas Glover",53,168,306,54.9,"Total1PuttsInside5",2016
20,11,"John Huh",51,167,311,53.7,"Total1PuttsInside5",2016
20,32,"Patton Kizzire",57,167,325,51.4,"Total1PuttsInside5",2016
22,22,"Sung Kang",51,163,301,54.2,"Total1PuttsInside5",2016
22,14,"Seung Yul Noh",54,163,317,51.4,"Total1PuttsInside5",2016
24,16,"KJ Choi",47,162,298,54.4,"Total1PuttsInside5",2016
24,27,"Andrew Loupe",50,162,316,51.3,"Total1PuttsInside5",2016
24,16,"Bryce Molder",50,162,298,54.4,"Total1PuttsInside5",2016
24,38,"Jeff Overton",51,162,312,51.9,"Total1PuttsInside5",2016
24,35,"Brett Stegmaier",57,162,317,51.1,"Total1PuttsInside5",2016
29,40,"Martin Laird",46,161,276,58.3,"Total1PuttsInside5",2016
30,25,"Peter Malnati",53,160,315,50.8,"Total1PuttsInside5",2016
31,18,"Jon Curran",55,159,298,53.4,"Total1PuttsInside5",2016
31,40,"Daniel Summerhays",55,159,321,49.5,"Total1PuttsInside5",2016
33,27,"Chad Campbell",54,158,287,55.1,"Total1PuttsInside5",2016
33,47,"Sean OHair",45,158,297,53.2,"Total1PuttsInside5",2016
33,26,"Kyle Stanley",57,158,322,49.1,"Total1PuttsInside5",2016
33,33,"Will Wilcox",47,158,290,54.5,"Total1PuttsInside5",2016
37,50,"Roberto Castro",55,156,304,51.3,"Total1PuttsInside5",2016
37,40,"Camilo Villegas",50,156,301,51.8,"Total1PuttsInside5",2016
39,51,"Kyle Reifers",63,155,321,48.3,"Total1PuttsInside5",2016
40,58,"Kevin Chappell",49,154,291,52.9,"Total1PuttsInside5",2016
41,37,"Whee Kim",54,153,285,53.7,"Total1PuttsInside5",2016
42,27,"Aaron Baddeley",51,152,294,51.7,"Total1PuttsInside5",2016
43,30,"Freddie Jacobson",54,151,300,50.3,"Total1PuttsInside5",2016
43,30,"Chris Kirk",51,151,282,53.5,"Total1PuttsInside5",2016
43,55,"Vijay Singh",42,151,273,55.3,"Total1PuttsInside5",2016
46,47,"Jonas Blixt",46,150,292,51.4,"Total1PuttsInside5",2016
46,43,"Chris Stroud",52,150,288,52.1,"Total1PuttsInside5",2016
48,55,"Graham DeLaet",50,149,283,52.7,"Total1PuttsInside5",2016
48,54,"Fabian Gomez",49,149,299,49.8,"Total1PuttsInside5",2016
48,60,"Patrick Reed",53,149,247,60.3,"Total1PuttsInside5",2016
48,33,"Brandt Snedeker",47,149,268,55.6,"Total1PuttsInside5",2016
52,69,"Scott Stallings",46,148,267,55.4,"Total1PuttsInside5",2016
53,51,"Scott Brown",59,147,292,50.3,"Total1PuttsInside5",2016
54,45,"Bronson Burgoon",53,146,267,54.7,"Total1PuttsInside5",2016
55,49,"Adam Hadwin",53,143,337,42.4,"Total1PuttsInside5",2016
55,45,"Jason Kokrak",52,143,266,53.8,"Total1PuttsInside5",2016
55,39,"Ryan Palmer",46,143,295,48.5,"Total1PuttsInside5",2016
