"Front9Par3ScoringAverage_RANKTHISWEEK_2015","Front9Par3ScoringAverage_RANKLASTWEEK_2015","Front9Par3ScoringAverage_PLAYERNAME_2015","Front9Par3ScoringAverage_ROUNDS_2015","Front9Par3ScoringAverage_AVG_2015","Front9Par3ScoringAverage_TOTALSTROKES_2015","Front9Par3ScoringAverage_TOTALHOLES_2015","stat_name","year"
1,1,"Chad Campbell",97,2.94,571,194,"Front9Par3ScoringAverage",2015
1,1,"Byron Smith",59,2.94,326,111,"Front9Par3ScoringAverage",2015
1,1,"Tyrone Van Aswegen",58,2.94,321,109,"Front9Par3ScoringAverage",2015
4,4,"Billy Hurley III",83,2.95,469,159,"Front9Par3ScoringAverage",2015
4,4,"Martin Laird",77,2.95,454,154,"Front9Par3ScoringAverage",2015
4,4,"Justin Rose",69,2.95,377,128,"Front9Par3ScoringAverage",2015
4,4,"Robert Streb",110,2.95,638,216,"Front9Par3ScoringAverage",2015
8,8,"Jim Herman",88,2.96,524,177,"Front9Par3ScoringAverage",2015
9,9,"Aaron Baddeley",76,2.97,443,149,"Front9Par3ScoringAverage",2015
9,9,"Sangmoon Bae",98,2.97,583,196,"Front9Par3ScoringAverage",2015
9,9,"Jason Day",75,2.97,419,141,"Front9Par3ScoringAverage",2015
9,9,"Jerry Kelly",79,2.97,469,158,"Front9Par3ScoringAverage",2015
9,9,"Michael Putnam",87,2.97,508,171,"Front9Par3ScoringAverage",2015
9,9,"Kyle Reifers",96,2.97,549,185,"Front9Par3ScoringAverage",2015
9,9,"Nick Taylor",91,2.97,543,183,"Front9Par3ScoringAverage",2015
16,16,"Ricky Barnes",82,2.98,468,157,"Front9Par3ScoringAverage",2015
16,16,"Graham DeLaet",65,2.98,379,127,"Front9Par3ScoringAverage",2015
16,16,"Scott Piercy",90,2.98,536,180,"Front9Par3ScoringAverage",2015
16,16,"David Toms",62,2.98,346,116,"Front9Par3ScoringAverage",2015
20,20,"Steven Alker",62,2.99,362,121,"Front9Par3ScoringAverage",2015
20,20,"Stewart Cink",77,2.99,448,150,"Front9Par3ScoringAverage",2015
20,20,"Luke Donald",71,2.99,412,138,"Front9Par3ScoringAverage",2015
20,20,"Martin Flores",95,2.99,544,182,"Front9Par3ScoringAverage",2015
20,20,"Luke Guthrie",84,2.99,491,164,"Front9Par3ScoringAverage",2015
20,20,"Russell Knox",96,2.99,568,190,"Front9Par3ScoringAverage",2015
20,20,"Danny Lee",120,2.99,714,239,"Front9Par3ScoringAverage",2015
20,20,"Patrick Reed",103,2.99,589,197,"Front9Par3ScoringAverage",2015
20,20,"Chris Stroud",84,2.99,506,169,"Front9Par3ScoringAverage",2015
20,20,"Bubba Watson",71,2.99,400,134,"Front9Par3ScoringAverage",2015
30,30,"Zac Blair",108,3,626,209,"Front9Par3ScoringAverage",2015
30,30,"Erik Compton",86,3,516,172,"Front9Par3ScoringAverage",2015
30,30,"Ben Crane",62,3,348,116,"Front9Par3ScoringAverage",2015
30,30,"Brendon de Jonge",106,3,635,212,"Front9Par3ScoringAverage",2015
30,30,"Tony Finau",106,3,635,212,"Front9Par3ScoringAverage",2015
30,30,"Sergio Garcia",59,3,324,108,"Front9Par3ScoringAverage",2015
30,30,"Roger Sloan",56,3,315,105,"Front9Par3ScoringAverage",2015
30,30,"Justin Thomas",106,3,637,212,"Front9Par3ScoringAverage",2015
38,38,"Jason Bohn",95,3.01,575,191,"Front9Par3ScoringAverage",2015
38,38,"Scott Brown",97,3.01,587,195,"Front9Par3ScoringAverage",2015
38,38,"Jon Curran",83,3.01,479,159,"Front9Par3ScoringAverage",2015
38,38,"Colt Knost",90,3.01,521,173,"Front9Par3ScoringAverage",2015
38,38,"Hideki Matsuyama",95,3.01,535,178,"Front9Par3ScoringAverage",2015
38,38,"George McNeill",93,3.01,559,186,"Front9Par3ScoringAverage",2015
38,38,"Ryan Moore",81,3.01,464,154,"Front9Par3ScoringAverage",2015
38,38,"SJ Park",79,3.01,467,155,"Front9Par3ScoringAverage",2015
38,38,"Pat Perez",96,3.01,581,193,"Front9Par3ScoringAverage",2015
38,38,"Andrew Putnam",68,3.01,388,129,"Front9Par3ScoringAverage",2015
38,38,"Jonathan Randolph",72,3.01,424,141,"Front9Par3ScoringAverage",2015
38,38,"Shawn Stefani",94,3.01,566,188,"Front9Par3ScoringAverage",2015
38,38,"Daniel Summerhays",101,3.01,611,203,"Front9Par3ScoringAverage",2015
38,38,"Mark Wilson",89,3.01,512,170,"Front9Par3ScoringAverage",2015
52,52,"Keegan Bradley",87,3.02,501,166,"Front9Par3ScoringAverage",2015
52,52,"KJ Choi",66,3.02,374,124,"Front9Par3ScoringAverage",2015
52,52,"Brian Davis",86,3.02,498,165,"Front9Par3ScoringAverage",2015
52,52,"Brice Garnett",81,3.02,477,158,"Front9Par3ScoringAverage",2015
52,52,"Fabian Gomez",83,3.02,505,167,"Front9Par3ScoringAverage",2015
52,52,"Zach Johnson",90,3.02,514,170,"Front9Par3ScoringAverage",2015
52,52,"Bill Lunde",50,3.02,281,93,"Front9Par3ScoringAverage",2015
52,52,"Scott Pinckney",88,3.02,534,177,"Front9Par3ScoringAverage",2015
52,52,"Jim Renner",68,3.02,402,133,"Front9Par3ScoringAverage",2015
52,52,"Patrick Rodgers",57,3.02,320,106,"Front9Par3ScoringAverage",2015
52,52,"Rory Sabbatini",81,3.02,493,163,"Front9Par3ScoringAverage",2015
52,52,"Johnson Wagner",68,3.02,414,137,"Front9Par3ScoringAverage",2015
64,64,"Alex Cejka",94,3.03,560,185,"Front9Par3ScoringAverage",2015
64,64,"David Hearn",97,3.03,584,193,"Front9Par3ScoringAverage",2015
64,64,"JJ Henry",94,3.03,549,181,"Front9Par3ScoringAverage",2015
64,64,"Charles Howell III",105,3.03,636,210,"Front9Par3ScoringAverage",2015
64,64,"Mark Hubbard",79,3.03,470,155,"Front9Par3ScoringAverage",2015
64,64,"Scott Langley",94,3.03,561,185,"Front9Par3ScoringAverage",2015
64,64,"Ben Martin",93,3.03,533,176,"Front9Par3ScoringAverage",2015
64,64,"William McGirt",103,3.03,627,207,"Front9Par3ScoringAverage",2015
64,64,"Bryce Molder",91,3.03,530,175,"Front9Par3ScoringAverage",2015
64,64,"Cameron Percy",72,3.03,427,141,"Front9Par3ScoringAverage",2015
64,64,"Alex Prugh",84,3.03,488,161,"Front9Par3ScoringAverage",2015
64,64,"Sam Saunders",83,3.03,494,163,"Front9Par3ScoringAverage",2015
64,64,"Vijay Singh",78,3.03,475,157,"Front9Par3ScoringAverage",2015
64,64,"Brandt Snedeker",98,3.03,573,189,"Front9Par3ScoringAverage",2015
64,64,"Hudson Swafford",97,3.03,578,191,"Front9Par3ScoringAverage",2015
64,64,"Brendon Todd",96,3.03,554,183,"Front9Par3ScoringAverage",2015
