"PresidentsCupUnitedes_RANKTHISWEEK_2014","PresidentsCupUnitedes_RANKLASTWEEK_2014","PresidentsCupUnitedes_PLAYERNAME_2014","PresidentsCupUnitedes__2014","PresidentsCupUnitedes_POINTS_2014","stat_name","year"
1,1,"Jimmy Walker",NA,2734,"PresidentsCupUnitedes",2014
2,2,"Bubba Watson",NA,2672,"PresidentsCupUnitedes",2014
3,3,"Jim Furyk",NA,2616,"PresidentsCupUnitedes",2014
4,4,"Zach Johnson",NA,2369,"PresidentsCupUnitedes",2014
5,5,"Chris Kirk",NA,2335,"PresidentsCupUnitedes",2014
6,6,"Matt Kuchar",NA,2244,"PresidentsCupUnitedes",2014
7,7,"Jordan Spieth",NA,2217,"PresidentsCupUnitedes",2014
8,8,"Billy Horschel",NA,2183,"PresidentsCupUnitedes",2014
9,9,"Dustin Johnson",NA,1892,"PresidentsCupUnitedes",2014
10,10,"Webb Simpson",NA,1854,"PresidentsCupUnitedes",2014
11,11,"Rickie Fowler",NA,1827,"PresidentsCupUnitedes",2014
12,12,"Patrick Reed",NA,1820,"PresidentsCupUnitedes",2014
13,13,"Brendon Todd",NA,1650,"PresidentsCupUnitedes",2014
14,14,"Bill Haas",NA,1593,"PresidentsCupUnitedes",2014
15,15,"Kevin Na",NA,1564,"PresidentsCupUnitedes",2014
16,16,"Hunter Mahan",NA,1554,"PresidentsCupUnitedes",2014
17,17,"Harris English",NA,1529,"PresidentsCupUnitedes",2014
18,18,"Ryan Moore",NA,1517,"PresidentsCupUnitedes",2014
19,19,"Keegan Bradley",NA,1470,"PresidentsCupUnitedes",2014
20,20,"Brian Harman",NA,1393,"PresidentsCupUnitedes",2014
21,21,"Gary Woodland",NA,1385,"PresidentsCupUnitedes",2014
22,22,"Ryan Palmer",NA,1330,"PresidentsCupUnitedes",2014
23,23,"Matt Every",NA,1301,"PresidentsCupUnitedes",2014
24,24,"Russell Henley",NA,1200,"PresidentsCupUnitedes",2014
25,25,"Kevin Stadler",NA,1197,"PresidentsCupUnitedes",2014
26,26,"Charles Howell III",NA,1182,"PresidentsCupUnitedes",2014
27,27,"Kevin Streelman",NA,1130,"PresidentsCupUnitedes",2014
28,28,"JB Holmes",NA,1103,"PresidentsCupUnitedes",2014
29,29,"Cameron Tringale",NA,1098,"PresidentsCupUnitedes",2014
30,30,"Charley Hoffman",NA,1082,"PresidentsCupUnitedes",2014
31,31,"Phil Mickelson",NA,1049,"PresidentsCupUnitedes",2014
32,32,"George McNeill",NA,1040,"PresidentsCupUnitedes",2014
33,33,"Daniel Summerhays",NA,985,"PresidentsCupUnitedes",2014
34,34,"Brian Stuard",NA,975,"PresidentsCupUnitedes",2014
35,35,"Nick Watney",NA,957,"PresidentsCupUnitedes",2014
36,36,"Chris Stroud",NA,955,"PresidentsCupUnitedes",2014
37,37,"Will Ma Kenzie",NA,954,"PresidentsCupUnitedes",2014
38,38,"Brandt Snedeker",NA,946,"PresidentsCupUnitedes",2014
39,39,"Justin Hicks",NA,923,"PresidentsCupUnitedes",2014
40,40,"Jason Dufner",NA,892,"PresidentsCupUnitedes",2014
41,41,"Steve Stricker",NA,890,"PresidentsCupUnitedes",2014
42,42,"Ben Crane",NA,859,"PresidentsCupUnitedes",2014
43,43,"Jerry Kelly",NA,847,"PresidentsCupUnitedes",2014
44,44,"Kevin Chappell",NA,841,"PresidentsCupUnitedes",2014
45,45,"Chesson Hadley",NA,839,"PresidentsCupUnitedes",2014
46,46,"Jason Bohn",NA,829,"PresidentsCupUnitedes",2014
47,47,"Erik Compton",NA,819,"PresidentsCupUnitedes",2014
48,48,"Scott Brown",NA,817,"PresidentsCupUnitedes",2014
49,49,"Ben Martin",NA,811,"PresidentsCupUnitedes",2014
50,50,"Morgan Hoffmann",NA,800,"PresidentsCupUnitedes",2014
51,51,"Brendan Steele",NA,769,"PresidentsCupUnitedes",2014
52,52,"William McGirt",NA,758,"PresidentsCupUnitedes",2014
53,53,"Scott Langley",NA,728,"PresidentsCupUnitedes",2014
54,54,"Jason Kokrak",NA,717,"PresidentsCupUnitedes",2014
55,55,"Robert Streb",NA,705,"PresidentsCupUnitedes",2014
56,56,"Scott Stallings",NA,702,"PresidentsCupUnitedes",2014
57,57,"Pat Perez",NA,682,"PresidentsCupUnitedes",2014
58,58,"Shawn Stefani",NA,680,"PresidentsCupUnitedes",2014
59,59,"Robert Garrigus",NA,678,"PresidentsCupUnitedes",2014
60,60,"Andrew Svoboda",NA,658,"PresidentsCupUnitedes",2014
61,61,"Jeff Overton",NA,648,"PresidentsCupUnitedes",2014
62,62,"Billy Hurley III",NA,641,"PresidentsCupUnitedes",2014
63,63,"Michael Putnam",NA,636,"PresidentsCupUnitedes",2014
64,64,"John Huh",NA,596,"PresidentsCupUnitedes",2014
65,65,"Bo Van Pelt",NA,593,"PresidentsCupUnitedes",2014
66,66,"Brooks Koepka",NA,589,"PresidentsCupUnitedes",2014
