"AverageDistanceofPuttsmade_RANKTHISWEEK_2014","AverageDistanceofPuttsmade_RANKLASTWEEK_2014","AverageDistanceofPuttsmade_PLAYERNAME_2014","AverageDistanceofPuttsmade_ROUNDS_2014","AverageDistanceofPuttsmade_AVG_2014","AverageDistanceofPuttsmade_TOTALDISTINCHES_2014","AverageDistanceofPuttsmade_TOTALROUNDS_2014","AverageDistanceofPuttsmade_AVGDIST_2014","AverageDistanceofPuttsmade_BESTROUND_2014","stat_name","year"
1,1,"Graeme McDowell",66,NA,46613,46,NA,NA,"AverageDistanceofPuttsmade",2014
2,2,"Matt Every",85,NA,64933,65,NA,NA,"AverageDistanceofPuttsmade",2014
3,3,"Michael Thompson",74,NA,58738,60,NA,NA,"AverageDistanceofPuttsmade",2014
4,4,"Rory McIlroy",66,NA,46414,48,NA,NA,"AverageDistanceofPuttsmade",2014
5,5,"Danny Lee",84,NA,66492,69,NA,NA,"AverageDistanceofPuttsmade",2014
6,6,"Brendon Todd",108,NA,87678,91,NA,NA,"AverageDistanceofPuttsmade",2014
7,7,"Chris Kirk",105,NA,82734,86,NA,NA,"AverageDistanceofPuttsmade",2014
8,8,"Camilo Villegas",95,NA,80389,84,NA,NA,"AverageDistanceofPuttsmade",2014
9,9,"Freddie Jacobson",91,NA,77448,81,NA,NA,"AverageDistanceofPuttsmade",2014
10,10,"Matt Kuchar",91,NA,72512,76,NA,NA,"AverageDistanceofPuttsmade",2014
11,11,"Brandt Snedeker",89,NA,62734,66,NA,NA,"AverageDistanceofPuttsmade",2014
12,12,"Sangmoon Bae",76,NA,61664,65,NA,NA,"AverageDistanceofPuttsmade",2014
13,13,"Andres Romero",81,NA,68121,72,NA,NA,"AverageDistanceofPuttsmade",2014
14,14,"Stuart Appleby",92,NA,79294,84,NA,NA,"AverageDistanceofPuttsmade",2014
14,14,"Adam Scott",68,NA,52852,56,NA,NA,"AverageDistanceofPuttsmade",2014
16,16,"Phil Mickelson",71,NA,47134,50,NA,NA,"AverageDistanceofPuttsmade",2014
17,17,"Greg Chalmers",85,NA,68761,73,NA,NA,"AverageDistanceofPuttsmade",2014
17,17,"Henrik Stenson",56,NA,35793,38,NA,NA,"AverageDistanceofPuttsmade",2014
19,19,"John Senden",99,NA,76114,81,NA,NA,"AverageDistanceofPuttsmade",2014
20,20,"Aaron Baddeley",74,NA,55391,59,NA,NA,"AverageDistanceofPuttsmade",2014
21,21,"Russell Henley",92,NA,70363,75,NA,NA,"AverageDistanceofPuttsmade",2014
21,21,"Lee Westwood",57,NA,40344,43,NA,NA,"AverageDistanceofPuttsmade",2014
23,23,"Paul Casey",56,NA,41134,44,NA,NA,"AverageDistanceofPuttsmade",2014
24,24,"Luke Guthrie",85,NA,70891,76,NA,NA,"AverageDistanceofPuttsmade",2014
25,25,"Sergio Garcia",61,NA,37259,40,NA,NA,"AverageDistanceofPuttsmade",2014
26,26,"Charlie Beljan",76,NA,61974,67,NA,NA,"AverageDistanceofPuttsmade",2014
27,27,"George McNeill",79,NA,64698,70,NA,NA,"AverageDistanceofPuttsmade",2014
28,28,"David Hearn",97,NA,75721,82,NA,NA,"AverageDistanceofPuttsmade",2014
28,28,"Webb Simpson",87,NA,68269,74,NA,NA,"AverageDistanceofPuttsmade",2014
30,30,"Morgan Hoffmann",103,NA,82860,90,NA,NA,"AverageDistanceofPuttsmade",2014
31,31,"Ryan Palmer",85,NA,61658,67,NA,NA,"AverageDistanceofPuttsmade",2014
32,32,"Troy Merritt",62,NA,50508,55,NA,NA,"AverageDistanceofPuttsmade",2014
32,32,"Jimmy Walker",98,NA,67019,73,NA,NA,"AverageDistanceofPuttsmade",2014
34,34,"DH Lee",54,NA,41227,45,NA,NA,"AverageDistanceofPuttsmade",2014
35,35,"Jordan Spieth",102,NA,72255,79,NA,NA,"AverageDistanceofPuttsmade",2014
36,36,"Scott Brown",100,NA,75676,83,NA,NA,"AverageDistanceofPuttsmade",2014
36,36,"Luke Donald",57,NA,40110,44,NA,NA,"AverageDistanceofPuttsmade",2014
38,38,"Brendan Steele",89,NA,63801,70,NA,NA,"AverageDistanceofPuttsmade",2014
39,39,"Andrew Loupe",65,NA,45503,50,NA,NA,"AverageDistanceofPuttsmade",2014
40,40,"Ian Poulter",57,NA,37271,41,NA,NA,"AverageDistanceofPuttsmade",2014
41,41,"Ben Curtis",77,NA,57974,64,NA,NA,"AverageDistanceofPuttsmade",2014
41,41,"Rory Sabbatini",82,NA,58916,65,NA,NA,"AverageDistanceofPuttsmade",2014
41,41,"Chris Stroud",88,NA,65246,72,NA,NA,"AverageDistanceofPuttsmade",2014
44,44,"Erik Compton",88,NA,67877,75,NA,NA,"AverageDistanceofPuttsmade",2014
44,44,"Jeff Overton",80,NA,59707,66,NA,NA,"AverageDistanceofPuttsmade",2014
46,46,"Graham DeLaet",80,NA,57869,64,NA,NA,"AverageDistanceofPuttsmade",2014
47,47,"Brian Davis",93,NA,73105,81,NA,NA,"AverageDistanceofPuttsmade",2014
47,47,"Kevin Na",94,NA,70462,78,NA,NA,"AverageDistanceofPuttsmade",2014
49,49,"Seung Yul Noh",92,NA,67678,75,NA,NA,"AverageDistanceofPuttsmade",2014
49,49,"Daniel Summerhays",98,NA,79402,88,NA,NA,"AverageDistanceofPuttsmade",2014
49,49,"David Toms",64,NA,48693,54,NA,NA,"AverageDistanceofPuttsmade",2014
52,52,"Ted Potter Jr",68,NA,54069,60,NA,NA,"AverageDistanceofPuttsmade",2014
53,53,"Brooks Koepka",56,NA,37781,42,NA,NA,"AverageDistanceofPuttsmade",2014
54,54,"Justin Hicks",103,NA,80886,90,NA,NA,"AverageDistanceofPuttsmade",2014
54,54,"Brian Stuard",91,NA,66521,74,NA,NA,"AverageDistanceofPuttsmade",2014
56,56,"Ryo Ishikawa",75,NA,55698,62,NA,NA,"AverageDistanceofPuttsmade",2014
56,56,"Hunter Mahan",88,NA,64628,72,NA,NA,"AverageDistanceofPuttsmade",2014
56,56,"Robert Streb",75,NA,57499,64,NA,NA,"AverageDistanceofPuttsmade",2014
56,56,"Bo Van Pelt",83,NA,60188,67,NA,NA,"AverageDistanceofPuttsmade",2014
60,60,"Ben Crane",81,NA,69895,78,NA,NA,"AverageDistanceofPuttsmade",2014
60,60,"Billy Horschel",92,NA,61810,69,NA,NA,"AverageDistanceofPuttsmade",2014
62,62,"Will Ma Kenzie",82,NA,65320,73,NA,NA,"AverageDistanceofPuttsmade",2014
63,63,"Dustin Johnson",58,NA,36667,41,NA,NA,"AverageDistanceofPuttsmade",2014
63,63,"Ryan Moore",86,NA,55457,62,NA,NA,"AverageDistanceofPuttsmade",2014
65,65,"Heath Slocum",71,NA,55300,62,NA,NA,"AverageDistanceofPuttsmade",2014
66,66,"Jerry Kelly",80,NA,58791,66,NA,NA,"AverageDistanceofPuttsmade",2014
67,67,"Ricky Barnes",92,NA,69357,78,NA,NA,"AverageDistanceofPuttsmade",2014
67,67,"KJ Choi",80,NA,59544,67,NA,NA,"AverageDistanceofPuttsmade",2014
67,67,"Brian Harman",111,NA,89751,101,NA,NA,"AverageDistanceofPuttsmade",2014
67,67,"Justin Rose",70,NA,46224,52,NA,NA,"AverageDistanceofPuttsmade",2014
71,71,"Scott Langley",95,NA,70059,79,NA,NA,"AverageDistanceofPuttsmade",2014
72,72,"Charley Hoffman",93,NA,67282,76,NA,NA,"AverageDistanceofPuttsmade",2014
73,73,"James Driscoll",71,NA,51271,58,NA,NA,"AverageDistanceofPuttsmade",2014
