"Back9Round2ScoringAverage_RANKTHISWEEK_2009","Back9Round2ScoringAverage_RANKLASTWEEK_2009","Back9Round2ScoringAverage_PLAYERNAME_2009","Back9Round2ScoringAverage__2009","Back9Round2ScoringAverage_AVG_2009","Back9Round2ScoringAverage_TOTALSTROKES_2009","Back9Round2ScoringAverage_TOTALROUNDS_2009","stat_name","year"
1,1,"Tag Ridings",NA,34.2,513,15,"Back9Round2ScoringAverage",2009
2,2,"Tim Clark",NA,34.52,725,21,"Back9Round2ScoringAverage",2009
3,3,"Michael Letzig",NA,34.54,898,26,"Back9Round2ScoringAverage",2009
4,4,"Tiger Woods",NA,34.56,553,16,"Back9Round2ScoringAverage",2009
5,5,"Troy Matteson",NA,34.57,1037,30,"Back9Round2ScoringAverage",2009
5,5,"Bryce Molder",NA,34.57,726,21,"Back9Round2ScoringAverage",2009
7,7,"David Toms",NA,34.63,935,27,"Back9Round2ScoringAverage",2009
8,8,"YE Yang",NA,34.65,797,23,"Back9Round2ScoringAverage",2009
9,9,"John Senden",NA,34.66,1005,29,"Back9Round2ScoringAverage",2009
10,10,"Freddie Jacobson",NA,34.72,868,25,"Back9Round2ScoringAverage",2009
11,11,"Ryan Moore",NA,34.78,939,27,"Back9Round2ScoringAverage",2009
11,11,"Gary Woodland",NA,34.78,626,18,"Back9Round2ScoringAverage",2009
13,13,"JJ Henry",NA,34.86,976,28,"Back9Round2ScoringAverage",2009
14,14,"Jason Gore",NA,34.87,802,23,"Back9Round2ScoringAverage",2009
15,15,"Mark Brooks",NA,34.88,558,16,"Back9Round2ScoringAverage",2009
16,16,"Steve Stricker",NA,34.9,733,21,"Back9Round2ScoringAverage",2009
17,17,"Mike Weir",NA,34.91,803,23,"Back9Round2ScoringAverage",2009
18,18,"Jason Bohn",NA,34.92,873,25,"Back9Round2ScoringAverage",2009
18,18,"Hunter Mahan",NA,34.92,838,24,"Back9Round2ScoringAverage",2009
20,20,"Webb Simpson",NA,34.93,1048,30,"Back9Round2ScoringAverage",2009
21,21,"Angel Cabrera",NA,34.94,559,16,"Back9Round2ScoringAverage",2009
22,22,"Fred Couples",NA,35,560,16,"Back9Round2ScoringAverage",2009
22,22,"Bob Heintz",NA,35,700,20,"Back9Round2ScoringAverage",2009
22,22,"Charley Hoffman",NA,35,945,27,"Back9Round2ScoringAverage",2009
22,22,"Anthony Kim",NA,35,735,21,"Back9Round2ScoringAverage",2009
22,22,"Justin Leonard",NA,35,875,25,"Back9Round2ScoringAverage",2009
22,22,"Davis Love III",NA,35,875,25,"Back9Round2ScoringAverage",2009
22,22,"Rocco Mediate",NA,35,770,22,"Back9Round2ScoringAverage",2009
29,29,"Daniel Chopra",NA,35.04,911,26,"Back9Round2ScoringAverage",2009
29,29,"Zach Johnson",NA,35.04,876,25,"Back9Round2ScoringAverage",2009
29,29,"Rory Sabbatini",NA,35.04,841,24,"Back9Round2ScoringAverage",2009
29,29,"Scott Verplank",NA,35.04,841,24,"Back9Round2ScoringAverage",2009
29,29,"Bubba Watson",NA,35.04,806,23,"Back9Round2ScoringAverage",2009
34,34,"Jim Furyk",NA,35.05,771,22,"Back9Round2ScoringAverage",2009
34,34,"Retief Goosen",NA,35.05,666,19,"Back9Round2ScoringAverage",2009
36,36,"Matt Jones",NA,35.06,561,16,"Back9Round2ScoringAverage",2009
37,37,"Chad Campbell",NA,35.08,877,25,"Back9Round2ScoringAverage",2009
37,37,"Jason Dufner",NA,35.08,912,26,"Back9Round2ScoringAverage",2009
37,37,"Jerry Kelly",NA,35.08,877,25,"Back9Round2ScoringAverage",2009
40,40,"Robert Allenby",NA,35.1,702,20,"Back9Round2ScoringAverage",2009
41,41,"Bill Lunde",NA,35.12,913,26,"Back9Round2ScoringAverage",2009
41,41,"Scott McCarron",NA,35.12,913,26,"Back9Round2ScoringAverage",2009
43,43,"Kenny Perry",NA,35.13,808,23,"Back9Round2ScoringAverage",2009
44,44,"Harrison Frazar",NA,35.14,984,28,"Back9Round2ScoringAverage",2009
45,45,"Greg Chalmers",NA,35.15,914,26,"Back9Round2ScoringAverage",2009
45,45,"Jeff Maggert",NA,35.15,914,26,"Back9Round2ScoringAverage",2009
45,45,"Tom Pernice Jr",NA,35.15,914,26,"Back9Round2ScoringAverage",2009
48,48,"Rich Beem",NA,35.16,879,25,"Back9Round2ScoringAverage",2009
48,48,"Geoff Ogilvy",NA,35.16,668,19,"Back9Round2ScoringAverage",2009
50,50,"Bill Haas",NA,35.17,1020,29,"Back9Round2ScoringAverage",2009
50,50,"DA Points",NA,35.17,1020,29,"Back9Round2ScoringAverage",2009
52,52,"Jason Day",NA,35.18,598,17,"Back9Round2ScoringAverage",2009
52,52,"Joe Ogilvie",NA,35.18,985,28,"Back9Round2ScoringAverage",2009
54,54,"Cameron Beckman",NA,35.19,915,26,"Back9Round2ScoringAverage",2009
54,54,"Lucas Glover",NA,35.19,915,26,"Back9Round2ScoringAverage",2009
54,54,"Aron Price",NA,35.19,915,26,"Back9Round2ScoringAverage",2009
57,57,"Steve Marino",NA,35.21,1021,29,"Back9Round2ScoringAverage",2009
57,57,"John Merrick",NA,35.21,986,28,"Back9Round2ScoringAverage",2009
59,59,"Ernie Els",NA,35.22,634,18,"Back9Round2ScoringAverage",2009
59,59,"John Rollins",NA,35.22,951,27,"Back9Round2ScoringAverage",2009
59,59,"Chris Stroud",NA,35.22,951,27,"Back9Round2ScoringAverage",2009
62,62,"Chris Riley",NA,35.23,775,22,"Back9Round2ScoringAverage",2009
63,63,"Ryuji Imada",NA,35.24,881,25,"Back9Round2ScoringAverage",2009
64,64,"Kris Blanks",NA,35.25,705,20,"Back9Round2ScoringAverage",2009
64,64,"Robert Garrigus",NA,35.25,846,24,"Back9Round2ScoringAverage",2009
64,64,"Matt Kuchar",NA,35.25,846,24,"Back9Round2ScoringAverage",2009
64,64,"Ian Poulter",NA,35.25,564,16,"Back9Round2ScoringAverage",2009
64,64,"Vaughn Taylor",NA,35.25,987,28,"Back9Round2ScoringAverage",2009
69,69,"Dustin Johnson",NA,35.26,811,23,"Back9Round2ScoringAverage",2009
70,70,"Heath Slocum",NA,35.27,1058,30,"Back9Round2ScoringAverage",2009
71,71,"Spencer Levin",NA,35.28,882,25,"Back9Round2ScoringAverage",2009
72,72,"Sean OHair",NA,35.29,741,21,"Back9Round2ScoringAverage",2009
73,73,"Bo Van Pelt",NA,35.3,1059,30,"Back9Round2ScoringAverage",2009
74,74,"Brian Gay",NA,35.31,918,26,"Back9Round2ScoringAverage",2009
75,75,"Ben Crane",NA,35.35,919,26,"Back9Round2ScoringAverage",2009
75,75,"Jimmy Walker",NA,35.35,813,23,"Back9Round2ScoringAverage",2009
75,75,"Charles Warren",NA,35.35,707,20,"Back9Round2ScoringAverage",2009
78,78,"Tom Lehman",NA,35.38,566,16,"Back9Round2ScoringAverage",2009
78,78,"Jarrod Lyle",NA,35.38,743,21,"Back9Round2ScoringAverage",2009
78,78,"Casey Wittenberg",NA,35.38,849,24,"Back9Round2ScoringAverage",2009
81,81,"Marc Leishman",NA,35.39,991,28,"Back9Round2ScoringAverage",2009
82,82,"Glen Day",NA,35.4,885,25,"Back9Round2ScoringAverage",2009
83,83,"Michael Allen",NA,35.41,779,22,"Back9Round2ScoringAverage",2009
83,83,"David Mathis",NA,35.41,956,27,"Back9Round2ScoringAverage",2009
85,85,"Alex Cejka",NA,35.42,850,24,"Back9Round2ScoringAverage",2009
85,85,"George McNeill",NA,35.42,921,26,"Back9Round2ScoringAverage",2009
87,87,"Richard Johnson",NA,35.44,886,25,"Back9Round2ScoringAverage",2009
88,88,"Jeff Overton",NA,35.46,922,26,"Back9Round2ScoringAverage",2009
88,88,"Scott Piercy",NA,35.46,922,26,"Back9Round2ScoringAverage",2009
90,90,"Padraig Harrington",NA,35.47,674,19,"Back9Round2ScoringAverage",2009
90,90,"Patrick Sheehan",NA,35.47,532,15,"Back9Round2ScoringAverage",2009
92,92,"Greg Owen",NA,35.48,1029,29,"Back9Round2ScoringAverage",2009
92,92,"Boo Weekley",NA,35.48,745,21,"Back9Round2ScoringAverage",2009
94,94,"Bob Estes",NA,35.5,781,22,"Back9Round2ScoringAverage",2009
94,94,"Will Ma Kenzie",NA,35.5,852,24,"Back9Round2ScoringAverage",2009
94,94,"Kevin Sutherland",NA,35.5,923,26,"Back9Round2ScoringAverage",2009
97,97,"Stuart Appleby",NA,35.54,853,24,"Back9Round2ScoringAverage",2009
97,97,"Briny Baird",NA,35.54,995,28,"Back9Round2ScoringAverage",2009
99,99,"Jonathan Byrd",NA,35.56,889,25,"Back9Round2ScoringAverage",2009
100,100,"Woody Austin",NA,35.58,854,24,"Back9Round2ScoringAverage",2009
100,100,"Nick Watney",NA,35.58,854,24,"Back9Round2ScoringAverage",2009
102,102,"Brian Davis",NA,35.6,1068,30,"Back9Round2ScoringAverage",2009
102,102,"Luke Donald",NA,35.6,712,20,"Back9Round2ScoringAverage",2009
102,102,"Nathan Green",NA,35.6,1068,30,"Back9Round2ScoringAverage",2009
102,102,"Ted Purdy",NA,35.6,1068,30,"Back9Round2ScoringAverage",2009
106,106,"Ryan Palmer",NA,35.62,926,26,"Back9Round2ScoringAverage",2009
106,106,"Johnson Wagner",NA,35.62,926,26,"Back9Round2ScoringAverage",2009
108,108,"JB Holmes",NA,35.63,855,24,"Back9Round2ScoringAverage",2009
108,108,"John Mallinger",NA,35.63,962,27,"Back9Round2ScoringAverage",2009
110,110,"Paul Goydos",NA,35.64,891,25,"Back9Round2ScoringAverage",2009
