"LeftRoughTendencyRTPScore_RANKTHISWEEK_2014","LeftRoughTendencyRTPScore_RANKLASTWEEK_2014","LeftRoughTendencyRTPScore_PLAYERNAME_2014","LeftRoughTendencyRTPScore_ROUNDS_2014","LeftRoughTendencyRTPScore_RTPSCORE_2014","stat_name","year"
1,1,"Charles Howell III",106,-0.093,"LeftRoughTendencyRTPScore",2014
2,2,"Charl Schwartzel",64,-0.092,"LeftRoughTendencyRTPScore",2014
3,3,"Jhonattan Vegas",77,-0.07,"LeftRoughTendencyRTPScore",2014
3,3,"Bubba Watson",76,-0.07,"LeftRoughTendencyRTPScore",2014
5,5,"Rory McIlroy",66,-0.066,"LeftRoughTendencyRTPScore",2014
6,6,"Boo Weekley",73,-0.06,"LeftRoughTendencyRTPScore",2014
7,7,"Sergio Garcia",61,-0.053,"LeftRoughTendencyRTPScore",2014
8,8,"Heath Slocum",71,-0.05,"LeftRoughTendencyRTPScore",2014
9,9,"Jason Kokrak",65,-0.043,"LeftRoughTendencyRTPScore",2014
10,10,"Jamie Lovemark",64,-0.037,"LeftRoughTendencyRTPScore",2014
11,11,"Charley Hoffman",93,-0.03,"LeftRoughTendencyRTPScore",2014
12,12,"Brooks Koepka",56,-0.024,"LeftRoughTendencyRTPScore",2014
13,13,"Dustin Johnson",58,-0.021,"LeftRoughTendencyRTPScore",2014
14,14,"Hudson Swafford",75,-0.019,"LeftRoughTendencyRTPScore",2014
15,15,"Matt Jones",83,-0.016,"LeftRoughTendencyRTPScore",2014
16,16,"Ryan Palmer",85,-0.013,"LeftRoughTendencyRTPScore",2014
17,17,"Aaron Baddeley",74,-0.011,"LeftRoughTendencyRTPScore",2014
17,17,"Kevin Tway",64,-0.011,"LeftRoughTendencyRTPScore",2014
19,19,"Phil Mickelson",71,-0.009,"LeftRoughTendencyRTPScore",2014
20,20,"Matt Every",85,0,"LeftRoughTendencyRTPScore",2014
20,20,"Ian Poulter",57,0,"LeftRoughTendencyRTPScore",2014
22,22,"Ricky Barnes",92,0.006,"LeftRoughTendencyRTPScore",2014
22,22,"Jimmy Walker",98,0.006,"LeftRoughTendencyRTPScore",2014
24,24,"Chad Campbell",57,0.012,"LeftRoughTendencyRTPScore",2014
25,25,"JJ Henry",91,0.013,"LeftRoughTendencyRTPScore",2014
25,25,"Troy Merritt",62,0.013,"LeftRoughTendencyRTPScore",2014
27,27,"Brice Garnett",92,0.015,"LeftRoughTendencyRTPScore",2014
28,28,"John Rollins",84,0.017,"LeftRoughTendencyRTPScore",2014
29,29,"Bryce Molder",77,0.023,"LeftRoughTendencyRTPScore",2014
29,29,"Will Wilcox",51,0.023,"LeftRoughTendencyRTPScore",2014
31,31,"Charlie Wi",72,0.027,"LeftRoughTendencyRTPScore",2014
32,32,"Bill Haas",107,0.029,"LeftRoughTendencyRTPScore",2014
33,33,"Martin Flores",85,0.03,"LeftRoughTendencyRTPScore",2014
34,34,"Luke Guthrie",85,0.031,"LeftRoughTendencyRTPScore",2014
35,35,"Zach Johnson",97,0.035,"LeftRoughTendencyRTPScore",2014
35,35,"John Senden",99,0.035,"LeftRoughTendencyRTPScore",2014
37,37,"Brendon de Jonge",109,0.038,"LeftRoughTendencyRTPScore",2014
37,37,"Freddie Jacobson",91,0.038,"LeftRoughTendencyRTPScore",2014
39,39,"Hideki Matsuyama",82,0.042,"LeftRoughTendencyRTPScore",2014
40,40,"Retief Goosen",94,0.043,"LeftRoughTendencyRTPScore",2014
40,40,"Shawn Stefani",60,0.043,"LeftRoughTendencyRTPScore",2014
42,42,"Matt Kuchar",91,0.044,"LeftRoughTendencyRTPScore",2014
42,42,"Justin Rose",70,0.044,"LeftRoughTendencyRTPScore",2014
44,44,"Stewart Cink",91,0.046,"LeftRoughTendencyRTPScore",2014
45,45,"Bronson La Cassie",51,0.047,"LeftRoughTendencyRTPScore",2014
46,46,"Kevin Na",94,0.05,"LeftRoughTendencyRTPScore",2014
46,46,"Carl Pettersson",91,0.05,"LeftRoughTendencyRTPScore",2014
46,46,"Andres Romero",81,0.05,"LeftRoughTendencyRTPScore",2014
46,46,"Webb Simpson",87,0.05,"LeftRoughTendencyRTPScore",2014
50,50,"Jerry Kelly",80,0.051,"LeftRoughTendencyRTPScore",2014
50,50,"Daniel Summerhays",98,0.051,"LeftRoughTendencyRTPScore",2014
52,52,"Marc Leishman",81,0.052,"LeftRoughTendencyRTPScore",2014
