"AveragePuttingDistanceAll1putts_RANKTHISWEEK_2011","AveragePuttingDistanceAll1putts_RANKLASTWEEK_2011","AveragePuttingDistanceAll1putts_PLAYERNAME_2011","AveragePuttingDistanceAll1putts_ROUNDS_2011","AveragePuttingDistanceAll1putts_AVG_2011","AveragePuttingDistanceAll1putts_DISTANCEFEET_2011","AveragePuttingDistanceAll1putts_TOTALPUTTS_2011","stat_name","year"
1,1,"Martin Piller",63,NA,2894.083,349,"AveragePuttingDistanceAll1putts",2011
1,1,"Johnson Wagner",81,NA,3979,479,"AveragePuttingDistanceAll1putts",2011
3,3,"Lucas Glover",74,NA,3559.5,430,"AveragePuttingDistanceAll1putts",2011
3,3,"Fabian Gomez",84,NA,3731.667,452,"AveragePuttingDistanceAll1putts",2011
3,3,"John Senden",94,NA,4324.417,523,"AveragePuttingDistanceAll1putts",2011
3,3,"David Toms",78,NA,3444.083,419,"AveragePuttingDistanceAll1putts",2011
7,7,"Hunter Mahan",92,NA,4471.083,549,"AveragePuttingDistanceAll1putts",2011
7,7,"Alexandre Rocha",65,NA,2455.417,301,"AveragePuttingDistanceAll1putts",2011
7,7,"John Rollins",85,NA,3870.333,476,"AveragePuttingDistanceAll1putts",2011
10,10,"Marc Turnesa",54,NA,2340,290,"AveragePuttingDistanceAll1putts",2011
11,11,"Ben Martin",74,NA,3515.583,441,"AveragePuttingDistanceAll1putts",2011
11,11,"Graeme McDowell",50,NA,2184.917,272,"AveragePuttingDistanceAll1putts",2011
11,11,"Matt McQuillan",59,NA,2787.167,347,"AveragePuttingDistanceAll1putts",2011
14,14,"Hunter Haas",96,NA,4816.333,609,"AveragePuttingDistanceAll1putts",2011
14,14,"Sung Kang",63,NA,2694.333,340,"AveragePuttingDistanceAll1putts",2011
14,14,"Steve Marino",76,NA,3587.583,455,"AveragePuttingDistanceAll1putts",2011
14,14,"Chez Reavie",92,NA,4408.583,557,"AveragePuttingDistanceAll1putts",2011
18,18,"Ernie Els",71,NA,2731.417,350,"AveragePuttingDistanceAll1putts",2011
18,18,"Brandt Jobe",100,NA,4312.667,548,"AveragePuttingDistanceAll1putts",2011
18,18,"John Merrick",71,NA,3147.083,400,"AveragePuttingDistanceAll1putts",2011
18,18,"Aron Price",58,NA,2597.917,332,"AveragePuttingDistanceAll1putts",2011
22,22,"David Hearn",88,NA,4004.333,518,"AveragePuttingDistanceAll1putts",2011
22,22,"Kent Jones",76,NA,3432.833,444,"AveragePuttingDistanceAll1putts",2011
22,22,"Billy Mayfair",94,NA,4408.417,567,"AveragePuttingDistanceAll1putts",2011
22,22,"William McGirt",103,NA,4696.667,605,"AveragePuttingDistanceAll1putts",2011
22,22,"Cameron Tringale",110,NA,5056.75,651,"AveragePuttingDistanceAll1putts",2011
27,27,"Shane Bertsch",62,NA,2880.917,376,"AveragePuttingDistanceAll1putts",2011
27,27,"Lee Janzen",62,NA,2707.833,354,"AveragePuttingDistanceAll1putts",2011
27,27,"Bill Lunde",92,NA,3954.167,516,"AveragePuttingDistanceAll1putts",2011
27,27,"Shaun Micheel",77,NA,3410.167,447,"AveragePuttingDistanceAll1putts",2011
27,27,"Charl Schwartzel",58,NA,2140.25,279,"AveragePuttingDistanceAll1putts",2011
27,27,"Kevin Stadler",88,NA,3602.667,470,"AveragePuttingDistanceAll1putts",2011
27,27,"Jhonattan Vegas",84,NA,3493,458,"AveragePuttingDistanceAll1putts",2011
34,34,"Stephen Ames",69,NA,3172.917,420,"AveragePuttingDistanceAll1putts",2011
34,34,"Cameron Beckman",71,NA,3452.667,455,"AveragePuttingDistanceAll1putts",2011
34,34,"Angel Cabrera",50,NA,1982.167,262,"AveragePuttingDistanceAll1putts",2011
34,34,"Jason Day",76,NA,3541.75,465,"AveragePuttingDistanceAll1putts",2011
34,34,"David Duval",67,NA,3006.583,396,"AveragePuttingDistanceAll1putts",2011
34,34,"Rickie Fowler",84,NA,3817.583,502,"AveragePuttingDistanceAll1putts",2011
34,34,"Tommy Gainey",104,NA,4721.5,625,"AveragePuttingDistanceAll1putts",2011
34,34,"Retief Goosen",50,NA,2118.5,279,"AveragePuttingDistanceAll1putts",2011
34,34,"Nick OHern",89,NA,3937.583,521,"AveragePuttingDistanceAll1putts",2011
34,34,"Michael Putnam",67,NA,2769.333,364,"AveragePuttingDistanceAll1putts",2011
34,34,"Will Strickler",51,NA,2320,307,"AveragePuttingDistanceAll1putts",2011
34,34,"Gary Woodland",93,NA,3414.167,452,"AveragePuttingDistanceAll1putts",2011
46,46,"Robert Allenby",84,NA,3535.667,469,"AveragePuttingDistanceAll1putts",2011
46,46,"Matt Bettencourt",84,NA,4087.167,546,"AveragePuttingDistanceAll1putts",2011
46,46,"Kris Blanks",92,NA,3982.333,529,"AveragePuttingDistanceAll1putts",2011
46,46,"Stewart Cink",72,NA,2641.083,354,"AveragePuttingDistanceAll1putts",2011
46,46,"Charles Howell III",108,NA,4707.167,627,"AveragePuttingDistanceAll1putts",2011
46,46,"Richard Johnson",64,NA,2634.5,353,"AveragePuttingDistanceAll1putts",2011
46,46,"Jeff Overton",92,NA,3861.667,517,"AveragePuttingDistanceAll1putts",2011
46,46,"Rod Pampling",72,NA,3167.167,424,"AveragePuttingDistanceAll1putts",2011
46,46,"Pat Perez",76,NA,3956.583,526,"AveragePuttingDistanceAll1putts",2011
46,46,"Carl Pettersson",95,NA,4826.5,644,"AveragePuttingDistanceAll1putts",2011
46,46,"Jim Renner",65,NA,2856.917,383,"AveragePuttingDistanceAll1putts",2011
46,46,"Tag Ridings",87,NA,3923.333,521,"AveragePuttingDistanceAll1putts",2011
46,46,"Vijay Singh",79,NA,3811.75,508,"AveragePuttingDistanceAll1putts",2011
46,46,"Bubba Watson",85,NA,3005.167,402,"AveragePuttingDistanceAll1putts",2011
46,46,"Dean Wilson",62,NA,3090.583,410,"AveragePuttingDistanceAll1putts",2011
61,61,"Briny Baird",60,NA,2350.417,317,"AveragePuttingDistanceAll1putts",2011
61,61,"KJ Choi",77,NA,2982.417,400,"AveragePuttingDistanceAll1putts",2011
61,61,"Brendon de Jonge",105,NA,4972.333,672,"AveragePuttingDistanceAll1putts",2011
61,61,"JP Hayes",56,NA,2564.833,344,"AveragePuttingDistanceAll1putts",2011
61,61,"Billy Horschel",75,NA,3095.25,417,"AveragePuttingDistanceAll1putts",2011
61,61,"Trevor Immelman",84,NA,3233.083,436,"AveragePuttingDistanceAll1putts",2011
61,61,"Scott McCarron",65,NA,2942.75,397,"AveragePuttingDistanceAll1putts",2011
61,61,"Webb Simpson",98,NA,4507.333,607,"AveragePuttingDistanceAll1putts",2011
61,61,"Brandt Snedeker",85,NA,3942.833,531,"AveragePuttingDistanceAll1putts",2011
61,61,"Kevin Streelman",90,NA,3783,508,"AveragePuttingDistanceAll1putts",2011
61,61,"Michael Thompson",79,NA,3669.25,497,"AveragePuttingDistanceAll1putts",2011
61,61,"Camilo Villegas",69,NA,2966.667,402,"AveragePuttingDistanceAll1putts",2011
73,73,"Blake Adams",116,NA,5591.833,762,"AveragePuttingDistanceAll1putts",2011
73,73,"Chris Couch",73,NA,3658.583,499,"AveragePuttingDistanceAll1putts",2011
73,73,"Ben Curtis",66,NA,3144.5,431,"AveragePuttingDistanceAll1putts",2011
73,73,"Bill Haas",93,NA,3561.75,485,"AveragePuttingDistanceAll1putts",2011
73,73,"JJ Henry",96,NA,3688.333,502,"AveragePuttingDistanceAll1putts",2011
73,73,"Jim Herman",69,NA,2589.75,353,"AveragePuttingDistanceAll1putts",2011
73,73,"Dustin Johnson",72,NA,2596.167,356,"AveragePuttingDistanceAll1putts",2011
