"ScramblingAverageDistancetoHole_RANKTHISWEEK_2009","ScramblingAverageDistancetoHole_RANKLASTWEEK_2009","ScramblingAverageDistancetoHole_PLAYERNAME_2009","ScramblingAverageDistancetoHole_ROUNDS_2009","ScramblingAverageDistancetoHole_AVGDTP_2009","ScramblingAverageDistancetoHole_TOTALDISTANCEFEET_2009","ScramblingAverageDistancetoHole_ATTEMPTS_2009","stat_name","year"
1,1,"Steve Stricker",81,NA,2228.083,341,"ScramblingAverageDistancetoHole",2009
1,1,"Tiger Woods",64,NA,1537.333,236,"ScramblingAverageDistancetoHole",2009
3,3,"Ian Poulter",59,NA,1763.25,258,"ScramblingAverageDistancetoHole",2009
3,3,"Chris Riley",77,NA,2512.333,368,"ScramblingAverageDistancetoHole",2009
5,5,"Glen Day",79,NA,2338.667,340,"ScramblingAverageDistancetoHole",2009
5,5,"Brian Gay",96,NA,3345.917,483,"ScramblingAverageDistancetoHole",2009
7,7,"Tim Clark",81,NA,2154.583,306,"ScramblingAverageDistancetoHole",2009
7,7,"Jim Furyk",86,NA,2389.167,342,"ScramblingAverageDistancetoHole",2009
7,7,"Matt Kuchar",82,NA,2840.167,406,"ScramblingAverageDistancetoHole",2009
10,10,"Nathan Green",104,NA,3821.25,537,"ScramblingAverageDistancetoHole",2009
10,10,"Corey Pavin",73,NA,2274.75,320,"ScramblingAverageDistancetoHole",2009
10,10,"Mike Weir",85,NA,2720.833,384,"ScramblingAverageDistancetoHole",2009
13,13,"Ernie Els",70,NA,2076,289,"ScramblingAverageDistancetoHole",2009
13,13,"Kevin Stadler",65,NA,1962.167,273,"ScramblingAverageDistancetoHole",2009
13,13,"Darron Stiles",52,NA,1665.25,232,"ScramblingAverageDistancetoHole",2009
16,16,"Jarrod Lyle",65,NA,1970.667,271,"ScramblingAverageDistancetoHole",2009
16,16,"Tom Pernice Jr",82,NA,3150.833,435,"ScramblingAverageDistancetoHole",2009
18,18,"Chris DiMarco",97,NA,3604,492,"ScramblingAverageDistancetoHole",2009
18,18,"Spencer Levin",75,NA,2460.917,335,"ScramblingAverageDistancetoHole",2009
18,18,"Tim Petrovic",97,NA,3517.583,478,"ScramblingAverageDistancetoHole",2009
