"LatePar5ScoringAverage_RANKTHISWEEK_2005","LatePar5ScoringAverage_RANKLASTWEEK_2005","LatePar5ScoringAverage_PLAYERNAME_2005","LatePar5ScoringAverage_ROUNDS_2005","LatePar5ScoringAverage_AVG_2005","LatePar5ScoringAverage_TOTALSTROKES_2005","LatePar5ScoringAverage_TOTALHOLES_2005","stat_name","year"
1,1,"Tiger Woods",76,4.48,771,172,"LatePar5ScoringAverage",2005
2,2,"Charles Howell III",95,4.49,656,146,"LatePar5ScoringAverage",2005
3,3,"Tim Clark",92,4.52,692,153,"LatePar5ScoringAverage",2005
3,3,"David Toms",87,4.52,596,132,"LatePar5ScoringAverage",2005
3,3,"DJ Trahan",81,4.52,583,129,"LatePar5ScoringAverage",2005
6,6,"Sergio Garcia",73,4.53,584,129,"LatePar5ScoringAverage",2005
7,7,"Arjun Atwal",65,4.54,422,93,"LatePar5ScoringAverage",2005
7,7,"Harrison Frazar",105,4.54,844,186,"LatePar5ScoringAverage",2005
7,7,"John Rollins",97,4.54,709,156,"LatePar5ScoringAverage",2005
7,7,"Steve Stricker",62,4.54,477,105,"LatePar5ScoringAverage",2005
11,11,"Woody Austin",100,4.55,715,157,"LatePar5ScoringAverage",2005
11,11,"Aaron Baddeley",84,4.55,664,146,"LatePar5ScoringAverage",2005
11,11,"Joe Ogilvie",103,4.55,724,159,"LatePar5ScoringAverage",2005
11,11,"Vijay Singh",111,4.55,1019,224,"LatePar5ScoringAverage",2005
15,15,"Jeff Brehaut",71,4.56,556,122,"LatePar5ScoringAverage",2005
15,15,"Bart Bryant",91,4.56,639,140,"LatePar5ScoringAverage",2005
15,15,"Tag Ridings",93,4.56,748,164,"LatePar5ScoringAverage",2005
18,18,"DJ Brigman",76,4.57,439,96,"LatePar5ScoringAverage",2005
18,18,"Retief Goosen",71,4.57,443,97,"LatePar5ScoringAverage",2005
18,18,"Davis Love III",80,4.57,622,136,"LatePar5ScoringAverage",2005
18,18,"Vaughn Taylor",99,4.57,790,173,"LatePar5ScoringAverage",2005
22,22,"Michael Long",72,4.58,490,107,"LatePar5ScoringAverage",2005
22,22,"Geoff Ogilvy",97,4.58,747,163,"LatePar5ScoringAverage",2005
24,24,"Billy Andrade",83,4.59,725,158,"LatePar5ScoringAverage",2005
24,24,"Jim Furyk",94,4.59,807,176,"LatePar5ScoringAverage",2005
24,24,"Dudley Hart",84,4.59,758,165,"LatePar5ScoringAverage",2005
24,24,"Brandt Jobe",96,4.59,624,136,"LatePar5ScoringAverage",2005
24,24,"Brendan Jones",81,4.59,569,124,"LatePar5ScoringAverage",2005
24,24,"Hunter Mahan",103,4.59,720,157,"LatePar5ScoringAverage",2005
24,24,"Sean OHair",103,4.59,642,140,"LatePar5ScoringAverage",2005
24,24,"Carl Pettersson",109,4.59,840,183,"LatePar5ScoringAverage",2005
24,24,"DA Points",94,4.59,697,152,"LatePar5ScoringAverage",2005
24,24,"Scott Verplank",87,4.59,652,142,"LatePar5ScoringAverage",2005
34,34,"Daniel Chopra",108,4.6,746,162,"LatePar5ScoringAverage",2005
34,34,"James Driscoll",73,4.6,570,124,"LatePar5ScoringAverage",2005
34,34,"Frank Lickliter II",100,4.6,745,162,"LatePar5ScoringAverage",2005
34,34,"Tim Petrovic",97,4.6,686,149,"LatePar5ScoringAverage",2005
34,34,"Bo Van Pelt",112,4.6,837,182,"LatePar5ScoringAverage",2005
