"ConsecutiveGIR_RANKTHISWEEK_2008","ConsecutiveGIR_RANKLASTWEEK_2008","ConsecutiveGIR_PLAYERNAME_2008","ConsecutiveGIR_EVENTS_2008","ConsecutiveGIR_STREAK_2008","ConsecutiveGIR_CURRENTSTREAK_2008","ConsecutiveGIR_ROUND_2008","ConsecutiveGIR_HOLE_2008","ConsecutiveGIR_YEARTOURN_2008","stat_name","year"
1,1,"Troy Matteson",30,31,3,4,13,2008480,"ConsecutiveGIR",2008
2,2,"Nick Watney",27,30,1,2,4,2008010,"ConsecutiveGIR",2008
3,3,"Mark Calcavecchia",25,29,1,1,18,2008010,"ConsecutiveGIR",2008
3,3,"Fred Couples",18,29,3,1,6,2008460,"ConsecutiveGIR",2008
3,3,"Vijay Singh",23,29,1,2,9,2008010,"ConsecutiveGIR",2008
3,3,"Kevin Sutherland",26,29,2,4,11,2008290,"ConsecutiveGIR",2008
7,7,"Hunter Mahan",27,28,3,3,11,2008010,"ConsecutiveGIR",2008
7,7,"George McNeill",29,28,NA,2,13,2008470,"ConsecutiveGIR",2008
7,7,"Steve Stricker",22,28,NA,3,3,2008010,"ConsecutiveGIR",2008
10,10,"Briny Baird",30,27,4,4,6,2008370,"ConsecutiveGIR",2008
10,10,"Jeff Maggert",28,27,NA,3,3,2008030,"ConsecutiveGIR",2008
10,10,"Bo Van Pelt",32,27,1,2,16,2008410,"ConsecutiveGIR",2008
13,13,"JJ Henry",34,26,1,2,8,2008370,"ConsecutiveGIR",2008
13,13,"Nick OHern",26,26,1,1,14,2008280,"ConsecutiveGIR",2008
15,15,"Tom Byrum",12,25,6,1,18,2008220,"ConsecutiveGIR",2008
15,15,"Bill Haas",31,25,9,1,18,2008460,"ConsecutiveGIR",2008
15,15,"Steve Marino",32,25,3,2,10,2008490,"ConsecutiveGIR",2008
15,15,"Brenden Pappas",24,25,NA,1,6,2008490,"ConsecutiveGIR",2008
15,15,"Patrick Sheehan",35,25,1,2,11,2008460,"ConsecutiveGIR",2008
15,15,"Scott Sterling",28,25,1,4,11,2008450,"ConsecutiveGIR",2008
15,15,"Jay Williamson",33,25,NA,1,12,2008410,"ConsecutiveGIR",2008
22,22,"Tommy Armour III",25,24,NA,3,4,2008270,"ConsecutiveGIR",2008
22,22,"Michael Bradley",14,24,NA,3,12,2008440,"ConsecutiveGIR",2008
22,22,"Olin Browne",27,24,NA,4,17,2008440,"ConsecutiveGIR",2008
22,22,"Jeff Overton",32,24,NA,1,5,2008440,"ConsecutiveGIR",2008
22,22,"Chris Riley",17,24,1,2,1,2008470,"ConsecutiveGIR",2008
22,22,"Kirk Triplett",9,24,3,1,15,2008300,"ConsecutiveGIR",2008
22,22,"YE Yang",29,24,1,2,8,2008470,"ConsecutiveGIR",2008
29,29,"Chad Campbell",28,23,NA,2,9,2008270,"ConsecutiveGIR",2008
29,29,"Ben Crane",25,23,NA,2,11,2008030,"ConsecutiveGIR",2008
29,29,"Brian Gay",31,23,NA,4,4,2008450,"ConsecutiveGIR",2008
29,29,"Ryan Palmer",22,23,NA,1,16,2008060,"ConsecutiveGIR",2008
29,29,"Graeme Storm",3,23,NA,3,1,2008140,"ConsecutiveGIR",2008
29,29,"David Toms",20,23,4,1,8,2008450,"ConsecutiveGIR",2008
29,29,"Boo Weekley",24,23,4,2,7,2008390,"ConsecutiveGIR",2008
36,36,"Robert Allenby",28,22,8,1,10,2008490,"ConsecutiveGIR",2008
36,36,"Brian Davis",34,22,4,1,9,2008460,"ConsecutiveGIR",2008
36,36,"Ken Duke",33,22,1,4,10,2008480,"ConsecutiveGIR",2008
36,36,"Tommy Gainey",24,22,2,1,16,2008490,"ConsecutiveGIR",2008
36,36,"Mathias Gronberg",30,22,3,4,15,2008470,"ConsecutiveGIR",2008
36,36,"Matt Kuchar",27,22,5,4,7,2008460,"ConsecutiveGIR",2008
36,36,"Parker McLachlin",27,22,1,3,12,2008460,"ConsecutiveGIR",2008
43,43,"Michael Allen",28,21,1,3,10,2008220,"ConsecutiveGIR",2008
43,43,"Stuart Appleby",23,21,1,2,6,2008040,"ConsecutiveGIR",2008
43,43,"Jason Bohn",15,21,NA,4,9,2008030,"ConsecutiveGIR",2008
43,43,"Chris DiMarco",29,21,9,2,1,2008460,"ConsecutiveGIR",2008
43,43,"Nick Flanagan",29,21,NA,2,2,2008450,"ConsecutiveGIR",2008
43,43,"Lucas Glover",26,21,5,1,5,2008370,"ConsecutiveGIR",2008
43,43,"Tim Herron",28,21,3,1,7,2008390,"ConsecutiveGIR",2008
43,43,"John Huston",18,21,13,1,14,2008460,"ConsecutiveGIR",2008
43,43,"Chez Reavie",30,21,NA,2,10,2008310,"ConsecutiveGIR",2008
43,43,"Brett Rumford",26,21,NA,3,14,2008030,"ConsecutiveGIR",2008
43,43,"Rory Sabbatini",23,21,4,2,16,2008010,"ConsecutiveGIR",2008
43,43,"John Senden",28,21,4,3,10,2008030,"ConsecutiveGIR",2008
55,55,"Stephen Ames",24,20,2,2,13,2008020,"ConsecutiveGIR",2008
55,55,"Stewart Cink",23,20,NA,3,6,2008220,"ConsecutiveGIR",2008
