"PuttingRating_RANKTHISWEEK_2007","PuttingRating_RANKLASTWEEK_2007","PuttingRating_PLAYERNAME_2007","PuttingRating_EVENTS_2007","PuttingRating_RATING_2007","stat_name","year"
1,1,"Kyle Thompson",1,9.4,"PuttingRating",2007
2,2,"Thomas Bjorn",1,9.1,"PuttingRating",2007
3,3,"Robert Damron",1,8.8,"PuttingRating",2007
4,4,"Paul Broadhurst",1,8.7,"PuttingRating",2007
4,4,"Tom Gillis",1,8.7,"PuttingRating",2007
6,6,"Todd Fischer",2,8.5,"PuttingRating",2007
6,6,"Loren Roberts",1,8.5,"PuttingRating",2007
8,8,"Arjun Atwal",6,8.4,"PuttingRating",2007
8,8,"Tim Clark",12,8.4,"PuttingRating",2007
8,8,"David Duval",4,8.4,"PuttingRating",2007
8,8,"Niclas Fasth",2,8.4,"PuttingRating",2007
8,8,"Shigeki Maruyama",13,8.4,"PuttingRating",2007
8,8,"Jose Maria Olazabal",8,8.4,"PuttingRating",2007
14,14,"Aaron Baddeley",16,8.3,"PuttingRating",2007
14,14,"Ricky Barnes",1,8.3,"PuttingRating",2007
14,14,"Guy Boros",1,8.3,"PuttingRating",2007
14,14,"Jonathan Byrd",12,8.3,"PuttingRating",2007
14,14,"Paul Casey",4,8.3,"PuttingRating",2007
14,14,"Bob Estes",15,8.3,"PuttingRating",2007
14,14,"Brian Gay",20,8.3,"PuttingRating",2007
14,14,"David Howell",4,8.3,"PuttingRating",2007
14,14,"Jose Manuel Lara",1,8.3,"PuttingRating",2007
14,14,"Kevin Na",16,8.3,"PuttingRating",2007
14,14,"Brady Schnell",1,8.3,"PuttingRating",2007
25,25,"Andy Bare",1,8.2,"PuttingRating",2007
25,25,"Notah Begay III",2,8.2,"PuttingRating",2007
25,25,"John Bickerton",1,8.2,"PuttingRating",2007
25,25,"Alejandro Canizares",1,8.2,"PuttingRating",2007
25,25,"Brad Faxon",5,8.2,"PuttingRating",2007
25,25,"Padraig Harrington",11,8.2,"PuttingRating",2007
25,25,"Bob Heintz",14,8.2,"PuttingRating",2007
25,25,"Ryuji Imada",19,8.2,"PuttingRating",2007
25,25,"Freddie Jacobson",15,8.2,"PuttingRating",2007
