"Front9Par3ScoringAverage_RANKTHISWEEK_2013","Front9Par3ScoringAverage_RANKLASTWEEK_2013","Front9Par3ScoringAverage_PLAYERNAME_2013","Front9Par3ScoringAverage_ROUNDS_2013","Front9Par3ScoringAverage_AVG_2013","Front9Par3ScoringAverage_TOTALSTROKES_2013","Front9Par3ScoringAverage_TOTALHOLES_2013","stat_name","year"
1,1,"Doug LaBelle II",72,2.93,413,141,"Front9Par3ScoringAverage",2013
2,2,"Richard Lee",81,2.94,456,155,"Front9Par3ScoringAverage",2013
3,3,"Stephen Ames",49,2.95,289,98,"Front9Par3ScoringAverage",2013
3,3,"John Merrick",79,2.95,469,159,"Front9Par3ScoringAverage",2013
5,5,"Tiger Woods",61,2.96,355,120,"Front9Par3ScoringAverage",2013
6,6,"Phil Mickelson",78,2.97,467,157,"Front9Par3ScoringAverage",2013
7,7,"Brian Stuard",78,2.98,444,149,"Front9Par3ScoringAverage",2013
8,8,"Ricky Barnes",74,2.99,422,141,"Front9Par3ScoringAverage",2013
8,8,"Justin Bolli",59,2.99,332,111,"Front9Par3ScoringAverage",2013
8,8,"Jim Herman",59,2.99,332,111,"Front9Par3ScoringAverage",2013
8,8,"Ryo Ishikawa",72,2.99,418,140,"Front9Par3ScoringAverage",2013
8,8,"Jeff Overton",78,2.99,466,156,"Front9Par3ScoringAverage",2013
13,13,"Charles Howell III",87,3,510,170,"Front9Par3ScoringAverage",2013
13,13,"Bryce Molder",82,3,483,161,"Front9Par3ScoringAverage",2013
13,13,"Jin Park",52,3,303,101,"Front9Par3ScoringAverage",2013
13,13,"Steve Stricker",51,3,282,94,"Front9Par3ScoringAverage",2013
17,17,"Michael Bradley",56,3.01,316,105,"Front9Par3ScoringAverage",2013
17,17,"Brian Davis",91,3.01,550,183,"Front9Par3ScoringAverage",2013
17,17,"Brendon de Jonge",110,3.01,665,221,"Front9Par3ScoringAverage",2013
17,17,"Charley Hoffman",84,3.01,506,168,"Front9Par3ScoringAverage",2013
17,17,"Justin Leonard",86,3.01,517,172,"Front9Par3ScoringAverage",2013
17,17,"Seung Yul Noh",71,3.01,406,135,"Front9Par3ScoringAverage",2013
17,17,"Carl Pettersson",82,3.01,482,160,"Front9Par3ScoringAverage",2013
17,17,"Daniel Summerhays",83,3.01,503,167,"Front9Par3ScoringAverage",2013
25,25,"Stuart Appleby",88,3.02,511,169,"Front9Par3ScoringAverage",2013
25,25,"Jason Bohn",70,3.02,426,141,"Front9Par3ScoringAverage",2013
25,25,"Erik Compton",74,3.02,450,149,"Front9Par3ScoringAverage",2013
25,25,"Jason Day",86,3.02,487,161,"Front9Par3ScoringAverage",2013
25,25,"David Hearn",88,3.02,532,176,"Front9Par3ScoringAverage",2013
25,25,"JJ Henry",83,3.02,493,163,"Front9Par3ScoringAverage",2013
25,25,"Steve LeBrun",66,3.02,378,125,"Front9Par3ScoringAverage",2013
25,25,"Ian Poulter",59,3.02,320,106,"Front9Par3ScoringAverage",2013
25,25,"Justin Rose",62,3.02,362,120,"Front9Par3ScoringAverage",2013
25,25,"Jordan Spieth",82,3.02,499,165,"Front9Par3ScoringAverage",2013
25,25,"Kevin Stadler",83,3.02,480,159,"Front9Par3ScoringAverage",2013
25,25,"Andrew Svoboda",46,3.02,269,89,"Front9Par3ScoringAverage",2013
37,37,"Tim Clark",64,3.03,373,123,"Front9Par3ScoringAverage",2013
37,37,"Brad Fritsch",81,3.03,469,155,"Front9Par3ScoringAverage",2013
37,37,"Jim Furyk",80,3.03,476,157,"Front9Par3ScoringAverage",2013
37,37,"Sergio Garcia",65,3.03,382,126,"Front9Par3ScoringAverage",2013
37,37,"Justin Hicks",79,3.03,458,151,"Front9Par3ScoringAverage",2013
37,37,"Chris Kirk",89,3.03,543,179,"Front9Par3ScoringAverage",2013
37,37,"Jason Kokrak",78,3.03,475,157,"Front9Par3ScoringAverage",2013
37,37,"Matt Kuchar",93,3.03,528,174,"Front9Par3ScoringAverage",2013
37,37,"Rory McIlroy",56,3.03,333,110,"Front9Par3ScoringAverage",2013
37,37,"Chez Reavie",72,3.03,439,145,"Front9Par3ScoringAverage",2013
37,37,"Henrik Stenson",65,3.03,388,128,"Front9Par3ScoringAverage",2013
37,37,"Chris Stroud",88,3.03,536,177,"Front9Par3ScoringAverage",2013
37,37,"Nicholas Thompson",99,3.03,603,199,"Front9Par3ScoringAverage",2013
37,37,"Gary Woodland",94,3.03,546,180,"Front9Par3ScoringAverage",2013
51,51,"Sangmoon Bae",83,3.04,505,166,"Front9Par3ScoringAverage",2013
51,51,"Keegan Bradley",88,3.04,529,174,"Front9Par3ScoringAverage",2013
51,51,"Roberto Castro",97,3.04,593,195,"Front9Par3ScoringAverage",2013
51,51,"Ben Crane",62,3.04,353,116,"Front9Par3ScoringAverage",2013
51,51,"Luke Donald",60,3.04,353,116,"Front9Par3ScoringAverage",2013
51,51,"Zach Johnson",84,3.04,504,166,"Front9Par3ScoringAverage",2013
51,51,"Matt Jones",83,3.04,508,167,"Front9Par3ScoringAverage",2013
51,51,"Jeff Maggert",63,3.04,386,127,"Front9Par3ScoringAverage",2013
51,51,"Henrik Norlander",70,3.04,416,137,"Front9Par3ScoringAverage",2013
51,51,"Brandt Snedeker",79,3.04,484,159,"Front9Par3ScoringAverage",2013
51,51,"Scott Stallings",79,3.04,481,158,"Front9Par3ScoringAverage",2013
51,51,"Cameron Tringale",80,3.04,490,161,"Front9Par3ScoringAverage",2013
51,51,"Camilo Villegas",79,3.04,459,151,"Front9Par3ScoringAverage",2013
51,51,"YE Yang",56,3.04,341,112,"Front9Par3ScoringAverage",2013
65,65,"Ernie Els",63,3.05,378,124,"Front9Par3ScoringAverage",2013
65,65,"Martin Flores",83,3.05,506,166,"Front9Par3ScoringAverage",2013
65,65,"Morgan Hoffmann",64,3.05,393,129,"Front9Par3ScoringAverage",2013
65,65,"Dustin Johnson",71,3.05,430,141,"Front9Par3ScoringAverage",2013
65,65,"Jerry Kelly",75,3.05,460,151,"Front9Par3ScoringAverage",2013
65,65,"Pat Perez",69,3.05,424,139,"Front9Par3ScoringAverage",2013
65,65,"Webb Simpson",92,3.05,539,177,"Front9Par3ScoringAverage",2013
65,65,"Brendan Steele",86,3.05,500,164,"Front9Par3ScoringAverage",2013
65,65,"Robert Streb",75,3.05,436,143,"Front9Par3ScoringAverage",2013
65,65,"Josh Teater",86,3.05,503,165,"Front9Par3ScoringAverage",2013
75,75,"James Driscoll",76,3.06,444,145,"Front9Par3ScoringAverage",2013
75,75,"Scott Gardiner",61,3.06,364,119,"Front9Par3ScoringAverage",2013
75,75,"Brian Gay",79,3.06,484,158,"Front9Par3ScoringAverage",2013
75,75,"Fabian Gomez",65,3.06,401,131,"Front9Par3ScoringAverage",2013
75,75,"James Hahn",78,3.06,456,149,"Front9Par3ScoringAverage",2013
75,75,"Brian Harman",89,3.06,523,171,"Front9Par3ScoringAverage",2013
75,75,"Marc Leishman",77,3.06,471,154,"Front9Par3ScoringAverage",2013
75,75,"Hunter Mahan",91,3.06,523,171,"Front9Par3ScoringAverage",2013
75,75,"David Mathis",71,3.06,410,134,"Front9Par3ScoringAverage",2013
75,75,"Ted Potter Jr",65,3.06,376,123,"Front9Par3ScoringAverage",2013
85,85,"Jonas Blixt",76,3.07,466,152,"Front9Par3ScoringAverage",2013
85,85,"Angel Cabrera",73,3.07,448,146,"Front9Par3ScoringAverage",2013
85,85,"Bob Estes",66,3.07,408,133,"Front9Par3ScoringAverage",2013
85,85,"Billy Horschel",96,3.07,593,193,"Front9Par3ScoringAverage",2013
85,85,"John Huh",88,3.07,541,176,"Front9Par3ScoringAverage",2013
85,85,"Graeme McDowell",53,3.07,301,98,"Front9Par3ScoringAverage",2013
85,85,"Greg Owen",73,3.07,439,143,"Front9Par3ScoringAverage",2013
85,85,"Dicky Pride",71,3.07,414,135,"Front9Par3ScoringAverage",2013
85,85,"Tag Ridings",69,3.07,402,131,"Front9Par3ScoringAverage",2013
85,85,"Johnson Wagner",64,3.07,371,121,"Front9Par3ScoringAverage",2013
85,85,"Jimmy Walker",84,3.07,518,169,"Front9Par3ScoringAverage",2013
85,85,"Lee Williams",62,3.07,371,121,"Front9Par3ScoringAverage",2013
97,97,"Scott Brown",65,3.08,403,131,"Front9Par3ScoringAverage",2013
97,97,"Chad Campbell",78,3.08,468,152,"Front9Par3ScoringAverage",2013
97,97,"Stewart Cink",71,3.08,438,142,"Front9Par3ScoringAverage",2013
97,97,"Ken Duke",87,3.08,539,175,"Front9Par3ScoringAverage",2013
97,97,"Robert Garrigus",69,3.08,404,131,"Front9Par3ScoringAverage",2013
97,97,"Lucas Glover",65,3.08,401,130,"Front9Par3ScoringAverage",2013
97,97,"Bill Haas",85,3.08,518,168,"Front9Par3ScoringAverage",2013
97,97,"Sean OHair",56,3.08,348,113,"Front9Par3ScoringAverage",2013
97,97,"Patrick Reed",83,3.08,514,167,"Front9Par3ScoringAverage",2013
97,97,"John Rollins",77,3.08,449,146,"Front9Par3ScoringAverage",2013
97,97,"Rory Sabbatini",86,3.08,509,165,"Front9Par3ScoringAverage",2013
97,97,"Charl Schwartzel",69,3.08,419,136,"Front9Par3ScoringAverage",2013
97,97,"Kyle Stanley",71,3.08,437,142,"Front9Par3ScoringAverage",2013
110,110,"Greg Chalmers",77,3.09,451,146,"Front9Par3ScoringAverage",2013
110,110,"Harris English",95,3.09,590,191,"Front9Par3ScoringAverage",2013
110,110,"Bobby Gates",49,3.09,281,91,"Front9Par3ScoringAverage",2013
110,110,"Peter Hanson",45,3.09,266,86,"Front9Par3ScoringAverage",2013
110,110,"Brandt Jobe",62,3.09,358,116,"Front9Par3ScoringAverage",2013
110,110,"David Lingmerth",68,3.09,424,137,"Front9Par3ScoringAverage",2013
110,110,"William McGirt",75,3.09,467,151,"Front9Par3ScoringAverage",2013
110,110,"DA Points",87,3.09,540,175,"Front9Par3ScoringAverage",2013
110,110,"Shawn Stefani",63,3.09,392,127,"Front9Par3ScoringAverage",2013
110,110,"DJ Trahan",48,3.09,287,93,"Front9Par3ScoringAverage",2013
120,120,"Robert Allenby",58,3.1,347,112,"Front9Par3ScoringAverage",2013
120,120,"Bud Cauley",67,3.1,391,126,"Front9Par3ScoringAverage",2013
120,120,"Will Claxton",67,3.1,391,126,"Front9Par3ScoringAverage",2013
120,120,"Ben Curtis",59,3.1,353,114,"Front9Par3ScoringAverage",2013
120,120,"Graham DeLaet",94,3.1,582,188,"Front9Par3ScoringAverage",2013
120,120,"Jason Dufner",78,3.1,478,154,"Front9Par3ScoringAverage",2013
120,120,"Rickie Fowler",75,3.1,459,148,"Front9Par3ScoringAverage",2013
120,120,"Russell Henley",80,3.1,483,156,"Front9Par3ScoringAverage",2013
120,120,"Tim Herron",45,3.1,279,90,"Front9Par3ScoringAverage",2013
120,120,"Trevor Immelman",73,3.1,428,138,"Front9Par3ScoringAverage",2013
120,120,"Robert Karlsson",56,3.1,326,105,"Front9Par3ScoringAverage",2013
120,120,"Ben Kohles",75,3.1,443,143,"Front9Par3ScoringAverage",2013
120,120,"Martin Laird",68,3.1,421,136,"Front9Par3ScoringAverage",2013
120,120,"DH Lee",65,3.1,403,130,"Front9Par3ScoringAverage",2013
120,120,"George McNeill",68,3.1,422,136,"Front9Par3ScoringAverage",2013
120,120,"David Toms",49,3.1,273,88,"Front9Par3ScoringAverage",2013
120,120,"Nick Watney",88,3.1,537,173,"Front9Par3ScoringAverage",2013
120,120,"Casey Wittenberg",72,3.1,437,141,"Front9Par3ScoringAverage",2013
138,138,"Aaron Baddeley",68,3.11,414,133,"Front9Par3ScoringAverage",2013
138,138,"KJ Choi",85,3.11,523,168,"Front9Par3ScoringAverage",2013
138,138,"Colt Knost",69,3.11,404,130,"Front9Par3ScoringAverage",2013
138,138,"John Senden",79,3.11,485,156,"Front9Par3ScoringAverage",2013
138,138,"Michael Thompson",66,3.11,410,132,"Front9Par3ScoringAverage",2013
143,143,"Kevin Chappell",80,3.12,503,161,"Front9Par3ScoringAverage",2013
143,143,"Matt Every",89,3.12,558,179,"Front9Par3ScoringAverage",2013
143,143,"Luke Guthrie",82,3.12,515,165,"Front9Par3ScoringAverage",2013
143,143,"Scott Langley",79,3.12,471,151,"Front9Par3ScoringAverage",2013
143,143,"Ryan Moore",72,3.12,443,142,"Front9Par3ScoringAverage",2013
143,143,"Cameron Percy",68,3.12,415,133,"Front9Par3ScoringAverage",2013
143,143,"Andres Romero",63,3.12,371,119,"Front9Par3ScoringAverage",2013
143,143,"Adam Scott",61,3.12,374,120,"Front9Par3ScoringAverage",2013
143,143,"Kevin Streelman",86,3.12,539,173,"Front9Par3ScoringAverage",2013
143,143,"Vaughn Taylor",50,3.12,290,93,"Front9Par3ScoringAverage",2013
143,143,"Boo Weekley",100,3.12,624,200,"Front9Par3ScoringAverage",2013
143,143,"Lee Westwood",70,3.12,434,139,"Front9Par3ScoringAverage",2013
143,143,"Charlie Wi",75,3.12,446,143,"Front9Par3ScoringAverage",2013
