"ProximitytoHolefrom1020yards_RANKTHISWEEK_2010","ProximitytoHolefrom1020yards_RANKLASTWEEK_2010","ProximitytoHolefrom1020yards_PLAYERNAME_2010","ProximitytoHolefrom1020yards_ROUNDS_2010","ProximitytoHolefrom1020yards_AVGDTP_2010","ProximitytoHolefrom1020yards_TOTALDISTANCEFEET_2010","ProximitytoHolefrom1020yards_OFSHOTS_2010","ProximitytoHolefrom1020yards_SCRAMBLINGRANK_2010","stat_name","year"
1,1,"Mike Weir",59,NA,599.083,122,82,"ProximitytoHolefrom1020yards",2010
2,2,"Luke Donald",71,NA,911.833,165,4,"ProximitytoHolefrom1020yards",2010
2,2,"Retief Goosen",75,NA,907.583,164,12,"ProximitytoHolefrom1020yards",2010
4,4,"KJ Choi",82,NA,938.75,169,20,"ProximitytoHolefrom1020yards",2010
4,4,"Mathias Gronberg",61,NA,753,135,90,"ProximitytoHolefrom1020yards",2010
6,6,"Rod Pampling",77,NA,1429.833,252,67,"ProximitytoHolefrom1020yards",2010
6,6,"Michael Sim",64,NA,860.167,151,35,"ProximitytoHolefrom1020yards",2010
6,6,"Cameron Tringale",55,NA,729.083,128,178,"ProximitytoHolefrom1020yards",2010
9,9,"Alex Cejka",81,NA,1141.167,196,130,"ProximitytoHolefrom1020yards",2010
9,9,"Carl Pettersson",99,NA,1355.333,231,28,"ProximitytoHolefrom1020yards",2010
9,9,"Brandt Snedeker",89,NA,1394.167,239,43,"ProximitytoHolefrom1020yards",2010
12,12,"Omar Uresti",74,NA,1007.917,171,38,"ProximitytoHolefrom1020yards",2010
13,13,"Ben Curtis",78,NA,1024.917,171,60,"ProximitytoHolefrom1020yards",2010
13,13,"Brian Gay",101,NA,1483.917,246,2,"ProximitytoHolefrom1020yards",2010
13,13,"Trevor Immelman",55,NA,725.667,121,65,"ProximitytoHolefrom1020yards",2010
13,13,"Matt Kuchar",97,NA,1159.5,193,5,"ProximitytoHolefrom1020yards",2010
13,13,"Rory McIlroy",54,NA,709.167,118,56,"ProximitytoHolefrom1020yards",2010
13,13,"Shaun Micheel",70,NA,864.667,145,40,"ProximitytoHolefrom1020yards",2010
13,13,"Kevin Na",94,NA,1455.833,243,8,"ProximitytoHolefrom1020yards",2010
13,13,"Pat Perez",90,NA,1481.333,246,26,"ProximitytoHolefrom1020yards",2010
13,13,"Vijay Singh",75,NA,890.25,149,129,"ProximitytoHolefrom1020yards",2010
13,13,"Charlie Wi",95,NA,1554,258,3,"ProximitytoHolefrom1020yards",2010
23,23,"Greg Chalmers",93,NA,1615.417,265,10,"ProximitytoHolefrom1020yards",2010
23,23,"Steve Elkington",74,NA,1179.667,194,11,"ProximitytoHolefrom1020yards",2010
23,23,"Charles Howell III",103,NA,1355.5,223,7,"ProximitytoHolefrom1020yards",2010
23,23,"Bryce Molder",84,NA,1116.333,184,24,"ProximitytoHolefrom1020yards",2010
27,27,"Craig Bowden",56,NA,920.583,150,91,"ProximitytoHolefrom1020yards",2010
27,27,"Stewart Cink",84,NA,1085,176,118,"ProximitytoHolefrom1020yards",2010
27,27,"Jason Day",82,NA,1234.083,199,51,"ProximitytoHolefrom1020yards",2010
27,27,"Ryuji Imada",90,NA,1476.75,238,18,"ProximitytoHolefrom1020yards",2010
27,27,"Freddie Jacobson",83,NA,1299.75,211,17,"ProximitytoHolefrom1020yards",2010
27,27,"Chris Riley",73,NA,1134.583,184,6,"ProximitytoHolefrom1020yards",2010
27,27,"Justin Rose",78,NA,1331.167,217,13,"ProximitytoHolefrom1020yards",2010
27,27,"Jeev Milkha Singh",59,NA,973.5,157,15,"ProximitytoHolefrom1020yards",2010
