"Approachesfrom50125yards_RANKTHISWEEK_2010","Approachesfrom50125yards_RANKLASTWEEK_2010","Approachesfrom50125yards_PLAYERNAME_2010","Approachesfrom50125yards_ROUNDS_2010","Approachesfrom50125yards_AVG_2010","Approachesfrom50125yards_TOTALDISTANCEFEET_2010","Approachesfrom50125yards_OFATTEMPTS_2010","Approachesfrom50125yards_RELATIVETOPAR_2010","stat_name","year"
1,1,"Padraig Harrington",57,NA,1406.833,95,-12,"Approachesfrom50125yards",2010
1,1,"Mike Weir",59,NA,1351.75,91,-16,"Approachesfrom50125yards",2010
3,3,"Ernie Els",72,NA,1973.833,129,-28,"Approachesfrom50125yards",2010
3,3,"Paul Goydos",78,NA,3268.667,213,-46,"Approachesfrom50125yards",2010
5,5,"Brian Gay",101,NA,4274.583,275,-59,"Approachesfrom50125yards",2010
6,6,"Tim Clark",88,NA,3439.167,220,-45,"Approachesfrom50125yards",2010
7,7,"Garrett Willis",82,NA,2771.333,176,-36,"Approachesfrom50125yards",2010
8,8,"Phil Mickelson",76,NA,2066.833,130,-34,"Approachesfrom50125yards",2010
9,9,"Steve Stricker",73,NA,2330.917,146,-29,"Approachesfrom50125yards",2010
10,10,"Scott Verplank",74,NA,2528.667,157,-32,"Approachesfrom50125yards",2010
11,11,"Jim Furyk",76,NA,2494.167,154,-38,"Approachesfrom50125yards",2010
11,11,"Justin Leonard",89,NA,3637.167,225,-36,"Approachesfrom50125yards",2010
11,11,"Bryce Molder",84,NA,3417.25,211,-41,"Approachesfrom50125yards",2010
11,11,"Adam Scott",70,NA,2235.083,138,-24,"Approachesfrom50125yards",2010
15,15,"Brad Faxon",58,NA,2270.417,140,-25,"Approachesfrom50125yards",2010
16,16,"Chris DiMarco",88,NA,3721.667,228,-43,"Approachesfrom50125yards",2010
16,16,"Geoff Ogilvy",62,NA,2222.833,136,-25,"Approachesfrom50125yards",2010
18,18,"Jason Bohn",84,NA,3410.917,208,-36,"Approachesfrom50125yards",2010
18,18,"Bill Haas",87,NA,3399.25,207,-43,"Approachesfrom50125yards",2010
18,18,"Zach Johnson",93,NA,3225.167,196,-37,"Approachesfrom50125yards",2010
21,21,"Bob Estes",79,NA,3319.667,201,-37,"Approachesfrom50125yards",2010
21,21,"Rickie Fowler",98,NA,4034.333,244,-39,"Approachesfrom50125yards",2010
21,21,"Vaughn Taylor",87,NA,4134.917,250,-33,"Approachesfrom50125yards",2010
24,24,"Brendon de Jonge",114,NA,4670.583,281,-59,"Approachesfrom50125yards",2010
25,25,"Webb Simpson",98,NA,4404.917,264,-64,"Approachesfrom50125yards",2010
26,26,"Stewart Cink",84,NA,2805.583,167,-40,"Approachesfrom50125yards",2010
26,26,"Jeff Overton",89,NA,3517.167,209,-39,"Approachesfrom50125yards",2010
26,26,"Dean Wilson",54,NA,2207.833,131,-38,"Approachesfrom50125yards",2010
29,29,"Justin Bolli",55,NA,2280.583,135,-13,"Approachesfrom50125yards",2010
29,29,"Freddie Jacobson",83,NA,3533.667,209,-45,"Approachesfrom50125yards",2010
31,31,"Michael Bradley",77,NA,3519,207,-36,"Approachesfrom50125yards",2010
31,31,"Paul Stankowski",62,NA,2495.75,147,-25,"Approachesfrom50125yards",2010
33,33,"Rory McIlroy",54,NA,1586.667,93,-10,"Approachesfrom50125yards",2010
33,33,"Chris Riley",73,NA,3214.583,188,-58,"Approachesfrom50125yards",2010
33,33,"Camilo Villegas",78,NA,2070.083,121,-12,"Approachesfrom50125yards",2010
36,36,"Omar Uresti",74,NA,3592.083,208,-39,"Approachesfrom50125yards",2010
37,37,"DA Points",90,NA,3203.167,185,-28,"Approachesfrom50125yards",2010
37,37,"John Senden",103,NA,4235.917,244,-33,"Approachesfrom50125yards",2010
37,37,"David Toms",86,NA,3625.25,209,-37,"Approachesfrom50125yards",2010
40,40,"Tom Pernice Jr",74,NA,2711.083,156,-26,"Approachesfrom50125yards",2010
40,40,"Heath Slocum",97,NA,3822.5,219,-36,"Approachesfrom50125yards",2010
40,40,"Boo Weekley",88,NA,3712.417,213,-34,"Approachesfrom50125yards",2010
43,43,"Cameron Beckman",68,NA,2645.167,151,-17,"Approachesfrom50125yards",2010
43,43,"Alex Cejka",81,NA,3442.417,197,-29,"Approachesfrom50125yards",2010
43,43,"Chad Collins",87,NA,2992.583,171,-25,"Approachesfrom50125yards",2010
43,43,"JP Hayes",79,NA,3538.333,202,-24,"Approachesfrom50125yards",2010
43,43,"Jarrod Lyle",54,NA,2520.167,144,-18,"Approachesfrom50125yards",2010
