"AverageDistanceofEagleputtsmade_RANKTHISWEEK_2011","AverageDistanceofEagleputtsmade_RANKLASTWEEK_2011","AverageDistanceofEagleputtsmade_PLAYERNAME_2011","AverageDistanceofEagleputtsmade_ROUNDS_2011","AverageDistanceofEagleputtsmade_AVG_2011","AverageDistanceofEagleputtsmade_TOTDISTFT_2011","AverageDistanceofEagleputtsmade_TOTEAGLESPUTTSMADE_2011","AverageDistanceofEagleputtsmade_LONGESTMADEFT_2011","AverageDistanceofEagleputtsmade_SHORTESTMADEFT_2011","stat_name","year"
71,71,"John Rollins",85,NA,151.333,9,49,2,"AverageDistanceofEagleputtsmade",2011
74,74,"Luke Donald",73,NA,33.333,2,25,9,"AverageDistanceofEagleputtsmade",2011
75,75,"Bio Kim",71,NA,16.583,1,17,17,"AverageDistanceofEagleputtsmade",2011
76,76,"Bobby Gates",82,NA,131.917,8,48,5,"AverageDistanceofEagleputtsmade",2011
77,77,"Chris Couch",73,NA,65.667,4,35,8,"AverageDistanceofEagleputtsmade",2011
78,78,"Brian Gay",90,NA,16.25,1,16,16,"AverageDistanceofEagleputtsmade",2011
79,79,"Billy Horschel",75,NA,64.667,4,44,NA,"AverageDistanceofEagleputtsmade",2011
80,80,"Brendan Steele",89,NA,96.167,6,27,5,"AverageDistanceofEagleputtsmade",2011
81,81,"Webb Simpson",98,NA,158.917,10,43,5,"AverageDistanceofEagleputtsmade",2011
81,81,"Josh Teater",104,NA,111.417,7,33,2,"AverageDistanceofEagleputtsmade",2011
83,83,"Justin Hicks",60,NA,31.667,2,23,9,"AverageDistanceofEagleputtsmade",2011
84,84,"Cameron Tringale",110,NA,78.833,5,27,7,"AverageDistanceofEagleputtsmade",2011
85,85,"George McNeill",69,NA,31.083,2,25,6,"AverageDistanceofEagleputtsmade",2011
86,86,"Matt Kuchar",94,NA,77.5,5,33,NA,"AverageDistanceofEagleputtsmade",2011
87,87,"Matt Jones",71,NA,46.083,3,18,11,"AverageDistanceofEagleputtsmade",2011
88,88,"Vaughn Taylor",89,NA,76.25,5,24,4,"AverageDistanceofEagleputtsmade",2011
89,89,"Briny Baird",60,NA,15.167,1,15,15,"AverageDistanceofEagleputtsmade",2011
90,90,"Rocco Mediate",53,NA,30.083,2,21,9,"AverageDistanceofEagleputtsmade",2011
91,91,"Kevin Kisner",70,NA,59.25,4,20,5,"AverageDistanceofEagleputtsmade",2011
91,91,"Jeff Overton",92,NA,88.75,6,42,NA,"AverageDistanceofEagleputtsmade",2011
93,93,"Jonathan Byrd",83,NA,73.833,5,21,5,"AverageDistanceofEagleputtsmade",2011
94,94,"Bo Van Pelt",92,NA,87.833,6,37,3,"AverageDistanceofEagleputtsmade",2011
95,95,"Kevin Na",84,NA,57.5,4,21,10,"AverageDistanceofEagleputtsmade",2011
96,96,"Scott Piercy",78,NA,84,6,33,4,"AverageDistanceofEagleputtsmade",2011
97,97,"Derek Lamely",65,NA,69.583,5,31,2,"AverageDistanceofEagleputtsmade",2011
98,98,"Tommy Gainey",104,NA,69.083,5,27,1,"AverageDistanceofEagleputtsmade",2011
98,98,"Chris Stroud",88,NA,69.25,5,31,3,"AverageDistanceofEagleputtsmade",2011
100,100,"Matt Bettencourt",84,NA,81.75,6,21,8,"AverageDistanceofEagleputtsmade",2011
100,100,"Bill Haas",93,NA,40.917,3,34,2,"AverageDistanceofEagleputtsmade",2011
100,100,"Chez Reavie",92,NA,41.083,3,34,3,"AverageDistanceofEagleputtsmade",2011
103,103,"Bill Lunde",92,NA,40.667,3,19,8,"AverageDistanceofEagleputtsmade",2011
104,104,"Nick OHern",89,NA,40.583,3,23,7,"AverageDistanceofEagleputtsmade",2011
105,105,"Aaron Baddeley",77,NA,53.333,4,25,4,"AverageDistanceofEagleputtsmade",2011
105,105,"Scott Gutschewski",67,NA,26.667,2,18,9,"AverageDistanceofEagleputtsmade",2011
107,107,"Ryan Moore",79,NA,26.083,2,19,7,"AverageDistanceofEagleputtsmade",2011
107,107,"Roland Thatcher",67,NA,52.25,4,36,3,"AverageDistanceofEagleputtsmade",2011
109,109,"Fabian Gomez",84,NA,52,4,32,4,"AverageDistanceofEagleputtsmade",2011
110,110,"Charles Howell III",108,NA,77,6,28,3,"AverageDistanceofEagleputtsmade",2011
111,111,"Spencer Levin",113,NA,38.333,3,18,6,"AverageDistanceofEagleputtsmade",2011
111,111,"Charl Schwartzel",58,NA,12.75,1,13,13,"AverageDistanceofEagleputtsmade",2011
111,111,"Daniel Summerhays",75,NA,76.417,6,31,6,"AverageDistanceofEagleputtsmade",2011
114,114,"Zack Miller",86,NA,50.667,4,17,4,"AverageDistanceofEagleputtsmade",2011
115,115,"Justin Leonard",82,NA,24.917,2,16,9,"AverageDistanceofEagleputtsmade",2011
116,116,"Ryuji Imada",83,NA,24.75,2,13,11,"AverageDistanceofEagleputtsmade",2011
116,116,"Lee Janzen",62,NA,37.25,3,20,7,"AverageDistanceofEagleputtsmade",2011
118,118,"Woody Austin",59,NA,12.167,1,12,12,"AverageDistanceofEagleputtsmade",2011
119,119,"Will Strickler",51,NA,60.333,5,28,NA,"AverageDistanceofEagleputtsmade",2011
120,120,"Greg Chalmers",88,NA,46,4,20,5,"AverageDistanceofEagleputtsmade",2011
120,120,"Chris Kirk",87,NA,45.917,4,27,3,"AverageDistanceofEagleputtsmade",2011
120,120,"Jimmy Walker",79,NA,68.833,6,16,8,"AverageDistanceofEagleputtsmade",2011
123,123,"Kevin Chappell",78,NA,55.667,5,24,1,"AverageDistanceofEagleputtsmade",2011
123,123,"Vijay Singh",79,NA,33.583,3,17,5,"AverageDistanceofEagleputtsmade",2011
125,125,"Camilo Villegas",69,NA,11.083,1,11,11,"AverageDistanceofEagleputtsmade",2011
126,126,"Alexandre Rocha",65,NA,21.75,2,15,7,"AverageDistanceofEagleputtsmade",2011
127,127,"Steve Flesch",88,NA,21.667,2,13,9,"AverageDistanceofEagleputtsmade",2011
127,127,"JB Holmes",57,NA,43.417,4,20,2,"AverageDistanceofEagleputtsmade",2011
127,127,"William McGirt",103,NA,43.417,4,16,4,"AverageDistanceofEagleputtsmade",2011
130,130,"Rickie Fowler",84,NA,63.917,6,20,4,"AverageDistanceofEagleputtsmade",2011
130,130,"Marc Leishman",87,NA,64,6,15,7,"AverageDistanceofEagleputtsmade",2011
132,132,"DJ Trahan",91,NA,84.583,8,36,3,"AverageDistanceofEagleputtsmade",2011
133,133,"Jarrod Lyle",83,NA,52.333,5,15,2,"AverageDistanceofEagleputtsmade",2011
133,133,"Paul Stankowski",78,NA,10.5,1,11,11,"AverageDistanceofEagleputtsmade",2011
135,135,"Michael Connell",76,NA,10.417,1,10,10,"AverageDistanceofEagleputtsmade",2011
136,136,"Zach Johnson",79,NA,51.583,5,14,5,"AverageDistanceofEagleputtsmade",2011
137,137,"Andres Gonzales",60,NA,20.25,2,17,4,"AverageDistanceofEagleputtsmade",2011
138,138,"Blake Adams",116,NA,29.75,3,13,7,"AverageDistanceofEagleputtsmade",2011
139,139,"Michael Bradley",74,NA,39.167,4,18,2,"AverageDistanceofEagleputtsmade",2011
139,139,"Kent Jones",76,NA,39.167,4,26,3,"AverageDistanceofEagleputtsmade",2011
139,139,"Scott Stallings",84,NA,29.5,3,19,5,"AverageDistanceofEagleputtsmade",2011
142,142,"Michael Thompson",79,NA,29.333,3,13,7,"AverageDistanceofEagleputtsmade",2011
143,143,"DJ Brigman",67,NA,28.417,3,14,6,"AverageDistanceofEagleputtsmade",2011
144,144,"Steve Marino",76,NA,55,6,22,4,"AverageDistanceofEagleputtsmade",2011
145,145,"Robert Karlsson",61,NA,35.917,4,15,4,"AverageDistanceofEagleputtsmade",2011
146,146,"Heath Slocum",89,NA,17.5,2,10,8,"AverageDistanceofEagleputtsmade",2011
147,147,"David Hearn",88,NA,34.667,4,21,4,"AverageDistanceofEagleputtsmade",2011
148,148,"Chris Riley",76,NA,16.917,2,11,6,"AverageDistanceofEagleputtsmade",2011
149,149,"Cameron Beckman",71,NA,16.5,2,14,3,"AverageDistanceofEagleputtsmade",2011
149,149,"Steve Stricker",70,NA,33,4,16,5,"AverageDistanceofEagleputtsmade",2011
151,151,"JJ Henry",96,NA,24.25,3,12,5,"AverageDistanceofEagleputtsmade",2011
152,152,"Ricky Barnes",78,NA,15.5,2,15,NA,"AverageDistanceofEagleputtsmade",2011
153,153,"James Driscoll",71,NA,15,2,13,2,"AverageDistanceofEagleputtsmade",2011
153,153,"Ian Poulter",52,NA,14.917,2,8,7,"AverageDistanceofEagleputtsmade",2011
155,155,"David Toms",78,NA,14.667,2,10,5,"AverageDistanceofEagleputtsmade",2011
155,155,"Mark Wilson",89,NA,22.083,3,10,3,"AverageDistanceofEagleputtsmade",2011
157,157,"Kris Blanks",92,NA,20.833,3,15,3,"AverageDistanceofEagleputtsmade",2011
158,158,"Graeme McDowell",50,NA,13.167,2,8,6,"AverageDistanceofEagleputtsmade",2011
159,159,"Chad Campbell",99,NA,18.75,3,11,3,"AverageDistanceofEagleputtsmade",2011
160,160,"Alex Cejka",59,NA,16.917,3,8,3,"AverageDistanceofEagleputtsmade",2011
161,161,"Martin Piller",63,NA,5.5,1,6,6,"AverageDistanceofEagleputtsmade",2011
162,162,"Nate Smith",66,NA,21.25,4,9,3,"AverageDistanceofEagleputtsmade",2011
163,163,"Harrison Frazar",58,NA,5.083,1,5,5,"AverageDistanceofEagleputtsmade",2011
164,164,"Ben Crane",76,NA,15,3,13,NA,"AverageDistanceofEagleputtsmade",2011
165,165,"Ernie Els",71,NA,4.75,1,5,5,"AverageDistanceofEagleputtsmade",2011
166,166,"Joseph Bramlett",73,NA,4.667,1,5,5,"AverageDistanceofEagleputtsmade",2011
167,167,"David Duval",67,NA,9.083,2,9,NA,"AverageDistanceofEagleputtsmade",2011
168,168,"David Mathis",83,NA,8.25,2,7,1,"AverageDistanceofEagleputtsmade",2011
169,169,"Steve Elkington",50,NA,4,1,4,4,"AverageDistanceofEagleputtsmade",2011
170,170,"Stuart Appleby",65,NA,3.417,1,3,3,"AverageDistanceofEagleputtsmade",2011
171,171,"Rory Sabbatini",85,NA,2.833,1,3,3,"AverageDistanceofEagleputtsmade",2011
172,172,"Jim Herman",69,NA,6.583,3,4,NA,"AverageDistanceofEagleputtsmade",2011
173,173,"Geoff Ogilvy",69,NA,2,1,2,2,"AverageDistanceofEagleputtsmade",2011
174,174,"Retief Goosen",50,NA,1.667,1,2,2,"AverageDistanceofEagleputtsmade",2011
