"AverageApproachDistanceBogeyorWorse_RANKTHISWEEK_2016","AverageApproachDistanceBogeyorWorse_RANKLASTWEEK_2016","AverageApproachDistanceBogeyorWorse_PLAYERNAME_2016","AverageApproachDistanceBogeyorWorse_ROUNDS_2016","AverageApproachDistanceBogeyorWorse_AVGYARDS_2016","AverageApproachDistanceBogeyorWorse_TOTALDISTANCEINCHES_2016","AverageApproachDistanceBogeyorWorse_NUMBEROFAPPROACHSHOTS_2016","stat_name","year"
1,2,"Andrew Landry",24,148,170442,32,"AverageApproachDistanceBogeyorWorse",2016
2,3,"Billy Hurley III",22,148.6,251473,47,"AverageApproachDistanceBogeyorWorse",2016
3,4,"Charlie Beljan",26,148.9,353788,66,"AverageApproachDistanceBogeyorWorse",2016
4,6,"Ryan Palmer",46,150.5,650143,120,"AverageApproachDistanceBogeyorWorse",2016
5,1,"Sean OHair",45,151.3,550087,101,"AverageApproachDistanceBogeyorWorse",2016
6,8,"Louis Oosthuizen",25,151.7,147449,27,"AverageApproachDistanceBogeyorWorse",2016
7,18,"David Lingmerth",54,151.9,546970,100,"AverageApproachDistanceBogeyorWorse",2016
8,11,"Luke Guthrie",31,152.1,328474,60,"AverageApproachDistanceBogeyorWorse",2016
9,12,"Lucas Lee",22,152.4,274359,50,"AverageApproachDistanceBogeyorWorse",2016
10,8,"Nick Taylor",57,153.3,678820,123,"AverageApproachDistanceBogeyorWorse",2016
11,21,"Francesco Molinari",36,154.4,561372,101,"AverageApproachDistanceBogeyorWorse",2016
12,19,"Jordan Spieth",34,154.6,283802,51,"AverageApproachDistanceBogeyorWorse",2016
13,10,"Ian Poulter",37,154.8,362329,65,"AverageApproachDistanceBogeyorWorse",2016
14,15,"Kelly Kraft",35,155,334893,60,"AverageApproachDistanceBogeyorWorse",2016
14,40,"Phil Mickelson",37,155,284509,51,"AverageApproachDistanceBogeyorWorse",2016
14,16,"Henrik Norlander",41,155,396300,71,"AverageApproachDistanceBogeyorWorse",2016
17,25,"Cameron Percy",22,155.3,201218,36,"AverageApproachDistanceBogeyorWorse",2016
18,28,"Steven Bowditch",40,155.5,643722,115,"AverageApproachDistanceBogeyorWorse",2016
19,22,"Andrew Loupe",50,155.7,739779,132,"AverageApproachDistanceBogeyorWorse",2016
20,20,"Rob Oppenheim",37,155.9,493937,88,"AverageApproachDistanceBogeyorWorse",2016
21,27,"Alex Cejka",47,156,426910,76,"AverageApproachDistanceBogeyorWorse",2016
22,7,"Steve Marino",40,156.1,556298,99,"AverageApproachDistanceBogeyorWorse",2016
23,29,"Dustin Johnson",37,156.2,264334,47,"AverageApproachDistanceBogeyorWorse",2016
24,23,"Tom Hoge",47,156.4,580106,103,"AverageApproachDistanceBogeyorWorse",2016
25,17,"Chesson Hadley",51,156.5,659336,117,"AverageApproachDistanceBogeyorWorse",2016
26,5,"Robert Garrigus",34,156.8,361154,64,"AverageApproachDistanceBogeyorWorse",2016
27,31,"Morgan Hoffmann",43,156.9,666341,118,"AverageApproachDistanceBogeyorWorse",2016
27,32,"Graeme McDowell",33,156.9,322023,57,"AverageApproachDistanceBogeyorWorse",2016
29,35,"Jerry Kelly",44,157.1,395935,70,"AverageApproachDistanceBogeyorWorse",2016
29,32,"Will Ma Kenzie",54,157.1,695846,123,"AverageApproachDistanceBogeyorWorse",2016
31,36,"Matt Kuchar",46,157.2,424437,75,"AverageApproachDistanceBogeyorWorse",2016
32,30,"Tyler Aldridge",53,157.3,702289,124,"AverageApproachDistanceBogeyorWorse",2016
33,14,"Derek Ernst",36,157.9,392328,69,"AverageApproachDistanceBogeyorWorse",2016
34,41,"Seung Yul Noh",54,158.1,791079,139,"AverageApproachDistanceBogeyorWorse",2016
35,70,"Matt Jones",45,158.2,569681,100,"AverageApproachDistanceBogeyorWorse",2016
36,24,"Geoff Ogilvy",37,158.3,587011,103,"AverageApproachDistanceBogeyorWorse",2016
37,42,"Scott Stallings",46,158.5,616386,108,"AverageApproachDistanceBogeyorWorse",2016
38,38,"Derek Fathauer",58,158.6,827762,145,"AverageApproachDistanceBogeyorWorse",2016
39,45,"Brooks Koepka",39,158.7,474280,83,"AverageApproachDistanceBogeyorWorse",2016
40,47,"Brice Garnett",29,158.8,194363,34,"AverageApproachDistanceBogeyorWorse",2016
40,43,"Luke List",51,158.8,617347,108,"AverageApproachDistanceBogeyorWorse",2016
42,44,"Hiroshi Iwata",51,159,658377,115,"AverageApproachDistanceBogeyorWorse",2016
42,50,"Rory Sabbatini",40,159,532438,93,"AverageApproachDistanceBogeyorWorse",2016
44,45,"Jamie Lovemark",57,159.1,721728,126,"AverageApproachDistanceBogeyorWorse",2016
45,68,"Martin Laird",46,159.4,642709,112,"AverageApproachDistanceBogeyorWorse",2016
46,36,"Erik Compton",45,159.7,649835,113,"AverageApproachDistanceBogeyorWorse",2016
47,52,"Chris Stroud",52,159.8,742081,129,"AverageApproachDistanceBogeyorWorse",2016
48,57,"Shane Bertsch",30,159.9,259035,45,"AverageApproachDistanceBogeyorWorse",2016
48,57,"Wes Roach",33,159.9,328042,57,"AverageApproachDistanceBogeyorWorse",2016
50,49,"Blayne Barber",44,160,731391,127,"AverageApproachDistanceBogeyorWorse",2016
50,72,"Andres Gonzales",46,160,645116,112,"AverageApproachDistanceBogeyorWorse",2016
50,51,"James Hahn",45,160,685613,119,"AverageApproachDistanceBogeyorWorse",2016
50,59,"Kevin Na",52,160,477988,83,"AverageApproachDistanceBogeyorWorse",2016
50,59,"Carl Pettersson",31,160,581885,101,"AverageApproachDistanceBogeyorWorse",2016
50,39,"Brian Stuard",24,160,270765,47,"AverageApproachDistanceBogeyorWorse",2016
56,63,"Troy Merritt",41,160.1,449450,78,"AverageApproachDistanceBogeyorWorse",2016
57,47,"Ricky Barnes",57,160.2,726475,126,"AverageApproachDistanceBogeyorWorse",2016
57,66,"Brandt Snedeker",47,160.2,415214,72,"AverageApproachDistanceBogeyorWorse",2016
59,54,"Jonas Blixt",46,160.4,652372,113,"AverageApproachDistanceBogeyorWorse",2016
59,87,"Kevin Chappell",49,160.4,652508,113,"AverageApproachDistanceBogeyorWorse",2016
59,70,"Charley Hoffman",49,160.4,577288,100,"AverageApproachDistanceBogeyorWorse",2016
62,66,"Brendan Steele",48,160.5,606557,105,"AverageApproachDistanceBogeyorWorse",2016
62,72,"Bubba Watson",30,160.5,213754,37,"AverageApproachDistanceBogeyorWorse",2016
64,76,"Branden Grace",31,160.6,242819,42,"AverageApproachDistanceBogeyorWorse",2016
64,76,"Smylie Kaufman",57,160.6,624427,108,"AverageApproachDistanceBogeyorWorse",2016
66,87,"Jason Kokrak",52,160.7,642264,111,"AverageApproachDistanceBogeyorWorse",2016
67,26,"DH Lee",35,160.9,480687,83,"AverageApproachDistanceBogeyorWorse",2016
68,78,"John Huh",51,161,672469,116,"AverageApproachDistanceBogeyorWorse",2016
69,120,"Ernie Els",34,161.2,568557,98,"AverageApproachDistanceBogeyorWorse",2016
69,81,"Hudson Swafford",52,161.2,655642,113,"AverageApproachDistanceBogeyorWorse",2016
71,83,"KJ Choi",47,161.4,551925,95,"AverageApproachDistanceBogeyorWorse",2016
72,106,"David Hearn",55,161.5,610582,105,"AverageApproachDistanceBogeyorWorse",2016
73,78,"Stuart Appleby",39,161.7,558681,96,"AverageApproachDistanceBogeyorWorse",2016
74,94,"Zac Blair",56,161.8,699039,120,"AverageApproachDistanceBogeyorWorse",2016
74,55,"Bronson Burgoon",53,161.8,710702,122,"AverageApproachDistanceBogeyorWorse",2016
