"Scrambling1020ydsRTPScore_RANKTHISWEEK_2011","Scrambling1020ydsRTPScore_RANKLASTWEEK_2011","Scrambling1020ydsRTPScore_PLAYERNAME_2011","Scrambling1020ydsRTPScore_ROUNDS_2011","Scrambling1020ydsRTPScore_AVGRTP_2011","Scrambling1020ydsRTPScore_TOTALHOLES_2011","Scrambling1020ydsRTPScore_TOTALRTP_2011","stat_name","year"
1,NA,"Padraig Harrington",60,0.22,109,24,"Scrambling1020ydsRTPScore",2011
2,NA,"Steve Stricker",70,0.246,138,34,"Scrambling1020ydsRTPScore",2011
3,NA,"Paul Stankowski",78,0.247,162,40,"Scrambling1020ydsRTPScore",2011
4,NA,"Mark Wilson",89,0.25,184,46,"Scrambling1020ydsRTPScore",2011
5,NA,"Brian Gay",90,0.251,215,54,"Scrambling1020ydsRTPScore",2011
6,NA,"Kevin Na",84,0.254,197,50,"Scrambling1020ydsRTPScore",2011
7,NA,"Ben Crane",76,0.255,157,40,"Scrambling1020ydsRTPScore",2011
8,NA,"Greg Chalmers",88,0.256,227,58,"Scrambling1020ydsRTPScore",2011
9,NA,"Justin Leonard",82,0.264,182,48,"Scrambling1020ydsRTPScore",2011
10,NA,"Shaun Micheel",77,0.265,189,50,"Scrambling1020ydsRTPScore",2011
10,NA,"Rory Sabbatini",85,0.265,147,39,"Scrambling1020ydsRTPScore",2011
12,NA,"Charles Howell III",108,0.274,226,62,"Scrambling1020ydsRTPScore",2011
13,NA,"Robert Allenby",84,0.275,167,46,"Scrambling1020ydsRTPScore",2011
13,NA,"Jarrod Lyle",83,0.275,200,55,"Scrambling1020ydsRTPScore",2011
15,NA,"Nathan Green",81,0.281,203,57,"Scrambling1020ydsRTPScore",2011
16,NA,"Brandt Jobe",100,0.283,184,52,"Scrambling1020ydsRTPScore",2011
17,NA,"Jerry Kelly",85,0.284,162,46,"Scrambling1020ydsRTPScore",2011
18,NA,"Zach Johnson",79,0.285,165,47,"Scrambling1020ydsRTPScore",2011
18,NA,"Geoff Ogilvy",69,0.285,165,47,"Scrambling1020ydsRTPScore",2011
20,NA,"Jason Day",76,0.287,150,43,"Scrambling1020ydsRTPScore",2011
21,NA,"Nick Watney",80,0.288,160,46,"Scrambling1020ydsRTPScore",2011
