"ScoringRating_RANKTHISWEEK_2015","ScoringRating_RANKLASTWEEK_2015","ScoringRating_PLAYERNAME_2015","ScoringRating_EVENTS_2015","ScoringRating_RATING_2015","stat_name","year"
1,1,"Joe Affrunti",1,9,"ScoringRating",2015
1,1,"Robby Shelton",1,9,"ScoringRating",2015
1,1,"Peter Uihlein",1,9,"ScoringRating",2015
4,4,"Jordan Spieth",16,8.9,"ScoringRating",2015
5,5,"Jason Day",14,8.8,"ScoringRating",2015
5,5,"Ross Fisher",1,8.8,"ScoringRating",2015
5,5,"Garrett Osborn",1,8.8,"ScoringRating",2015
8,8,"Mark Hensby",1,8.7,"ScoringRating",2015
8,8,"Duffy Waldorf",1,8.7,"ScoringRating",2015
10,10,"Justin Rose",10,8.6,"ScoringRating",2015
10,10,"Henrik Stenson",11,8.6,"ScoringRating",2015
10,10,"Bubba Watson",14,8.6,"ScoringRating",2015
10,10,"Will Wilcox",9,8.6,"ScoringRating",2015
14,14,"Mark Anderson",3,8.5,"ScoringRating",2015
14,14,"Rory McIlroy",8,8.5,"ScoringRating",2015
14,14,"Martin Piller",1,8.5,"ScoringRating",2015
14,14,"Ollie Schniederjans",2,8.5,"ScoringRating",2015
18,18,"Paul Casey",14,8.4,"ScoringRating",2015
18,18,"George Coetzee",2,8.4,"ScoringRating",2015
18,18,"Austin Cook",5,8.4,"ScoringRating",2015
18,18,"Bryson DeChambeau",1,8.4,"ScoringRating",2015
18,18,"Dustin Johnson",14,8.4,"ScoringRating",2015
18,18,"Soren Kjeldsen",1,8.4,"ScoringRating",2015
18,18,"DH Lee",1,8.4,"ScoringRating",2015
18,18,"Hideki Matsuyama",16,8.4,"ScoringRating",2015
18,18,"Cheng Tsung Pan",1,8.4,"ScoringRating",2015
18,18,"John Rollins",2,8.4,"ScoringRating",2015
18,18,"Andy Sullivan",1,8.4,"ScoringRating",2015
18,18,"Adam Svensson",1,8.4,"ScoringRating",2015
18,18,"Vaughn Taylor",9,8.4,"ScoringRating",2015
18,18,"Justin Thomas",22,8.4,"ScoringRating",2015
18,18,"Cameron Wilson",1,8.4,"ScoringRating",2015
33,33,"Thomas Aiken",2,8.3,"ScoringRating",2015
33,33,"Ryan Armour",4,8.3,"ScoringRating",2015
33,33,"Daniel Berger",16,8.3,"ScoringRating",2015
33,33,"Jim Furyk",13,8.3,"ScoringRating",2015
33,33,"Emiliano Grillo",3,8.3,"ScoringRating",2015
33,33,"Zach Johnson",16,8.3,"ScoringRating",2015
33,33,"Brooks Koepka",15,8.3,"ScoringRating",2015
33,33,"David Lingmerth",15,8.3,"ScoringRating",2015
33,33,"Ryan Palmer",13,8.3,"ScoringRating",2015
33,33,"Jon Rahm",2,8.3,"ScoringRating",2015
33,33,"Cameron Smith",6,8.3,"ScoringRating",2015
33,33,"Kevin Stadler",1,8.3,"ScoringRating",2015
33,33,"Robert Streb",22,8.3,"ScoringRating",2015
33,33,"Brendon Todd",18,8.3,"ScoringRating",2015
33,33,"Johnson Wagner",8,8.3,"ScoringRating",2015
33,33,"Jimmy Walker",16,8.3,"ScoringRating",2015
33,33,"Cory Whitsett",2,8.3,"ScoringRating",2015
50,50,"Steven Bowditch",17,8.2,"ScoringRating",2015
50,50,"Keegan Bradley",16,8.2,"ScoringRating",2015
50,50,"Jonathan Byrd",9,8.2,"ScoringRating",2015
50,50,"Stewart Cink",13,8.2,"ScoringRating",2015
50,50,"John Daly",1,8.2,"ScoringRating",2015
50,50,"Tony Finau",20,8.2,"ScoringRating",2015
50,50,"Rickie Fowler",13,8.2,"ScoringRating",2015
50,50,"Sergio Garcia",9,8.2,"ScoringRating",2015
50,50,"Jason Gore",9,8.2,"ScoringRating",2015
50,50,"Cody Gribble",1,8.2,"ScoringRating",2015
50,50,"Tyrrell Hatton",1,8.2,"ScoringRating",2015
50,50,"Russell Henley",16,8.2,"ScoringRating",2015
50,50,"Jim Herman",14,8.2,"ScoringRating",2015
50,50,"Tom Hoge",12,8.2,"ScoringRating",2015
50,50,"Martin Kaymer",6,8.2,"ScoringRating",2015
50,50,"Jerry Kelly",13,8.2,"ScoringRating",2015
50,50,"Colt Knost",15,8.2,"ScoringRating",2015
50,50,"Russell Knox",19,8.2,"ScoringRating",2015
50,50,"John Merrick",8,8.2,"ScoringRating",2015
50,50,"Kevin Na",17,8.2,"ScoringRating",2015
50,50,"Greg Owen",7,8.2,"ScoringRating",2015
50,50,"Kenny Perry",3,8.2,"ScoringRating",2015
50,50,"DA Points",7,8.2,"ScoringRating",2015
50,50,"Kyle Reifers",14,8.2,"ScoringRating",2015
50,50,"Carlos Sainz Jr",3,8.2,"ScoringRating",2015
50,50,"Chris Smith",3,8.2,"ScoringRating",2015
50,50,"JJ Spaun",1,8.2,"ScoringRating",2015
50,50,"Brendan Steele",18,8.2,"ScoringRating",2015
50,50,"Chris Stroud",11,8.2,"ScoringRating",2015
50,50,"Lee Westwood",7,8.2,"ScoringRating",2015
80,80,"Blake Adams",2,8.1,"ScoringRating",2015
80,80,"Stuart Appleby",3,8.1,"ScoringRating",2015
80,80,"Jonas Blixt",8,8.1,"ScoringRating",2015
80,80,"Jason Bohn",19,8.1,"ScoringRating",2015
80,80,"Scott Brown",16,8.1,"ScoringRating",2015
80,80,"Chad Campbell",18,8.1,"ScoringRating",2015
80,80,"Kevin Chappell",15,8.1,"ScoringRating",2015
80,80,"Chad Collins",13,8.1,"ScoringRating",2015
80,80,"Jon Curran",10,8.1,"ScoringRating",2015
80,80,"Kelvin Day",1,8.1,"ScoringRating",2015
80,80,"Graham DeLaet",12,8.1,"ScoringRating",2015
80,80,"Luke Donald",12,8.1,"ScoringRating",2015
80,80,"Harris English",21,8.1,"ScoringRating",2015
80,80,"Adam Hadwin",16,8.1,"ScoringRating",2015
80,80,"Brian Harman",16,8.1,"ScoringRating",2015
80,80,"David Hearn",17,8.1,"ScoringRating",2015
80,80,"Justin Hicks",2,8.1,"ScoringRating",2015
80,80,"JB Holmes",15,8.1,"ScoringRating",2015
80,80,"Tom Johnson",1,8.1,"ScoringRating",2015
80,80,"Whee Kim",10,8.1,"ScoringRating",2015
80,80,"Kevin Kisner",20,8.1,"ScoringRating",2015
80,80,"Jason Kokrak",15,8.1,"ScoringRating",2015
80,80,"Matt Kuchar",20,8.1,"ScoringRating",2015
80,80,"Martin Laird",14,8.1,"ScoringRating",2015
80,80,"Danny Lee",22,8.1,"ScoringRating",2015
80,80,"Shane Lowry",5,8.1,"ScoringRating",2015
80,80,"Will Ma Kenzie",5,8.1,"ScoringRating",2015
80,80,"Ben Martin",17,8.1,"ScoringRating",2015
80,80,"William McGirt",20,8.1,"ScoringRating",2015
80,80,"George McNeill",19,8.1,"ScoringRating",2015
80,80,"Francesco Molinari",10,8.1,"ScoringRating",2015
80,80,"Ryan Moore",13,8.1,"ScoringRating",2015
80,80,"Louis Oosthuizen",9,8.1,"ScoringRating",2015
80,80,"Cameron Percy",12,8.1,"ScoringRating",2015
80,80,"Pat Perez",20,8.1,"ScoringRating",2015
80,80,"Tim Petrovic",1,8.1,"ScoringRating",2015
