"LateScoringAverage_RANKTHISWEEK_2006","LateScoringAverage_RANKLASTWEEK_2006","LateScoringAverage_PLAYERNAME_2006","LateScoringAverage_ROUNDS_2006","LateScoringAverage_AVG_2006","LateScoringAverage_TOTALSTROKES_2006","LateScoringAverage_TOTALLATEROUNDS_2006","stat_name","year"
1,1,"Tiger Woods",55,68.81,2546,37,"LateScoringAverage",2006
2,2,"Steve Stricker",64,69.71,2440,35,"LateScoringAverage",2006
3,3,"Jim Furyk",89,69.93,4196,60,"LateScoringAverage",2006
4,4,"Trevor Immelman",86,70.02,3501,50,"LateScoringAverage",2006
5,5,"Luke Donald",66,70.08,2523,36,"LateScoringAverage",2006
6,6,"Frank Lickliter II",99,70.12,3506,50,"LateScoringAverage",2006
6,6,"Adam Scott",70,70.12,2875,41,"LateScoringAverage",2006
8,8,"Stewart Cink",93,70.19,3299,47,"LateScoringAverage",2006
9,9,"Jeff Gove",91,70.2,3159,45,"LateScoringAverage",2006
10,10,"Bob May",65,70.23,2177,31,"LateScoringAverage",2006
11,11,"Ian Poulter",53,70.34,2251,32,"LateScoringAverage",2006
11,11,"Vijay Singh",103,70.34,4080,58,"LateScoringAverage",2006
13,13,"Jerry Kelly",100,70.37,3800,54,"LateScoringAverage",2006
14,14,"Bubba Watson",83,70.38,2604,37,"LateScoringAverage",2006
15,15,"Brett Quigley",109,70.39,4294,61,"LateScoringAverage",2006
16,16,"KJ Choi",93,70.4,2957,42,"LateScoringAverage",2006
17,17,"Kenny Perry",73,70.42,2324,33,"LateScoringAverage",2006
18,18,"Jonathan Byrd",66,70.47,2396,34,"LateScoringAverage",2006
19,19,"Heath Slocum",96,70.52,2962,42,"LateScoringAverage",2006
20,20,"Ernie Els",69,70.53,2821,40,"LateScoringAverage",2006
21,21,"Phil Mickelson",74,70.54,2751,39,"LateScoringAverage",2006
21,21,"Nick Watney",97,70.54,3245,46,"LateScoringAverage",2006
23,23,"Woody Austin",107,70.55,3739,53,"LateScoringAverage",2006
24,24,"Scott Verplank",88,70.57,3105,44,"LateScoringAverage",2006
25,25,"Bob Estes",85,70.58,2823,40,"LateScoringAverage",2006
25,25,"Rory Sabbatini",84,70.58,2682,38,"LateScoringAverage",2006
27,27,"Robert Allenby",79,70.61,2895,41,"LateScoringAverage",2006
27,27,"Chad Campbell",91,70.61,3248,46,"LateScoringAverage",2006
27,27,"Brian Gay",107,70.61,3813,54,"LateScoringAverage",2006
30,30,"Fred Funk",106,70.63,3602,51,"LateScoringAverage",2006
30,30,"Robert Gamez",94,70.63,2825,40,"LateScoringAverage",2006
30,30,"Dean Wilson",115,70.63,3814,54,"LateScoringAverage",2006
33,33,"John Senden",96,70.64,3108,44,"LateScoringAverage",2006
33,33,"David Toms",76,70.64,2967,42,"LateScoringAverage",2006
35,35,"Stephen Leaney",84,70.65,3038,43,"LateScoringAverage",2006
36,36,"Paul Goydos",72,70.66,2473,35,"LateScoringAverage",2006
36,36,"Charles Warren",93,70.66,3109,44,"LateScoringAverage",2006
38,38,"Stuart Appleby",83,70.68,3110,44,"LateScoringAverage",2006
38,38,"Zach Johnson",98,70.68,3322,47,"LateScoringAverage",2006
40,40,"Jose Maria Olazabal",62,70.7,1909,27,"LateScoringAverage",2006
