"Approachesfrominside100yardsRgh_RANKTHISWEEK_2015","Approachesfrominside100yardsRgh_RANKLASTWEEK_2015","Approachesfrominside100yardsRgh_PLAYERNAME_2015","Approachesfrominside100yardsRgh_ROUNDS_2015","Approachesfrominside100yardsRgh_AVG_2015","Approachesfrominside100yardsRgh_TOTALDISTANCEFEET_2015","Approachesfrominside100yardsRgh_OFATTEMPTS_2015","Approachesfrominside100yardsRgh_RELATIVETOPAR_2015","stat_name","year"
1,1,"Jamie Donaldson",50,NA,207.667,14,3,"Approachesfrominside100yardsRgh",2015
2,2,"Tim Wilkinson",73,NA,452.417,27,-1,"Approachesfrominside100yardsRgh",2015
3,3,"Ken Duke",93,NA,422.5,25,-1,"Approachesfrominside100yardsRgh",2015
4,4,"Blayne Barber",76,NA,608.167,35,9,"Approachesfrominside100yardsRgh",2015
5,5,"Jordan Spieth",91,NA,549.667,30,4,"Approachesfrominside100yardsRgh",2015
6,6,"Jason Gore",76,NA,387.083,21,5,"Approachesfrominside100yardsRgh",2015
7,7,"Rickie Fowler",76,NA,466.5,25,2,"Approachesfrominside100yardsRgh",2015
8,8,"Eric Axley",57,NA,301.667,16,-2,"Approachesfrominside100yardsRgh",2015
9,9,"Sam Saunders",83,NA,324.833,17,8,"Approachesfrominside100yardsRgh",2015
10,10,"Brendan Steele",88,NA,492.417,25,-4,"Approachesfrominside100yardsRgh",2015
11,11,"SJ Park",79,NA,400.25,20,4,"Approachesfrominside100yardsRgh",2015
12,12,"Jim Renner",68,NA,541.333,27,8,"Approachesfrominside100yardsRgh",2015
13,13,"Scott Brown",97,NA,745.667,37,4,"Approachesfrominside100yardsRgh",2015
14,14,"John Merrick",78,NA,405,20,2,"Approachesfrominside100yardsRgh",2015
14,14,"Louis Oosthuizen",68,NA,384,19,-3,"Approachesfrominside100yardsRgh",2015
16,16,"John Peterson",84,NA,467.917,23,4,"Approachesfrominside100yardsRgh",2015
17,17,"Ben Crane",62,NA,454.083,22,0,"Approachesfrominside100yardsRgh",2015
18,18,"Chesson Hadley",101,NA,754.083,36,6,"Approachesfrominside100yardsRgh",2015
19,19,"Morgan Hoffmann",85,NA,819.583,39,5,"Approachesfrominside100yardsRgh",2015
20,20,"Scott Langley",94,NA,757.5,36,0,"Approachesfrominside100yardsRgh",2015
21,21,"Seung Yul Noh",65,NA,486.917,23,3,"Approachesfrominside100yardsRgh",2015
22,22,"Stewart Cink",77,NA,473.333,22,6,"Approachesfrominside100yardsRgh",2015
