"ApproachesRightRoughRTPScore_RANKTHISWEEK_2006","ApproachesRightRoughRTPScore_RANKLASTWEEK_2006","ApproachesRightRoughRTPScore_PLAYERNAME_2006","ApproachesRightRoughRTPScore_ROUNDS_2006","ApproachesRightRoughRTPScore_AVGRTP_2006","stat_name","year"
1,1,"Tiger Woods",55,-0.058,"ApproachesRightRoughRTPScore",2006
2,2,"Robert Allenby",79,-0.056,"ApproachesRightRoughRTPScore",2006
3,3,"Chris DiMarco",83,-0.046,"ApproachesRightRoughRTPScore",2006
4,4,"John Senden",96,-0.015,"ApproachesRightRoughRTPScore",2006
5,5,"Stephen Ames",63,-0.014,"ApproachesRightRoughRTPScore",2006
6,6,"Vijay Singh",103,-0.012,"ApproachesRightRoughRTPScore",2006
7,7,"Bob Estes",85,-0.007,"ApproachesRightRoughRTPScore",2006
8,8,"Daniel Chopra",110,0.011,"ApproachesRightRoughRTPScore",2006
9,9,"Retief Goosen",68,0.014,"ApproachesRightRoughRTPScore",2006
10,10,"Bo Van Pelt",102,0.017,"ApproachesRightRoughRTPScore",2006
11,11,"Jonathan Byrd",66,0.021,"ApproachesRightRoughRTPScore",2006
12,12,"Duffy Waldorf",96,0.023,"ApproachesRightRoughRTPScore",2006
13,13,"Charles Warren",93,0.027,"ApproachesRightRoughRTPScore",2006
14,14,"Matt Hansen",68,0.029,"ApproachesRightRoughRTPScore",2006
15,15,"Phil Mickelson",74,0.032,"ApproachesRightRoughRTPScore",2006
16,16,"Billy Mayfair",94,0.034,"ApproachesRightRoughRTPScore",2006
17,17,"Padraig Harrington",54,0.036,"ApproachesRightRoughRTPScore",2006
18,18,"Fred Funk",106,0.037,"ApproachesRightRoughRTPScore",2006
19,19,"Fred Couples",52,0.039,"ApproachesRightRoughRTPScore",2006
19,19,"Kenny Perry",73,0.039,"ApproachesRightRoughRTPScore",2006
21,21,"Robert Damron",91,0.04,"ApproachesRightRoughRTPScore",2006
21,21,"Jeff Gove",91,0.04,"ApproachesRightRoughRTPScore",2006
23,23,"Trevor Immelman",86,0.043,"ApproachesRightRoughRTPScore",2006
24,24,"Kris Cox",83,0.05,"ApproachesRightRoughRTPScore",2006
25,25,"Shaun Micheel",96,0.051,"ApproachesRightRoughRTPScore",2006
26,26,"Jeff Brehaut",100,0.053,"ApproachesRightRoughRTPScore",2006
27,27,"Steve Elkington",52,0.057,"ApproachesRightRoughRTPScore",2006
27,27,"Robert Garrigus",85,0.057,"ApproachesRightRoughRTPScore",2006
27,27,"Vaughn Taylor",88,0.057,"ApproachesRightRoughRTPScore",2006
30,30,"Joe Ogilvie",95,0.062,"ApproachesRightRoughRTPScore",2006
31,31,"Patrick Sheehan",104,0.067,"ApproachesRightRoughRTPScore",2006
32,32,"Bob May",65,0.068,"ApproachesRightRoughRTPScore",2006
33,33,"JJ Henry",96,0.07,"ApproachesRightRoughRTPScore",2006
34,34,"Briny Baird",81,0.074,"ApproachesRightRoughRTPScore",2006
35,35,"KJ Choi",93,0.075,"ApproachesRightRoughRTPScore",2006
35,35,"Nathan Green",108,0.075,"ApproachesRightRoughRTPScore",2006
35,35,"Charley Hoffman",100,0.075,"ApproachesRightRoughRTPScore",2006
35,35,"Charles Howell III",96,0.075,"ApproachesRightRoughRTPScore",2006
35,35,"Mark OMeara",52,0.075,"ApproachesRightRoughRTPScore",2006
40,40,"Davis Love III",85,0.076,"ApproachesRightRoughRTPScore",2006
41,41,"Jesper Parnevik",84,0.079,"ApproachesRightRoughRTPScore",2006
41,41,"Vance Veazey",59,0.079,"ApproachesRightRoughRTPScore",2006
43,43,"Henrik Bjornstad",97,0.081,"ApproachesRightRoughRTPScore",2006
44,44,"Brett Quigley",109,0.083,"ApproachesRightRoughRTPScore",2006
45,45,"Ian Poulter",53,0.086,"ApproachesRightRoughRTPScore",2006
46,46,"Mark Calcavecchia",94,0.087,"ApproachesRightRoughRTPScore",2006
47,47,"Jonathan Kaye",95,0.088,"ApproachesRightRoughRTPScore",2006
48,48,"Brian Gay",107,0.091,"ApproachesRightRoughRTPScore",2006
49,49,"Carlos Franco",86,0.092,"ApproachesRightRoughRTPScore",2006
50,50,"Arron Oberholser",82,0.093,"ApproachesRightRoughRTPScore",2006
51,51,"Ben Crane",85,0.094,"ApproachesRightRoughRTPScore",2006
51,51,"Jason Gore",86,0.094,"ApproachesRightRoughRTPScore",2006
53,53,"JP Hayes",55,0.095,"ApproachesRightRoughRTPScore",2006
53,53,"Tom Lehman",70,0.095,"ApproachesRightRoughRTPScore",2006
55,55,"Stuart Appleby",83,0.096,"ApproachesRightRoughRTPScore",2006
55,55,"Jimmy Walker",60,0.096,"ApproachesRightRoughRTPScore",2006
55,55,"Bubba Watson",83,0.096,"ApproachesRightRoughRTPScore",2006
58,58,"Sergio Garcia",59,0.097,"ApproachesRightRoughRTPScore",2006
59,59,"Len Mattiace",59,0.098,"ApproachesRightRoughRTPScore",2006
59,59,"Mike Weir",88,0.098,"ApproachesRightRoughRTPScore",2006
61,61,"Ernie Els",69,0.099,"ApproachesRightRoughRTPScore",2006
61,61,"Mark Wilson",79,0.099,"ApproachesRightRoughRTPScore",2006
63,63,"Chris Couch",75,0.1,"ApproachesRightRoughRTPScore",2006
63,63,"Sean OHair",100,0.1,"ApproachesRightRoughRTPScore",2006
65,65,"Pat Perez",50,0.102,"ApproachesRightRoughRTPScore",2006
66,66,"Brent Geiberger",99,0.103,"ApproachesRightRoughRTPScore",2006
67,67,"Lucas Glover",105,0.104,"ApproachesRightRoughRTPScore",2006
67,67,"Tim Petrovic",95,0.104,"ApproachesRightRoughRTPScore",2006
67,67,"Steve Stricker",64,0.104,"ApproachesRightRoughRTPScore",2006
70,70,"Steve Jones",83,0.105,"ApproachesRightRoughRTPScore",2006
70,70,"Bernhard Langer",77,0.105,"ApproachesRightRoughRTPScore",2006
72,72,"Stewart Cink",93,0.106,"ApproachesRightRoughRTPScore",2006
73,73,"Aaron Baddeley",78,0.11,"ApproachesRightRoughRTPScore",2006
73,73,"Jose Maria Olazabal",62,0.11,"ApproachesRightRoughRTPScore",2006
75,75,"Shigeki Maruyama",94,0.112,"ApproachesRightRoughRTPScore",2006
76,76,"David McKenzie",82,0.113,"ApproachesRightRoughRTPScore",2006
