"GIRPuttingInside5_RANKTHISWEEK_2009","GIRPuttingInside5_RANKLASTWEEK_2009","GIRPuttingInside5_PLAYERNAME_2009","GIRPuttingInside5_ROUNDS_2009","GIRPuttingInside5_Pct_2009","GIRPuttingInside5_ATTEMPTS_2009","GIRPuttingInside5_PUTTSMADE_2009","stat_name","year"
1,1,"Retief Goosen",74,95.83,24,23,"GIRPuttingInside5",2009
2,2,"Vijay Singh",71,95.65,23,22,"GIRPuttingInside5",2009
3,3,"Ryan Palmer",78,95.35,43,41,"GIRPuttingInside5",2009
4,4,"Geoff Ogilvy",78,95.24,42,40,"GIRPuttingInside5",2009
4,4,"Charles Warren",63,95.24,21,20,"GIRPuttingInside5",2009
6,6,"Ben Crane",93,95.12,41,39,"GIRPuttingInside5",2009
7,7,"Mike Weir",85,94.87,39,37,"GIRPuttingInside5",2009
8,8,"Angel Cabrera",55,94.74,19,18,"GIRPuttingInside5",2009
9,9,"Anthony Kim",76,94.12,34,32,"GIRPuttingInside5",2009
10,10,"Brad Adamonis",70,93.94,33,31,"GIRPuttingInside5",2009
11,11,"Luke Donald",79,92.86,28,26,"GIRPuttingInside5",2009
12,12,"YE Yang",83,92.5,40,37,"GIRPuttingInside5",2009
13,13,"Joe Ogilvie",85,92.16,51,47,"GIRPuttingInside5",2009
14,14,"Stewart Cink",79,92,25,23,"GIRPuttingInside5",2009
14,14,"Justin Rose",71,92,25,23,"GIRPuttingInside5",2009
16,16,"Kent Jones",73,91.67,24,22,"GIRPuttingInside5",2009
17,17,"Peter Lonard",86,91.18,34,31,"GIRPuttingInside5",2009
18,18,"Steve Lowery",83,90.91,33,30,"GIRPuttingInside5",2009
18,18,"Tiger Woods",64,90.91,33,30,"GIRPuttingInside5",2009
20,20,"Ryan Moore",89,90.48,42,38,"GIRPuttingInside5",2009
21,21,"Kevin Na",91,90.38,52,47,"GIRPuttingInside5",2009
22,22,"Stephen Ames",77,90,30,27,"GIRPuttingInside5",2009
22,22,"Richard Johnson",85,90,40,36,"GIRPuttingInside5",2009
22,22,"Matt Kuchar",82,90,40,36,"GIRPuttingInside5",2009
22,22,"Brandt Snedeker",81,90,40,36,"GIRPuttingInside5",2009
26,26,"Chris Stroud",88,89.8,49,44,"GIRPuttingInside5",2009
27,27,"Aaron Baddeley",66,89.74,39,35,"GIRPuttingInside5",2009
27,27,"Nick Watney",86,89.74,39,35,"GIRPuttingInside5",2009
29,29,"Pat Perez",74,89.47,38,34,"GIRPuttingInside5",2009
30,30,"Scott Sterling",51,89.29,28,25,"GIRPuttingInside5",2009
31,31,"Justin Leonard",95,89.23,65,58,"GIRPuttingInside5",2009
32,32,"Jim Furyk",86,89.19,37,33,"GIRPuttingInside5",2009
33,33,"Jimmy Walker",74,89.13,46,41,"GIRPuttingInside5",2009
34,34,"Jeff Overton",92,89.09,55,49,"GIRPuttingInside5",2009
35,35,"Jerry Kelly",90,88.89,27,24,"GIRPuttingInside5",2009
35,35,"David Mathis",82,88.89,36,32,"GIRPuttingInside5",2009
35,35,"Chris Riley",77,88.89,45,40,"GIRPuttingInside5",2009
35,35,"Andres Romero",58,88.89,27,24,"GIRPuttingInside5",2009
39,39,"Tim Herron",87,88.68,53,47,"GIRPuttingInside5",2009
40,40,"George McNeill",82,88.64,44,39,"GIRPuttingInside5",2009
41,41,"Tim Clark",81,88.37,43,38,"GIRPuttingInside5",2009
41,41,"Ted Purdy",101,88.37,43,38,"GIRPuttingInside5",2009
43,43,"Jason Bohn",88,88.33,60,53,"GIRPuttingInside5",2009
44,44,"Charles Howell III",99,88,50,44,"GIRPuttingInside5",2009
44,44,"Vaughn Taylor",88,88,50,44,"GIRPuttingInside5",2009
46,46,"Bryce Molder",69,87.88,33,29,"GIRPuttingInside5",2009
47,47,"Brian Gay",96,87.5,40,35,"GIRPuttingInside5",2009
47,47,"Freddie Jacobson",83,87.5,32,28,"GIRPuttingInside5",2009
47,47,"Colt Knost",71,87.5,32,28,"GIRPuttingInside5",2009
47,47,"Cliff Kresge",78,87.5,32,28,"GIRPuttingInside5",2009
47,47,"James Nitties",86,87.5,40,35,"GIRPuttingInside5",2009
47,47,"Carl Pettersson",86,87.5,40,35,"GIRPuttingInside5",2009
47,47,"DA Points",99,87.5,56,49,"GIRPuttingInside5",2009
54,54,"Brett Quigley",92,87.27,55,48,"GIRPuttingInside5",2009
55,55,"Mathew Goggin",76,87.18,39,34,"GIRPuttingInside5",2009
56,56,"Chez Reavie",81,87.1,31,27,"GIRPuttingInside5",2009
57,57,"Bo Van Pelt",100,87.04,54,47,"GIRPuttingInside5",2009
58,58,"Charley Hoffman",97,86.54,52,45,"GIRPuttingInside5",2009
59,59,"Charlie Wi",92,86.27,51,44,"GIRPuttingInside5",2009
60,60,"Eric Axley",71,86.05,43,37,"GIRPuttingInside5",2009
61,61,"Daniel Chopra",89,86,50,43,"GIRPuttingInside5",2009
62,62,"Kris Blanks",60,85.71,35,30,"GIRPuttingInside5",2009
62,62,"Chad Campbell",90,85.71,42,36,"GIRPuttingInside5",2009
62,62,"Greg Chalmers",85,85.71,35,30,"GIRPuttingInside5",2009
62,62,"Jason Day",61,85.71,35,30,"GIRPuttingInside5",2009
62,62,"Jeff Klauk",97,85.71,49,42,"GIRPuttingInside5",2009
67,67,"Jason Dufner",90,85.42,48,41,"GIRPuttingInside5",2009
68,68,"Mark Brooks",55,85,20,17,"GIRPuttingInside5",2009
69,69,"Heath Slocum",95,84.91,53,45,"GIRPuttingInside5",2009
