"LaunchAngle_RANKTHISWEEK_2015","LaunchAngle_RANKLASTWEEK_2015","LaunchAngle_PLAYERNAME_2015","LaunchAngle_ROUNDS_2015","LaunchAngle_AVG_2015","LaunchAngle_TOTALVERTLAUNCHANGLE_2015","LaunchAngle_TOTALATTEMPTS_2015","LaunchAngle_LOWESTLAUNCHANGLE_2015","LaunchAngle_STEEPESTLAUNCHANGLE_2015","stat_name","year"
1,1,"Justin Thomas",106,14.11,1439.24,102,8.59,19.17,"LaunchAngle",2015
2,2,"Mark Wilson",89,13.8,1145.06,83,10.52,16.78,"LaunchAngle",2015
3,3,"David Hearn",97,13.58,1289.86,95,9.92,16.84,"LaunchAngle",2015
4,4,"David Toms",62,13.52,838.48,62,10.42,17.22,"LaunchAngle",2015
5,5,"Nick Taylor",91,13.28,1222.2,92,9.38,18.33,"LaunchAngle",2015
6,6,"Ernie Els",57,13.27,504.24,38,11.1,15.96,"LaunchAngle",2015
7,7,"James Hahn",94,13.25,1046.89,79,8.47,18.75,"LaunchAngle",2015
8,8,"Nicholas Thompson",90,13.1,1113.56,85,7.78,18.26,"LaunchAngle",2015
9,9,"Zach Johnson",90,13.07,1124.12,86,9.12,15.68,"LaunchAngle",2015
10,10,"Chesson Hadley",101,13.03,1198.73,92,7.42,16.72,"LaunchAngle",2015
11,11,"Danny Lee",120,12.99,1455.17,112,8.94,17.08,"LaunchAngle",2015
12,12,"Padraig Harrington",60,12.82,730.84,57,9.03,18.04,"LaunchAngle",2015
13,13,"Brian Davis",86,12.8,1087.68,85,7.9,18.73,"LaunchAngle",2015
14,14,"Steven Alker",62,12.67,747.8,59,7.86,15.91,"LaunchAngle",2015
15,15,"Alex Cejka",94,12.61,1046.63,83,6.29,15.89,"LaunchAngle",2015
16,16,"Michael Thompson",83,12.53,1052.5,84,8.53,16.38,"LaunchAngle",2015
17,17,"Jon Curran",83,12.5,912.18,73,7.81,15.56,"LaunchAngle",2015
17,17,"Morgan Hoffmann",85,12.5,987.42,79,9.76,16.81,"LaunchAngle",2015
19,19,"Keegan Bradley",87,12.49,1023.85,82,9.21,16.11,"LaunchAngle",2015
20,20,"Scott Piercy",90,12.44,1057.59,85,7.56,18.71,"LaunchAngle",2015
21,21,"John Huh",102,12.42,1353.82,109,9.3,16.05,"LaunchAngle",2015
22,22,"Graham DeLaet",65,12.36,667.63,54,8.04,16.72,"LaunchAngle",2015
23,23,"Sean OHair",86,12.32,924.11,75,3.11,16.69,"LaunchAngle",2015
24,24,"Jeff Overton",94,12.24,1052.35,86,9.03,16.67,"LaunchAngle",2015
25,25,"Sam Saunders",83,12.21,879.32,72,7.77,15.89,"LaunchAngle",2015
26,26,"JB Holmes",89,12.17,863.81,71,7.28,17.87,"LaunchAngle",2015
27,27,"Jason Day",75,12.12,739.19,61,9.2,14.48,"LaunchAngle",2015
28,28,"Matt Kuchar",97,12.11,1078.16,89,7.84,18.54,"LaunchAngle",2015
29,29,"Retief Goosen",81,12.1,883.63,73,4.58,18.8,"LaunchAngle",2015
29,29,"Chez Reavie",56,12.1,726.25,60,9.87,14.58,"LaunchAngle",2015
31,31,"Matt Every",73,12.07,856.81,71,9.05,16.01,"LaunchAngle",2015
