"BirdieorBetterPercentage200yards_RANKTHISWEEK_2007","BirdieorBetterPercentage200yards_RANKLASTWEEK_2007","BirdieorBetterPercentage200yards_PLAYERNAME_2007","BirdieorBetterPercentage200yards_ROUNDS_2007","BirdieorBetterPercentage200yards_Pct_2007","BirdieorBetterPercentage200yards_TOTALBIRDIES_2007","BirdieorBetterPercentage200yards_TOTALHOLES_2007","stat_name","year"
1,1,"Scott Gutschewski",67,37.99,87,229,"BirdieorBetterPercentage200yards",2007
2,2,"John Daly",59,37.77,71,188,"BirdieorBetterPercentage200yards",2007
3,3,"Brett Wetterich",88,37.5,105,280,"BirdieorBetterPercentage200yards",2007
4,4,"Adam Scott",69,37.14,91,245,"BirdieorBetterPercentage200yards",2007
5,5,"Phil Mickelson",73,36.9,93,252,"BirdieorBetterPercentage200yards",2007
6,6,"Bill Haas",93,36.76,125,340,"BirdieorBetterPercentage200yards",2007
6,6,"Vaughn Taylor",91,36.76,100,272,"BirdieorBetterPercentage200yards",2007
8,8,"Anthony Kim",93,36.25,120,331,"BirdieorBetterPercentage200yards",2007
9,9,"JJ Henry",86,35.94,92,256,"BirdieorBetterPercentage200yards",2007
10,10,"Rod Pampling",92,35.88,108,301,"BirdieorBetterPercentage200yards",2007
11,11,"Vijay Singh",102,35.82,125,349,"BirdieorBetterPercentage200yards",2007
12,12,"Kevin Na",84,35.35,111,314,"BirdieorBetterPercentage200yards",2007
13,13,"Carl Pettersson",111,35.33,130,368,"BirdieorBetterPercentage200yards",2007
14,14,"Jeff Overton",60,35.32,77,218,"BirdieorBetterPercentage200yards",2007
15,15,"Steve Lowery",74,35.25,86,244,"BirdieorBetterPercentage200yards",2007
16,16,"Craig Barlow",52,35.19,57,162,"BirdieorBetterPercentage200yards",2007
16,16,"Nick Watney",87,35.19,101,287,"BirdieorBetterPercentage200yards",2007
18,18,"Padraig Harrington",64,35.18,70,199,"BirdieorBetterPercentage200yards",2007
19,19,"Lucas Glover",98,35,119,340,"BirdieorBetterPercentage200yards",2007
20,20,"Tag Ridings",52,34.78,56,161,"BirdieorBetterPercentage200yards",2007
21,21,"Aaron Baddeley",83,34.59,101,292,"BirdieorBetterPercentage200yards",2007
22,22,"Ernie Els",59,34.57,65,188,"BirdieorBetterPercentage200yards",2007
23,23,"Sean OHair",98,34.41,117,340,"BirdieorBetterPercentage200yards",2007
24,24,"Daniel Chopra",106,34.39,119,346,"BirdieorBetterPercentage200yards",2007
25,25,"Charles Howell III",89,34.34,91,265,"BirdieorBetterPercentage200yards",2007
26,26,"KJ Choi",87,34.25,100,292,"BirdieorBetterPercentage200yards",2007
27,27,"Alex Cejka",80,34.15,97,284,"BirdieorBetterPercentage200yards",2007
