"RyderCupEuroPoints_RANKTHISWEEK_2016","RyderCupEuroPoints_RANKLASTWEEK_2016","RyderCupEuroPoints_PLAYERNAME_2016","RyderCupEuroPoints__2016","RyderCupEuroPoints_POINTS_2016","stat_name","year"
1,1,"Danny Willett",NA,3630894.2,"RyderCupEuroPoints",2016
2,2,"Rory McIlroy",NA,2849657.14,"RyderCupEuroPoints",2016
3,3,"Matthew Fitzpatrick",NA,1902086.74,"RyderCupEuroPoints",2016
4,4,"Andy Sullivan",NA,1853093.55,"RyderCupEuroPoints",2016
5,5,"Victor Dubuisson",NA,1641925.74,"RyderCupEuroPoints",2016
6,6,"Rafa Cabrera Bello",NA,1593331.74,"RyderCupEuroPoints",2016
7,7,"Chris Wood",NA,1527750.74,"RyderCupEuroPoints",2016
8,8,"Soren Kjeldsen",NA,1516493.71,"RyderCupEuroPoints",2016
9,9,"Henrik Stenson",NA,1469073.36,"RyderCupEuroPoints",2016
10,10,"Kristoffer Broberg",NA,1424556.93,"RyderCupEuroPoints",2016
11,11,"Thorbjorn Olesen",NA,1346843.63,"RyderCupEuroPoints",2016
12,12,"Thomas Pieters",NA,1134918.82,"RyderCupEuroPoints",2016
13,13,"Lee Westwood",NA,1123430.6,"RyderCupEuroPoints",2016
14,14,"Justin Rose",NA,904475.76,"RyderCupEuroPoints",2016
15,15,"Joost Luiten",NA,897512.98,"RyderCupEuroPoints",2016
16,16,"Ross Fisher",NA,871004.36,"RyderCupEuroPoints",2016
17,17,"Lee Slattery",NA,863224.73,"RyderCupEuroPoints",2016
18,18,"Lucas Bjerregaard",NA,857518.65,"RyderCupEuroPoints",2016
19,19,"Bernd Wiesberger",NA,823589.71,"RyderCupEuroPoints",2016
20,20,"Shane Lowry",NA,809158.15,"RyderCupEuroPoints",2016
21,21,"Martin Kaymer",NA,747373.5,"RyderCupEuroPoints",2016
22,22,"Andrew Johnston",NA,672569.65,"RyderCupEuroPoints",2016
23,23,"Sergio Garcia",NA,647602.87,"RyderCupEuroPoints",2016
24,24,"Benjamin Hebert",NA,605090.68,"RyderCupEuroPoints",2016
25,25,"Jamie Donaldson",NA,553139.37,"RyderCupEuroPoints",2016
26,26,"Alexander Levy",NA,552531.71,"RyderCupEuroPoints",2016
27,27,"Graeme Storm",NA,551320.65,"RyderCupEuroPoints",2016
28,28,"Rikard Karlberg",NA,540422.56,"RyderCupEuroPoints",2016
29,29,"Gregory Bourdy",NA,530587.09,"RyderCupEuroPoints",2016
30,30,"Julien Quesne",NA,530439.56,"RyderCupEuroPoints",2016
31,31,"Tommy Fleetwood",NA,512492.56,"RyderCupEuroPoints",2016
32,32,"Rich Bland",NA,473564.21,"RyderCupEuroPoints",2016
33,33,"Anthony Wall",NA,472083.36,"RyderCupEuroPoints",2016
34,34,"Alejandro Canizares",NA,446190.59,"RyderCupEuroPoints",2016
35,35,"James Morrison",NA,425406.23,"RyderCupEuroPoints",2016
36,36,"Ian Poulter",NA,413155.9,"RyderCupEuroPoints",2016
37,37,"Tyrrell Hatton",NA,410438.29,"RyderCupEuroPoints",2016
