"ReverseBounceBack_RANKTHISWEEK_2015","ReverseBounceBack_RANKLASTWEEK_2015","ReverseBounceBack_PLAYERNAME_2015","ReverseBounceBack_ROUNDS_2015","ReverseBounceBack_PctUNDERTHENOVERPAR_2015","ReverseBounceBack_TOTALUNDERTHENOVERPAR_2015","ReverseBounceBack_UNDERPAR_2015","stat_name","year"
1,1,"Francesco Molinari",56,9.64,16,166,"ReverseBounceBack",2015
2,2,"SJ Park",79,10.33,22,213,"ReverseBounceBack",2015
3,3,"Jerry Kelly",79,11.66,33,283,"ReverseBounceBack",2015
4,4,"David Toms",62,11.67,21,180,"ReverseBounceBack",2015
5,5,"Steven Bowditch",103,11.86,44,371,"ReverseBounceBack",2015
6,6,"Jeff Overton",94,12.46,38,305,"ReverseBounceBack",2015
7,7,"KJ Choi",66,12.5,25,200,"ReverseBounceBack",2015
7,7,"Bill Haas",89,12.5,35,280,"ReverseBounceBack",2015
7,7,"Greg Owen",58,12.5,23,184,"ReverseBounceBack",2015
10,10,"Scott Brown",97,12.57,43,342,"ReverseBounceBack",2015
11,11,"Stewart Cink",77,12.64,34,269,"ReverseBounceBack",2015
12,12,"Matt Jones",89,12.69,41,323,"ReverseBounceBack",2015
13,13,"John Peterson",84,12.73,34,267,"ReverseBounceBack",2015
14,14,"Daniel Berger",97,12.81,46,359,"ReverseBounceBack",2015
15,15,"Chad Collins",79,12.84,33,257,"ReverseBounceBack",2015
16,16,"Zach Johnson",90,12.97,41,316,"ReverseBounceBack",2015
16,16,"Bryce Molder",91,12.97,38,293,"ReverseBounceBack",2015
18,18,"Paul Casey",87,12.99,40,308,"ReverseBounceBack",2015
19,19,"Zac Blair",108,13.02,44,338,"ReverseBounceBack",2015
20,20,"Jim Herman",88,13.07,40,306,"ReverseBounceBack",2015
21,21,"Kevin Chappell",86,13.13,42,320,"ReverseBounceBack",2015
22,22,"Scott Langley",94,13.23,41,310,"ReverseBounceBack",2015
23,23,"Sergio Garcia",59,13.36,29,217,"ReverseBounceBack",2015
24,24,"Jason Dufner",76,13.64,36,264,"ReverseBounceBack",2015
25,25,"Rory Sabbatini",81,13.65,40,293,"ReverseBounceBack",2015
26,26,"Johnson Wagner",68,13.66,31,227,"ReverseBounceBack",2015
27,27,"Rickie Fowler",76,13.67,38,278,"ReverseBounceBack",2015
28,28,"Hideki Matsuyama",95,13.69,49,358,"ReverseBounceBack",2015
29,29,"Jason Day",75,13.85,45,325,"ReverseBounceBack",2015
30,30,"Brendon de Jonge",106,13.88,54,389,"ReverseBounceBack",2015
31,31,"Jason Bohn",95,13.93,51,366,"ReverseBounceBack",2015
31,31,"Max Homa",78,13.93,34,244,"ReverseBounceBack",2015
33,33,"Brian Harman",90,13.95,42,301,"ReverseBounceBack",2015
34,34,"David Lingmerth",90,14.07,46,327,"ReverseBounceBack",2015
34,34,"Patrick Rodgers",57,14.07,28,199,"ReverseBounceBack",2015
36,36,"Robert Streb",110,14.08,59,419,"ReverseBounceBack",2015
37,37,"Brian Stuard",97,14.09,42,298,"ReverseBounceBack",2015
38,38,"Jordan Spieth",91,14.1,54,383,"ReverseBounceBack",2015
39,39,"Colt Knost",90,14.14,42,297,"ReverseBounceBack",2015
40,40,"John Huh",102,14.29,48,336,"ReverseBounceBack",2015
41,41,"Bill Lunde",50,14.39,20,139,"ReverseBounceBack",2015
41,41,"Justin Rose",69,14.39,40,278,"ReverseBounceBack",2015
43,43,"Tony Finau",106,14.42,60,416,"ReverseBounceBack",2015
43,43,"Brendon Todd",96,14.42,47,326,"ReverseBounceBack",2015
45,45,"Tyrone Van Aswegen",58,14.45,25,173,"ReverseBounceBack",2015
46,46,"Mark Hubbard",79,14.51,37,255,"ReverseBounceBack",2015
46,46,"Lee Westwood",56,14.51,28,193,"ReverseBounceBack",2015
48,48,"William McGirt",103,14.53,50,344,"ReverseBounceBack",2015
48,48,"Henrik Stenson",63,14.53,34,234,"ReverseBounceBack",2015
50,50,"Lucas Glover",79,14.55,40,275,"ReverseBounceBack",2015
50,50,"Will Wilcox",58,14.55,31,213,"ReverseBounceBack",2015
52,52,"Ben Martin",93,14.59,48,329,"ReverseBounceBack",2015
53,53,"Justin Leonard",61,14.61,26,178,"ReverseBounceBack",2015
54,54,"John Merrick",78,14.62,37,253,"ReverseBounceBack",2015
55,55,"Pat Perez",96,14.63,54,369,"ReverseBounceBack",2015
56,56,"Kevin Streelman",95,14.65,46,314,"ReverseBounceBack",2015
57,57,"Charley Hoffman",97,14.7,51,347,"ReverseBounceBack",2015
58,58,"Russell Knox",96,14.71,50,340,"ReverseBounceBack",2015
59,59,"Fabian Gomez",83,14.89,42,282,"ReverseBounceBack",2015
59,59,"Cameron Tringale",96,14.89,46,309,"ReverseBounceBack",2015
61,61,"Brooks Koepka",84,14.92,47,315,"ReverseBounceBack",2015
61,61,"Kyle Reifers",96,14.92,47,315,"ReverseBounceBack",2015
63,63,"Jason Kokrak",88,14.98,49,327,"ReverseBounceBack",2015
64,64,"Andrew Putnam",68,15.02,32,213,"ReverseBounceBack",2015
65,65,"Brandt Snedeker",98,15.04,51,339,"ReverseBounceBack",2015
66,66,"Steven Alker",62,15.12,31,205,"ReverseBounceBack",2015
67,67,"Carl Pettersson",106,15.16,57,376,"ReverseBounceBack",2015
68,68,"Luke Donald",71,15.21,33,217,"ReverseBounceBack",2015
69,69,"Matt Kuchar",97,15.25,54,354,"ReverseBounceBack",2015
69,69,"Michael Putnam",87,15.25,43,282,"ReverseBounceBack",2015
71,71,"Brendan Steele",88,15.29,50,327,"ReverseBounceBack",2015
72,72,"George McNeill",93,15.34,50,326,"ReverseBounceBack",2015
73,73,"Graham DeLaet",65,15.35,35,228,"ReverseBounceBack",2015
74,74,"Jamie Donaldson",50,15.38,22,143,"ReverseBounceBack",2015
74,74,"Jonathan Randolph",72,15.38,34,221,"ReverseBounceBack",2015
76,76,"Daniel Summerhays",101,15.45,55,356,"ReverseBounceBack",2015
77,77,"Alex Prugh",84,15.47,43,278,"ReverseBounceBack",2015
78,78,"Eric Axley",57,15.48,26,168,"ReverseBounceBack",2015
79,79,"Dustin Johnson",75,15.51,47,303,"ReverseBounceBack",2015
80,80,"Carlos Ortiz",100,15.52,54,348,"ReverseBounceBack",2015
81,81,"Chez Reavie",56,15.54,30,193,"ReverseBounceBack",2015
82,82,"Cameron Percy",72,15.64,38,243,"ReverseBounceBack",2015
83,83,"Keegan Bradley",87,15.65,49,313,"ReverseBounceBack",2015
83,83,"Jonathan Byrd",69,15.65,36,230,"ReverseBounceBack",2015
83,83,"Steve Wheatcroft",87,15.65,49,313,"ReverseBounceBack",2015
86,86,"Boo Weekley",79,15.66,44,281,"ReverseBounceBack",2015
87,87,"Hudson Swafford",97,15.7,57,363,"ReverseBounceBack",2015
88,88,"Chris Stroud",84,15.71,49,312,"ReverseBounceBack",2015
89,89,"Louis Oosthuizen",68,15.72,36,229,"ReverseBounceBack",2015
90,90,"Charles Howell III",105,15.74,54,343,"ReverseBounceBack",2015
91,91,"Scott Pinckney",88,15.77,47,298,"ReverseBounceBack",2015
91,91,"Webb Simpson",81,15.77,44,279,"ReverseBounceBack",2015
93,93,"Hunter Mahan",88,15.79,45,285,"ReverseBounceBack",2015
94,94,"Harris English",105,15.88,57,359,"ReverseBounceBack",2015
95,95,"Billy Horschel",99,15.99,55,344,"ReverseBounceBack",2015
96,96,"Nick Watney",91,16,52,325,"ReverseBounceBack",2015
97,97,"Jimmy Walker",89,16.06,53,330,"ReverseBounceBack",2015
98,98,"Byron Smith",59,16.11,29,180,"ReverseBounceBack",2015
99,99,"Jim Furyk",71,16.14,36,223,"ReverseBounceBack",2015
99,99,"Patrick Reed",103,16.14,61,378,"ReverseBounceBack",2015
101,101,"Bubba Watson",71,16.2,46,284,"ReverseBounceBack",2015
102,102,"Martin Laird",77,16.24,44,271,"ReverseBounceBack",2015
103,103,"Ryan Palmer",80,16.25,46,283,"ReverseBounceBack",2015
104,104,"Kevin Kisner",104,16.29,58,356,"ReverseBounceBack",2015
105,105,"Erik Compton",86,16.33,48,294,"ReverseBounceBack",2015
106,106,"Kevin Na",98,16.34,58,355,"ReverseBounceBack",2015
107,107,"Andres Gonzales",90,16.39,49,299,"ReverseBounceBack",2015
107,107,"Justin Thomas",106,16.39,70,427,"ReverseBounceBack",2015
109,109,"Ricky Barnes",82,16.41,43,262,"ReverseBounceBack",2015
110,110,"Mark Wilson",89,16.43,46,280,"ReverseBounceBack",2015
111,111,"Martin Flores",95,16.44,49,298,"ReverseBounceBack",2015
112,112,"Spencer Levin",99,16.45,51,310,"ReverseBounceBack",2015
113,113,"Scott Piercy",90,16.46,54,328,"ReverseBounceBack",2015
114,114,"Aaron Baddeley",76,16.48,43,261,"ReverseBounceBack",2015
115,115,"Nick Taylor",91,16.56,53,320,"ReverseBounceBack",2015
116,116,"Ben Crane",62,16.57,29,175,"ReverseBounceBack",2015
116,116,"David Hearn",97,16.57,56,338,"ReverseBounceBack",2015
118,118,"Phil Mickelson",70,16.61,45,271,"ReverseBounceBack",2015
119,119,"Danny Lee",120,16.63,76,457,"ReverseBounceBack",2015
120,120,"Adam Scott",51,16.67,29,174,"ReverseBounceBack",2015
121,121,"James Hahn",94,16.72,55,329,"ReverseBounceBack",2015
122,122,"Adam Hadwin",95,16.82,54,321,"ReverseBounceBack",2015
123,123,"Derek Fathauer",81,16.93,43,254,"ReverseBounceBack",2015
124,124,"Troy Merritt",91,17.01,49,288,"ReverseBounceBack",2015
125,125,"Brice Garnett",81,17.18,45,262,"ReverseBounceBack",2015
125,125,"Tom Hoge",83,17.18,50,291,"ReverseBounceBack",2015
127,127,"Jon Curran",83,17.2,43,250,"ReverseBounceBack",2015
128,128,"Roberto Castro",54,17.22,26,151,"ReverseBounceBack",2015
128,128,"Davis Love III",51,17.22,26,151,"ReverseBounceBack",2015
128,128,"Shawn Stefani",94,17.22,62,360,"ReverseBounceBack",2015
131,131,"Russell Henley",87,17.25,54,313,"ReverseBounceBack",2015
132,132,"Ryan Moore",81,17.29,51,295,"ReverseBounceBack",2015
133,133,"Luke Guthrie",84,17.31,49,283,"ReverseBounceBack",2015
133,133,"Geoff Ogilvy",50,17.31,27,156,"ReverseBounceBack",2015
135,135,"Padraig Harrington",60,17.35,34,196,"ReverseBounceBack",2015
136,136,"Retief Goosen",81,17.39,44,253,"ReverseBounceBack",2015
136,136,"Seung Yul Noh",65,17.39,40,230,"ReverseBounceBack",2015
138,138,"Robert Allenby",63,17.42,31,178,"ReverseBounceBack",2015
139,139,"Jonas Blixt",78,17.56,46,262,"ReverseBounceBack",2015
140,140,"Chris Kirk",76,17.65,45,255,"ReverseBounceBack",2015
141,141,"JJ Henry",94,17.69,46,260,"ReverseBounceBack",2015
142,142,"Gary Woodland",81,17.74,44,248,"ReverseBounceBack",2015
143,143,"Jim Renner",68,17.78,32,180,"ReverseBounceBack",2015
144,144,"Chad Campbell",97,17.81,57,320,"ReverseBounceBack",2015
145,145,"Bo Van Pelt",81,17.82,49,275,"ReverseBounceBack",2015
146,146,"Billy Hurley III",83,17.83,41,230,"ReverseBounceBack",2015
147,147,"Ian Poulter",68,18.02,40,222,"ReverseBounceBack",2015
148,148,"Blayne Barber",76,18.05,48,266,"ReverseBounceBack",2015
149,149,"Marc Leishman",74,18.07,45,249,"ReverseBounceBack",2015
150,150,"Ernie Els",57,18.09,34,188,"ReverseBounceBack",2015
151,151,"Jhonattan Vegas",90,18.18,54,297,"ReverseBounceBack",2015
152,152,"John Senden",80,18.32,48,262,"ReverseBounceBack",2015
153,153,"Greg Chalmers",58,18.37,36,196,"ReverseBounceBack",2015
154,154,"Michael Thompson",83,18.4,53,288,"ReverseBounceBack",2015
155,155,"Ryo Ishikawa",90,18.59,58,312,"ReverseBounceBack",2015
156,156,"Gonzalo Fdez Castano",81,18.6,48,258,"ReverseBounceBack",2015
157,157,"Chesson Hadley",101,18.65,69,370,"ReverseBounceBack",2015
158,158,"Brian Davis",86,18.68,48,257,"ReverseBounceBack",2015
159,159,"Andres Romero",69,18.72,41,219,"ReverseBounceBack",2015
160,160,"Roger Sloan",56,18.75,33,176,"ReverseBounceBack",2015
161,161,"Sangmoon Bae",98,18.77,64,341,"ReverseBounceBack",2015
162,162,"Heath Slocum",57,18.9,31,164,"ReverseBounceBack",2015
163,163,"Jason Gore",76,18.92,49,259,"ReverseBounceBack",2015
163,163,"Charl Schwartzel",67,18.92,42,222,"ReverseBounceBack",2015
163,163,"Nicholas Thompson",90,18.92,56,296,"ReverseBounceBack",2015
166,166,"Charlie Beljan",76,18.95,47,248,"ReverseBounceBack",2015
167,167,"Camilo Villegas",83,19.01,54,284,"ReverseBounceBack",2015
168,168,"JB Holmes",89,19.03,63,331,"ReverseBounceBack",2015
169,169,"Morgan Hoffmann",85,19.05,56,294,"ReverseBounceBack",2015
169,169,"Vijay Singh",78,19.05,52,273,"ReverseBounceBack",2015
171,171,"Ken Duke",93,19.4,58,299,"ReverseBounceBack",2015
172,172,"DA Points",72,19.55,43,220,"ReverseBounceBack",2015
173,173,"Sean OHair",86,19.61,60,306,"ReverseBounceBack",2015
174,174,"Whee Kim",71,20,49,245,"ReverseBounceBack",2015
175,175,"Alex Cejka",94,20.13,63,313,"ReverseBounceBack",2015
176,176,"Angel Cabrera",53,20.22,36,178,"ReverseBounceBack",2015
177,177,"Scott Stallings",60,20.95,44,210,"ReverseBounceBack",2015
178,178,"Sam Saunders",83,21.25,58,273,"ReverseBounceBack",2015
179,179,"Derek Ernst",75,21.4,49,229,"ReverseBounceBack",2015
180,180,"Matt Every",73,21.46,44,205,"ReverseBounceBack",2015
180,180,"Tim Wilkinson",73,21.46,44,205,"ReverseBounceBack",2015
182,182,"Robert Garrigus",70,21.62,48,222,"ReverseBounceBack",2015
183,183,"Andrew Svoboda",80,22.4,56,250,"ReverseBounceBack",2015
184,184,"Oscar Fraustro",58,24.72,44,178,"ReverseBounceBack",2015
