"ConsecutiveGIR_RANKTHISWEEK_2016","ConsecutiveGIR_RANKLASTWEEK_2016","ConsecutiveGIR_PLAYERNAME_2016","ConsecutiveGIR_EVENTS_2016","ConsecutiveGIR_STREAK_2016","ConsecutiveGIR_CURRENTSTREAK_2016","ConsecutiveGIR_ROUND_2016","ConsecutiveGIR_HOLE_2016","ConsecutiveGIR_YEARTOURN_2016","stat_name","year"
1,1,"James Hahn",15,38,1,2,5,2016030,"ConsecutiveGIR",2016
2,2,"Fabian Gomez",15,37,1,4,9,2016070,"ConsecutiveGIR",2016
3,3,"Brian Harman",18,33,NA,1,17,2016020,"ConsecutiveGIR",2016
3,3,"Russell Knox",14,33,NA,2,17,2016100,"ConsecutiveGIR",2016
5,5,"Alex Cejka",15,31,NA,3,3,2016100,"ConsecutiveGIR",2016
5,5,"Chris Kirk",15,31,12,3,2,2016100,"ConsecutiveGIR",2016
7,7,"Jason Day",9,30,1,3,18,2016100,"ConsecutiveGIR",2016
7,7,"Harris English",15,30,NA,4,12,2016030,"ConsecutiveGIR",2016
9,9,"Patrick Reed",14,26,NA,1,9,2016100,"ConsecutiveGIR",2016
9,9,"Jordan Spieth",9,26,1,1,9,2016100,"ConsecutiveGIR",2016
11,11,"Kevin Chappell",14,25,NA,1,1,2016070,"ConsecutiveGIR",2016
11,11,"Derek Ernst",12,25,NA,2,10,2016270,"ConsecutiveGIR",2016
11,11,"Lucas Glover",16,25,NA,4,15,2016200,"ConsecutiveGIR",2016
11,11,"Anirban Lahiri",13,25,NA,1,1,2016120,"ConsecutiveGIR",2016
15,15,"Jason Dufner",15,24,3,4,17,2016060,"ConsecutiveGIR",2016
15,15,"Greg Owen",18,24,NA,1,3,2016010,"ConsecutiveGIR",2016
17,17,"Charl Schwartzel",8,23,1,4,14,2016010,"ConsecutiveGIR",2016
17,17,"Camilo Villegas",16,23,NA,4,6,2016020,"ConsecutiveGIR",2016
17,17,"Nick Watney",5,23,NA,4,16,2016010,"ConsecutiveGIR",2016
20,20,"Keegan Bradley",14,22,3,2,1,2016030,"ConsecutiveGIR",2016
20,20,"Jonathan Byrd",6,22,NA,1,17,2016070,"ConsecutiveGIR",2016
20,20,"Roberto Castro",16,22,NA,1,11,2016040,"ConsecutiveGIR",2016
20,20,"Graham DeLaet",14,22,NA,2,14,2016120,"ConsecutiveGIR",2016
20,20,"Si Woo Kim",19,22,NA,1,10,2016230,"ConsecutiveGIR",2016
20,20,"Graeme McDowell",11,22,2,3,6,2016070,"ConsecutiveGIR",2016
20,20,"Sean OHair",14,22,1,4,2,2016070,"ConsecutiveGIR",2016
20,20,"Danny Willett",5,22,1,4,8,2016050,"ConsecutiveGIR",2016
28,28,"Aaron Baddeley",15,21,NA,3,11,2016120,"ConsecutiveGIR",2016
28,106,"Blayne Barber",16,21,NA,3,13,2016270,"ConsecutiveGIR",2016
28,28,"Bronson Burgoon",17,21,NA,2,18,2016040,"ConsecutiveGIR",2016
28,28,"Marc Leishman",12,21,NA,1,3,2016200,"ConsecutiveGIR",2016
28,28,"Rory McIlroy",9,21,NA,3,12,2016050,"ConsecutiveGIR",2016
28,28,"Bryce Molder",16,21,1,2,5,2016270,"ConsecutiveGIR",2016
28,28,"Andres Romero",8,21,1,4,1,2016210,"ConsecutiveGIR",2016
28,28,"Justin Rose",10,21,1,3,4,2016010,"ConsecutiveGIR",2016
36,35,"Jim Herman",17,20,NA,3,10,2016030,"ConsecutiveGIR",2016
36,35,"Sung Kang",16,20,NA,2,3,2016160,"ConsecutiveGIR",2016
36,35,"Steve Marino",14,20,NA,3,1,2016150,"ConsecutiveGIR",2016
36,35,"Jhonattan Vegas",14,20,NA,1,17,2016040,"ConsecutiveGIR",2016
40,39,"Robert Garrigus",11,19,NA,2,3,2016110,"ConsecutiveGIR",2016
40,39,"JB Holmes",10,19,NA,2,15,2016160,"ConsecutiveGIR",2016
40,39,"Mark Hubbard",20,19,NA,2,14,2016130,"ConsecutiveGIR",2016
40,39,"Michael Kim",18,19,NA,4,18,2016020,"ConsecutiveGIR",2016
40,39,"Patton Kizzire",16,19,5,1,7,2016270,"ConsecutiveGIR",2016
40,39,"David Lingmerth",15,19,NA,2,18,2016120,"ConsecutiveGIR",2016
40,39,"Carlos Ortiz",17,19,6,1,12,2016130,"ConsecutiveGIR",2016
40,39,"Scott Pinckney",18,19,NA,3,4,2016120,"ConsecutiveGIR",2016
40,39,"John Senden",15,19,NA,4,1,2016250,"ConsecutiveGIR",2016
40,39,"Henrik Stenson",8,19,NA,1,7,2016230,"ConsecutiveGIR",2016
40,39,"Brian Stuard",8,19,NA,4,15,2016070,"ConsecutiveGIR",2016
51,50,"Jason Bohn",11,18,2,1,9,2016040,"ConsecutiveGIR",2016
51,50,"Scott Brown",17,18,NA,3,1,2016210,"ConsecutiveGIR",2016
51,50,"Emiliano Grillo",13,18,NA,3,15,2016100,"ConsecutiveGIR",2016
51,50,"Padraig Harrington",11,18,NA,4,9,2016030,"ConsecutiveGIR",2016
51,50,"Justin Hicks",10,18,NA,4,17,2016190,"ConsecutiveGIR",2016
51,50,"Spencer Levin",19,18,NA,1,9,2016030,"ConsecutiveGIR",2016
51,50,"Jamie Lovemark",17,18,NA,2,9,2016070,"ConsecutiveGIR",2016
51,50,"Rob Oppenheim",11,18,NA,2,2,2016040,"ConsecutiveGIR",2016
51,50,"John Peterson",3,18,3,1,1,2016070,"ConsecutiveGIR",2016
51,50,"Kyle Reifers",19,18,NA,1,4,2016210,"ConsecutiveGIR",2016
51,50,"Shawn Stefani",16,18,NA,2,9,2016040,"ConsecutiveGIR",2016
51,50,"Hudson Swafford",17,18,1,3,2,2016120,"ConsecutiveGIR",2016
51,50,"Nicholas Thompson",5,18,2,1,17,2016040,"ConsecutiveGIR",2016
51,50,"Cameron Tringale",14,18,NA,1,3,2016030,"ConsecutiveGIR",2016
51,50,"Harold Varner III",18,18,NA,3,16,2016120,"ConsecutiveGIR",2016
66,65,"Robert Allenby",16,17,NA,3,2,2016060,"ConsecutiveGIR",2016
66,65,"Rafa Cabrera Bello",4,17,NA,4,10,2016230,"ConsecutiveGIR",2016
66,65,"Paul Casey",11,17,NA,4,7,2016030,"ConsecutiveGIR",2016
66,65,"Matthew Fitzpatrick",7,17,1,3,16,2016050,"ConsecutiveGIR",2016
66,65,"Steve Flesch",3,17,NA,1,1,2016040,"ConsecutiveGIR",2016
66,65,"Sergio Garcia",8,17,NA,2,16,2016050,"ConsecutiveGIR",2016
66,65,"Jason Gore",15,17,8,1,10,2016060,"ConsecutiveGIR",2016
66,65,"Scott Hend",3,17,4,2,7,2016030,"ConsecutiveGIR",2016
66,65,"Whee Kim",18,17,NA,3,10,2016260,"ConsecutiveGIR",2016
66,65,"Colt Knost",15,17,NA,4,14,2016030,"ConsecutiveGIR",2016
66,65,"Brooks Koepka",11,17,7,2,14,2016100,"ConsecutiveGIR",2016
