"TenthTeeLateRound2ScoringAverage_RANKTHISWEEK_2014","TenthTeeLateRound2ScoringAverage_RANKLASTWEEK_2014","TenthTeeLateRound2ScoringAverage_PLAYERNAME_2014","TenthTeeLateRound2ScoringAverage__2014","TenthTeeLateRound2ScoringAverage_AVG_2014","TenthTeeLateRound2ScoringAverage_TOTALSTROKES_2014","TenthTeeLateRound2ScoringAverage_TOTALROUNDS_2014","stat_name","year"
1,1,"Jason Day",NA,66,132,2,"TenthTeeLateRound2ScoringAverage",2014
1,1,"Jim Furyk",NA,66,66,1,"TenthTeeLateRound2ScoringAverage",2014
1,1,"Adam Scott",NA,66,66,1,"TenthTeeLateRound2ScoringAverage",2014
4,4,"Jamie Lovemark",NA,66.33,199,3,"TenthTeeLateRound2ScoringAverage",2014
5,5,"Brad Fritsch",NA,67,201,3,"TenthTeeLateRound2ScoringAverage",2014
5,5,"Brandt Snedeker",NA,67,134,2,"TenthTeeLateRound2ScoringAverage",2014
7,7,"Trevor Immelman",NA,67.5,135,2,"TenthTeeLateRound2ScoringAverage",2014
7,7,"Patrick Reed",NA,67.5,135,2,"TenthTeeLateRound2ScoringAverage",2014
9,9,"Bill Haas",NA,67.75,271,4,"TenthTeeLateRound2ScoringAverage",2014
10,10,"Zach Johnson",NA,68,68,1,"TenthTeeLateRound2ScoringAverage",2014
10,10,"Rory McIlroy",NA,68,68,1,"TenthTeeLateRound2ScoringAverage",2014
12,12,"Keegan Bradley",NA,68.4,342,5,"TenthTeeLateRound2ScoringAverage",2014
13,13,"Hideki Matsuyama",NA,68.5,274,4,"TenthTeeLateRound2ScoringAverage",2014
14,14,"Jerry Kelly",NA,68.67,206,3,"TenthTeeLateRound2ScoringAverage",2014
15,15,"Kevin Stadler",NA,68.71,481,7,"TenthTeeLateRound2ScoringAverage",2014
16,16,"Kevin Na",NA,68.78,619,9,"TenthTeeLateRound2ScoringAverage",2014
17,17,"Jason Dufner",NA,69,69,1,"TenthTeeLateRound2ScoringAverage",2014
17,17,"Harris English",NA,69,207,3,"TenthTeeLateRound2ScoringAverage",2014
17,17,"Jim Herman",NA,69,207,3,"TenthTeeLateRound2ScoringAverage",2014
17,17,"Shawn Stefani",NA,69,345,5,"TenthTeeLateRound2ScoringAverage",2014
17,17,"Jimmy Walker",NA,69,138,2,"TenthTeeLateRound2ScoringAverage",2014
17,17,"Bubba Watson",NA,69,69,1,"TenthTeeLateRound2ScoringAverage",2014
23,23,"Brendon de Jonge",NA,69.13,553,8,"TenthTeeLateRound2ScoringAverage",2014
24,24,"Johnson Wagner",NA,69.14,484,7,"TenthTeeLateRound2ScoringAverage",2014
25,25,"Robert Garrigus",NA,69.25,277,4,"TenthTeeLateRound2ScoringAverage",2014
25,25,"Martin Kaymer",NA,69.25,277,4,"TenthTeeLateRound2ScoringAverage",2014
27,27,"Scott Langley",NA,69.29,485,7,"TenthTeeLateRound2ScoringAverage",2014
28,28,"Charl Schwartzel",NA,69.4,347,5,"TenthTeeLateRound2ScoringAverage",2014
28,28,"Brendon Todd",NA,69.4,347,5,"TenthTeeLateRound2ScoringAverage",2014
30,30,"Luke Donald",NA,69.5,139,2,"TenthTeeLateRound2ScoringAverage",2014
30,30,"Ryan Palmer",NA,69.5,139,2,"TenthTeeLateRound2ScoringAverage",2014
30,30,"Henrik Stenson",NA,69.5,139,2,"TenthTeeLateRound2ScoringAverage",2014
33,33,"Scott Brown",NA,69.56,626,9,"TenthTeeLateRound2ScoringAverage",2014
33,33,"Billy Horschel",NA,69.56,626,9,"TenthTeeLateRound2ScoringAverage",2014
35,35,"Justin Leonard",NA,69.67,209,3,"TenthTeeLateRound2ScoringAverage",2014
36,36,"Russell Knox",NA,69.75,279,4,"TenthTeeLateRound2ScoringAverage",2014
36,36,"Bryce Molder",NA,69.75,279,4,"TenthTeeLateRound2ScoringAverage",2014
36,36,"Tyrone Van Aswegen",NA,69.75,279,4,"TenthTeeLateRound2ScoringAverage",2014
39,39,"Matt Every",NA,69.78,628,9,"TenthTeeLateRound2ScoringAverage",2014
39,39,"Brian Harman",NA,69.78,628,9,"TenthTeeLateRound2ScoringAverage",2014
41,41,"Geoff Ogilvy",NA,69.8,349,5,"TenthTeeLateRound2ScoringAverage",2014
41,41,"Andrew Svoboda",NA,69.8,698,10,"TenthTeeLateRound2ScoringAverage",2014
43,43,"Jason Kokrak",NA,69.83,419,6,"TenthTeeLateRound2ScoringAverage",2014
44,44,"Angel Cabrera",NA,70,280,4,"TenthTeeLateRound2ScoringAverage",2014
44,44,"Tim Clark",NA,70,630,9,"TenthTeeLateRound2ScoringAverage",2014
44,44,"Graham DeLaet",NA,70,350,5,"TenthTeeLateRound2ScoringAverage",2014
44,44,"Rickie Fowler",NA,70,70,1,"TenthTeeLateRound2ScoringAverage",2014
44,44,"Chris Kirk",NA,70,560,8,"TenthTeeLateRound2ScoringAverage",2014
44,44,"Matt Kuchar",NA,70,70,1,"TenthTeeLateRound2ScoringAverage",2014
