"SmashFactor_RANKTHISWEEK_2013","SmashFactor_RANKLASTWEEK_2013","SmashFactor_PLAYERNAME_2013","SmashFactor_ROUNDS_2013","SmashFactor_AVG_2013","SmashFactor_TOTALSMASHFACTOR_2013","SmashFactor_TOTALATTEMPTS_2013","SmashFactor_HIGHESTVALUE_2013","SmashFactor_LOWESTVALUE_2013","stat_name","year"
1,1,"Nicolas Colsaerts",50,1.485,53.445,36,1.485,1.471,"SmashFactor",2013
1,1,"Ben Crane",62,1.485,80.186,54,1.485,1.481,"SmashFactor",2013
1,1,"Brian Davis",91,1.485,129.185,87,1.485,1.481,"SmashFactor",2013
1,1,"Harris English",95,1.485,105.402,71,1.485,1.466,"SmashFactor",2013
1,1,"Robert Garrigus",69,1.485,60.884,41,1.485,1.484,"SmashFactor",2013
1,1,"Russell Henley",80,1.485,96.508,65,1.485,1.471,"SmashFactor",2013
1,1,"Justin Hicks",79,1.485,86.107,58,1.485,1.472,"SmashFactor",2013
1,1,"Billy Horschel",96,1.485,117.276,79,1.485,1.466,"SmashFactor",2013
1,1,"Martin Laird",68,1.485,68.292,46,1.485,1.467,"SmashFactor",2013
1,1,"Marc Leishman",77,1.485,95.011,64,1.485,1.476,"SmashFactor",2013
1,1,"Justin Leonard",86,1.485,115.827,78,1.485,1.483,"SmashFactor",2013
1,1,"David Lynn",70,1.485,83.16,56,1.485,1.485,"SmashFactor",2013
1,1,"Jin Park",52,1.485,68.31,46,1.485,1.485,"SmashFactor",2013
1,1,"Carl Pettersson",82,1.485,93.525,63,1.49,1.45,"SmashFactor",2013
1,1,"Scott Piercy",78,1.485,78.685,53,1.49,1.46,"SmashFactor",2013
1,1,"David Toms",49,1.485,46.035,31,1.485,1.485,"SmashFactor",2013
1,1,"Camilo Villegas",79,1.485,96.494,65,1.485,1.47,"SmashFactor",2013
1,1,"Lee Williams",62,1.485,80.18,54,1.485,1.481,"SmashFactor",2013
19,19,"Michael Bradley",56,1.484,54.902,37,1.485,1.446,"SmashFactor",2013
19,19,"Greg Chalmers",77,1.484,111.273,75,1.498,1.451,"SmashFactor",2013
19,19,"Tim Clark",64,1.484,66.798,45,1.485,1.471,"SmashFactor",2013
19,19,"Ernie Els",63,1.484,66.802,45,1.485,1.468,"SmashFactor",2013
19,19,"Tommy Gainey",84,1.484,111.284,75,1.485,1.428,"SmashFactor",2013
19,19,"Luke Guthrie",82,1.484,102.402,69,1.485,1.467,"SmashFactor",2013
19,19,"JJ Henry",83,1.484,80.123,54,1.485,1.455,"SmashFactor",2013
19,19,"Jim Herman",59,1.484,56.379,38,1.485,1.465,"SmashFactor",2013
19,19,"John Huh",88,1.484,112.789,76,1.5,1.465,"SmashFactor",2013
19,19,"Chris Kirk",89,1.484,117.202,79,1.485,1.454,"SmashFactor",2013
19,19,"Richard Lee",81,1.484,108.364,73,1.485,1.465,"SmashFactor",2013
19,19,"David Lingmerth",68,1.484,90.527,61,1.485,1.446,"SmashFactor",2013
19,19,"Jeff Maggert",63,1.484,87.579,59,1.485,1.458,"SmashFactor",2013
19,19,"Hunter Mahan",91,1.484,100.919,68,1.486,1.462,"SmashFactor",2013
19,19,"John Merrick",79,1.484,97.951,66,1.485,1.469,"SmashFactor",2013
