"GIRPutting2025_RANKTHISWEEK_2016","GIRPutting2025_RANKLASTWEEK_2016","GIRPutting2025_PLAYERNAME_2016","GIRPutting2025_ROUNDS_2016","GIRPutting2025_Pct_2016","GIRPutting2025_ATTEMPTS_2016","GIRPutting2025_PUTTSMADE_2016","stat_name","year"
1,1,"Abraham Ancer",26,28.57,14,4,"GIRPutting2025",2016
2,9,"Paul Casey",39,24.14,29,7,"GIRPutting2025",2016
3,3,"Andrew Loupe",50,23.91,46,11,"GIRPutting2025",2016
4,2,"Ernie Els",34,23.81,21,5,"GIRPutting2025",2016
5,6,"Steve Stricker",25,22.22,27,6,"GIRPutting2025",2016
5,6,"Brian Stuard",24,22.22,18,4,"GIRPutting2025",2016
7,15,"Ian Poulter",37,21.74,23,5,"GIRPutting2025",2016
8,19,"Jonas Blixt",46,21.43,42,9,"GIRPutting2025",2016
8,4,"Hideki Matsuyama",40,21.43,28,6,"GIRPutting2025",2016
10,10,"Brendon Todd",43,21.05,38,8,"GIRPutting2025",2016
11,12,"Jason Day",36,20.83,24,5,"GIRPutting2025",2016
12,8,"Sean OHair",45,20.41,49,10,"GIRPutting2025",2016
13,12,"Jamie Donaldson",28,20,25,5,"GIRPutting2025",2016
13,15,"Brian Gay",22,20,20,4,"GIRPutting2025",2016
13,15,"Freddie Jacobson",54,20,50,10,"GIRPutting2025",2016
16,32,"Charles Howell III",63,19.48,77,15,"GIRPutting2025",2016
17,15,"George McNeill",33,19.35,31,6,"GIRPutting2025",2016
18,74,"Anirban Lahiri",44,19.23,26,5,"GIRPutting2025",2016
18,5,"Shane Lowry",35,19.23,26,5,"GIRPutting2025",2016
20,10,"Retief Goosen",37,19.05,42,8,"GIRPutting2025",2016
21,22,"DJ Trahan",23,18.75,16,3,"GIRPutting2025",2016
22,19,"Justin Hicks",26,18.42,38,7,"GIRPutting2025",2016
23,14,"Angel Cabrera",42,18.18,33,6,"GIRPutting2025",2016
23,23,"Matt Kuchar",46,18.18,44,8,"GIRPutting2025",2016
23,23,"Andrew Landry",24,18.18,22,4,"GIRPutting2025",2016
23,23,"Graeme McDowell",33,18.18,33,6,"GIRPutting2025",2016
27,38,"Jamie Lovemark",57,18.03,61,11,"GIRPutting2025",2016
28,42,"Chesson Hadley",51,18,50,9,"GIRPutting2025",2016
29,21,"Tom Hoge",47,17.95,39,7,"GIRPutting2025",2016
29,26,"Troy Merritt",41,17.95,39,7,"GIRPutting2025",2016
31,28,"Ken Duke",26,17.65,17,3,"GIRPutting2025",2016
32,26,"Hiroshi Iwata",51,17.5,40,7,"GIRPutting2025",2016
33,28,"Spencer Levin",62,16.9,71,12,"GIRPutting2025",2016
34,28,"Alex Cejka",47,16.67,36,6,"GIRPutting2025",2016
34,33,"Matthew Fitzpatrick",23,16.67,18,3,"GIRPutting2025",2016
36,50,"Robert Allenby",35,16.28,43,7,"GIRPutting2025",2016
37,35,"Harris English",51,16.22,37,6,"GIRPutting2025",2016
37,28,"Ryan Moore",40,16.22,37,6,"GIRPutting2025",2016
39,60,"Matt Jones",45,16.13,31,5,"GIRPutting2025",2016
40,33,"Jhonattan Vegas",49,16,50,8,"GIRPutting2025",2016
41,39,"Daniel Summerhays",55,15.79,57,9,"GIRPutting2025",2016
42,39,"Jason Dufner",53,15.69,51,8,"GIRPutting2025",2016
43,41,"Marc Leishman",41,15.63,32,5,"GIRPutting2025",2016
44,42,"Scott Brown",59,15.56,45,7,"GIRPutting2025",2016
45,36,"Andres Gonzales",46,15.38,52,8,"GIRPutting2025",2016
45,52,"Colt Knost",56,15.38,52,8,"GIRPutting2025",2016
47,37,"Davis Love III",40,15.22,46,7,"GIRPutting2025",2016
48,45,"Zac Blair",56,15,60,9,"GIRPutting2025",2016
48,44,"Sam Saunders",40,15,40,6,"GIRPutting2025",2016
48,45,"Nick Taylor",57,15,60,9,"GIRPutting2025",2016
51,50,"Charley Hoffman",49,14.63,41,6,"GIRPutting2025",2016
52,52,"Harold Varner III",58,14.52,62,9,"GIRPutting2025",2016
53,52,"Pat Perez",28,14.29,14,2,"GIRPutting2025",2016
54,49,"Kyle Reifers",63,14.06,64,9,"GIRPutting2025",2016
55,72,"Tony Finau",49,13.95,43,6,"GIRPutting2025",2016
56,48,"Brian Harman",60,13.79,58,8,"GIRPutting2025",2016
56,60,"Dustin Johnson",37,13.79,29,4,"GIRPutting2025",2016
56,52,"Kyle Stanley",57,13.79,58,8,"GIRPutting2025",2016
59,62,"Aaron Baddeley",51,13.73,51,7,"GIRPutting2025",2016
60,63,"Zach Johnson",42,13.64,44,6,"GIRPutting2025",2016
60,59,"Kevin Streelman",46,13.64,44,6,"GIRPutting2025",2016
60,93,"Cameron Tringale",47,13.64,44,6,"GIRPutting2025",2016
63,67,"Chris Kirk",51,13.46,52,7,"GIRPutting2025",2016
63,52,"Chris Stroud",52,13.46,52,7,"GIRPutting2025",2016
65,132,"Kevin Chappell",49,13.33,45,6,"GIRPutting2025",2016
