"LongestDrives_RANKTHISWEEK_2009","LongestDrives_RANKLASTWEEK_2009","LongestDrives_PLAYERNAME_2009","LongestDrives_ROUNDS_2009","LongestDrives_DISTANCE_2009","LongestDrives_TOURNAMENT_2009","LongestDrives_ROUND_2009","LongestDrives_HOLE_2009","LongestDrives_COURSE_2009","stat_name","year"
1,1,"Charley Hoffman",97,467,NA,3,1,625,"LongestDrives",2009
2,2,"Steve Dartnall",2,438,NA,2,11,625,"LongestDrives",2009
3,3,"Leif Olson",51,437,NA,1,11,625,"LongestDrives",2009
4,4,"Dustin Johnson",85,430,NA,2,12,656,"LongestDrives",2009
5,5,"Steve Allan",37,422,NA,2,8,660,"LongestDrives",2009
6,6,"Tag Ridings",50,420,NA,2,11,625,"LongestDrives",2009
7,7,"Charles Howell III",99,418,NA,4,16,36,"LongestDrives",2009
8,8,"Greg Owen",97,417,NA,2,11,625,"LongestDrives",2009
9,9,"Andres Romero",58,416,NA,2,14,660,"LongestDrives",2009
10,10,"Geoff Ogilvy",78,415,NA,2,17,656,"LongestDrives",2009
11,11,"Ernie Els",70,414,NA,2,12,656,"LongestDrives",2009
12,12,"Camilo Villegas",76,413,NA,2,12,656,"LongestDrives",2009
13,13,"Daniel Chopra",89,412,NA,2,17,656,"LongestDrives",2009
13,13,"Sean OHair",80,412,NA,1,17,656,"LongestDrives",2009
13,13,"Kevin Stadler",65,412,NA,1,11,625,"LongestDrives",2009
13,13,"Jarrod Lyle",65,412,NA,1,1,625,"LongestDrives",2009
18,18,"Sergio Garcia",59,409,NA,3,16,36,"LongestDrives",2009
18,18,"JB Holmes",74,409,NA,1,12,656,"LongestDrives",2009
21,21,"Davis Love III",89,408,NA,1,18,656,"LongestDrives",2009
21,21,"Bill Haas",91,408,NA,2,11,625,"LongestDrives",2009
24,24,"Adam Scott",53,407,NA,1,12,656,"LongestDrives",2009
24,24,"YE Yang",83,407,NA,4,16,36,"LongestDrives",2009
29,29,"Johnson Wagner",81,404,NA,2,7,656,"LongestDrives",2009
32,32,"Bobby Gates",4,403,NA,2,11,625,"LongestDrives",2009
