"GreensorFringeinRegulation_RANKTHISWEEK_2009","GreensorFringeinRegulation_RANKLASTWEEK_2009","GreensorFringeinRegulation_PLAYERNAME_2009","GreensorFringeinRegulation_ROUNDS_2009","GreensorFringeinRegulation_Pct_2009","GreensorFringeinRegulation_TOTALHIT_2009","GreensorFringeinRegulation_TOTALATTEMPTS_2009","GreensorFringeinRegulation_RTPSCORE_2009","stat_name","year"
1,1,"Tom Lehman",55,76.03,479,630,-85,"GreensorFringeinRegulation",2009
2,2,"Jonathan Byrd",89,75.44,1072,1421,-283,"GreensorFringeinRegulation",2009
3,3,"DJ Trahan",96,75.42,1086,1440,-276,"GreensorFringeinRegulation",2009
4,4,"Joe Durant",62,75.41,638,846,-134,"GreensorFringeinRegulation",2009
5,5,"John Senden",100,75.35,1247,1655,-306,"GreensorFringeinRegulation",2009
6,6,"Briny Baird",89,75.23,975,1296,-223,"GreensorFringeinRegulation",2009
7,7,"Jay Williamson",69,75.05,770,1026,-141,"GreensorFringeinRegulation",2009
8,8,"Chad Campbell",90,74.88,957,1278,-232,"GreensorFringeinRegulation",2009
9,9,"David Toms",98,74.86,1078,1440,-272,"GreensorFringeinRegulation",2009
10,10,"Jason Bohn",88,74.66,1102,1476,-261,"GreensorFringeinRegulation",2009
11,11,"Greg Owen",97,74.53,1100,1476,-255,"GreensorFringeinRegulation",2009
12,12,"Robert Allenby",71,74.48,750,1007,-151,"GreensorFringeinRegulation",2009
13,13,"Stephen Ames",77,74.37,763,1026,-212,"GreensorFringeinRegulation",2009
14,14,"Patrick Sheehan",51,74.22,521,702,-120,"GreensorFringeinRegulation",2009
15,15,"Hunter Mahan",94,74.07,1000,1350,-279,"GreensorFringeinRegulation",2009
16,16,"Zach Johnson",94,74.05,1053,1422,-297,"GreensorFringeinRegulation",2009
17,17,"Sean OHair",80,74.04,773,1044,-200,"GreensorFringeinRegulation",2009
18,18,"Matt Jones",56,73.95,599,810,-158,"GreensorFringeinRegulation",2009
19,19,"Scott Sterling",51,73.89,532,720,-116,"GreensorFringeinRegulation",2009
20,20,"Kirk Triplett",60,73.84,731,990,-131,"GreensorFringeinRegulation",2009
21,21,"Charles Warren",63,73.79,704,954,-172,"GreensorFringeinRegulation",2009
22,22,"Justin Leonard",95,73.63,994,1350,-279,"GreensorFringeinRegulation",2009
23,23,"Tiger Woods",64,73.61,636,864,-212,"GreensorFringeinRegulation",2009
24,24,"Robert Garrigus",83,73.59,953,1295,-225,"GreensorFringeinRegulation",2009
24,24,"Jeff Maggert",79,73.59,967,1314,-199,"GreensorFringeinRegulation",2009
26,26,"Boo Weekley",79,73.5,860,1170,-204,"GreensorFringeinRegulation",2009
27,27,"Troy Matteson",95,73.4,1162,1583,-275,"GreensorFringeinRegulation",2009
28,28,"Michael Allen",73,73.18,764,1044,-184,"GreensorFringeinRegulation",2009
29,29,"Heath Slocum",95,73.14,1119,1530,-242,"GreensorFringeinRegulation",2009
30,30,"Tim Clark",81,72.88,774,1062,-221,"GreensorFringeinRegulation",2009
31,31,"Kevin Stadler",65,72.81,707,971,-162,"GreensorFringeinRegulation",2009
32,32,"Ricky Barnes",67,72.77,668,918,-123,"GreensorFringeinRegulation",2009
33,33,"Steve Elkington",70,72.76,812,1116,-190,"GreensorFringeinRegulation",2009
34,34,"Casey Wittenberg",71,72.74,707,972,-145,"GreensorFringeinRegulation",2009
35,35,"Chris Stroud",88,72.73,995,1368,-251,"GreensorFringeinRegulation",2009
36,36,"JJ Henry",97,72.69,1099,1512,-246,"GreensorFringeinRegulation",2009
37,37,"Steve Marino",98,72.62,1098,1512,-277,"GreensorFringeinRegulation",2009
38,38,"Steve Flesch",77,72.57,823,1134,-159,"GreensorFringeinRegulation",2009
39,39,"Bryce Molder",69,72.53,705,972,-180,"GreensorFringeinRegulation",2009
