"FirstTeeEarlyRound4ScoringAverage_RANKTHISWEEK_2006","FirstTeeEarlyRound4ScoringAverage_RANKLASTWEEK_2006","FirstTeeEarlyRound4ScoringAverage_PLAYERNAME_2006","FirstTeeEarlyRound4ScoringAverage__2006","FirstTeeEarlyRound4ScoringAverage_AVG_2006","FirstTeeEarlyRound4ScoringAverage_TOTALSTROKES_2006","FirstTeeEarlyRound4ScoringAverage_TOTALROUNDS_2006","stat_name","year"
1,1,"Jim Furyk",NA,66,66,1,"FirstTeeEarlyRound4ScoringAverage",2006
2,2,"Steve Elkington",NA,68,68,1,"FirstTeeEarlyRound4ScoringAverage",2006
3,3,"Jonathan Byrd",NA,68.33,205,3,"FirstTeeEarlyRound4ScoringAverage",2006
4,4,"Arron Oberholser",NA,68.43,479,7,"FirstTeeEarlyRound4ScoringAverage",2006
5,5,"Briny Baird",NA,69,138,2,"FirstTeeEarlyRound4ScoringAverage",2006
5,5,"Michael Connell",NA,69,69,1,"FirstTeeEarlyRound4ScoringAverage",2006
5,5,"Phil Mickelson",NA,69,207,3,"FirstTeeEarlyRound4ScoringAverage",2006
8,8,"Jimmy Walker",NA,69.25,277,4,"FirstTeeEarlyRound4ScoringAverage",2006
9,9,"Joe Ogilvie",NA,69.38,555,8,"FirstTeeEarlyRound4ScoringAverage",2006
10,10,"Stewart Cink",NA,69.5,556,8,"FirstTeeEarlyRound4ScoringAverage",2006
11,11,"Chris Riley",NA,69.67,209,3,"FirstTeeEarlyRound4ScoringAverage",2006
12,12,"Trevor Immelman",NA,69.75,279,4,"FirstTeeEarlyRound4ScoringAverage",2006
13,13,"Greg Chalmers",NA,69.8,349,5,"FirstTeeEarlyRound4ScoringAverage",2006
13,13,"Jesper Parnevik",NA,69.8,698,10,"FirstTeeEarlyRound4ScoringAverage",2006
15,15,"Stuart Appleby",NA,69.86,489,7,"FirstTeeEarlyRound4ScoringAverage",2006
16,16,"Billy Mayfair",NA,69.88,559,8,"FirstTeeEarlyRound4ScoringAverage",2006
17,17,"Paul Azinger",NA,70,490,7,"FirstTeeEarlyRound4ScoringAverage",2006
17,17,"Chris Couch",NA,70,140,2,"FirstTeeEarlyRound4ScoringAverage",2006
17,17,"Ryan Hietala",NA,70,140,2,"FirstTeeEarlyRound4ScoringAverage",2006
17,17,"Len Mattiace",NA,70,70,1,"FirstTeeEarlyRound4ScoringAverage",2006
17,17,"Chris Smith",NA,70,280,4,"FirstTeeEarlyRound4ScoringAverage",2006
22,22,"Steve Stricker",NA,70.25,281,4,"FirstTeeEarlyRound4ScoringAverage",2006
23,23,"Brett Quigley",NA,70.33,211,3,"FirstTeeEarlyRound4ScoringAverage",2006
23,23,"Tjaart van der Walt",NA,70.33,211,3,"FirstTeeEarlyRound4ScoringAverage",2006
25,25,"Rich Beem",NA,70.38,563,8,"FirstTeeEarlyRound4ScoringAverage",2006
26,26,"Stephen Ames",NA,70.43,493,7,"FirstTeeEarlyRound4ScoringAverage",2006
26,26,"Jeff Gove",NA,70.43,493,7,"FirstTeeEarlyRound4ScoringAverage",2006
26,26,"Stephen Leaney",NA,70.43,493,7,"FirstTeeEarlyRound4ScoringAverage",2006
26,26,"Rod Pampling",NA,70.43,493,7,"FirstTeeEarlyRound4ScoringAverage",2006
30,30,"Retief Goosen",NA,70.5,141,2,"FirstTeeEarlyRound4ScoringAverage",2006
30,30,"Padraig Harrington",NA,70.5,282,4,"FirstTeeEarlyRound4ScoringAverage",2006
30,30,"Hunter Mahan",NA,70.5,564,8,"FirstTeeEarlyRound4ScoringAverage",2006
30,30,"Ted Purdy",NA,70.5,423,6,"FirstTeeEarlyRound4ScoringAverage",2006
34,34,"Bubba Dickerson",NA,70.56,635,9,"FirstTeeEarlyRound4ScoringAverage",2006
34,34,"Ryuji Imada",NA,70.56,635,9,"FirstTeeEarlyRound4ScoringAverage",2006
36,36,"Kent Jones",NA,70.6,706,10,"FirstTeeEarlyRound4ScoringAverage",2006
36,36,"Greg Owen",NA,70.6,353,5,"FirstTeeEarlyRound4ScoringAverage",2006
36,36,"Brett Wetterich",NA,70.6,353,5,"FirstTeeEarlyRound4ScoringAverage",2006
39,39,"Brian Gay",NA,70.63,565,8,"FirstTeeEarlyRound4ScoringAverage",2006
40,40,"Chris DiMarco",NA,70.67,424,6,"FirstTeeEarlyRound4ScoringAverage",2006
40,40,"Matt Hansen",NA,70.67,212,3,"FirstTeeEarlyRound4ScoringAverage",2006
40,40,"Vijay Singh",NA,70.67,424,6,"FirstTeeEarlyRound4ScoringAverage",2006
43,43,"Jeff Brehaut",NA,70.71,495,7,"FirstTeeEarlyRound4ScoringAverage",2006
44,44,"Daniel Chopra",NA,70.75,283,4,"FirstTeeEarlyRound4ScoringAverage",2006
44,44,"Pat Perez",NA,70.75,283,4,"FirstTeeEarlyRound4ScoringAverage",2006
46,46,"Brad Faxon",NA,70.78,637,9,"FirstTeeEarlyRound4ScoringAverage",2006
