"Puttingfrom7_RANKTHISWEEK_2013","Puttingfrom7_RANKLASTWEEK_2013","Puttingfrom7_PLAYERNAME_2013","Puttingfrom7_ROUNDS_2013","Puttingfrom7_PctMADE_2013","Puttingfrom7_ATTEMPTS_2013","Puttingfrom7_PUTTSMADE_2013","stat_name","year"
1,1,"YE Yang",56,76.92,39,30,"Puttingfrom7",2013
2,2,"David Lynn",70,75,44,33,"Puttingfrom7",2013
3,3,"Richard Lee",81,74.67,75,56,"Puttingfrom7",2013
4,4,"Freddie Jacobson",63,73.17,41,30,"Puttingfrom7",2013
5,5,"Luke Donald",60,72.34,47,34,"Puttingfrom7",2013
6,6,"Chez Reavie",72,72.31,65,47,"Puttingfrom7",2013
7,7,"Tom Gillis",69,72.22,54,39,"Puttingfrom7",2013
8,8,"Ryan Moore",72,71.7,53,38,"Puttingfrom7",2013
9,9,"Peter Hanson",45,71.43,35,25,"Puttingfrom7",2013
9,9,"Rory McIlroy",56,71.43,35,25,"Puttingfrom7",2013
9,9,"Aaron Watkins",46,71.43,35,25,"Puttingfrom7",2013
12,12,"Luke Guthrie",82,71.19,59,42,"Puttingfrom7",2013
13,13,"Cameron Percy",68,70.83,48,34,"Puttingfrom7",2013
13,13,"Ian Poulter",59,70.83,24,17,"Puttingfrom7",2013
13,13,"Justin Rose",62,70.83,48,34,"Puttingfrom7",2013
16,16,"Brian Gay",79,70.37,54,38,"Puttingfrom7",2013
16,16,"Doug LaBelle II",72,70.37,54,38,"Puttingfrom7",2013
18,18,"Mike Weir",60,70,40,28,"Puttingfrom7",2013
19,19,"David Hearn",88,69.86,73,51,"Puttingfrom7",2013
20,20,"Padraig Harrington",52,69.7,33,23,"Puttingfrom7",2013
21,21,"Jerry Kelly",75,69.57,46,32,"Puttingfrom7",2013
22,22,"David Lingmerth",68,69.23,52,36,"Puttingfrom7",2013
23,23,"Fabian Gomez",65,68.89,45,31,"Puttingfrom7",2013
24,24,"Brendon de Jonge",110,67.86,84,57,"Puttingfrom7",2013
25,25,"Colt Knost",69,67.35,49,33,"Puttingfrom7",2013
26,26,"Billy Horschel",96,67.12,73,49,"Puttingfrom7",2013
27,27,"Graham DeLaet",94,67.11,76,51,"Puttingfrom7",2013
28,28,"Gary Woodland",94,67.09,79,53,"Puttingfrom7",2013
29,29,"James Hahn",78,66.67,54,36,"Puttingfrom7",2013
29,29,"Matt Jones",83,66.67,66,44,"Puttingfrom7",2013
29,29,"Jeff Overton",78,66.67,90,60,"Puttingfrom7",2013
29,29,"Casey Wittenberg",72,66.67,57,38,"Puttingfrom7",2013
33,33,"DA Points",87,66.2,71,47,"Puttingfrom7",2013
34,34,"Hunter Mahan",91,66.15,65,43,"Puttingfrom7",2013
35,35,"Brandt Jobe",62,65.85,41,27,"Puttingfrom7",2013
36,36,"John Merrick",79,65.79,38,25,"Puttingfrom7",2013
37,37,"Russell Henley",80,65.52,58,38,"Puttingfrom7",2013
38,38,"DH Lee",65,65.38,52,34,"Puttingfrom7",2013
39,39,"Ryan Palmer",79,65.22,69,45,"Puttingfrom7",2013
40,40,"Greg Chalmers",77,65.15,66,43,"Puttingfrom7",2013
41,41,"Scott Gardiner",61,65.12,43,28,"Puttingfrom7",2013
41,41,"Brendan Steele",86,65.12,86,56,"Puttingfrom7",2013
43,43,"Shawn Stefani",63,65,40,26,"Puttingfrom7",2013
44,44,"Jason Bohn",70,64.91,57,37,"Puttingfrom7",2013
44,44,"Trevor Immelman",73,64.91,57,37,"Puttingfrom7",2013
44,44,"Matt Kuchar",93,64.91,57,37,"Puttingfrom7",2013
47,47,"Tim Clark",64,64.71,34,22,"Puttingfrom7",2013
47,47,"Bob Estes",66,64.71,51,33,"Puttingfrom7",2013
49,49,"Brian Harman",89,64.52,62,40,"Puttingfrom7",2013
50,50,"Martin Laird",68,64.41,59,38,"Puttingfrom7",2013
51,51,"Lucas Glover",65,64.29,42,27,"Puttingfrom7",2013
51,51,"Chris Kirk",89,64.29,70,45,"Puttingfrom7",2013
51,51,"John Senden",79,64.29,56,36,"Puttingfrom7",2013
54,54,"Ken Duke",87,64.06,64,41,"Puttingfrom7",2013
55,55,"Darron Stiles",51,63.89,36,23,"Puttingfrom7",2013
56,56,"Jeff Maggert",63,63.64,44,28,"Puttingfrom7",2013
56,56,"Scott Stallings",79,63.64,77,49,"Puttingfrom7",2013
56,56,"Henrik Stenson",65,63.64,33,21,"Puttingfrom7",2013
59,59,"Henrik Norlander",70,63.27,49,31,"Puttingfrom7",2013
60,60,"Martin Flores",83,63.24,68,43,"Puttingfrom7",2013
61,61,"Harris English",95,63.01,73,46,"Puttingfrom7",2013
62,62,"Sergio Garcia",65,62.86,35,22,"Puttingfrom7",2013
63,63,"Brad Fritsch",81,62.82,78,49,"Puttingfrom7",2013
64,64,"Jason Day",86,62.71,59,37,"Puttingfrom7",2013
65,65,"David Mathis",71,62.67,75,47,"Puttingfrom7",2013
66,66,"Charles Howell III",87,62.5,64,40,"Puttingfrom7",2013
66,66,"DJ Trahan",48,62.5,32,20,"Puttingfrom7",2013
68,68,"Webb Simpson",92,62.3,61,38,"Puttingfrom7",2013
69,69,"Dicky Pride",71,62.22,45,28,"Puttingfrom7",2013
69,69,"Brandt Snedeker",79,62.22,45,28,"Puttingfrom7",2013
71,71,"Rickie Fowler",75,62.07,58,36,"Puttingfrom7",2013
71,71,"Scott Piercy",78,62.07,58,36,"Puttingfrom7",2013
73,73,"Zach Johnson",84,62,50,31,"Puttingfrom7",2013
74,74,"Bobby Gates",49,61.76,34,21,"Puttingfrom7",2013
74,74,"Tim Herron",45,61.76,34,21,"Puttingfrom7",2013
76,76,"Lee Williams",62,61.7,47,29,"Puttingfrom7",2013
77,77,"Troy Matteson",68,61.4,57,35,"Puttingfrom7",2013
77,77,"Josh Teater",86,61.4,57,35,"Puttingfrom7",2013
79,79,"Sangmoon Bae",83,61.33,75,46,"Puttingfrom7",2013
80,80,"Erik Compton",74,61.22,49,30,"Puttingfrom7",2013
81,81,"Stephen Ames",49,61.11,36,22,"Puttingfrom7",2013
81,81,"William McGirt",75,61.11,54,33,"Puttingfrom7",2013
83,83,"Morgan Hoffmann",64,61.02,59,36,"Puttingfrom7",2013
84,84,"Marc Leishman",77,60.87,46,28,"Puttingfrom7",2013
85,85,"Ernie Els",63,60.53,38,23,"Puttingfrom7",2013
86,86,"Nicholas Thompson",99,60.49,81,49,"Puttingfrom7",2013
87,87,"Ted Potter Jr",65,60.47,43,26,"Puttingfrom7",2013
88,88,"Chad Campbell",78,60,75,45,"Puttingfrom7",2013
88,88,"Bryce Molder",82,60,55,33,"Puttingfrom7",2013
88,88,"Tag Ridings",69,60,40,24,"Puttingfrom7",2013
91,91,"John Huh",88,59.77,87,52,"Puttingfrom7",2013
92,92,"Charlie Beljan",62,59.65,57,34,"Puttingfrom7",2013
93,93,"Johnson Wagner",64,59.57,47,28,"Puttingfrom7",2013
94,94,"Robert Streb",75,59.38,64,38,"Puttingfrom7",2013
94,94,"Charlie Wi",75,59.38,64,38,"Puttingfrom7",2013
96,96,"Jonas Blixt",76,59.26,54,32,"Puttingfrom7",2013
97,97,"Robert Allenby",58,59.18,49,29,"Puttingfrom7",2013
98,98,"Brian Davis",91,58.97,78,46,"Puttingfrom7",2013
99,99,"Stewart Cink",71,58.93,56,33,"Puttingfrom7",2013
100,100,"Matt Every",89,58.89,90,53,"Puttingfrom7",2013
101,101,"Charley Hoffman",84,58.82,68,40,"Puttingfrom7",2013
101,101,"David Toms",49,58.82,34,20,"Puttingfrom7",2013
103,103,"Charl Schwartzel",69,58.73,63,37,"Puttingfrom7",2013
104,104,"Michael Bradley",56,58.33,36,21,"Puttingfrom7",2013
105,105,"Jimmy Walker",84,57.89,57,33,"Puttingfrom7",2013
106,106,"Andres Romero",63,57.78,45,26,"Puttingfrom7",2013
107,107,"Dustin Johnson",71,57.58,33,19,"Puttingfrom7",2013
108,108,"Camilo Villegas",79,57.38,61,35,"Puttingfrom7",2013
109,109,"Scott Brown",65,57.14,49,28,"Puttingfrom7",2013
109,109,"Steve LeBrun",66,57.14,49,28,"Puttingfrom7",2013
109,109,"Graeme McDowell",53,57.14,42,24,"Puttingfrom7",2013
112,112,"Patrick Reed",83,56.79,81,46,"Puttingfrom7",2013
113,113,"Boo Weekley",100,56.52,69,39,"Puttingfrom7",2013
114,114,"Kevin Streelman",86,56.45,62,35,"Puttingfrom7",2013
115,115,"Kevin Chappell",80,56.36,55,31,"Puttingfrom7",2013
116,116,"Vaughn Taylor",50,56.25,32,18,"Puttingfrom7",2013
117,117,"Ben Kohles",75,56.14,57,32,"Puttingfrom7",2013
117,117,"Justin Leonard",86,56.14,57,32,"Puttingfrom7",2013
117,117,"Brian Stuard",78,56.14,57,32,"Puttingfrom7",2013
120,120,"Bud Cauley",67,56,50,28,"Puttingfrom7",2013
121,121,"Alistair Presnell",59,55.56,36,20,"Puttingfrom7",2013
121,121,"Tiger Woods",61,55.56,36,20,"Puttingfrom7",2013
123,123,"Stuart Appleby",88,55.36,56,31,"Puttingfrom7",2013
124,124,"Martin Kaymer",61,55.17,29,16,"Puttingfrom7",2013
125,125,"Tommy Gainey",84,55.13,78,43,"Puttingfrom7",2013
126,126,"Sean OHair",56,55.1,49,27,"Puttingfrom7",2013
127,127,"Steven Bowditch",67,54.76,42,23,"Puttingfrom7",2013
127,127,"Geoff Ogilvy",57,54.76,42,23,"Puttingfrom7",2013
129,129,"George McNeill",68,54.67,75,41,"Puttingfrom7",2013
130,130,"Robert Karlsson",56,54.55,44,24,"Puttingfrom7",2013
131,131,"Kyle Stanley",71,54.29,70,38,"Puttingfrom7",2013
132,132,"Jim Furyk",80,54.17,48,26,"Puttingfrom7",2013
133,133,"Keegan Bradley",88,54.1,61,33,"Puttingfrom7",2013
134,134,"Cameron Tringale",80,53.97,63,34,"Puttingfrom7",2013
135,135,"Justin Hicks",79,53.45,58,31,"Puttingfrom7",2013
136,136,"Robert Garrigus",69,53.13,32,17,"Puttingfrom7",2013
136,136,"Nick Watney",88,53.13,64,34,"Puttingfrom7",2013
138,138,"Justin Bolli",59,53.06,49,26,"Puttingfrom7",2013
139,139,"Daniel Summerhays",83,53.03,66,35,"Puttingfrom7",2013
140,140,"Jim Herman",59,52.94,34,18,"Puttingfrom7",2013
141,141,"Ryo Ishikawa",72,52.73,55,29,"Puttingfrom7",2013
142,142,"Aaron Baddeley",68,52.63,38,20,"Puttingfrom7",2013
142,142,"Eric Meierdierks",48,52.63,38,20,"Puttingfrom7",2013
142,142,"John Rollins",77,52.63,57,30,"Puttingfrom7",2013
145,145,"Will Claxton",67,52.38,42,22,"Puttingfrom7",2013
146,146,"Bill Haas",85,52.31,65,34,"Puttingfrom7",2013
147,147,"Ricky Barnes",74,52.08,48,25,"Puttingfrom7",2013
147,147,"Vijay Singh",61,52.08,48,25,"Puttingfrom7",2013
149,149,"Scott Langley",79,52,50,26,"Puttingfrom7",2013
150,150,"JJ Henry",83,51.72,58,30,"Puttingfrom7",2013
151,151,"Seung Yul Noh",71,51.56,64,33,"Puttingfrom7",2013
152,152,"Chris Stroud",88,51.43,70,36,"Puttingfrom7",2013
153,153,"Angel Cabrera",73,51.11,45,23,"Puttingfrom7",2013
154,154,"Jason Dufner",78,51.02,49,25,"Puttingfrom7",2013
155,155,"Ben Crane",62,50.94,53,27,"Puttingfrom7",2013
156,156,"Pat Perez",69,50.85,59,30,"Puttingfrom7",2013
157,157,"James Driscoll",76,50.82,61,31,"Puttingfrom7",2013
157,157,"Bubba Watson",76,50.82,61,31,"Puttingfrom7",2013
159,159,"Jason Kokrak",78,50.68,73,37,"Puttingfrom7",2013
160,160,"Carl Pettersson",82,50.67,75,38,"Puttingfrom7",2013
161,161,"Rory Sabbatini",86,50,74,37,"Puttingfrom7",2013
161,161,"Adam Scott",61,50,40,20,"Puttingfrom7",2013
161,161,"Jordan Spieth",82,50,68,34,"Puttingfrom7",2013
164,164,"Phil Mickelson",78,49.15,59,29,"Puttingfrom7",2013
165,165,"Jin Park",52,48.65,37,18,"Puttingfrom7",2013
166,166,"Nicolas Colsaerts",50,48.57,35,17,"Puttingfrom7",2013
166,166,"Rod Pampling",46,48.57,35,17,"Puttingfrom7",2013
168,168,"Luke List",65,48.08,52,25,"Puttingfrom7",2013
169,169,"Michael Thompson",66,47.62,42,20,"Puttingfrom7",2013
169,169,"Mark Wilson",56,47.62,42,20,"Puttingfrom7",2013
171,171,"KJ Choi",85,47.37,57,27,"Puttingfrom7",2013
172,172,"Greg Owen",73,46.77,62,29,"Puttingfrom7",2013
173,173,"Ben Curtis",59,46.51,43,20,"Puttingfrom7",2013
174,174,"Kevin Stadler",83,46.3,54,25,"Puttingfrom7",2013
175,175,"Bo Van Pelt",72,45.9,61,28,"Puttingfrom7",2013
176,176,"Derek Ernst",58,45.45,55,25,"Puttingfrom7",2013
177,177,"Roberto Castro",97,43.48,69,30,"Puttingfrom7",2013
178,178,"Andrew Svoboda",46,37.93,29,11,"Puttingfrom7",2013
179,179,"Steve Stricker",51,36,25,9,"Puttingfrom7",2013
180,180,"Lee Westwood",70,30.56,36,11,"Puttingfrom7",2013
