"FedExCupSeasonPoints_RANKTHISWEEK_2013","FedExCupSeasonPoints_RANKLASTWEEK_2013","FedExCupSeasonPoints_PLAYERNAME_2013","FedExCupSeasonPoints_EVENTS_2013","FedExCupSeasonPoints_POINTS_2013","FedExCupSeasonPoints_OFWINS_2013","FedExCupSeasonPoints_OFTOP10S_2013","FedExCupSeasonPoints_POINTSBEHINDLEAD_2013","FedExCupSeasonPoints_RESETPOINTS_2013","stat_name","year"
1,1,"Tiger Woods",12,3059,5,7,NA,NA,"FedExCupSeasonPoints",2013
2,2,"Matt Kuchar",19,2293,2,7,766,NA,"FedExCupSeasonPoints",2013
3,3,"Brandt Snedeker",19,2218,2,8,841,NA,"FedExCupSeasonPoints",2013
4,4,"Phil Mickelson",17,2166,2,6,893,NA,"FedExCupSeasonPoints",2013
5,5,"Bill Haas",21,1505,1,9,1554,NA,"FedExCupSeasonPoints",2013
6,6,"Billy Horschel",22,1487,1,7,1572,NA,"FedExCupSeasonPoints",2013
7,7,"Justin Rose",13,1447,1,5,1612,NA,"FedExCupSeasonPoints",2013
8,8,"Jordan Spieth",19,1436,1,7,1623,NA,"FedExCupSeasonPoints",2013
9,9,"Henrik Stenson",14,1426,NA,6,1633,NA,"FedExCupSeasonPoints",2013
10,10,"Keegan Bradley",21,1416,NA,7,1643,NA,"FedExCupSeasonPoints",2013
11,11,"Adam Scott",12,1347,1,5,1712,NA,"FedExCupSeasonPoints",2013
12,12,"Boo Weekley",23,1335,1,4,1724,NA,"FedExCupSeasonPoints",2013
13,13,"Kevin Streelman",21,1333,1,5,1726,NA,"FedExCupSeasonPoints",2013
14,14,"Jason Day",17,1284,NA,6,1775,NA,"FedExCupSeasonPoints",2013
15,15,"Jason Dufner",18,1256,1,3,1803,NA,"FedExCupSeasonPoints",2013
16,16,"Dustin Johnson",18,1226,1,5,1833,NA,"FedExCupSeasonPoints",2013
17,17,"Webb Simpson",21,1188,NA,4,1871,NA,"FedExCupSeasonPoints",2013
18,18,"Zach Johnson",21,1141,NA,6,1918,NA,"FedExCupSeasonPoints",2013
19,19,"Harris English",23,1134,1,4,1925,NA,"FedExCupSeasonPoints",2013
20,20,"Steve Stricker",10,1117,NA,5,1942,NA,"FedExCupSeasonPoints",2013
21,21,"Hunter Mahan",21,1101,NA,4,1958,NA,"FedExCupSeasonPoints",2013
22,22,"Patrick Reed",23,1062,1,5,1997,NA,"FedExCupSeasonPoints",2013
23,23,"Jim Furyk",18,1057,NA,5,2002,NA,"FedExCupSeasonPoints",2013
24,24,"Russell Henley",21,1048,1,3,2011,NA,"FedExCupSeasonPoints",2013
25,25,"DA Points",24,1038,1,2,2021,NA,"FedExCupSeasonPoints",2013
26,26,"Jimmy Walker",21,996,NA,5,2063,NA,"FedExCupSeasonPoints",2013
27,27,"Charles Howell III",23,996,NA,5,2063,NA,"FedExCupSeasonPoints",2013
28,28,"Graeme McDowell",13,941,1,4,2118,NA,"FedExCupSeasonPoints",2013
29,29,"Jonas Blixt",21,912,1,2,2147,NA,"FedExCupSeasonPoints",2013
30,30,"John Merrick",20,909,1,2,2150,NA,"FedExCupSeasonPoints",2013
31,31,"Chris Kirk",21,904,NA,3,2155,NA,"FedExCupSeasonPoints",2013
32,32,"Ken Duke",25,902,1,2,2157,NA,"FedExCupSeasonPoints",2013
33,33,"Charl Schwartzel",15,871,NA,4,2188,NA,"FedExCupSeasonPoints",2013
34,34,"Graham DeLaet",22,856,NA,5,2203,NA,"FedExCupSeasonPoints",2013
35,35,"Lee Westwood",16,856,NA,6,2203,NA,"FedExCupSeasonPoints",2013
36,36,"Sangmoon Bae",23,838,1,2,2221,NA,"FedExCupSeasonPoints",2013
37,37,"Matt Jones",21,836,NA,4,2223,NA,"FedExCupSeasonPoints",2013
38,38,"Bubba Watson",18,830,NA,3,2229,NA,"FedExCupSeasonPoints",2013
39,39,"Michael Thompson",19,828,1,3,2231,NA,"FedExCupSeasonPoints",2013
40,40,"Angel Cabrera",18,826,NA,2,2233,NA,"FedExCupSeasonPoints",2013
41,41,"Roberto Castro",25,823,NA,2,2236,NA,"FedExCupSeasonPoints",2013
42,42,"Rickie Fowler",19,822,NA,4,2237,NA,"FedExCupSeasonPoints",2013
43,43,"Scott Stallings",24,816,NA,4,2243,NA,"FedExCupSeasonPoints",2013
44,44,"Martin Laird",19,809,1,2,2250,NA,"FedExCupSeasonPoints",2013
45,45,"David Lingmerth",21,806,NA,3,2253,NA,"FedExCupSeasonPoints",2013
46,46,"Ryan Palmer",20,801,NA,4,2258,NA,"FedExCupSeasonPoints",2013
47,47,"Chris Stroud",23,800,NA,4,2259,NA,"FedExCupSeasonPoints",2013
48,48,"Charley Hoffman",20,793,NA,5,2266,NA,"FedExCupSeasonPoints",2013
49,49,"Rory McIlroy",13,777,NA,5,2282,NA,"FedExCupSeasonPoints",2013
50,50,"Scott Piercy",21,773,NA,4,2286,NA,"FedExCupSeasonPoints",2013
51,51,"Brendon de Jonge",26,769,NA,3,2290,NA,"FedExCupSeasonPoints",2013
52,52,"Brian Gay",21,744,1,1,2315,NA,"FedExCupSeasonPoints",2013
53,53,"David Hearn",23,728,NA,2,2331,NA,"FedExCupSeasonPoints",2013
54,54,"David Lynn",19,716,NA,2,2343,NA,"FedExCupSeasonPoints",2013
55,55,"Luke Donald",13,707,NA,4,2352,NA,"FedExCupSeasonPoints",2013
56,56,"Tim Clark",18,703,NA,3,2356,NA,"FedExCupSeasonPoints",2013
57,57,"John Rollins",22,696,NA,2,2363,NA,"FedExCupSeasonPoints",2013
58,58,"Kevin Chappell",21,689,NA,3,2370,NA,"FedExCupSeasonPoints",2013
59,59,"Sergio Garcia",13,684,NA,4,2375,NA,"FedExCupSeasonPoints",2013
60,60,"Gary Woodland",22,683,1,1,2376,NA,"FedExCupSeasonPoints",2013
61,61,"Josh Teater",22,682,NA,3,2377,NA,"FedExCupSeasonPoints",2013
62,62,"KJ Choi",22,666,NA,2,2393,NA,"FedExCupSeasonPoints",2013
63,63,"Nick Watney",22,663,NA,2,2396,NA,"FedExCupSeasonPoints",2013
