"Front9Round4ScoringAverage_RANKTHISWEEK_2009","Front9Round4ScoringAverage_RANKLASTWEEK_2009","Front9Round4ScoringAverage_PLAYERNAME_2009","Front9Round4ScoringAverage__2009","Front9Round4ScoringAverage_AVG_2009","Front9Round4ScoringAverage_TOTALSTROKES_2009","Front9Round4ScoringAverage_TOTALROUNDS_2009","stat_name","year"
1,1,"Dean Wilson",NA,34,408,12,"Front9Round4ScoringAverage",2009
1,1,"Tiger Woods",NA,34,510,15,"Front9Round4ScoringAverage",2009
3,3,"Aaron Baddeley",NA,34.09,375,11,"Front9Round4ScoringAverage",2009
4,4,"Tim Petrovic",NA,34.13,546,16,"Front9Round4ScoringAverage",2009
5,5,"Martin Laird",NA,34.18,376,11,"Front9Round4ScoringAverage",2009
6,6,"Brian Davis",NA,34.3,686,20,"Front9Round4ScoringAverage",2009
7,7,"Bo Van Pelt",NA,34.32,652,19,"Front9Round4ScoringAverage",2009
8,8,"Mark Calcavecchia",NA,34.36,378,11,"Front9Round4ScoringAverage",2009
9,9,"Tag Ridings",NA,34.44,310,9,"Front9Round4ScoringAverage",2009
10,10,"Steve Lowery",NA,34.46,448,13,"Front9Round4ScoringAverage",2009
11,11,"Ernie Els",NA,34.47,517,15,"Front9Round4ScoringAverage",2009
12,12,"Hunter Mahan",NA,34.48,724,21,"Front9Round4ScoringAverage",2009
13,13,"Tim Herron",NA,34.5,552,16,"Front9Round4ScoringAverage",2009
13,13,"Kevin Stadler",NA,34.5,414,12,"Front9Round4ScoringAverage",2009
15,15,"Jeff Quinney",NA,34.54,449,13,"Front9Round4ScoringAverage",2009
16,16,"Greg Chalmers",NA,34.56,553,16,"Front9Round4ScoringAverage",2009
16,16,"Nick OHern",NA,34.56,622,18,"Front9Round4ScoringAverage",2009
18,18,"Chris DiMarco",NA,34.61,623,18,"Front9Round4ScoringAverage",2009
19,19,"Bryce Molder",NA,34.62,450,13,"Front9Round4ScoringAverage",2009
20,20,"Brandt Snedeker",NA,34.64,485,14,"Front9Round4ScoringAverage",2009
20,20,"Jay Williamson",NA,34.64,381,11,"Front9Round4ScoringAverage",2009
22,22,"Kris Blanks",NA,34.67,312,9,"Front9Round4ScoringAverage",2009
22,22,"Brian Gay",NA,34.67,728,21,"Front9Round4ScoringAverage",2009
24,24,"Charles Howell III",NA,34.7,694,20,"Front9Round4ScoringAverage",2009
24,24,"Casey Wittenberg",NA,34.7,347,10,"Front9Round4ScoringAverage",2009
26,26,"Vijay Singh",NA,34.71,486,14,"Front9Round4ScoringAverage",2009
27,27,"Steve Stricker",NA,34.72,625,18,"Front9Round4ScoringAverage",2009
28,28,"Robert Garrigus",NA,34.75,556,16,"Front9Round4ScoringAverage",2009
28,28,"Bill Haas",NA,34.75,556,16,"Front9Round4ScoringAverage",2009
28,28,"Chris Riley",NA,34.75,556,16,"Front9Round4ScoringAverage",2009
31,31,"Davis Love III",NA,34.76,591,17,"Front9Round4ScoringAverage",2009
32,32,"Scott McCarron",NA,34.78,626,18,"Front9Round4ScoringAverage",2009
33,33,"Jerry Kelly",NA,34.79,661,19,"Front9Round4ScoringAverage",2009
34,34,"Stephen Ames",NA,34.8,522,15,"Front9Round4ScoringAverage",2009
34,34,"Matt Weibring",NA,34.8,348,10,"Front9Round4ScoringAverage",2009
36,36,"Tim Clark",NA,34.82,592,17,"Front9Round4ScoringAverage",2009
36,36,"DJ Trahan",NA,34.82,592,17,"Front9Round4ScoringAverage",2009
38,38,"Mathew Goggin",NA,34.83,418,12,"Front9Round4ScoringAverage",2009
39,39,"Corey Pavin",NA,34.85,453,13,"Front9Round4ScoringAverage",2009
39,39,"Bubba Watson",NA,34.85,453,13,"Front9Round4ScoringAverage",2009
41,41,"Jeff Klauk",NA,34.89,663,19,"Front9Round4ScoringAverage",2009
41,41,"Kevin Streelman",NA,34.89,663,19,"Front9Round4ScoringAverage",2009
43,43,"Patrick Sheehan",NA,34.9,349,10,"Front9Round4ScoringAverage",2009
43,43,"Kevin Sutherland",NA,34.9,698,20,"Front9Round4ScoringAverage",2009
45,45,"Jimmy Walker",NA,34.92,419,12,"Front9Round4ScoringAverage",2009
46,46,"Carl Pettersson",NA,34.93,524,15,"Front9Round4ScoringAverage",2009
47,47,"Matt Kuchar",NA,34.94,559,16,"Front9Round4ScoringAverage",2009
47,47,"Nicholas Thompson",NA,34.94,559,16,"Front9Round4ScoringAverage",2009
49,49,"Jason Bohn",NA,35,630,18,"Front9Round4ScoringAverage",2009
49,49,"Fred Couples",NA,35,350,10,"Front9Round4ScoringAverage",2009
49,49,"Harrison Frazar",NA,35,630,18,"Front9Round4ScoringAverage",2009
49,49,"Jim Furyk",NA,35,665,19,"Front9Round4ScoringAverage",2009
49,49,"Sean OHair",NA,35,560,16,"Front9Round4ScoringAverage",2009
49,49,"Ryan Palmer",NA,35,420,12,"Front9Round4ScoringAverage",2009
55,55,"Ben Crane",NA,35.05,666,19,"Front9Round4ScoringAverage",2009
55,55,"Mark Wilson",NA,35.05,736,21,"Front9Round4ScoringAverage",2009
57,57,"Nick Watney",NA,35.06,631,18,"Front9Round4ScoringAverage",2009
58,58,"Alex Cejka",NA,35.07,526,15,"Front9Round4ScoringAverage",2009
59,59,"Jeff Maggert",NA,35.08,421,12,"Front9Round4ScoringAverage",2009
60,60,"Zach Johnson",NA,35.1,737,21,"Front9Round4ScoringAverage",2009
61,61,"JJ Henry",NA,35.11,667,19,"Front9Round4ScoringAverage",2009
61,61,"Scott Sterling",NA,35.11,316,9,"Front9Round4ScoringAverage",2009
63,63,"Heath Slocum",NA,35.12,597,17,"Front9Round4ScoringAverage",2009
64,64,"Bob Estes",NA,35.13,527,15,"Front9Round4ScoringAverage",2009
64,64,"Adam Scott",NA,35.13,281,8,"Front9Round4ScoringAverage",2009
66,66,"Justin Rose",NA,35.14,492,14,"Front9Round4ScoringAverage",2009
67,67,"Todd Hamilton",NA,35.17,422,12,"Front9Round4ScoringAverage",2009
67,67,"Spencer Levin",NA,35.17,422,12,"Front9Round4ScoringAverage",2009
67,67,"Peter Lonard",NA,35.17,422,12,"Front9Round4ScoringAverage",2009
70,70,"Cameron Beckman",NA,35.18,598,17,"Front9Round4ScoringAverage",2009
70,70,"Matt Jones",NA,35.18,387,11,"Front9Round4ScoringAverage",2009
