"ApexHeight_RANKTHISWEEK_2010","ApexHeight_RANKLASTWEEK_2010","ApexHeight_PLAYERNAME_2010","ApexHeight_ROUNDS_2010","ApexHeight_AVG_2010","ApexHeight_TOTALAPEXHEIGHT_2010","ApexHeight_TOTALATTEMPTS_2010","ApexHeight_HIGHESTAPEXPOINT_2010","ApexHeight_LOWESTAPEXPOINT_2010","stat_name","year"
1,1,"JB Holmes",100,NA,NA,67,NA,NA,"ApexHeight",2010
2,2,"Phil Mickelson",76,NA,NA,44,NA,NA,"ApexHeight",2010
3,3,"John Daly",63,NA,NA,28,NA,NA,"ApexHeight",2010
4,4,"Davis Love III",79,NA,NA,59,NA,NA,"ApexHeight",2010
5,5,"Ted Purdy",86,NA,NA,58,NA,NA,"ApexHeight",2010
6,6,"Marc Leishman",87,NA,NA,68,NA,NA,"ApexHeight",2010
7,7,"Derek Lamely",81,NA,NA,56,NA,NA,"ApexHeight",2010
8,8,"Paul Stankowski",62,NA,NA,37,NA,NA,"ApexHeight",2010
9,9,"Ryan Palmer",84,NA,NA,69,NA,NA,"ApexHeight",2010
10,10,"Charles Warren",64,NA,NA,40,NA,NA,"ApexHeight",2010
11,11,"Graham DeLaet",88,NA,NA,47,NA,NA,"ApexHeight",2010
12,12,"Jonathan Byrd",85,NA,NA,69,NA,NA,"ApexHeight",2010
13,13,"Padraig Harrington",57,NA,NA,47,NA,NA,"ApexHeight",2010
14,14,"Garth Mulroy",53,NA,NA,36,NA,NA,"ApexHeight",2010
15,15,"Dustin Johnson",83,NA,NA,59,NA,NA,"ApexHeight",2010
16,16,"Rickie Fowler",98,NA,NA,81,NA,NA,"ApexHeight",2010
17,17,"Andres Romero",73,NA,NA,61,NA,NA,"ApexHeight",2010
18,18,"Troy Matteson",84,NA,NA,69,NA,NA,"ApexHeight",2010
19,19,"Vijay Singh",75,NA,NA,59,NA,NA,"ApexHeight",2010
20,20,"Chris Couch",66,NA,NA,41,NA,NA,"ApexHeight",2010
21,21,"Scott Piercy",88,NA,NA,59,NA,NA,"ApexHeight",2010
22,22,"Mark Calcavecchia",50,NA,NA,38,NA,NA,"ApexHeight",2010
23,23,"Ben Crane",85,NA,NA,69,NA,NA,"ApexHeight",2010
24,24,"Rory McIlroy",54,NA,NA,40,NA,NA,"ApexHeight",2010
24,24,"Brenden Pappas",66,NA,NA,40,NA,NA,"ApexHeight",2010
26,26,"Jimmy Walker",82,NA,NA,55,NA,NA,"ApexHeight",2010
27,27,"Kevin Sutherland",86,NA,NA,71,NA,NA,"ApexHeight",2010
28,28,"Steve Marino",81,NA,NA,67,NA,NA,"ApexHeight",2010
29,29,"Retief Goosen",75,NA,NA,48,NA,NA,"ApexHeight",2010
30,30,"Mark Wilson",87,NA,NA,68,NA,NA,"ApexHeight",2010
31,31,"Aaron Baddeley",94,NA,NA,77,NA,NA,"ApexHeight",2010
32,32,"Geoff Ogilvy",62,NA,NA,55,NA,NA,"ApexHeight",2010
33,33,"Joe Ogilvie",99,NA,NA,77,NA,NA,"ApexHeight",2010
33,33,"Kevin Stadler",86,NA,NA,60,NA,NA,"ApexHeight",2010
35,35,"Paul Casey",64,NA,NA,34,NA,NA,"ApexHeight",2010
36,36,"Roger Tambellini",77,NA,NA,54,NA,NA,"ApexHeight",2010
37,37,"Roland Thatcher",72,NA,NA,58,NA,NA,"ApexHeight",2010
38,38,"John Merrick",109,NA,NA,82,NA,NA,"ApexHeight",2010
39,39,"Alex Prugh",88,NA,NA,66,NA,NA,"ApexHeight",2010
40,40,"Alex Cejka",81,NA,NA,58,NA,NA,"ApexHeight",2010
41,41,"Robert Garrigus",71,NA,NA,40,NA,NA,"ApexHeight",2010
42,42,"Cameron Percy",73,NA,NA,49,NA,NA,"ApexHeight",2010
42,42,"Josh Teater",101,NA,NA,76,NA,NA,"ApexHeight",2010
44,44,"Luke Donald",71,NA,NA,57,NA,NA,"ApexHeight",2010
