"Total3Putts25_RANKTHISWEEK_2006","Total3Putts25_RANKLASTWEEK_2006","Total3Putts25_PLAYERNAME_2006","Total3Putts25_ROUNDS_2006","Total3Putts25_TOTAL3PUTTS25_2006","Total3Putts25_TOTAL3PUTTS_2006","stat_name","year"
1,1,"Wes Short Jr",96,56,80,"Total3Putts25",2006
2,2,"Nick Watney",97,53,65,"Total3Putts25",2006
3,3,"Jonathan Kaye",95,50,65,"Total3Putts25",2006
3,3,"Nicholas Thompson",96,50,74,"Total3Putts25",2006
5,5,"David Branshaw",98,49,59,"Total3Putts25",2006
6,6,"James Driscoll",80,48,63,"Total3Putts25",2006
6,6,"Carlos Franco",86,48,59,"Total3Putts25",2006
8,8,"Joey Sindelar",90,47,53,"Total3Putts25",2006
9,9,"Hunter Mahan",98,46,58,"Total3Putts25",2006
10,10,"Tom Pernice Jr",108,45,52,"Total3Putts25",2006
11,11,"Will Ma Kenzie",91,44,58,"Total3Putts25",2006
11,11,"Chris Smith",67,44,48,"Total3Putts25",2006
11,11,"Bo Van Pelt",102,44,58,"Total3Putts25",2006
14,14,"Jason Bohn",104,43,54,"Total3Putts25",2006
14,14,"Jeff Brehaut",100,43,53,"Total3Putts25",2006
14,14,"Jeff Gove",91,43,50,"Total3Putts25",2006
14,14,"Jerry Smith",94,43,59,"Total3Putts25",2006
18,18,"Joe Durant",101,42,61,"Total3Putts25",2006
18,18,"Matt Hansen",68,42,61,"Total3Putts25",2006
20,20,"Henrik Bjornstad",97,41,54,"Total3Putts25",2006
20,20,"Brian Davis",92,41,55,"Total3Putts25",2006
20,20,"Bubba Dickerson",98,41,53,"Total3Putts25",2006
20,20,"Robert Garrigus",85,41,55,"Total3Putts25",2006
20,20,"Sean OHair",100,41,54,"Total3Putts25",2006
20,20,"Kevin Sutherland",100,41,48,"Total3Putts25",2006
20,20,"Charles Warren",93,41,51,"Total3Putts25",2006
27,27,"Mark Calcavecchia",94,40,66,"Total3Putts25",2006
27,27,"Brent Geiberger",99,40,44,"Total3Putts25",2006
27,27,"Jason Gore",86,40,55,"Total3Putts25",2006
27,27,"Nathan Green",108,40,55,"Total3Putts25",2006
27,27,"Troy Matteson",101,40,54,"Total3Putts25",2006
32,32,"Woody Austin",107,39,65,"Total3Putts25",2006
32,32,"Steve Flesch",119,39,51,"Total3Putts25",2006
32,32,"Mathew Goggin",72,39,50,"Total3Putts25",2006
32,32,"Charles Howell III",96,39,48,"Total3Putts25",2006
32,32,"Brett Quigley",109,39,49,"Total3Putts25",2006
37,37,"JB Holmes",81,38,58,"Total3Putts25",2006
37,37,"Jeff Overton",95,38,47,"Total3Putts25",2006
37,37,"John Senden",96,38,50,"Total3Putts25",2006
40,40,"Chris Couch",75,37,45,"Total3Putts25",2006
40,40,"Jerry Kelly",100,37,45,"Total3Putts25",2006
40,40,"Peter Lonard",77,37,44,"Total3Putts25",2006
40,40,"Steve Lowery",99,37,44,"Total3Putts25",2006
40,40,"Carl Pettersson",95,37,47,"Total3Putts25",2006
40,40,"Ted Purdy",103,37,52,"Total3Putts25",2006
46,46,"Robert Damron",91,36,49,"Total3Putts25",2006
46,46,"Robert Gamez",94,36,49,"Total3Putts25",2006
46,46,"Kent Jones",103,36,49,"Total3Putts25",2006
46,46,"Tag Ridings",103,36,47,"Total3Putts25",2006
46,46,"Heath Slocum",96,36,40,"Total3Putts25",2006
46,46,"Mike Sposa",68,36,42,"Total3Putts25",2006
46,46,"Vaughn Taylor",88,36,42,"Total3Putts25",2006
46,46,"Duffy Waldorf",96,36,45,"Total3Putts25",2006
54,54,"Arron Oberholser",82,35,38,"Total3Putts25",2006
54,54,"Patrick Sheehan",104,35,45,"Total3Putts25",2006
54,54,"Vijay Singh",103,35,47,"Total3Putts25",2006
57,57,"Olin Browne",108,34,41,"Total3Putts25",2006
57,57,"Fred Funk",106,34,43,"Total3Putts25",2006
57,57,"Mathias Gronberg",92,34,43,"Total3Putts25",2006
57,57,"John Huston",74,34,51,"Total3Putts25",2006
57,57,"Shigeki Maruyama",94,34,39,"Total3Putts25",2006
