"BirdieorBetterConversionPercentage_RANKTHISWEEK_2007","BirdieorBetterConversionPercentage_RANKLASTWEEK_2007","BirdieorBetterConversionPercentage_PLAYERNAME_2007","BirdieorBetterConversionPercentage_ROUNDS_2007","BirdieorBetterConversionPercentage_Pct_2007","BirdieorBetterConversionPercentage_BIRDIES_2007","BirdieorBetterConversionPercentage_GREENSHIT_2007","stat_name","year"
1,1,"Jonathan Byrd",73,33.45,279,834,"BirdieorBetterConversionPercentage",2007
2,2,"Mark Calcavecchia",93,32.75,336,1026,"BirdieorBetterConversionPercentage",2007
2,2,"Adam Scott",69,32.75,262,800,"BirdieorBetterConversionPercentage",2007
4,4,"John Daly",59,32.2,209,649,"BirdieorBetterConversionPercentage",2007
5,5,"Freddie Jacobson",70,32.13,268,834,"BirdieorBetterConversionPercentage",2007
6,6,"Tag Ridings",52,32.09,181,564,"BirdieorBetterConversionPercentage",2007
7,7,"Kevin Na",84,32.08,299,932,"BirdieorBetterConversionPercentage",2007
8,8,"Tiger Woods",63,31.98,245,766,"BirdieorBetterConversionPercentage",2007
9,9,"Jesper Parnevik",88,31.84,320,1005,"BirdieorBetterConversionPercentage",2007
10,10,"Aaron Baddeley",83,31.8,276,868,"BirdieorBetterConversionPercentage",2007
11,11,"Ryuji Imada",104,31.76,357,1124,"BirdieorBetterConversionPercentage",2007
12,12,"Phil Mickelson",73,31.6,261,826,"BirdieorBetterConversionPercentage",2007
13,13,"Joe Ogilvie",102,31.58,343,1086,"BirdieorBetterConversionPercentage",2007
14,14,"Rory Sabbatini",81,31.54,276,875,"BirdieorBetterConversionPercentage",2007
15,15,"Vaughn Taylor",91,31.44,315,1002,"BirdieorBetterConversionPercentage",2007
16,16,"Justin Rose",63,31.41,218,694,"BirdieorBetterConversionPercentage",2007
17,17,"Bob Heintz",85,31.38,289,921,"BirdieorBetterConversionPercentage",2007
17,17,"JB Holmes",71,31.38,251,800,"BirdieorBetterConversionPercentage",2007
19,19,"Padraig Harrington",64,31.35,211,673,"BirdieorBetterConversionPercentage",2007
20,20,"Bubba Watson",80,31.28,294,940,"BirdieorBetterConversionPercentage",2007
21,21,"Steve Allan",63,31.24,214,685,"BirdieorBetterConversionPercentage",2007
22,22,"Brendon de Jonge",76,31.17,259,831,"BirdieorBetterConversionPercentage",2007
23,23,"Geoff Ogilvy",84,31.14,274,880,"BirdieorBetterConversionPercentage",2007
24,24,"Charley Hoffman",97,30.91,345,1116,"BirdieorBetterConversionPercentage",2007
25,25,"Rich Beem",89,30.87,317,1027,"BirdieorBetterConversionPercentage",2007
26,26,"Carl Pettersson",111,30.8,389,1263,"BirdieorBetterConversionPercentage",2007
27,27,"Lucas Glover",98,30.74,355,1155,"BirdieorBetterConversionPercentage",2007
28,28,"Tim Petrovic",106,30.6,366,1196,"BirdieorBetterConversionPercentage",2007
29,29,"Nathan Green",103,30.55,336,1100,"BirdieorBetterConversionPercentage",2007
30,30,"Bob Estes",88,30.53,305,999,"BirdieorBetterConversionPercentage",2007
31,31,"Robert Garrigus",95,30.51,349,1144,"BirdieorBetterConversionPercentage",2007
32,32,"Ernie Els",59,30.46,205,673,"BirdieorBetterConversionPercentage",2007
33,33,"Chris Riley",59,30.24,186,615,"BirdieorBetterConversionPercentage",2007
34,34,"Jason Gore",86,30.21,306,1013,"BirdieorBetterConversionPercentage",2007
35,35,"Tim Clark",66,30.16,212,703,"BirdieorBetterConversionPercentage",2007
35,35,"Sergio Garcia",68,30.16,231,766,"BirdieorBetterConversionPercentage",2007
37,37,"Anthony Kim",93,30.1,329,1093,"BirdieorBetterConversionPercentage",2007
38,38,"Mathias Gronberg",95,30.09,331,1100,"BirdieorBetterConversionPercentage",2007
39,39,"Vijay Singh",102,30.08,358,1190,"BirdieorBetterConversionPercentage",2007
40,40,"JP Hayes",89,29.92,301,1006,"BirdieorBetterConversionPercentage",2007
41,41,"Charles Warren",101,29.83,369,1237,"BirdieorBetterConversionPercentage",2007
42,42,"Daniel Chopra",106,29.81,370,1241,"BirdieorBetterConversionPercentage",2007
43,43,"Steve Stricker",81,29.74,281,945,"BirdieorBetterConversionPercentage",2007
44,44,"Steve Lowery",74,29.69,261,879,"BirdieorBetterConversionPercentage",2007
45,45,"Harrison Frazar",88,29.67,292,984,"BirdieorBetterConversionPercentage",2007
46,46,"Jay Williamson",50,29.65,177,597,"BirdieorBetterConversionPercentage",2007
47,47,"Scott Gutschewski",67,29.58,210,710,"BirdieorBetterConversionPercentage",2007
48,48,"Steve Marino",106,29.37,356,1212,"BirdieorBetterConversionPercentage",2007
49,49,"Rich Barcelo",80,29.35,260,886,"BirdieorBetterConversionPercentage",2007
50,50,"George McNeill",95,29.34,304,1036,"BirdieorBetterConversionPercentage",2007
51,51,"Camilo Villegas",82,29.31,284,969,"BirdieorBetterConversionPercentage",2007
52,52,"Frank Lickliter II",95,29.25,325,1111,"BirdieorBetterConversionPercentage",2007
52,52,"Brett Wetterich",88,29.25,303,1036,"BirdieorBetterConversionPercentage",2007
54,54,"Jarrod Lyle",77,29.23,247,845,"BirdieorBetterConversionPercentage",2007
55,55,"Ryan Moore",92,29.22,317,1085,"BirdieorBetterConversionPercentage",2007
56,56,"Robert Allenby",90,29.16,319,1094,"BirdieorBetterConversionPercentage",2007
57,57,"Craig Barlow",52,29.14,183,628,"BirdieorBetterConversionPercentage",2007
58,58,"Andrew Buckle",77,29.1,245,842,"BirdieorBetterConversionPercentage",2007
58,58,"Parker McLachlin",83,29.1,250,859,"BirdieorBetterConversionPercentage",2007
60,60,"Will Ma Kenzie",100,29.09,345,1186,"BirdieorBetterConversionPercentage",2007
61,61,"Shigeki Maruyama",84,29.03,263,906,"BirdieorBetterConversionPercentage",2007
61,61,"Troy Matteson",87,29.03,288,992,"BirdieorBetterConversionPercentage",2007
63,63,"Tom Pernice Jr",104,29,335,1155,"BirdieorBetterConversionPercentage",2007
64,64,"Jeff Quinney",95,28.99,325,1121,"BirdieorBetterConversionPercentage",2007
65,65,"Sean OHair",98,28.98,342,1180,"BirdieorBetterConversionPercentage",2007
